#Energy      B-K-shell   C-K-shell   Valence  Total
        350.0000          2.09121594E+03          3.10370196E+04          8.79621057E+00          8.75689495E+00
        360.0000          1.93781942E+03          2.46561556E+04          8.96698089E+00          8.92244861E+00
        370.0000          1.80692816E+03          2.02075915E+04          9.13713855E+00          9.08707884E+00
        380.0000          1.69434942E+03          1.69676010E+04          9.30670431E+00          9.25081746E+00
        390.0000          1.59683925E+03          1.45252529E+04          9.47961601E+00          9.41756259E+00
        400.0000          1.51185870E+03          1.26330935E+04          9.64796008E+00          9.57951228E+00
        410.0000          1.43738801E+03          1.11335166E+04          9.81954680E+00          9.74438348E+00
        420.0000          1.37180604E+03          9.92230462E+03          9.98674955E+00          9.90467450E+00
        430.0000          1.31379850E+03          8.92836407E+03          1.01570923E+01          1.00678038E+01
        440.0000          1.26228521E+03          8.10130982E+03          1.03268186E+01          1.02300854E+01
        450.0000          1.21637582E+03          7.40493041E+03          1.04923996E+01          1.03880732E+01
        460.0000          1.17532934E+03          6.81237141E+03          1.06609912E+01          1.05487985E+01
        470.0000          1.13852124E+03          6.30356957E+03          1.08290181E+01          1.07087651E+01
        480.0000          1.10542628E+03          5.86309238E+03          1.09964960E+01          1.08680005E+01
        490.0000          1.07559774E+03          5.47900960E+03          1.11634402E+01          1.10265313E+01
        500.0000          1.04865493E+03          5.14191535E+03          1.13298653E+01          1.11843831E+01
        510.0000          1.02426979E+03          4.84433842E+03          1.14957853E+01          1.13415803E+01
        520.0000          1.00216029E+03          4.58025349E+03          1.16612136E+01          1.14981463E+01
        530.0000          9.82082226E+02          4.34477984E+03          1.18261632E+01          1.16541037E+01
        540.0000          9.63822683E+02          4.13390605E+03          1.19906462E+01          1.18094738E+01
        550.0000          9.47196616E+02          3.94431286E+03          1.21546747E+01          1.19642772E+01
        560.0000          9.32041463E+02          3.77323565E+03          1.23213288E+01          1.21215037E+01
        570.0000          9.18214364E+02          3.61835989E+03          1.24844404E+01          1.22751885E+01
        580.0000          9.05589701E+02          3.47772104E+03          1.26471308E+01          1.24283637E+01
        590.0000          8.94055911E+02          3.34964706E+03          1.28094098E+01          1.25810460E+01
