#Energy      B   C  Total
       6000.0000          1.63019437E+02          5.30835289E+02          1.24718427E+02
       6100.0000          1.65654782E+02          5.39376012E+02          1.26732359E+02
       6200.0000          1.68288388E+02          5.47910809E+02          1.28744946E+02
       6300.0000          1.70920263E+02          5.56439710E+02          1.30756194E+02
       6400.0000          1.73550412E+02          5.64962742E+02          1.32766108E+02
       6500.0000          1.76178843E+02          5.73479931E+02          1.34774692E+02
       6600.0000          1.78805560E+02          5.81991304E+02          1.36781953E+02
       6700.0000          1.81430570E+02          5.90496884E+02          1.38787895E+02
       6800.0000          1.84053877E+02          5.98996696E+02          1.40792521E+02
       6900.0000          1.86675488E+02          6.07490764E+02          1.42795837E+02
       7000.0000          1.89295408E+02          6.15979109E+02          1.44797848E+02
       7100.0000          1.91913641E+02          6.24461755E+02          1.46798556E+02
       7200.0000          1.94530193E+02          6.32938721E+02          1.48797966E+02
       7300.0000          1.97145069E+02          6.41410029E+02          1.50796083E+02
       7400.0000          1.99758272E+02          6.49875699E+02          1.52792910E+02
       7500.0000          2.02369809E+02          6.58335750E+02          1.54788451E+02
       7600.0000          2.04979682E+02          6.66790203E+02          1.56782709E+02
       7700.0000          2.07587897E+02          6.75239074E+02          1.58775688E+02
       7800.0000          2.10194458E+02          6.83682382E+02          1.60767392E+02
       7900.0000          2.12799369E+02          6.92120145E+02          1.62757823E+02
       8000.0000          2.15402634E+02          7.00552381E+02          1.64746986E+02
       8100.0000          2.18004257E+02          7.08979105E+02          1.66734884E+02
       8200.0000          2.20604242E+02          7.17400334E+02          1.68721519E+02
       8300.0000          2.23202593E+02          7.25816084E+02          1.70706895E+02
       8400.0000          2.25799313E+02          7.34226371E+02          1.72691015E+02
       8500.0000          2.28394405E+02          7.42631210E+02          1.74673882E+02
       8600.0000          2.30987875E+02          7.51030616E+02          1.76655499E+02
       8700.0000          2.33579725E+02          7.59424604E+02          1.78635868E+02
       8800.0000          2.36169958E+02          7.67813187E+02          1.80614992E+02
       8900.0000          2.38758578E+02          7.76196380E+02          1.82592875E+02
       9000.0000          2.41345588E+02          7.84574197E+02          1.84569519E+02
       9100.0000          2.43930992E+02          7.92946650E+02          1.86544926E+02
       9200.0000          2.46514792E+02          8.01313754E+02          1.88519099E+02
       9300.0000          2.49096992E+02          8.09675520E+02          1.90492041E+02
       9400.0000          2.51677595E+02          8.18031962E+02          1.92463754E+02
       9500.0000          2.54256604E+02          8.26383092E+02          1.94434241E+02
       9600.0000          2.56834022E+02          8.34728922E+02          1.96403503E+02
       9700.0000          2.59409851E+02          8.43069464E+02          1.98371544E+02
       9800.0000          2.61984095E+02          8.51404731E+02          2.00338366E+02
       9900.0000          2.64556756E+02          8.59734732E+02          2.02303970E+02
      10000.0000          2.67127838E+02          8.68059480E+02          2.04268360E+02
      11000.0000          2.92752350E+02          9.51020395E+02          2.23845921E+02
      12000.0000          3.18221678E+02          1.03346719E+03          2.43304263E+02
      13000.0000          3.43538072E+02          1.11540873E+03          2.62645193E+02
      14000.0000          3.68703558E+02          1.19685287E+03          2.81870333E+02
      15000.0000          3.93719991E+02          1.27780667E+03          3.00981158E+02
      16000.0000          4.18589092E+02          1.35827659E+03          3.19979034E+02
      17000.0000          4.43312472E+02          1.43826859E+03          3.38865232E+02
      18000.0000          4.67891656E+02          1.51778825E+03          3.57640955E+02
      19000.0000          4.92328094E+02          1.59684082E+03          3.76307340E+02
      20000.0000          5.16623177E+02          1.67543127E+03          3.94865477E+02
      21000.0000          5.40778240E+02          1.75356436E+03          4.13316411E+02
      22000.0000          5.64794577E+02          1.83124463E+03          4.31661148E+02
      23000.0000          5.88673437E+02          1.90847647E+03          4.49900665E+02
      24000.0000          6.12416039E+02          1.98526410E+03          4.68035906E+02
      25000.0000          6.36023568E+02          2.06161163E+03          4.86067792E+02
      26000.0000          6.59497181E+02          2.13752303E+03          5.03997221E+02
      27000.0000          6.82838009E+02          2.21300219E+03          5.21825068E+02
      28000.0000          7.06047161E+02          2.28805288E+03          5.39552192E+02
      29000.0000          7.29125725E+02          2.36267880E+03          5.57179433E+02
      30000.0000          7.52074766E+02          2.43688355E+03          5.74707614E+02
      31000.0000          7.74895334E+02          2.51067068E+03          5.92137546E+02
      32000.0000          7.97588460E+02          2.58404366E+03          6.09470022E+02
      33000.0000          8.20155158E+02          2.65700590E+03          6.26705826E+02
      34000.0000          8.42596428E+02          2.72956074E+03          6.43845727E+02
      35000.0000          8.64913255E+02          2.80171147E+03          6.60890484E+02
      36000.0000          8.87106610E+02          2.87346135E+03          6.77840843E+02
      37000.0000          9.09177450E+02          2.94481354E+03          6.94697541E+02
      38000.0000          9.31126721E+02          3.01577121E+03          7.11461306E+02
      39000.0000          9.52955355E+02          3.08633743E+03          7.28132853E+02
      40000.0000          9.74664274E+02          3.15651527E+03          7.44712892E+02
      41000.0000          9.96254386E+02          3.22630774E+03          7.61202119E+02
      42000.0000          1.01772659E+03          3.29571781E+03          7.77601226E+02
      43000.0000          1.03908178E+03          3.36474842E+03          7.93910895E+02
      44000.0000          1.06032083E+03          3.43340245E+03          8.10131799E+02
      45000.0000          1.08144460E+03          3.50168277E+03          8.26264604E+02
      46000.0000          1.10245396E+03          3.56959221E+03          8.42309969E+02
      47000.0000          1.12334975E+03          3.63713356E+03          8.58268544E+02
      48000.0000          1.14413282E+03          3.70430959E+03          8.74140974E+02
      49000.0000          1.16480399E+03          3.77112301E+03          8.89927896E+02
      50000.0000          1.18536409E+03          3.83757652E+03          9.05629939E+02
