#Energy      Sc  Total
        540.0000          1.52929272E+01          1.52929272E+01
        550.0000          1.54508726E+01          1.54508726E+01
        560.0000          1.56088439E+01          1.56088439E+01
        570.0000          1.57668256E+01          1.57668256E+01
        580.0000          1.59248038E+01          1.59248038E+01
        590.0000          1.60827658E+01          1.60827658E+01
        600.0000          1.62407001E+01          1.62407001E+01
        610.0000          1.63985960E+01          1.63985960E+01
        620.0000          1.65564439E+01          1.65564439E+01
        630.0000          1.67142352E+01          1.67142352E+01
        640.0000          1.68719618E+01          1.68719618E+01
        650.0000          1.70296164E+01          1.70296164E+01
        660.0000          1.71871924E+01          1.71871924E+01
        670.0000          1.73446838E+01          1.73446838E+01
        680.0000          1.75020851E+01          1.75020851E+01
        690.0000          1.76593913E+01          1.76593913E+01
        700.0000          1.78165978E+01          1.78165978E+01
        710.0000          1.79737005E+01          1.79737005E+01
        720.0000          1.81306957E+01          1.81306957E+01
        730.0000          1.82875800E+01          1.82875800E+01
        740.0000          1.84443504E+01          1.84443504E+01
        750.0000          1.86010040E+01          1.86010040E+01
        760.0000          1.87575384E+01          1.87575384E+01
        770.0000          1.89139513E+01          1.89139513E+01
        780.0000          1.90702408E+01          1.90702408E+01
        790.0000          1.92264051E+01          1.92264051E+01
        800.0000          1.93824425E+01          1.93824425E+01
        810.0000          1.95383517E+01          1.95383517E+01
        820.0000          1.96941314E+01          1.96941314E+01
        830.0000          1.98497806E+01          1.98497806E+01
        840.0000          2.00052983E+01          2.00052983E+01
        850.0000          2.01606836E+01          2.01606836E+01
        860.0000          2.03159360E+01          2.03159360E+01
        870.0000          2.04710548E+01          2.04710548E+01
        880.0000          2.06260396E+01          2.06260396E+01
        890.0000          2.07808900E+01          2.07808900E+01
        900.0000          2.09356057E+01          2.09356057E+01
        910.0000          2.10901866E+01          2.10901866E+01
        920.0000          2.12446325E+01          2.12446325E+01
        930.0000          2.13989433E+01          2.13989433E+01
        940.0000          2.15531192E+01          2.15531192E+01
        950.0000          2.17071601E+01          2.17071601E+01
        960.0000          2.18610661E+01          2.18610661E+01
        970.0000          2.20148376E+01          2.20148376E+01
        980.0000          2.21684746E+01          2.21684746E+01
        990.0000          2.23219775E+01          2.23219775E+01
       1000.0000          2.24753466E+01          2.24753466E+01
       1100.0000          2.40017696E+01          2.40017696E+01
       1200.0000          2.55153555E+01          2.55153555E+01
       1300.0000          2.70167396E+01          2.70167396E+01
       1400.0000          2.85066035E+01          2.85066035E+01
       1500.0000          2.99856227E+01          2.99856227E+01
       1600.0000          3.14544415E+01          3.14544415E+01
       1700.0000          3.29136622E+01          3.29136622E+01
       1800.0000          3.43638419E+01          3.43638419E+01
       1900.0000          3.58054931E+01          3.58054931E+01
       2000.0000          3.72390856E+01          3.72390856E+01
       2100.0000          3.86650498E+01          3.86650498E+01
       2200.0000          4.00837802E+01          4.00837802E+01
       2300.0000          4.14956382E+01          4.14956382E+01
       2400.0000          4.29009561E+01          4.29009561E+01
       2500.0000          4.43000391E+01          4.43000391E+01
       2600.0000          4.56931685E+01          4.56931685E+01
       2700.0000          4.70806039E+01          4.70806039E+01
       2800.0000          4.84625852E+01          4.84625852E+01
       2900.0000          4.98393349E+01          4.98393349E+01
       3000.0000          5.12110591E+01          5.12110591E+01
       3100.0000          5.25779496E+01          5.25779496E+01
       3200.0000          5.39401851E+01          5.39401851E+01
       3300.0000          5.52979321E+01          5.52979321E+01
       3400.0000          5.66513465E+01          5.66513465E+01
       3500.0000          5.80005738E+01          5.80005738E+01
       3600.0000          5.93457507E+01          5.93457507E+01
       3700.0000          6.06870055E+01          6.06870055E+01
       3800.0000          6.20244587E+01          6.20244587E+01
       3900.0000          6.33582239E+01          6.33582239E+01
       4000.0000          6.46884081E+01          6.46884081E+01
       4100.0000          6.60151123E+01          6.60151123E+01
       4200.0000          6.73384321E+01          6.73384321E+01
       4300.0000          6.86584576E+01          6.86584576E+01
       4400.0000          6.99752747E+01          6.99752747E+01
       4493.9990          7.12102166E+01          7.12102166E+01
       4494.0010          7.12102429E+01          7.12102429E+01
       4500.0000          7.12889644E+01          7.12889644E+01
       4600.0000          7.25996037E+01          7.25996037E+01
       4700.0000          7.39072661E+01          7.39072661E+01
       4800.0000          7.52120211E+01          7.52120211E+01
       4900.0000          7.65139352E+01          7.65139352E+01
       5000.0000          7.78130715E+01          7.78130715E+01
       5100.0000          7.91094904E+01          7.91094904E+01
       5200.0000          8.04032495E+01          8.04032495E+01
       5300.0000          8.16944040E+01          8.16944040E+01
       5400.0000          8.29830064E+01          8.29830064E+01
       5500.0000          8.42691072E+01          8.42691072E+01
       5600.0000          8.55527547E+01          8.55527547E+01
       5700.0000          8.68339950E+01          8.68339950E+01
       5800.0000          8.81128727E+01          8.81128727E+01
       5900.0000          8.93894304E+01          8.93894304E+01
       6000.0000          9.06637089E+01          9.06637089E+01
       6100.0000          9.19357477E+01          9.19357477E+01
       6200.0000          9.32055845E+01          9.32055845E+01
       6300.0000          9.44732559E+01          9.44732559E+01
       6400.0000          9.57387968E+01          9.57387968E+01
       6500.0000          9.70022411E+01          9.70022411E+01
       6600.0000          9.82636214E+01          9.82636214E+01
       6700.0000          9.95229690E+01          9.95229690E+01
       6800.0000          1.00780314E+02          1.00780314E+02
       6900.0000          1.02035687E+02          1.02035687E+02
       7000.0000          1.03289114E+02          1.03289114E+02
       7100.0000          1.04540625E+02          1.04540625E+02
       7200.0000          1.05790244E+02          1.05790244E+02
       7300.0000          1.07037998E+02          1.07037998E+02
       7400.0000          1.08283912E+02          1.08283912E+02
       7500.0000          1.09528009E+02          1.09528009E+02
       7600.0000          1.10770312E+02          1.10770312E+02
       7700.0000          1.12010845E+02          1.12010845E+02
       7800.0000          1.13249629E+02          1.13249629E+02
       7900.0000          1.14486685E+02          1.14486685E+02
       8000.0000          1.15722033E+02          1.15722033E+02
       8100.0000          1.16955695E+02          1.16955695E+02
       8200.0000          1.18187688E+02          1.18187688E+02
       8300.0000          1.19418032E+02          1.19418032E+02
       8400.0000          1.20646746E+02          1.20646746E+02
       8500.0000          1.21873846E+02          1.21873846E+02
       8600.0000          1.23099351E+02          1.23099351E+02
       8700.0000          1.24323276E+02          1.24323276E+02
       8800.0000          1.25545639E+02          1.25545639E+02
       8900.0000          1.26766455E+02          1.26766455E+02
       9000.0000          1.27985740E+02          1.27985740E+02
       9100.0000          1.29203509E+02          1.29203509E+02
       9200.0000          1.30419777E+02          1.30419777E+02
       9300.0000          1.31634557E+02          1.31634557E+02
       9400.0000          1.32847865E+02          1.32847865E+02
       9500.0000          1.34059713E+02          1.34059713E+02
       9600.0000          1.35270115E+02          1.35270115E+02
       9700.0000          1.36479084E+02          1.36479084E+02
       9800.0000          1.37686632E+02          1.37686632E+02
       9900.0000          1.38892772E+02          1.38892772E+02
      10000.0000          1.40097517E+02          1.40097517E+02
      11000.0000          1.52070646E+02          1.52070646E+02
      12000.0000          1.63915628E+02          1.63915628E+02
      13000.0000          1.75640953E+02          1.75640953E+02
      14000.0000          1.87253627E+02          1.87253627E+02
      15000.0000          1.98759523E+02          1.98759523E+02
      16000.0000          2.10163640E+02          2.10163640E+02
      17000.0000          2.21470286E+02          2.21470286E+02
      18000.0000          2.32683214E+02          2.32683214E+02
      19000.0000          2.43805728E+02          2.43805728E+02
      20000.0000          2.54840762E+02          2.54840762E+02
      21000.0000          2.65790943E+02          2.65790943E+02
      22000.0000          2.76658638E+02          2.76658638E+02
      23000.0000          2.87445997E+02          2.87445997E+02
      24000.0000          2.98154983E+02          2.98154983E+02
      25000.0000          3.08787398E+02          3.08787398E+02
      26000.0000          3.19344906E+02          3.19344906E+02
      27000.0000          3.29829048E+02          3.29829048E+02
      28000.0000          3.40241260E+02          3.40241260E+02
      29000.0000          3.50582884E+02          3.50582884E+02
      30000.0000          3.60855179E+02          3.60855179E+02
      31000.0000          3.71059330E+02          3.71059330E+02
      32000.0000          3.81196456E+02          3.81196456E+02
      33000.0000          3.91267616E+02          3.91267616E+02
      34000.0000          4.01273818E+02          4.01273818E+02
      35000.0000          4.11216018E+02          4.11216018E+02
      36000.0000          4.21095130E+02          4.21095130E+02
      37000.0000          4.30912029E+02          4.30912029E+02
      38000.0000          4.40667551E+02          4.40667551E+02
      39000.0000          4.50362499E+02          4.50362499E+02
      40000.0000          4.59997647E+02          4.59997647E+02
      41000.0000          4.69573739E+02          4.69573739E+02
      42000.0000          4.79091492E+02          4.79091492E+02
      43000.0000          4.88551601E+02          4.88551601E+02
      44000.0000          4.97954736E+02          4.97954736E+02
      45000.0000          5.07301546E+02          5.07301546E+02
      46000.0000          5.16592662E+02          5.16592662E+02
      47000.0000          5.25828696E+02          5.25828696E+02
      48000.0000          5.35010243E+02          5.35010243E+02
      49000.0000          5.44137879E+02          5.44137879E+02
      50000.0000          5.53212169E+02          5.53212169E+02
