#Energy      V   O  Total
        550.0000          2.14153388E+01          1.73733949E+01          9.59188667E+00
        560.0000          2.16147051E+01          1.76518090E+01          9.71664164E+00
        570.0000          2.18142592E+01          1.79300608E+01          9.84117968E+00
        580.0000          2.20139721E+01          1.82081533E+01          9.96550468E+00
        590.0000          2.22138170E+01          1.84860893E+01          1.00896204E+01
        600.0000          2.24137693E+01          1.87638714E+01          1.02135304E+01
        610.0000          2.26138067E+01          1.90415024E+01          1.03372382E+01
        620.0000          2.28139083E+01          1.93189848E+01          1.04607473E+01
        630.0000          2.30140551E+01          1.95963212E+01          1.05840609E+01
        632.9990          2.30740853E+01          1.96794663E+01          1.06210050E+01
        633.0010          2.30741253E+01          1.96795217E+01          1.06210296E+01
        640.0000          2.32142296E+01          1.98735139E+01          1.07071821E+01
        650.0000          2.34144157E+01          2.01505654E+01          1.08301141E+01
        660.0000          2.36145986E+01          2.04274779E+01          1.09528598E+01
        670.0000          2.38147644E+01          2.07042538E+01          1.10754223E+01
        680.0000          2.40149008E+01          2.09808951E+01          1.11978042E+01
        690.0000          2.42149959E+01          2.12574040E+01          1.13200084E+01
        700.0000          2.44150391E+01          2.15337825E+01          1.14420376E+01
        710.0000          2.46150206E+01          2.18100327E+01          1.15638942E+01
        720.0000          2.48149313E+01          2.20861566E+01          1.16855809E+01
        730.0000          2.50147627E+01          2.23621559E+01          1.18071002E+01
        740.0000          2.52145072E+01          2.26380326E+01          1.19284543E+01
        750.0000          2.54141576E+01          2.29137884E+01          1.20496458E+01
        760.0000          2.56137073E+01          2.31894252E+01          1.21706767E+01
        770.0000          2.58131504E+01          2.34649446E+01          1.22915495E+01
        780.0000          2.60124812E+01          2.37403483E+01          1.24122662E+01
        790.0000          2.62116947E+01          2.40156379E+01          1.25328290E+01
        800.0000          2.64107862E+01          2.42908150E+01          1.26532398E+01
        810.0000          2.66097513E+01          2.45658811E+01          1.27735009E+01
        820.0000          2.68085861E+01          2.48408377E+01          1.28936140E+01
        830.0000          2.70072869E+01          2.51156863E+01          1.30135812E+01
        840.0000          2.72058505E+01          2.53904284E+01          1.31334044E+01
        850.0000          2.74042738E+01          2.56650653E+01          1.32530853E+01
        860.0000          2.76025540E+01          2.59395983E+01          1.33726257E+01
        870.0000          2.78006886E+01          2.62140289E+01          1.34920275E+01
        880.0000          2.79986753E+01          2.64883582E+01          1.36112923E+01
        890.0000          2.81965120E+01          2.67625876E+01          1.37304219E+01
        900.0000          2.83941968E+01          2.70367183E+01          1.38494178E+01
        910.0000          2.85917281E+01          2.73107516E+01          1.39682817E+01
        920.0000          2.87891043E+01          2.75846885E+01          1.40870152E+01
        930.0000          2.89863239E+01          2.78585302E+01          1.42056197E+01
        940.0000          2.91833859E+01          2.81322779E+01          1.43240969E+01
        950.0000          2.93802892E+01          2.84059327E+01          1.44424482E+01
        960.0000          2.95770327E+01          2.86794956E+01          1.45606751E+01
        970.0000          2.97736156E+01          2.89529677E+01          1.46787789E+01
        980.0000          2.99700373E+01          2.92263500E+01          1.47967611E+01
        990.0000          3.01662972E+01          2.94996435E+01          1.49146230E+01
       1000.0000          3.03623946E+01          2.97728492E+01          1.50323660E+01
       1100.0000          3.23143847E+01          3.25002799E+01          1.62035329E+01
       1200.0000          3.42501012E+01          3.52198733E+01          1.73641092E+01
       1300.0000          3.61699380E+01          3.79323350E+01          1.85150893E+01
       1400.0000          3.80745084E+01          4.06382501E+01          1.96573138E+01
       1500.0000          3.99645176E+01          4.33381102E+01          2.07915010E+01
       1600.0000          4.18406951E+01          4.60323324E+01          2.19182705E+01
       1700.0000          4.37037587E+01          4.87212746E+01          2.30381614E+01
       1800.0000          4.55543959E+01          5.14052463E+01          2.41516459E+01
       1900.0000          4.73932553E+01          5.40845174E+01          2.52591407E+01
       2000.0000          4.92209430E+01          5.67593248E+01          2.63610156E+01
       2100.0000          5.10380229E+01          5.94298779E+01          2.74576003E+01
       2200.0000          5.28450181E+01          6.20963630E+01          2.85491908E+01
       2300.0000          5.46424127E+01          6.47589463E+01          2.96360536E+01
       2400.0000          5.64306553E+01          6.74177774E+01          3.07184296E+01
       2500.0000          5.82101611E+01          7.00729909E+01          3.17965378E+01
       2600.0000          5.99813148E+01          7.27247091E+01          3.28705777E+01
       2700.0000          6.17444734E+01          7.53730430E+01          3.39407318E+01
       2800.0000          6.34999684E+01          7.80180939E+01          3.50071674E+01
