#Energy      Li  Total
         38.0000          5.70742850E+00          5.70742850E+00
         39.0000          5.81575338E+00          5.81575338E+00
         40.0000          5.92412506E+00          5.92412506E+00
         41.0000          6.03253899E+00          6.03253899E+00
         42.0000          6.14099105E+00          6.14099105E+00
         43.0000          6.24947755E+00          6.24947755E+00
         44.0000          6.35799512E+00          6.35799512E+00
         45.0000          6.46654071E+00          6.46654071E+00
         46.0000          6.57511157E+00          6.57511157E+00
         47.0000          6.68370516E+00          6.68370516E+00
         48.0000          6.79231919E+00          6.79231919E+00
         49.0000          6.90095156E+00          6.90095156E+00
         50.0000          7.00960035E+00          7.00960035E+00
         51.0000          7.11826382E+00          7.11826382E+00
         52.0000          7.22694035E+00          7.22694035E+00
         53.0000          7.33562846E+00          7.33562846E+00
         54.0000          7.44432681E+00          7.44432681E+00
         55.0000          7.55303414E+00          7.55303414E+00
         56.0000          7.66174932E+00          7.66174932E+00
         57.0000          7.77047128E+00          7.77047128E+00
         57.9990          7.87909033E+00          7.87909033E+00
         58.0000          7.87919906E+00          7.87919906E+00
         58.0010          7.87930779E+00          7.87930779E+00
         59.0000          7.98793175E+00          7.98793175E+00
         60.0000          8.09666853E+00          8.09666853E+00
         61.0000          8.20540864E+00          8.20540864E+00
         62.0000          8.31415136E+00          8.31415136E+00
         63.0000          8.42289604E+00          8.42289604E+00
         64.0000          8.53164208E+00          8.53164208E+00
         65.0000          8.64038892E+00          8.64038892E+00
         66.0000          8.74913604E+00          8.74913604E+00
         67.0000          8.85788295E+00          8.85788295E+00
         68.0000          8.96662922E+00          8.96662922E+00
         69.0000          9.07537442E+00          9.07537442E+00
         70.0000          9.18411818E+00          9.18411818E+00
         71.0000          9.29286013E+00          9.29286013E+00
         72.0000          9.40159996E+00          9.40159996E+00
         73.0000          9.51033735E+00          9.51033735E+00
         74.0000          9.61907202E+00          9.61907202E+00
         75.0000          9.72780370E+00          9.72780370E+00
         76.0000          9.83653216E+00          9.83653216E+00
         77.0000          9.94525716E+00          9.94525716E+00
         78.0000          1.00539785E+01          1.00539785E+01
         79.0000          1.01626960E+01          1.01626960E+01
         80.0000          1.02714094E+01          1.02714094E+01
         81.0000          1.03801186E+01          1.03801186E+01
         82.0000          1.04888235E+01          1.04888235E+01
         83.0000          1.05975238E+01          1.05975238E+01
         84.0000          1.07062196E+01          1.07062196E+01
         85.0000          1.08149105E+01          1.08149105E+01
         86.0000          1.09235966E+01          1.09235966E+01
         87.0000          1.10322776E+01          1.10322776E+01
         88.0000          1.11409537E+01          1.11409537E+01
         89.0000          1.12496245E+01          1.12496245E+01
         90.0000          1.13582901E+01          1.13582901E+01
         91.0000          1.14669503E+01          1.14669503E+01
         92.0000          1.15756052E+01          1.15756052E+01
         93.0000          1.16842546E+01          1.16842546E+01
         94.0000          1.17928985E+01          1.17928985E+01
         95.0000          1.19015368E+01          1.19015368E+01
         96.0000          1.20101695E+01          1.20101695E+01
         97.0000          1.21187966E+01          1.21187966E+01
         98.0000          1.22274179E+01          1.22274179E+01
         99.0000          1.23360336E+01          1.23360336E+01
        100.0000          1.24446434E+01          1.24446434E+01
        110.0000          1.35304205E+01          1.35304205E+01
        120.0000          1.46156074E+01          1.46156074E+01
        130.0000          1.57002092E+01          1.57002092E+01
        140.0000          1.67842404E+01          1.67842404E+01
        150.0000          1.78677204E+01          1.78677204E+01
        160.0000          1.89506709E+01          1.89506709E+01
        170.0000          2.00331141E+01          2.00331141E+01
        180.0000          2.11150717E+01          2.11150717E+01
        190.0000          2.21965650E+01          2.21965650E+01
        200.0000          2.32776140E+01          2.32776140E+01
        210.0000          2.43582376E+01          2.43582376E+01
        220.0000          2.54384535E+01          2.54384535E+01
        230.0000          2.65182785E+01          2.65182785E+01
        240.0000          2.75977280E+01          2.75977280E+01
        250.0000          2.86768165E+01          2.86768165E+01
        260.0000          2.97555577E+01          2.97555577E+01
        270.0000          3.08339640E+01          3.08339640E+01
        280.0000          3.19120474E+01          3.19120474E+01
        290.0000          3.29898189E+01          3.29898189E+01
        300.0000          3.40672887E+01          3.40672887E+01
        310.0000          3.51444667E+01          3.51444667E+01
        320.0000          3.62213617E+01          3.62213617E+01
        330.0000          3.72979825E+01          3.72979825E+01
        340.0000          3.83743369E+01          3.83743369E+01
        350.0000          3.94504325E+01          3.94504325E+01
        360.0000          4.05262765E+01          4.05262765E+01
        370.0000          4.16018754E+01          4.16018754E+01
        380.0000          4.26772357E+01          4.26772357E+01
        390.0000          4.37523633E+01          4.37523633E+01
        400.0000          4.48272638E+01          4.48272638E+01
        410.0000          4.59019426E+01          4.59019426E+01
        420.0000          4.69764048E+01          4.69764048E+01
        430.0000          4.80506553E+01          4.80506553E+01
        440.0000          4.91246985E+01          4.91246985E+01
        450.0000          5.01985389E+01          5.01985389E+01
        460.0000          5.12721805E+01          5.12721805E+01
        470.0000          5.23456274E+01          5.23456274E+01
        480.0000          5.34188834E+01          5.34188834E+01
        490.0000          5.44919519E+01          5.44919519E+01
        500.0000          5.55648364E+01          5.55648364E+01
        510.0000          5.66375403E+01          5.66375403E+01
        520.0000          5.77100666E+01          5.77100666E+01
        530.0000          5.87824184E+01          5.87824184E+01
        540.0000          5.98545986E+01          5.98545986E+01
        550.0000          6.09266098E+01          6.09266098E+01
        560.0000          6.19984547E+01          6.19984547E+01
        570.0000          6.30701360E+01          6.30701360E+01
        580.0000          6.41416559E+01          6.41416559E+01
        590.0000          6.52130170E+01          6.52130170E+01
        600.0000          6.62842213E+01          6.62842213E+01
        610.0000          6.73552712E+01          6.73552712E+01
        620.0000          6.84261686E+01          6.84261686E+01
        630.0000          6.94969156E+01          6.94969156E+01
        640.0000          7.05675141E+01          7.05675141E+01
        650.0000          7.16379661E+01          7.16379661E+01
        660.0000          7.27082732E+01          7.27082732E+01
        670.0000          7.37784373E+01          7.37784373E+01
        680.0000          7.48484600E+01          7.48484600E+01
        690.0000          7.59183430E+01          7.59183430E+01
        700.0000          7.69880878E+01          7.69880878E+01
        710.0000          7.80576959E+01          7.80576959E+01
        720.0000          7.91271689E+01          7.91271689E+01
        730.0000          8.01965081E+01          8.01965081E+01
        740.0000          8.12657149E+01          8.12657149E+01
        750.0000          8.23347906E+01          8.23347906E+01
        760.0000          8.34037366E+01          8.34037366E+01
        770.0000          8.44725541E+01          8.44725541E+01
        780.0000          8.55412444E+01          8.55412444E+01
        790.0000          8.66098085E+01          8.66098085E+01
        800.0000          8.76782476E+01          8.76782476E+01
        810.0000          8.87465629E+01          8.87465629E+01
        820.0000          8.98147554E+01          8.98147554E+01
        830.0000          9.08828262E+01          9.08828262E+01
        840.0000          9.19507763E+01          9.19507763E+01
        850.0000          9.30186067E+01          9.30186067E+01
        860.0000          9.40863184E+01          9.40863184E+01
        870.0000          9.51539122E+01          9.51539122E+01
        880.0000          9.62213892E+01          9.62213892E+01
        890.0000          9.72887501E+01          9.72887501E+01
        900.0000          9.83559959E+01          9.83559959E+01
        910.0000          9.94231274E+01          9.94231274E+01
        920.0000          1.00490145E+02          1.00490145E+02
        930.0000          1.01557051E+02          1.01557051E+02
        940.0000          1.02623844E+02          1.02623844E+02
        950.0000          1.03690527E+02          1.03690527E+02
        960.0000          1.04757098E+02          1.04757098E+02
        970.0000          1.05823561E+02          1.05823561E+02
        980.0000          1.06889914E+02          1.06889914E+02
        990.0000          1.07956159E+02          1.07956159E+02
       1000.0000          1.09022296E+02          1.09022296E+02
       1100.0000          1.19677889E+02          1.19677889E+02
       1200.0000          1.30323357E+02          1.30323357E+02
       1300.0000          1.40959169E+02          1.40959169E+02
       1400.0000          1.51585710E+02          1.51585710E+02
       1500.0000          1.62203301E+02          1.62203301E+02
       1600.0000          1.72812211E+02          1.72812211E+02
       1700.0000          1.83412670E+02          1.83412670E+02
       1800.0000          1.94004876E+02          1.94004876E+02
       1900.0000          2.04589003E+02          2.04589003E+02
       2000.0000          2.15165200E+02          2.15165200E+02
       2100.0000          2.25733602E+02          2.25733602E+02
       2200.0000          2.36294328E+02          2.36294328E+02
       2300.0000          2.46847483E+02          2.46847483E+02
       2400.0000          2.57393162E+02          2.57393162E+02
       2500.0000          2.67931453E+02          2.67931453E+02
       2600.0000          2.78462433E+02          2.78462433E+02
       2700.0000          2.88986174E+02          2.88986174E+02
       2800.0000          2.99502741E+02          2.99502741E+02
       2900.0000          3.10012194E+02          3.10012194E+02
       3000.0000          3.20514589E+02          3.20514589E+02
       3100.0000          3.31009977E+02          3.31009977E+02
       3200.0000          3.41498406E+02          3.41498406E+02
       3300.0000          3.51979919E+02          3.51979919E+02
       3400.0000          3.62454560E+02          3.62454560E+02
       3500.0000          3.72922365E+02          3.72922365E+02
       3600.0000          3.83383372E+02          3.83383372E+02
       3700.0000          3.93837616E+02          3.93837616E+02
       3800.0000          4.04285127E+02          4.04285127E+02
       3900.0000          4.14725936E+02          4.14725936E+02
       4000.0000          4.25160074E+02          4.25160074E+02
       4100.0000          4.35587566E+02          4.35587566E+02
       4200.0000          4.46008439E+02          4.46008439E+02
       4300.0000          4.56422717E+02          4.56422717E+02
       4400.0000          4.66830425E+02          4.66830425E+02
       4500.0000          4.77231584E+02          4.77231584E+02
       4600.0000          4.87626217E+02          4.87626217E+02
       4700.0000          4.98014344E+02          4.98014344E+02
       4800.0000          5.08395985E+02          5.08395985E+02
       4900.0000          5.18771158E+02          5.18771158E+02
       5000.0000          5.29139882E+02          5.29139882E+02
       5100.0000          5.39502176E+02          5.39502176E+02
       5200.0000          5.49858055E+02          5.49858055E+02
       5300.0000          5.60207536E+02          5.60207536E+02
       5400.0000          5.70550635E+02          5.70550635E+02
       5500.0000          5.80887368E+02          5.80887368E+02
       5600.0000          5.91217748E+02          5.91217748E+02
       5700.0000          6.01541792E+02          6.01541792E+02
       5800.0000          6.11859512E+02          6.11859512E+02
       5900.0000          6.22170922E+02          6.22170922E+02
       6000.0000          6.32476036E+02          6.32476036E+02
       6100.0000          6.42774865E+02          6.42774865E+02
       6200.0000          6.53067424E+02          6.53067424E+02
       6300.0000          6.63353723E+02          6.63353723E+02
       6400.0000          6.73633776E+02          6.73633776E+02
       6500.0000          6.83907592E+02          6.83907592E+02
       6600.0000          6.94175184E+02          6.94175184E+02
       6700.0000          7.04436563E+02          7.04436563E+02
       6800.0000          7.14691740E+02          7.14691740E+02
       6900.0000          7.24940725E+02          7.24940725E+02
       7000.0000          7.35183528E+02          7.35183528E+02
       7100.0000          7.45420160E+02          7.45420160E+02
       7200.0000          7.55650631E+02          7.55650631E+02
       7300.0000          7.65874950E+02          7.65874950E+02
       7400.0000          7.76093128E+02          7.76093128E+02
       7500.0000          7.86305172E+02          7.86305172E+02
       7600.0000          7.96511094E+02          7.96511094E+02
       7700.0000          8.06710901E+02          8.06710901E+02
       7800.0000          8.16904604E+02          8.16904604E+02
       7900.0000          8.27092210E+02          8.27092210E+02
       8000.0000          8.37273728E+02          8.37273728E+02
       8100.0000          8.47449167E+02          8.47449167E+02
       8200.0000          8.57618535E+02          8.57618535E+02
       8300.0000          8.67781840E+02          8.67781840E+02
       8400.0000          8.77939092E+02          8.77939092E+02
       8500.0000          8.88090297E+02          8.88090297E+02
       8600.0000          8.98235463E+02          8.98235463E+02
       8700.0000          9.08374600E+02          9.08374600E+02
       8800.0000          9.18507713E+02          9.18507713E+02
       8900.0000          9.28634811E+02          9.28634811E+02
       9000.0000          9.38755902E+02          9.38755902E+02
       9100.0000          9.48870993E+02          9.48870993E+02
       9200.0000          9.58980092E+02          9.58980092E+02
       9300.0000          9.69083204E+02          9.69083204E+02
       9400.0000          9.79180339E+02          9.79180339E+02
       9500.0000          9.89271503E+02          9.89271503E+02
       9600.0000          9.99356703E+02          9.99356703E+02
       9700.0000          1.00943595E+03          1.00943595E+03
       9800.0000          1.01950924E+03          1.01950924E+03
       9900.0000          1.02957659E+03          1.02957659E+03
      10000.0000          1.03963800E+03          1.03963800E+03
      11000.0000          1.13992709E+03          1.13992709E+03
      12000.0000          1.23962962E+03          1.23962962E+03
      13000.0000          1.33875158E+03          1.33875158E+03
      14000.0000          1.43729860E+03          1.43729860E+03
      15000.0000          1.53527608E+03          1.53527608E+03
      16000.0000          1.63268916E+03          1.63268916E+03
      17000.0000          1.72954282E+03          1.72954282E+03
      18000.0000          1.82584189E+03          1.82584189E+03
      19000.0000          1.92159107E+03          1.92159107E+03
      20000.0000          2.01679494E+03          2.01679494E+03
      21000.0000          2.11145799E+03          2.11145799E+03
      22000.0000          2.20558462E+03          2.20558462E+03
      23000.0000          2.29917914E+03          2.29917914E+03
      24000.0000          2.39224580E+03          2.39224580E+03
      25000.0000          2.48478878E+03          2.48478878E+03
      26000.0000          2.57681219E+03          2.57681219E+03
      27000.0000          2.66832007E+03          2.66832007E+03
      28000.0000          2.75931644E+03          2.75931644E+03
      29000.0000          2.84980523E+03          2.84980523E+03
      30000.0000          2.93979034E+03          2.93979034E+03
      31000.0000          3.02927562E+03          3.02927562E+03
      32000.0000          3.11826486E+03          3.11826486E+03
      33000.0000          3.20676183E+03          3.20676183E+03
      34000.0000          3.29477022E+03          3.29477022E+03
      35000.0000          3.38229373E+03          3.38229373E+03
      36000.0000          3.46933596E+03          3.46933596E+03
      37000.0000          3.55590053E+03          3.55590053E+03
      38000.0000          3.64199097E+03          3.64199097E+03
      39000.0000          3.72761080E+03          3.72761080E+03
      40000.0000          3.81276351E+03          3.81276351E+03
      41000.0000          3.89745253E+03          3.89745253E+03
      42000.0000          3.98168128E+03          3.98168128E+03
      43000.0000          4.06545312E+03          4.06545312E+03
      44000.0000          4.14877140E+03          4.14877140E+03
      45000.0000          4.23163942E+03          4.23163942E+03
      46000.0000          4.31406046E+03          4.31406046E+03
      47000.0000          4.39603776E+03          4.39603776E+03
      48000.0000          4.47757454E+03          4.47757454E+03
      49000.0000          4.55867397E+03          4.55867397E+03
      50000.0000          4.63933921E+03          4.63933921E+03
