#Energy      Li-K-shell   Valence  Total
        890.0000          3.85993042E+02          4.70449033E+01          4.19339818E+01
        900.0000          3.88863293E+02          4.74847638E+01          4.23173229E+01
        910.0000          3.91729458E+02          4.79258129E+01          4.27015299E+01
        920.0000          3.94591598E+02          4.83662387E+01          4.30851649E+01
        930.0000          3.97449771E+02          4.88060489E+01          4.34682352E+01
        940.0000          4.00304033E+02          4.92452484E+01          4.38507464E+01
        950.0000          4.03154443E+02          4.96838438E+01          4.42327051E+01
        960.0000          4.06001054E+02          5.01218431E+01          4.46141189E+01
        970.0000          4.08843924E+02          5.05592538E+01          4.49949951E+01
        980.0000          4.11683106E+02          5.09960830E+01          4.53753408E+01
        990.0000          4.14518654E+02          5.14323378E+01          4.57551627E+01
       1000.0000          4.17350621E+02          5.18680253E+01          4.61344679E+01
       1100.0000          4.45765777E+02          5.61952007E+01          4.99040730E+01
       1200.0000          4.74100836E+02          6.04761260E+01          5.36345259E+01
       1300.0000          5.02099797E+02          6.47106068E+01          5.73228408E+01
       1400.0000          5.30042030E+02          6.89080732E+01          6.09803301E+01
       1500.0000          5.57927548E+02          7.30686387E+01          6.46073736E+01
       1600.0000          5.85307043E+02          7.71969129E+01          6.82017011E+01
       1700.0000          6.12664636E+02          8.12938539E+01          7.17706752E+01
       1800.0000          6.39998319E+02          8.53621617E+01          7.53165377E+01
       1900.0000          6.67104170E+02          8.94032446E+01          7.88376639E+01
       2000.0000          6.93998973E+02          9.34203777E+01          8.23368718E+01
       2100.0000          7.20697699E+02          9.74139873E+01          8.58147337E+01
       2200.0000          7.47213734E+02          1.01386789E+02          8.92735732E+01
       2300.0000          7.73743886E+02          1.05337247E+02          9.27150500E+01
       2400.0000          8.00105223E+02          1.09268562E+02          9.61390669E+01
       2500.0000          8.26307438E+02          1.13181262E+02          9.95461882E+01
       2600.0000          8.52359383E+02          1.17075877E+02          1.02936964E+02
       2700.0000          8.78269139E+02          1.20954027E+02          1.06312776E+02
       2800.0000          9.04213195E+02          1.24814497E+02          1.09675295E+02
       2900.0000          9.29856479E+02          1.28661406E+02          1.13022787E+02
       3000.0000          9.55541619E+02          1.32491585E+02          1.16357867E+02
       3100.0000          9.80943479E+02          1.36310233E+02          1.19679741E+02
       3200.0000          1.00639268E+03          1.40112434E+02          1.22989532E+02
       3300.0000          1.03173050E+03          1.43903124E+02          1.26288700E+02
       3400.0000          1.05696148E+03          1.47680546E+02          1.29575961E+02
       3500.0000          1.08224325E+03          1.51445107E+02          1.32854009E+02
       3600.0000          1.10727092E+03          1.55198512E+02          1.36119572E+02
       3700.0000          1.13220373E+03          1.58940541E+02          1.39374877E+02
       3800.0000          1.15704526E+03          1.62671929E+02          1.42620545E+02
       3900.0000          1.18194505E+03          1.66390239E+02          1.45856984E+02
       4000.0000          1.20661115E+03          1.70100727E+02          1.49083797E+02
       4100.0000          1.23133889E+03          1.73799580E+02          1.52302557E+02
       4200.0000          1.25584131E+03          1.77489562E+02          1.55511005E+02
       4300.0000          1.28040775E+03          1.81171692E+02          1.58714355E+02
       4400.0000          1.30489668E+03          1.84841969E+02          1.61907373E+02
       4500.0000          1.32931025E+03          1.88503517E+02          1.65092492E+02
       4600.0000          1.35351374E+03          1.92156879E+02          1.68268047E+02
       4700.0000          1.37778496E+03          1.95803312E+02          1.71439291E+02
       4800.0000          1.40198723E+03          1.99437823E+02          1.74600292E+02
       4900.0000          1.42612247E+03          2.03065296E+02          1.77754822E+02
       5000.0000          1.45019254E+03          2.06686374E+02          1.80903405E+02
       5100.0000          1.47419920E+03          2.10299129E+02          1.84044592E+02
       5200.0000          1.49814413E+03          2.13903828E+02          1.87178614E+02
       5300.0000          1.52202888E+03          2.17503492E+02          1.90307810E+02
       5400.0000          1.54598409E+03          2.21096291E+02          1.93432824E+02
       5500.0000          1.56975137E+03          2.24679799E+02          1.96547758E+02
       5600.0000          1.59346264E+03          2.28253570E+02          1.99654334E+02
       5700.0000          1.61711941E+03          2.31826722E+02          2.02759553E+02
       5800.0000          1.64072328E+03          2.35387074E+02          2.05854123E+02
       5900.0000          1.66440035E+03          2.38946942E+02          2.08949452E+02
       6000.0000          1.68789899E+03          2.42497383E+02          2.12034738E+02
       6100.0000          1.71134820E+03          2.46041902E+02          2.15114691E+02
       6200.0000          1.73487284E+03          2.49581238E+02          2.18191852E+02
       6300.0000          1.75822368E+03          2.53116009E+02          2.21262755E+02
       6400.0000          1.78165175E+03          2.56640514E+02          2.24327016E+02
       6500.0000          1.80490906E+03          2.60158984E+02          2.27383939E+02
       6600.0000          1.82824350E+03          2.63675188E+02          2.30440337E+02
       6700.0000          1.85141129E+03          2.67185893E+02          2.33489869E+02
       6800.0000          1.87465591E+03          2.70690028E+02          2.36535587E+02
       6900.0000          1.89773734E+03          2.74188419E+02          2.39574304E+02
       7000.0000          1.92089609E+03          2.77684195E+02          2.42612239E+02
       7100.0000          1.94389375E+03          2.81176933E+02          2.45645268E+02
       7200.0000          1.96697011E+03          2.84660479E+02          2.48672521E+02
       7300.0000          1.98988658E+03          2.88138548E+02          2.51693022E+02
       7400.0000          2.01288311E+03          2.91610346E+02          2.54710005E+02
       7500.0000          2.03583932E+03          2.95082956E+02          2.57726948E+02
       7600.0000          2.05864086E+03          2.98546385E+02          2.60734393E+02
       7700.0000          2.08152204E+03          3.02004231E+02          2.63738844E+02
       7800.0000          2.10436501E+03          3.05464355E+02          2.66744405E+02
       7900.0000          2.12716896E+03          3.08912340E+02          2.69740070E+02
       8000.0000          2.14982792E+03          3.12360083E+02          2.72733206E+02
       8100.0000          2.17256404E+03          3.15802664E+02          2.75723634E+02
       8200.0000          2.19526300E+03          3.19240563E+02          2.78709884E+02
       8300.0000          2.21792696E+03          3.22670839E+02          2.81689748E+02
       8400.0000          2.24044980E+03          3.26102679E+02          2.84668514E+02
       8500.0000          2.26304968E+03          3.29521403E+02          2.87638519E+02
       8600.0000          2.28561649E+03          3.32948652E+02          2.90614473E+02
       8700.0000          2.30814859E+03          3.36367182E+02          2.93583213E+02
       8800.0000          2.33064886E+03          3.39772308E+02          2.96541217E+02
       8900.0000          2.35311921E+03          3.43187206E+02          2.99506169E+02
       9000.0000          2.37555903E+03          3.46592399E+02          3.02463226E+02
       9100.0000          2.39786242E+03          3.49996694E+02          3.05417375E+02
       9200.0000          2.42024276E+03          3.53386103E+02          3.08361428E+02
       9300.0000          2.44259313E+03          3.56783197E+02          3.11310836E+02
       9400.0000          2.46491324E+03          3.60177593E+02          3.14257689E+02
       9500.0000          2.48720371E+03          3.63562368E+02          3.17196727E+02
       9600.0000          2.50946552E+03          3.66944335E+02          3.20133153E+02
       9700.0000          2.53169943E+03          3.70327264E+02          3.23069848E+02
       9800.0000          2.55390592E+03          3.73704531E+02          3.26001778E+02
       9900.0000          2.57608527E+03          3.77077979E+02          3.28930352E+02
