#Energy      Mg   Co   Ni   Cu   Zn   O  Total
         64.0000          2.22446300E+01          7.60656105E+01          8.29756420E+01          9.04219761E+01          1.00000000E+20          5.08857131E+00          3.60060611E+00
         65.0000          2.22970126E+01          7.53633190E+01          8.21767425E+01          8.95184567E+01          1.00000000E+20          5.12541408E+00          3.61579864E+00
         65.9990          2.23512228E+01          7.46850137E+01          8.14048113E+01          8.86451403E+01          1.00000000E+20          5.16236110E+00          3.63101771E+00
         66.0000          2.23512780E+01          7.46843461E+01          8.14040513E+01          8.86442804E+01          1.00000000E+20          5.16239816E+00          3.63103296E+00
         66.0010          2.23513332E+01          7.46836784E+01          8.14032914E+01          8.86434205E+01          1.00000000E+20          5.16243521E+00          3.63104821E+00
         67.0000          2.24073401E+01          7.40276529E+01          8.06564010E+01          8.77981399E+01          1.00000000E+20          5.19951657E+00          3.64630405E+00
         67.9990          2.24650593E+01          7.33928864E+01          7.99334041E+01          8.69796107E+01          1.00000000E+20          5.23672547E+00          3.66159190E+00
         68.0000          2.24651179E+01          7.33922614E+01          7.99326920E+01          8.69788044E+01          1.00000000E+20          5.23676278E+00          3.66160722E+00
         68.0010          2.24651765E+01          7.33916363E+01          7.99319800E+01          8.69779980E+01          1.00000000E+20          5.23680009E+00          3.66162254E+00
         69.0000          2.25245348E+01          7.27772496E+01          7.92318885E+01          8.61851138E+01          1.00000000E+20          5.27413062E+00          3.67693815E+00
         70.0000          2.25855186E+01          7.21817481E+01          7.85530131E+01          8.54159741E+01          1.00000000E+20          5.31161429E+00          3.69229278E+00
         71.0000          2.26480013E+01          7.16049359E+01          7.78951433E+01          8.46703526E+01          1.00000000E+20          5.34920828E+00          3.70766738E+00
         72.0000          2.27119186E+01          7.10460376E+01          7.72574077E+01          8.39472733E+01          1.00000000E+20          5.38690743E+00          3.72305844E+00
         72.9990          2.27771434E+01          7.05048532E+01          7.66395910E+01          8.32465047E+01          1.00000000E+20          5.42466901E+00          3.73844732E+00
         73.0000          2.27772094E+01          7.05043198E+01          7.66389819E+01          8.32458138E+01          1.00000000E+20          5.42470686E+00          3.73846273E+00
         73.0010          2.27772754E+01          7.05037864E+01          7.66383729E+01          8.32451229E+01          1.00000000E+20          5.42474470E+00          3.73847814E+00
