#Energy      In   O   Sn  Total
         18.0000          6.16582577E+02          4.64579239E+00          6.36193455E+03          4.60770970E+00
         19.0000          5.85361254E+02          4.62587799E+00          6.03925592E+03          4.58612286E+00
         19.9990          5.57277718E+02          4.61263419E+00          5.74900981E+03          4.57113098E+00
         20.0000          5.57251006E+02          4.61262394E+00          5.74873375E+03          4.57111894E+00
         20.0010          5.57224298E+02          4.61261370E+00          5.74845772E+03          4.57110691E+00
         20.9990          5.31832878E+02          4.60511970E+00          5.48603717E+03          4.56179005E+00
         21.0000          5.31808641E+02          4.60511479E+00          5.48578669E+03          4.56178329E+00
         21.0010          5.31784407E+02          4.60510990E+00          5.48553623E+03          4.56177653E+00
         22.0000          5.08671396E+02          4.60259594E+00          5.24666484E+03          4.55736179E+00
         23.0000          4.87539479E+02          4.60443962E+00          5.02826928E+03          4.55722697E+00
         24.0000          4.68162964E+02          4.61011918E+00          4.82801661E+03          4.56085230E+00
         25.0000          4.50331836E+02          4.61918943E+00          4.64373598E+03          4.56779255E+00
         26.0000          4.33868324E+02          4.63127139E+00          4.47358988E+03          4.57766864E+00
         27.0000          4.18620938E+02          4.64604037E+00          4.31601248E+03          4.59015565E+00
         27.9990          4.04473444E+02          4.66319827E+00          4.16980231E+03          4.60495760E+00
         28.0000          4.04459787E+02          4.66321657E+00          4.16966117E+03          4.60497350E+00
         28.0010          4.04446131E+02          4.66323487E+00          4.16952003E+03          4.60498940E+00
         28.9990          3.91285588E+02          4.68253715E+00          4.03350976E+03          4.62186151E+00
         29.0000          3.91272855E+02          4.68255750E+00          4.03337816E+03          4.62187938E+00
         29.0010          3.91260122E+02          4.68257785E+00          4.03324657E+03          4.62189726E+00
         30.0000          3.78963030E+02          4.70385198E+00          3.90615973E+03          4.64066174E+00
         31.0000          3.67445704E+02          4.72691522E+00          3.78713137E+03          4.66113538E+00
         32.0000          3.56646820E+02          4.75158480E+00          3.67552765E+03          4.68313745E+00
         33.0000          3.46501278E+02          4.77771738E+00          3.57067575E+03          4.70652415E+00
         34.0000          3.36951621E+02          4.80518597E+00          3.47198180E+03          4.73116804E+00
         35.0000          3.27946941E+02          4.83387768E+00          3.37891966E+03          4.75695573E+00
         36.0000          3.19441973E+02          4.86369176E+00          3.29102152E+03          4.78378601E+00
         37.0000          3.11396337E+02          4.89453807E+00          3.20787002E+03          4.81156823E+00
         38.0000          3.03773890E+02          4.92633568E+00          3.12909165E+03          4.84022098E+00
         39.0000          2.96542190E+02          4.95901173E+00          3.05435111E+03          4.86967091E+00
         40.0000          2.89672029E+02          4.99250045E+00          2.98334654E+03          4.89985177E+00
         41.0000          2.83137042E+02          5.02674234E+00          2.91580547E+03          4.93070354E+00
         42.0000          2.76913370E+02          5.06168339E+00          2.85148134E+03          4.96217175E+00
         43.0000          2.70979367E+02          5.09727450E+00          2.79015043E+03          4.99420684E+00
         44.0000          2.65315350E+02          5.13347095E+00          2.73160933E+03          5.02676358E+00
         45.0000          2.59903382E+02          5.17023188E+00          2.67567268E+03          5.05980066E+00
         46.0000          2.54727079E+02          5.20751990E+00          2.62217117E+03          5.09328025E+00
         47.0000          2.49771452E+02          5.24530075E+00          2.57094989E+03          5.12716762E+00
         48.0000          2.45022755E+02          5.28354295E+00          2.52186679E+03          5.16143087E+00
         49.0000          2.40468362E+02          5.32221755E+00          2.47479139E+03          5.19604061E+00
         50.0000          2.36096654E+02          5.36129788E+00          2.42960362E+03          5.23096974E+00
         51.0000          2.31896921E+02          5.40075930E+00          2.38619283E+03          5.26619322E+00
         52.0000          2.27859276E+02          5.44057906E+00          2.34445682E+03          5.30168788E+00
         53.0000          2.23974575E+02          5.48073607E+00          2.30430110E+03          5.33743225E+00
         54.0000          2.20234349E+02          5.52121080E+00          2.26563818E+03          5.37340643E+00
         55.0000          2.16630744E+02          5.56198511E+00          2.22838688E+03          5.40959190E+00
         56.0000          2.13156467E+02          5.60304216E+00          2.19247184E+03          5.44597144E+00
         57.0000          2.09804733E+02          5.64436624E+00          2.15782296E+03          5.48252901E+00
         58.0000          2.06569225E+02          5.68594274E+00          2.12437494E+03          5.51924965E+00
         59.0000          2.03444052E+02          5.72775803E+00          2.09206694E+03          5.55611940E+00
         60.0000          2.00423716E+02          5.76979936E+00          2.06084212E+03          5.59312520E+00
         61.0000          1.97503078E+02          5.81205484E+00          2.03064739E+03          5.63025483E+00
         62.0000          1.94677330E+02          5.85451331E+00          2.00143307E+03          5.66749686E+00
         63.0000          1.91941967E+02          5.89716433E+00          1.97315261E+03          5.70484055E+00
         64.0000          1.89292767E+02          5.93999812E+00          1.94576238E+03          5.74227583E+00
         65.0000          1.86725765E+02          5.98300548E+00          1.91922142E+03          5.77979324E+00
         66.0000          1.84237238E+02          6.02617778E+00          1.89349124E+03          5.81738391E+00
         67.0000          1.81823681E+02          6.06950690E+00          1.86853565E+03          5.85503945E+00
         68.0000          1.79481799E+02          6.11298520E+00          1.84432059E+03          5.89275200E+00
         69.0000          1.77208485E+02          6.15660548E+00          1.82081395E+03          5.93051413E+00
         70.0000          1.75000808E+02          6.20036096E+00          1.79798547E+03          5.96831884E+00
         71.0000          1.72856005E+02          6.24424523E+00          1.77580657E+03          6.00615952E+00
         72.0000          1.70771463E+02          6.28825226E+00          1.75425027E+03          6.04402994E+00
         73.0000          1.68744713E+02          6.33237633E+00          1.73329106E+03          6.08192420E+00
         74.0000          1.66773420E+02          6.37661205E+00          1.71290480E+03          6.11983673E+00
         75.0000          1.64855371E+02          6.42095431E+00          1.69306864E+03          6.15776225E+00
         76.0000          1.62988471E+02          6.46539827E+00          1.67376093E+03          6.19569578E+00
         77.0000          1.61170733E+02          6.50993936E+00          1.65496114E+03          6.23363258E+00
         78.0000          1.59400271E+02          6.55457322E+00          1.63664978E+03          6.27156817E+00
         79.0000          1.57675295E+02          6.59929575E+00          1.61880837E+03          6.30949831E+00
         80.0000          1.55994105E+02          6.64410302E+00          1.60141931E+03          6.34741896E+00
         81.0000          1.54355082E+02          6.68899133E+00          1.58446591E+03          6.38532631E+00
         81.9990          1.52758268E+02          6.73391215E+00          1.56794860E+03          6.42317885E+00
         82.0000          1.52756689E+02          6.73395716E+00          1.56793228E+03          6.42321673E+00
         82.0010          1.52755111E+02          6.73400216E+00          1.56791595E+03          6.42325461E+00
         83.0000          1.51197461E+02          6.77899714E+00          1.55180326E+03          6.46108676E+00
         84.0000          1.49676002E+02          6.82410808E+00          1.53606446E+03          6.49893315E+00
         85.0000          1.48190984E+02          6.86928695E+00          1.52070214E+03          6.53675276E+00
         86.0000          1.46741138E+02          6.91453086E+00          1.50570320E+03          6.57454265E+00
         87.0000          1.45325254E+02          6.95983705E+00          1.49105513E+03          6.61230001E+00
         88.0000          1.43942177E+02          7.00520289E+00          1.47674600E+03          6.65002216E+00
         89.0000          1.42590805E+02          7.05062589E+00          1.46276443E+03          6.68770654E+00
         89.9990          1.41271389E+02          7.09605814E+00          1.44911302E+03          6.72531313E+00
         90.0000          1.41270084E+02          7.09610364E+00          1.44909951E+03          6.72535076E+00
         90.0010          1.41268778E+02          7.09614915E+00          1.44908600E+03          6.72538838E+00
         91.0000          1.39979004E+02          7.14163388E+00          1.43574082E+03          6.76295248E+00
         92.0000          1.38716601E+02          7.18721443E+00          1.42267842E+03          6.80050954E+00
         92.9990          1.37483175E+02          7.23279754E+00          1.40991539E+03          6.83798234E+00
         93.0000          1.37481954E+02          7.23284319E+00          1.40990276E+03          6.83801982E+00
         93.0010          1.37480732E+02          7.23288884E+00          1.40989012E+03          6.83805731E+00
         94.0000          1.36274177E+02          7.27851820E+00          1.39740470E+03          6.87548135E+00
         95.0000          1.35092424E+02          7.32423753E+00          1.38517551E+03          6.91289223E+00
         96.0000          1.33935884E+02          7.36999939E+00          1.37320680E+03          6.95025065E+00
         97.0000          1.32803778E+02          7.41580202E+00          1.36149052E+03          6.98755491E+00
         98.0000          1.31695360E+02          7.46164377E+00          1.35001898E+03          7.02480335E+00
         99.0000          1.30609914E+02          7.50752304E+00          1.33878475E+03          7.06199442E+00
        100.0000          1.29546752E+02          7.55343829E+00          1.32778075E+03          7.09912664E+00
        101.9990          1.27485672E+02          7.64532499E+00          1.30644683E+03          7.17317195E+00
        102.0010          1.27483652E+02          7.64541698E+00          1.30642591E+03          7.17324591E+00
        110.0000          1.20007257E+02          8.01427624E+00          1.22902380E+03          7.46693189E+00
        120.0000          1.12106426E+02          8.47742446E+00          1.14719641E+03          7.82765748E+00
        125.9990          1.07991000E+02          8.75603050E+00          1.10455790E+03          8.04037081E+00
        126.0010          1.07989696E+02          8.75612346E+00          1.10454439E+03          8.04044125E+00
        130.0000          1.05466468E+02          8.94208055E+00          1.07839570E+03          8.18064248E+00
        140.0000          9.98173066E+01          9.40769114E+00          1.01983159E+03          8.52552252E+00
        140.9990          9.92992822E+01          9.45424201E+00          1.01445968E+03          8.55952314E+00
        141.0010          9.92982529E+01          9.45433521E+00          1.01444900E+03          8.55959112E+00
        150.0000          9.49607419E+01          9.87386697E+00          9.69456587E+02          8.86213577E+00
        160.0000          9.07480335E+01          1.03403299E+01          9.25734144E+02          9.19046191E+00
        170.0000          8.70653795E+01          1.08068789E+01          8.87488649E+02          9.51058068E+00
        180.0000          8.38242293E+01          1.12733673E+01          8.53805344E+02          9.82264306E+00
        190.0000          8.09546502E+01          1.17396877E+01          8.23961802E+02          1.01268504E+01
        200.0000          7.84006811E+01          1.22057610E+01          7.97379921E+02          1.04234393E+01
        210.0000          7.61170113E+01          1.26715294E+01          7.73591622E+02          1.07126698E+01
        220.0000          7.40665637E+01          1.31369508E+01          7.52213876E+02          1.09948173E+01
        230.0000          7.22187076E+01          1.36019949E+01          7.32930245E+02          1.12701655E+01
        240.0000          7.05479175E+01          1.40666404E+01          7.15477025E+02          1.15390014E+01
        250.0000          6.90327534E+01          1.45308728E+01          6.99632718E+02          1.18016117E+01
        260.0000          6.76550757E+01          1.49946829E+01          6.85209916E+02          1.20582796E+01
        270.0000          6.63994350E+01          1.54580655E+01          6.72049003E+02          1.23092825E+01
        280.0000          6.52525919E+01          1.59210185E+01          6.60013190E+02          1.25548908E+01
        290.0000          6.42031363E+01          1.63835422E+01          6.48984586E+02          1.27953661E+01
        300.0000          6.32411829E+01          1.68456387E+01          6.38861049E+02          1.30309608E+01
        310.0000          6.23581248E+01          1.73073116E+01          6.29553646E+02          1.32619173E+01
        320.0000          6.15464343E+01          1.77685654E+01          6.20984591E+02          1.34884679E+01
        330.0000          6.07994992E+01          1.82294056E+01          6.13085556E+02          1.37108344E+01
        340.0000          6.01114884E+01          1.86898382E+01          6.05796280E+02          1.39292283E+01
        350.0000          5.94772396E+01          1.91498695E+01          5.99063415E+02          1.41438507E+01
        360.0000          5.88921673E+01          1.96095064E+01          5.92839569E+02          1.43548930E+01
        370.0000          5.83521839E+01          2.00687556E+01          5.87082496E+02          1.45625362E+01
        380.0000          5.78536348E+01          2.05276244E+01          5.81754421E+02          1.47669524E+01
        390.0000          5.73932426E+01          2.09861197E+01          5.76821466E+02          1.49683041E+01
        400.0000          5.69680596E+01          2.14442487E+01          5.72253163E+02          1.51667452E+01
        410.0000          5.65754279E+01          2.19020183E+01          5.68022035E+02          1.53624212E+01
        420.0000          5.62129449E+01          2.23594356E+01          5.64103241E+02          1.55554695E+01
        430.0000          5.58784330E+01          2.28165074E+01          5.60474271E+02          1.57460198E+01
        440.0000          5.55699145E+01          2.32732405E+01          5.57114676E+02          1.59341946E+01
        446.9990          5.53684751E+01          2.35927100E+01          5.54913508E+02          1.60645472E+01
        447.0010          5.53684192E+01          2.35928013E+01          5.54912896E+02          1.60645843E+01
        450.0000          5.52855893E+01          2.37296415E+01          5.54005842E+02          1.61201095E+01
        454.9990          5.51520065E+01          2.39576739E+01          5.52540382E+02          1.62122355E+01
        455.0010          5.51519542E+01          2.39577651E+01          5.52539807E+02          1.62122722E+01
        460.0000          5.50238153E+01          2.41857169E+01          5.51130788E+02          1.63038736E+01
        470.0000          5.47830916E+01          2.46414731E+01          5.48473994E+02          1.64855897E+01
        480.0000          5.45620438E+01          2.50969163E+01          5.46021246E+02          1.66653550E+01
        488.9990          5.43788990E+01          2.55065070E+01          5.43977651E+02          1.68255337E+01
        489.0010          5.43788598E+01          2.55065980E+01          5.43977213E+02          1.68255692E+01
        490.0000          5.43594110E+01          2.55520525E+01          5.43759503E+02          1.68432609E+01
        496.9990          5.42279190E+01          2.58704228E+01          5.42283680E+02          1.69667175E+01
        497.0010          5.42278826E+01          2.58705138E+01          5.42283270E+02          1.69667527E+01
        500.0000          5.41740347E+01          2.60068876E+01          5.41676781E+02          1.70193938E+01
        510.0000          5.40048480E+01          2.64614273E+01          5.39762047E+02          1.71938352E+01
        520.0000          5.38508677E+01          2.69156772E+01          5.38005125E+02          1.73666619E+01
        530.0000          5.37111855E+01          2.73696428E+01          5.36396622E+02          1.75379464E+01
        537.9990          5.36091801E+01          2.77325688E+01          5.35210962E+02          1.76738929E+01
        538.0010          5.36091557E+01          2.77326595E+01          5.35210677E+02          1.76739268E+01
        540.0000          5.35849616E+01          2.78233293E+01          5.34927848E+02          1.77077573E+01
        550.0000          5.34714181E+01          2.82767420E+01          5.33590754E+02          1.78761591E+01
        560.0000          5.33698339E+01          2.87298856E+01          5.32377876E+02          1.80432127E+01
        570.0000          5.32795389E+01          2.91827652E+01          5.31282283E+02          1.82089759E+01
        580.0000          5.31999104E+01          2.96353854E+01          5.30297528E+02          1.83735029E+01
        590.0000          5.31303686E+01          3.00877509E+01          5.29417611E+02          1.85368452E+01
        600.0000          5.30703732E+01          3.05398659E+01          5.28636937E+02          1.86990514E+01
        610.0000          5.30194199E+01          3.09917350E+01          5.27950286E+02          1.88601675E+01
        620.0000          5.29770376E+01          3.14433623E+01          5.27352782E+02          1.90202367E+01
        630.0000          5.29427859E+01          3.18947518E+01          5.26839864E+02          1.91793004E+01
        640.0000          5.29162525E+01          3.23459076E+01          5.26407263E+02          1.93373973E+01
        650.0000          5.28970510E+01          3.27968334E+01          5.26050977E+02          1.94945642E+01
        660.0000          5.28848191E+01          3.32475332E+01          5.25767254E+02          1.96508362E+01
        668.9990          5.28794880E+01          3.36529276E+01          5.25571046E+02          1.97907275E+01
        669.0010          5.28794874E+01          3.36530176E+01          5.25571009E+02          1.97907585E+01
        670.0000          5.28792165E+01          3.36980104E+01          5.25552570E+02          1.98062461E+01
        680.0000          5.28799237E+01          3.41482687E+01          5.25403613E+02          1.99608254E+01
        690.0000          5.28866398E+01          3.45983114E+01          5.25317268E+02          2.01146037E+01
        700.0000          5.28990821E+01          3.50481421E+01          5.25290604E+02          2.02676091E+01
        706.9990          5.29110534E+01          3.53628541E+01          5.25305959E+02          2.03742523E+01
        707.0010          5.29110571E+01          3.53629440E+01          5.25305967E+02          2.03742828E+01
        710.0000          5.29169838E+01          3.54977638E+01          5.25320858E+02          2.04198686E+01
        718.9990          5.29375526E+01          3.59022025E+01          5.25394584E+02          2.05562700E+01
        719.0010          5.29375576E+01          3.59022923E+01          5.25394606E+02          2.05563003E+01
        720.0000          5.29400936E+01          3.59471798E+01          5.25405425E+02          2.05714073E+01
        730.0000          5.29681743E+01          3.63963932E+01          5.25541847E+02          2.07222495E+01
        740.0000          5.30010020E+01          3.68454070E+01          5.25727802E+02          2.08724180E+01
        750.0000          5.30383651E+01          3.72942242E+01          5.25961098E+02          2.10219345E+01
        760.0000          5.30800634E+01          3.77428475E+01          5.26239659E+02          2.11708199E+01
        760.9990          5.30844599E+01          3.77876544E+01          5.26269898E+02          2.11856597E+01
        761.0010          5.30844687E+01          3.77877441E+01          5.26269959E+02          2.11856894E+01
        770.0000          5.31259076E+01          3.81912797E+01          5.26561522E+02          2.13190938E+01
        780.0000          5.31757183E+01          3.86395237E+01          5.26924826E+02          2.14667750E+01
        790.0000          5.32293257E+01          3.90875819E+01          5.27327810E+02          2.16138812E+01
        800.0000          5.32865686E+01          3.95354570E+01          5.27768803E+02          2.17604296E+01
        810.0000          5.33472940E+01          3.99831515E+01          5.28246218E+02          2.19064363E+01
        820.0000          5.34113571E+01          4.04306678E+01          5.28758551E+02          2.20519167E+01
        829.9990          5.34786129E+01          4.08779637E+01          5.29304315E+02          2.21968713E+01
        830.0000          5.34786198E+01          4.08780084E+01          5.29304371E+02          2.21968857E+01
        830.0010          5.34786267E+01          4.08780531E+01          5.29304427E+02          2.21969002E+01
        840.0000          5.35489511E+01          4.13251755E+01          5.29882318E+02          2.23413573E+01
        850.0000          5.36222266E+01          4.17721713E+01          5.30491100E+02          2.24853449E+01
        860.0000          5.36983275E+01          4.22189982E+01          5.31129486E+02          2.26288613E+01
        870.0000          5.37771411E+01          4.26656583E+01          5.31796303E+02          2.27719188E+01
        880.0000          5.38585599E+01          4.31121537E+01          5.32490437E+02          2.29145292E+01
        887.9990          5.39254932E+01          4.34691881E+01          5.33064622E+02          2.30282888E+01
        888.0010          5.39255101E+01          4.34692774E+01          5.33064767E+02          2.30283172E+01
        890.0000          5.39424814E+01          4.35584864E+01          5.33210823E+02          2.30567036E+01
        900.0000          5.40288079E+01          4.40046585E+01          5.33956446E+02          2.31984527E+01
        910.0000          5.41174462E+01          4.44506719E+01          5.34726339E+02          2.33397869E+01
        920.0000          5.42083075E+01          4.48965285E+01          5.35519579E+02          2.34807159E+01
        930.0000          5.43013067E+01          4.53422302E+01          5.36335282E+02          2.36212491E+01
        940.0000          5.43963628E+01          4.57877789E+01          5.37172606E+02          2.37613957E+01
        950.0000          5.44933983E+01          4.62331763E+01          5.38030745E+02          2.39011643E+01
        960.0000          5.45923390E+01          4.66784242E+01          5.38908929E+02          2.40405631E+01
        970.0000          5.46931140E+01          4.71235243E+01          5.39806422E+02          2.41796001E+01
        980.0000          5.47956555E+01          4.75684783E+01          5.40722516E+02          2.43182830E+01
        990.0000          5.48998986E+01          4.80132877E+01          5.41656539E+02          2.44566192E+01
       1000.0000          5.50057811E+01          4.84579543E+01          5.42607841E+02          2.45946157E+01
       1100.0000          5.61427989E+01          5.28970898E+01          5.52946733E+02          2.59572734E+01
       1200.0000          5.73912924E+01          5.73234694E+01          5.64467564E+02          2.72920633E+01
       1300.0000          5.87185483E+01          6.17382415E+01          5.76829241E+02          2.86029528E+01
       1400.0000          6.01018943E+01          6.61423585E+01          5.89794907E+02          2.98928463E+01
       1500.0000          6.15252432E+01          7.05366204E+01          6.03196137E+02          3.11639487E+01
       1600.0000          6.29769551E+01          7.49217061E+01          6.16910774E+02          3.24179888E+01
       1700.0000          6.44484703E+01          7.92981982E+01          6.30848739E+02          3.36563613E+01
       1800.0000          6.59334081E+01          8.36666004E+01          6.44942682E+02          3.48802198E+01
       1900.0000          6.74269586E+01          8.80273518E+01          6.59141656E+02          3.60905383E+01
       2000.0000          6.89254630E+01          9.23808382E+01          6.73406752E+02          3.72881541E+01
       2100.0000          7.04261175E+01          9.67274004E+01          6.87708019E+02          3.84737977E+01
       2200.0000          7.19267617E+01          1.01067341E+02          7.02022264E+02          3.96481146E+01
       2300.0000          7.34257252E+01          1.05400932E+02          7.16331439E+02          4.08116808E+01
       2400.0000          7.49217134E+01          1.09728416E+02          7.30621461E+02          4.19650153E+01
       2500.0000          7.64137230E+01          1.14050011E+02          7.44881325E+02          4.31085885E+01
       2600.0000          7.79009787E+01          1.18365918E+02          7.59102436E+02          4.42428302E+01
       2700.0000          7.93828836E+01          1.22676316E+02          7.73278099E+02          4.53681346E+01
       2800.0000          8.08589823E+01          1.26981371E+02          7.87403121E+02          4.64848651E+01
       2900.0000          8.23289317E+01          1.31281234E+02          8.01473514E+02          4.75933583E+01
       3000.0000          8.37924781E+01          1.35576043E+02          8.15486246E+02          4.86939265E+01
       3100.0000          8.52494396E+01          1.39865927E+02          8.29439062E+02          4.97868609E+01
       3200.0000          8.66996918E+01          1.44151003E+02          8.43330325E+02          5.08724336E+01
       3300.0000          8.81431564E+01          1.48431381E+02          8.57158904E+02          5.19508992E+01
       3400.0000          8.95797923E+01          1.52707161E+02          8.70924074E+02          5.30224970E+01
       3500.0000          9.10095885E+01          1.56978440E+02          8.84625439E+02          5.40874517E+01
       3600.0000          9.24325580E+01          1.61245304E+02          8.98262873E+02          5.51459754E+01
       3700.0000          9.38487328E+01          1.65507837E+02          9.11836463E+02          5.61982679E+01
       3734.9990          9.43427831E+01          1.66998672E+02          9.16572046E+02          5.65651230E+01
       3735.0010          9.43428113E+01          1.66998757E+02          9.16572316E+02          5.65651439E+01
       3800.0000          9.52581607E+01          1.69766114E+02          9.25346474E+02          5.72445183E+01
       3900.0000          9.66609017E+01          1.74020209E+02          9.38793311E+02          5.82849057E+01
       3932.9990          9.71223364E+01          1.75423112E+02          9.43216855E+02          5.86269657E+01
       3933.0010          9.71223643E+01          1.75423197E+02          9.43217123E+02          5.86269864E+01
       3942.9990          9.72620274E+01          1.75848159E+02          9.44556020E+02          5.87305018E+01
       3943.0010          9.72620554E+01          1.75848244E+02          9.44556287E+02          5.87305225E+01
       4000.0000          9.80570252E+01          1.78270189E+02          9.52177491E+02          5.93195996E+01
       4100.0000          9.94466086E+01          1.82516119E+02          9.65499622E+02          6.03487612E+01
       4159.9990          1.00277240E+02          1.85061715E+02          9.73463265E+02          6.09636564E+01
       4160.0010          1.00277268E+02          1.85061800E+02          9.73463530E+02          6.09636769E+01
       4200.0000          1.00829735E+02          1.86758057E+02          9.78760384E+02          6.13725436E+01
       4241.9990          1.01408729E+02          1.88538453E+02          9.84311646E+02          6.18009531E+01
       4242.0010          1.01408757E+02          1.88538538E+02          9.84311910E+02          6.18009735E+01
       4300.0000          1.02206491E+02          1.90996062E+02          9.91960510E+02          6.23910922E+01
       4400.0000          1.03576969E+02          1.95230187E+02          1.00510078E+03          6.34045460E+01
       4468.9990          1.04518972E+02          1.98149456E+02          1.01413296E+03          6.41009177E+01
       4469.0010          1.04518999E+02          1.98149540E+02          1.01413322E+03          6.41009379E+01
       4500.0000          1.04941260E+02          1.99460483E+02          1.01818200E+03          6.44130369E+01
       4600.0000          1.06299459E+02          2.03686998E+02          1.03120500E+03          6.54166914E+01
       4700.0000          1.07651662E+02          2.07909777E+02          1.04417064E+03          6.64156299E+01
       4800.0000          1.08997963E+02          2.12128866E+02          1.05707977E+03          6.74099676E+01
       4900.0000          1.10338459E+02          2.16344303E+02          1.06993324E+03          6.83998148E+01
       5000.0000          1.11673243E+02          2.20556130E+02          1.08273194E+03          6.93852772E+01
       5100.0000          1.13002410E+02          2.24764384E+02          1.09547671E+03          7.03664559E+01
       5200.0000          1.14326053E+02          2.28969100E+02          1.10816841E+03          7.13434481E+01
       5300.0000          1.15644264E+02          2.33170313E+02          1.12080789E+03          7.23163467E+01
       5400.0000          1.16957132E+02          2.37368056E+02          1.13339598E+03          7.32852415E+01
       5500.0000          1.18264747E+02          2.41562360E+02          1.14593352E+03          7.42502182E+01
       5600.0000          1.19567196E+02          2.45753255E+02          1.15842130E+03          7.52113597E+01
       5700.0000          1.20864564E+02          2.49940770E+02          1.17086015E+03          7.61687455E+01
       5800.0000          1.22156935E+02          2.54124933E+02          1.18325083E+03          7.71224522E+01
       5900.0000          1.23444392E+02          2.58305769E+02          1.19559412E+03          7.80725537E+01
       6000.0000          1.24727015E+02          2.62483306E+02          1.20789079E+03          7.90191210E+01
       6100.0000          1.26004882E+02          2.66657567E+02          1.22014156E+03          7.99622230E+01
       6200.0000          1.27278070E+02          2.70828576E+02          1.23234717E+03          8.09019257E+01
       6300.0000          1.28546656E+02          2.74996356E+02          1.24450833E+03          8.18382932E+01
       6400.0000          1.29810711E+02          2.79160929E+02          1.25662574E+03          8.27713872E+01
       6500.0000          1.31070308E+02          2.83322316E+02          1.26870006E+03          8.37012674E+01
       6600.0000          1.32325517E+02          2.87480537E+02          1.28073198E+03          8.46279915E+01
       6700.0000          1.33576406E+02          2.91635613E+02          1.29272214E+03          8.55516154E+01
       6800.0000          1.34823042E+02          2.95787562E+02          1.30467117E+03          8.64721932E+01
       6900.0000          1.36065490E+02          2.99936403E+02          1.31657970E+03          8.73897771E+01
       7000.0000          1.37303815E+02          3.04082154E+02          1.32844834E+03          8.83044178E+01
       7100.0000          1.38538077E+02          3.08224832E+02          1.34027767E+03          8.92161645E+01
       7200.0000          1.39768338E+02          3.12364455E+02          1.35206828E+03          9.01250648E+01
       7300.0000          1.40994656E+02          3.16501037E+02          1.36382073E+03          9.10311647E+01
       7400.0000          1.42217091E+02          3.20634596E+02          1.37553557E+03          9.19345092E+01
       7500.0000          1.43435697E+02          3.24765147E+02          1.38721335E+03          9.28351417E+01
       7600.0000          1.44650530E+02          3.28892703E+02          1.39885460E+03          9.37331044E+01
       7700.0000          1.45861645E+02          3.33017281E+02          1.41045982E+03          9.46284382E+01
       7800.0000          1.47069092E+02          3.37138893E+02          1.42202952E+03          9.55211831E+01
       7900.0000          1.48272924E+02          3.41257554E+02          1.43356420E+03          9.64113777E+01
       8000.0000          1.49473191E+02          3.45373277E+02          1.44506433E+03          9.72990596E+01
       8100.0000          1.50669941E+02          3.49486075E+02          1.45653039E+03          9.81842654E+01
       8200.0000          1.51863222E+02          3.53595961E+02          1.46796283E+03          9.90670307E+01
       8300.0000          1.53053081E+02          3.57702946E+02          1.47936210E+03          9.99473902E+01
       8400.0000          1.54239564E+02          3.61807042E+02          1.49072864E+03          1.00825378E+02
       8500.0000          1.55422714E+02          3.65908262E+02          1.50206288E+03          1.01701026E+02
       8600.0000          1.56602576E+02          3.70006617E+02          1.51336523E+03          1.02574366E+02
       8700.0000          1.57779192E+02          3.74102118E+02          1.52463612E+03          1.03445431E+02
