#Energy      Si   O  Total
        310.0000          2.11403221E+01          1.42709606E+01          8.51967738E+00
        320.0000          2.15692652E+01          1.46512933E+01          8.72481384E+00
        330.0000          2.19982422E+01          1.50312848E+01          8.92968046E+00
        340.0000          2.24271815E+01          1.54109402E+01          9.13427883E+00
        350.0000          2.28560223E+01          1.57902649E+01          9.33861109E+00
        360.0000          2.32847127E+01          1.61692642E+01          9.54267987E+00
        370.0000          2.37132084E+01          1.65479439E+01          9.74648813E+00
        380.0000          2.41414719E+01          1.69263099E+01          9.95003911E+00
        390.0000          2.45694711E+01          1.73043680E+01          1.01533363E+01
        400.0000          2.49971788E+01          1.76821240E+01          1.03563832E+01
        410.0000          2.54245720E+01          1.80595836E+01          1.05591836E+01
        420.0000          2.58516312E+01          1.84367528E+01          1.07617414E+01
        430.0000          2.62783399E+01          1.88136371E+01          1.09640602E+01
        440.0000          2.67046844E+01          1.91902421E+01          1.11661440E+01
        450.0000          2.71306533E+01          1.95665733E+01          1.13679966E+01
        460.0000          2.75562371E+01          1.99426360E+01          1.15696220E+01
        470.0000          2.79814282E+01          2.03184355E+01          1.17710238E+01
        480.0000          2.84062204E+01          2.06939768E+01          1.19722058E+01
        490.0000          2.88306090E+01          2.10692651E+01          1.21731719E+01
        500.0000          2.92545901E+01          2.14443050E+01          1.23739256E+01
        510.0000          2.96781613E+01          2.18191014E+01          1.25744705E+01
        520.0000          3.01013206E+01          2.21936589E+01          1.27748103E+01
        530.0000          3.05240670E+01          2.25679819E+01          1.29749484E+01
        537.9990          3.08619244E+01          2.28672371E+01          1.31348959E+01
        538.0010          3.08620089E+01          2.28673119E+01          1.31349359E+01
        540.0000          3.09464002E+01          2.29420749E+01          1.31748881E+01
        550.0000          3.13683205E+01          2.33159419E+01          1.33746330E+01
        560.0000          3.17898286E+01          2.36895872E+01          1.35741861E+01
        570.0000          3.22109256E+01          2.40630147E+01          1.37735508E+01
        580.0000          3.26316132E+01          2.44362284E+01          1.39727302E+01
        590.0000          3.30518932E+01          2.48092320E+01          1.41717273E+01
        600.0000          3.34717678E+01          2.51820292E+01          1.43705451E+01
        610.0000          3.38912396E+01          2.55546235E+01          1.45691865E+01
        620.0000          3.43103110E+01          2.59270184E+01          1.47676544E+01
        630.0000          3.47289850E+01          2.62992173E+01          1.49659516E+01
        640.0000          3.51472646E+01          2.66712234E+01          1.51640808E+01
        650.0000          3.55651529E+01          2.70430400E+01          1.53620446E+01
        660.0000          3.59826532E+01          2.74146701E+01          1.55598457E+01
        670.0000          3.63997688E+01          2.77861167E+01          1.57574865E+01
        680.0000          3.68165030E+01          2.81573828E+01          1.59549695E+01
        690.0000          3.72328594E+01          2.85284712E+01          1.61522972E+01
        700.0000          3.76488415E+01          2.88993847E+01          1.63494719E+01
        710.0000          3.80644529E+01          2.92701260E+01          1.65464959E+01
        720.0000          3.84796971E+01          2.96406976E+01          1.67433714E+01
        730.0000          3.88945778E+01          3.00111021E+01          1.69401005E+01
        740.0000          3.93090985E+01          3.03813421E+01          1.71366856E+01
        750.0000          3.97232628E+01          3.07514199E+01          1.73331285E+01
        760.0000          4.01370744E+01          3.11213378E+01          1.75294315E+01
        770.0000          4.05505370E+01          3.14910983E+01          1.77255963E+01
        780.0000          4.09636539E+01          3.18607034E+01          1.79216251E+01
        790.0000          4.13764289E+01          3.22301555E+01          1.81175196E+01
        800.0000          4.17888655E+01          3.25994565E+01          1.83132818E+01
        810.0000          4.22009671E+01          3.29686086E+01          1.85089134E+01
        820.0000          4.26127374E+01          3.33376138E+01          1.87044162E+01
        830.0000          4.30241797E+01          3.37064741E+01          1.88997920E+01
        840.0000          4.34352975E+01          3.40751913E+01          1.90950424E+01
        850.0000          4.38460941E+01          3.44437673E+01          1.92901691E+01
        860.0000          4.42565730E+01          3.48122040E+01          1.94851736E+01
        870.0000          4.46667374E+01          3.51805032E+01          1.96800577E+01
        880.0000          4.50765907E+01          3.55486666E+01          1.98748227E+01
        890.0000          4.54861361E+01          3.59166958E+01          2.00694702E+01
        900.0000          4.58953768E+01          3.62845926E+01          2.02640018E+01
        910.0000          4.63043159E+01          3.66523585E+01          2.04584188E+01
        920.0000          4.67129566E+01          3.70199951E+01          2.06527226E+01
        930.0000          4.71213019E+01          3.73875041E+01          2.08469147E+01
        940.0000          4.75293550E+01          3.77548868E+01          2.10409963E+01
        950.0000          4.79371188E+01          3.81221449E+01          2.12349689E+01
        960.0000          4.83445962E+01          3.84892796E+01          2.14288337E+01
        970.0000          4.87517903E+01          3.88562925E+01          2.16225919E+01
        980.0000          4.91587037E+01          3.92231848E+01          2.18162449E+01
        990.0000          4.95653395E+01          3.95899580E+01          2.20097938E+01
       1000.0000          4.99717004E+01          3.99566134E+01          2.22032398E+01
       1100.0000          5.40207760E+01          4.36169582E+01          2.41322881E+01
       1200.0000          5.80451487E+01          4.72667850E+01          2.60522000E+01
       1300.0000          6.20470096E+01          5.09070406E+01          2.79638458E+01
       1400.0000          6.60282464E+01          5.45385105E+01          2.98679528E+01
       1500.0000          6.99904913E+01          5.81618542E+01          3.17651365E+01
       1600.0000          7.39351628E+01          6.17776316E+01          3.36559222E+01
       1700.0000          7.78634998E+01          6.53863230E+01          3.55407626E+01
       1800.0000          8.17765907E+01          6.89883437E+01          3.74200511E+01
       1843.9990          8.34937334E+01          7.05711786E+01          3.82452506E+01
       1844.0010          8.34938114E+01          7.05712506E+01          3.82452881E+01
       1900.0000          8.56753964E+01          7.25840560E+01          3.92941317E+01
       2000.0000          8.95607700E+01          7.61737778E+01          4.11633077E+01
       2100.0000          9.34334723E+01          7.97577901E+01          4.30278478E+01
       2200.0000          9.72941848E+01          8.33363429E+01          4.48879912E+01
       2300.0000          1.01143521E+02          8.69096594E+01          4.67439526E+01
