#Energy      Al  Total
         92.0000          5.28398176E+00          5.28398176E+00
         93.0000          5.29845462E+00          5.29845462E+00
         94.0000          5.31309404E+00          5.31309404E+00
         95.0000          5.32789443E+00          5.32789443E+00
         96.0000          5.34285043E+00          5.34285043E+00
         97.0000          5.35795692E+00          5.35795692E+00
         98.0000          5.37320896E+00          5.37320896E+00
         99.0000          5.38860182E+00          5.38860182E+00
        100.0000          5.40413098E+00          5.40413098E+00
        110.0000          5.56603918E+00          5.56603918E+00
        120.0000          5.73769654E+00          5.73769654E+00
        120.9990          5.75527844E+00          5.75527844E+00
        121.0010          5.75531371E+00          5.75531371E+00
        130.0000          5.91662997E+00          5.91662997E+00
        140.0000          6.10108402E+00          6.10108402E+00
        150.0000          6.28978189E+00          6.28978189E+00
        160.0000          6.48177552E+00          6.48177552E+00
        170.0000          6.67634847E+00          6.67634847E+00
        180.0000          6.87295101E+00          6.87295101E+00
        190.0000          7.07115572E+00          7.07115572E+00
        200.0000          7.27062642E+00          7.27062642E+00
        210.0000          7.47109604E+00          7.47109604E+00
        220.0000          7.67235049E+00          7.67235049E+00
        230.0000          7.87421683E+00          7.87421683E+00
        240.0000          8.07655437E+00          8.07655437E+00
        250.0000          8.27924799E+00          8.27924799E+00
        260.0000          8.48220300E+00          8.48220300E+00
        270.0000          8.68534114E+00          8.68534114E+00
        280.0000          8.88859748E+00          8.88859748E+00
        290.0000          9.09191797E+00          9.09191797E+00
        300.0000          9.29525753E+00          9.29525753E+00
        310.0000          9.49857842E+00          9.49857842E+00
        320.0000          9.70184907E+00          9.70184907E+00
        330.0000          9.90504298E+00          9.90504298E+00
        340.0000          1.01081379E+01          1.01081379E+01
        350.0000          1.03111153E+01          1.03111153E+01
        360.0000          1.05139596E+01          1.05139596E+01
        370.0000          1.07166577E+01          1.07166577E+01
        380.0000          1.09191989E+01          1.09191989E+01
        390.0000          1.11215740E+01          1.11215740E+01
        400.0000          1.13237758E+01          1.13237758E+01
        410.0000          1.15257982E+01          1.15257982E+01
        420.0000          1.17276362E+01          1.17276362E+01
        430.0000          1.19292860E+01          1.19292860E+01
        440.0000          1.21307445E+01          1.21307445E+01
        450.0000          1.23320094E+01          1.23320094E+01
        460.0000          1.25330791E+01          1.25330791E+01
        470.0000          1.27339523E+01          1.27339523E+01
        480.0000          1.29346284E+01          1.29346284E+01
        490.0000          1.31351071E+01          1.31351071E+01
        500.0000          1.33353885E+01          1.33353885E+01
        510.0000          1.35354729E+01          1.35354729E+01
        520.0000          1.37353610E+01          1.37353610E+01
        530.0000          1.39350537E+01          1.39350537E+01
        540.0000          1.41345518E+01          1.41345518E+01
        550.0000          1.43338568E+01          1.43338568E+01
        560.0000          1.45329697E+01          1.45329697E+01
        570.0000          1.47318922E+01          1.47318922E+01
        580.0000          1.49306257E+01          1.49306257E+01
        590.0000          1.51291719E+01          1.51291719E+01
        600.0000          1.53275325E+01          1.53275325E+01
        610.0000          1.55257091E+01          1.55257091E+01
        620.0000          1.57237036E+01          1.57237036E+01
        630.0000          1.59215178E+01          1.59215178E+01
        640.0000          1.61191535E+01          1.61191535E+01
        650.0000          1.63166127E+01          1.63166127E+01
        660.0000          1.65138971E+01          1.65138971E+01
        670.0000          1.67110088E+01          1.67110088E+01
        680.0000          1.69079495E+01          1.69079495E+01
        690.0000          1.71047212E+01          1.71047212E+01
        700.0000          1.73013257E+01          1.73013257E+01
        710.0000          1.74977649E+01          1.74977649E+01
        720.0000          1.76940408E+01          1.76940408E+01
        730.0000          1.78901551E+01          1.78901551E+01
        740.0000          1.80861097E+01          1.80861097E+01
        750.0000          1.82819064E+01          1.82819064E+01
        760.0000          1.84775470E+01          1.84775470E+01
        770.0000          1.86730334E+01          1.86730334E+01
        780.0000          1.88683672E+01          1.88683672E+01
        790.0000          1.90635503E+01          1.90635503E+01
        800.0000          1.92585843E+01          1.92585843E+01
        810.0000          1.94534710E+01          1.94534710E+01
        820.0000          1.96482120E+01          1.96482120E+01
        830.0000          1.98428090E+01          1.98428090E+01
        840.0000          2.00372637E+01          2.00372637E+01
        850.0000          2.02315776E+01          2.02315776E+01
        860.0000          2.04257523E+01          2.04257523E+01
        870.0000          2.06197893E+01          2.06197893E+01
        880.0000          2.08136903E+01          2.08136903E+01
        890.0000          2.10074568E+01          2.10074568E+01
        900.0000          2.12010902E+01          2.12010902E+01
        910.0000          2.13945919E+01          2.13945919E+01
        920.0000          2.15879635E+01          2.15879635E+01
        930.0000          2.17812064E+01          2.17812064E+01
        940.0000          2.19743220E+01          2.19743220E+01
        950.0000          2.21673115E+01          2.21673115E+01
        960.0000          2.23601765E+01          2.23601765E+01
        970.0000          2.25529182E+01          2.25529182E+01
        980.0000          2.27455379E+01          2.27455379E+01
        990.0000          2.29380370E+01          2.29380370E+01
       1000.0000          2.31304166E+01          2.31304166E+01
       1100.0000          2.50479102E+01          2.50479102E+01
       1200.0000          2.69547137E+01          2.69547137E+01
       1300.0000          2.88517979E+01          2.88517979E+01
       1400.0000          3.07399912E+01          3.07399912E+01
       1500.0000          3.26200050E+01          3.26200050E+01
       1563.9990          3.38191897E+01          3.38191897E+01
       1564.0010          3.38192272E+01          3.38192272E+01
       1600.0000          3.44924537E+01          3.44924537E+01
       1700.0000          3.63578721E+01          3.63578721E+01
       1800.0000          3.82167278E+01          3.82167278E+01
       1900.0000          4.00694330E+01          4.00694330E+01
       2000.0000          4.19163523E+01          4.19163523E+01
       2100.0000          4.37578104E+01          4.37578104E+01
       2200.0000          4.55940975E+01          4.55940975E+01
       2300.0000          4.74254745E+01          4.74254745E+01
       2400.0000          4.92521767E+01          4.92521767E+01
       2500.0000          5.10744172E+01          5.10744172E+01
       2600.0000          5.28923897E+01          5.28923897E+01
       2700.0000          5.47062710E+01          5.47062710E+01
       2800.0000          5.65162227E+01          5.65162227E+01
       2900.0000          5.83223933E+01          5.83223933E+01
       3000.0000          6.01249193E+01          6.01249193E+01
       3100.0000          6.19239268E+01          6.19239268E+01
       3200.0000          6.37195325E+01          6.37195325E+01
       3300.0000          6.55118445E+01          6.55118445E+01
       3400.0000          6.73009633E+01          6.73009633E+01
       3500.0000          6.90869825E+01          6.90869825E+01
       3600.0000          7.08699895E+01          7.08699895E+01
       3700.0000          7.26500660E+01          7.26500660E+01
       3800.0000          7.44272884E+01          7.44272884E+01
       3900.0000          7.62017285E+01          7.62017285E+01
       4000.0000          7.79734538E+01          7.79734538E+01
       4100.0000          7.97425278E+01          7.97425278E+01
       4200.0000          8.15090103E+01          8.15090103E+01
       4300.0000          8.32729578E+01          8.32729578E+01
       4400.0000          8.50344236E+01          8.50344236E+01
       4500.0000          8.67934583E+01          8.67934583E+01
       4600.0000          8.85501099E+01          8.85501099E+01
       4700.0000          9.03044236E+01          9.03044236E+01
       4800.0000          9.20564427E+01          9.20564427E+01
       4900.0000          9.38062082E+01          9.38062082E+01
       5000.0000          9.55537591E+01          9.55537591E+01
       5100.0000          9.72991326E+01          9.72991326E+01
       5200.0000          9.90423643E+01          9.90423643E+01
       5300.0000          1.00783488E+02          1.00783488E+02
       5400.0000          1.02522536E+02          1.02522536E+02
       5500.0000          1.04259539E+02          1.04259539E+02
       5600.0000          1.05994528E+02          1.05994528E+02
       5700.0000          1.07727529E+02          1.07727529E+02
       5800.0000          1.09458571E+02          1.09458571E+02
       5900.0000          1.11187680E+02          1.11187680E+02
       6000.0000          1.12914880E+02          1.12914880E+02
       6100.0000          1.14640196E+02          1.14640196E+02
       6200.0000          1.16363652E+02          1.16363652E+02
       6300.0000          1.18085268E+02          1.18085268E+02
       6400.0000          1.19805067E+02          1.19805067E+02
       6500.0000          1.21523069E+02          1.21523069E+02
       6600.0000          1.23239294E+02          1.23239294E+02
       6700.0000          1.24953762E+02          1.24953762E+02
       6800.0000          1.26666491E+02          1.26666491E+02
       6900.0000          1.28377498E+02          1.28377498E+02
       7000.0000          1.30086802E+02          1.30086802E+02
       7100.0000          1.31794419E+02          1.31794419E+02
       7200.0000          1.33500364E+02          1.33500364E+02
       7300.0000          1.35204654E+02          1.35204654E+02
       7400.0000          1.36907304E+02          1.36907304E+02
       7500.0000          1.38608329E+02          1.38608329E+02
       7600.0000          1.40307742E+02          1.40307742E+02
       7700.0000          1.42005558E+02          1.42005558E+02
       7800.0000          1.43701789E+02          1.43701789E+02
       7900.0000          1.45396450E+02          1.45396450E+02
       8000.0000          1.47089551E+02          1.47089551E+02
       8100.0000          1.48781107E+02          1.48781107E+02
       8200.0000          1.50471128E+02          1.50471128E+02
       8300.0000          1.52159626E+02          1.52159626E+02
       8400.0000          1.53846612E+02          1.53846612E+02
       8500.0000          1.55532097E+02          1.55532097E+02
       8600.0000          1.57216093E+02          1.57216093E+02
       8700.0000          1.58898608E+02          1.58898608E+02
       8800.0000          1.60579654E+02          1.60579654E+02
       8900.0000          1.62259240E+02          1.62259240E+02
       9000.0000          1.63937376E+02          1.63937376E+02
       9100.0000          1.65614071E+02          1.65614071E+02
       9200.0000          1.67289333E+02          1.67289333E+02
       9300.0000          1.68963173E+02          1.68963173E+02
       9400.0000          1.70635598E+02          1.70635598E+02
       9500.0000          1.72306617E+02          1.72306617E+02
       9600.0000          1.73976239E+02          1.73976239E+02
       9700.0000          1.75644471E+02          1.75644471E+02
       9800.0000          1.77311321E+02          1.77311321E+02
       9900.0000          1.78976797E+02          1.78976797E+02
      10000.0000          1.80640907E+02          1.80640907E+02
      11000.0000          1.97208378E+02          1.97208378E+02
      12000.0000          2.13646365E+02          2.13646365E+02
      13000.0000          2.29960251E+02          2.29960251E+02
      14000.0000          2.46154537E+02          2.46154537E+02
      15000.0000          2.62233057E+02          2.62233057E+02
      16000.0000          2.78199125E+02          2.78199125E+02
      17000.0000          2.94055649E+02          2.94055649E+02
      18000.0000          3.09805209E+02          3.09805209E+02
      19000.0000          3.25450117E+02          3.25450117E+02
      20000.0000          3.40992468E+02          3.40992468E+02
      21000.0000          3.56434172E+02          3.56434172E+02
      22000.0000          3.71776987E+02          3.71776987E+02
      23000.0000          3.87022540E+02          3.87022540E+02
      24000.0000          4.02172345E+02          4.02172345E+02
      25000.0000          4.17227820E+02          4.17227820E+02
      26000.0000          4.32190299E+02          4.32190299E+02
      27000.0000          4.47061042E+02          4.47061042E+02
      28000.0000          4.61841244E+02          4.61841244E+02
      29000.0000          4.76532042E+02          4.76532042E+02
      30000.0000          4.91134523E+02          4.91134523E+02
      31000.0000          5.05649727E+02          5.05649727E+02
      32000.0000          5.20078651E+02          5.20078651E+02
      33000.0000          5.34422258E+02          5.34422258E+02
      34000.0000          5.48681474E+02          5.48681474E+02
      35000.0000          5.62857194E+02          5.62857194E+02
      36000.0000          5.76950286E+02          5.76950286E+02
      37000.0000          5.90961591E+02          5.90961591E+02
      38000.0000          6.04891925E+02          6.04891925E+02
      39000.0000          6.18742083E+02          6.18742083E+02
      40000.0000          6.32512839E+02          6.32512839E+02
      41000.0000          6.46204946E+02          6.46204946E+02
      42000.0000          6.59819141E+02          6.59819141E+02
      43000.0000          6.73356142E+02          6.73356142E+02
      44000.0000          6.86816653E+02          6.86816653E+02
      45000.0000          7.00201362E+02          7.00201362E+02
      46000.0000          7.13510943E+02          7.13510943E+02
      47000.0000          7.26746057E+02          7.26746057E+02
      48000.0000          7.39907350E+02          7.39907350E+02
      49000.0000          7.52995460E+02          7.52995460E+02
      50000.0000          7.66011010E+02          7.66011010E+02
