#Energy      O  Total
        260.0000          2.38336025E+00          2.38336025E+00
        270.0000          2.45701354E+00          2.45701354E+00
        280.0000          2.53059854E+00          2.53059854E+00
        290.0000          2.60411530E+00          2.60411530E+00
        300.0000          2.67756417E+00          2.67756417E+00
        310.0000          2.75094570E+00          2.75094570E+00
        320.0000          2.82426062E+00          2.82426062E+00
        330.0000          2.89750980E+00          2.89750980E+00
        340.0000          2.97069418E+00          2.97069418E+00
        350.0000          3.04381480E+00          3.04381480E+00
        360.0000          3.11687271E+00          3.11687271E+00
        370.0000          3.18986902E+00          3.18986902E+00
        380.0000          3.26280484E+00          3.26280484E+00
        390.0000          3.33568131E+00          3.33568131E+00
        400.0000          3.40849954E+00          3.40849954E+00
        410.0000          3.48126066E+00          3.48126066E+00
        420.0000          3.55396578E+00          3.55396578E+00
        430.0000          3.62661599E+00          3.62661599E+00
        440.0000          3.69921235E+00          3.69921235E+00
        450.0000          3.77175594E+00          3.77175594E+00
        460.0000          3.84424777E+00          3.84424777E+00
        470.0000          3.91668886E+00          3.91668886E+00
        480.0000          3.98908020E+00          3.98908020E+00
        490.0000          4.06142274E+00          4.06142274E+00
        500.0000          4.13371742E+00          4.13371742E+00
        510.0000          4.20596516E+00          4.20596516E+00
        520.0000          4.27816684E+00          4.27816684E+00
        530.0000          4.35032332E+00          4.35032332E+00
        537.9990          4.40800932E+00          4.40800932E+00
        538.0010          4.40802374E+00          4.40802374E+00
        540.0000          4.42243544E+00          4.42243544E+00
        550.0000          4.49450403E+00          4.49450403E+00
        560.0000          4.56652987E+00          4.56652987E+00
        570.0000          4.63851373E+00          4.63851373E+00
        580.0000          4.71045637E+00          4.71045637E+00
        590.0000          4.78235851E+00          4.78235851E+00
        600.0000          4.85422085E+00          4.85422085E+00
        610.0000          4.92604410E+00          4.92604410E+00
        620.0000          4.99782891E+00          4.99782891E+00
        630.0000          5.06957593E+00          5.06957593E+00
        640.0000          5.14128580E+00          5.14128580E+00
        650.0000          5.21295913E+00          5.21295913E+00
        660.0000          5.28459651E+00          5.28459651E+00
        670.0000          5.35619852E+00          5.35619852E+00
        680.0000          5.42776574E+00          5.42776574E+00
        690.0000          5.49929870E+00          5.49929870E+00
        700.0000          5.57079793E+00          5.57079793E+00
        710.0000          5.64226397E+00          5.64226397E+00
        720.0000          5.71369731E+00          5.71369731E+00
        730.0000          5.78509845E+00          5.78509845E+00
        740.0000          5.85646786E+00          5.85646786E+00
        750.0000          5.92780600E+00          5.92780600E+00
        760.0000          5.99911334E+00          5.99911334E+00
        770.0000          6.07039032E+00          6.07039032E+00
        780.0000          6.14163736E+00          6.14163736E+00
        790.0000          6.21285488E+00          6.21285488E+00
        800.0000          6.28404330E+00          6.28404330E+00
        810.0000          6.35520301E+00          6.35520301E+00
        820.0000          6.42633440E+00          6.42633440E+00
        830.0000          6.49743785E+00          6.49743785E+00
        840.0000          6.56851372E+00          6.56851372E+00
        850.0000          6.63956239E+00          6.63956239E+00
        860.0000          6.71058420E+00          6.71058420E+00
        870.0000          6.78157949E+00          6.78157949E+00
        880.0000          6.85254860E+00          6.85254860E+00
        890.0000          6.92349185E+00          6.92349185E+00
        900.0000          6.99440958E+00          6.99440958E+00
        910.0000          7.06530208E+00          7.06530208E+00
        920.0000          7.13616966E+00          7.13616966E+00
        930.0000          7.20701263E+00          7.20701263E+00
        940.0000          7.27783127E+00          7.27783127E+00
        950.0000          7.34862586E+00          7.34862586E+00
