#Energy      B   N  Total
         67.0000          2.32213608E+00          1.96251542E+00          1.06361693E+00
         68.0000          2.34635658E+00          1.97879793E+00          1.07347970E+00
         69.0000          2.37058659E+00          1.99510996E+00          1.08335082E+00
         70.0000          2.39482550E+00          2.01145004E+00          1.09322983E+00
         71.0000          2.41907272E+00          2.02781675E+00          1.10311628E+00
         72.0000          2.44332771E+00          2.04420878E+00          1.11300977E+00
         73.0000          2.46758996E+00          2.06062487E+00          1.12290990E+00
         74.0000          2.49185899E+00          2.07706385E+00          1.13281629E+00
         75.0000          2.51613435E+00          2.09352461E+00          1.14272861E+00
         76.0000          2.54041560E+00          2.11000609E+00          1.15264652E+00
         77.0000          2.56470235E+00          2.12650729E+00          1.16256971E+00
         78.0000          2.58899421E+00          2.14302726E+00          1.17249789E+00
         79.0000          2.61329083E+00          2.15956512E+00          1.18243077E+00
         80.0000          2.63759186E+00          2.17612000E+00          1.19236809E+00
         81.0000          2.66189698E+00          2.19269111E+00          1.20230959E+00
         82.0000          2.68620588E+00          2.20927768E+00          1.21225505E+00
         83.0000          2.71051829E+00          2.22587897E+00          1.22220424E+00
         84.0000          2.73483392E+00          2.24249431E+00          1.23215694E+00
         85.0000          2.75915253E+00          2.25912303E+00          1.24211294E+00
         86.0000          2.78347386E+00          2.27576450E+00          1.25207206E+00
         87.0000          2.80779768E+00          2.29241813E+00          1.26203411E+00
         88.0000          2.83212378E+00          2.30908336E+00          1.27199891E+00
         89.0000          2.85645195E+00          2.32575964E+00          1.28196631E+00
         90.0000          2.88078199E+00          2.34244647E+00          1.29193614E+00
         91.0000          2.90511371E+00          2.35914334E+00          1.30190824E+00
         92.0000          2.92944693E+00          2.37584979E+00          1.31188249E+00
         93.0000          2.95378149E+00          2.39256537E+00          1.32185874E+00
         94.0000          2.97811723E+00          2.40928967E+00          1.33183686E+00
         95.0000          3.00245399E+00          2.42602226E+00          1.34181672E+00
         96.0000          3.02679162E+00          2.44276276E+00          1.35179822E+00
         97.0000          3.05113000E+00          2.45951081E+00          1.36178123E+00
         98.0000          3.07546899E+00          2.47626603E+00          1.37176565E+00
         99.0000          3.09980846E+00          2.49302810E+00          1.38175137E+00
        100.0000          3.12414831E+00          2.50979669E+00          1.39173831E+00
        110.0000          3.36754470E+00          2.67777860E+00          1.49165540E+00
        120.0000          3.61088273E+00          2.84613987E+00          1.59161241E+00
        130.0000          3.85410830E+00          3.01471327E+00          1.69156111E+00
        140.0000          4.09718836E+00          3.18338553E+00          1.79147006E+00
        150.0000          4.34010325E+00          3.35207864E+00          1.89131869E+00
        160.0000          4.58284185E+00          3.52073827E+00          1.99109362E+00
        170.0000          4.82539871E+00          3.68932639E+00          2.09078632E+00
        180.0000          5.06777204E+00          3.85781630E+00          2.19039158E+00
        190.0000          5.30996252E+00          4.02618942E+00          2.28990649E+00
        191.9990          5.35835465E+00          4.05983199E+00          2.30978855E+00
        192.0010          5.35840306E+00          4.05986565E+00          2.30980844E+00
        200.0000          5.55197245E+00          4.19443293E+00          2.38932972E+00
        210.0000          5.79380516E+00          4.36253826E+00          2.48866109E+00
        220.0000          6.03546463E+00          4.53049992E+00          2.58790117E+00
        230.0000          6.27695525E+00          4.69831468E+00          2.68705109E+00
        240.0000          6.51828162E+00          4.86598101E+00          2.78611234E+00
        250.0000          6.75944839E+00          5.03349864E+00          2.88508667E+00
        260.0000          7.00046025E+00          5.20086818E+00          2.98397598E+00
        270.0000          7.24132178E+00          5.36809095E+00          3.08278226E+00
        280.0000          7.48203749E+00          5.53516877E+00          3.18150757E+00
        290.0000          7.72261174E+00          5.70210381E+00          3.28015396E+00
        300.0000          7.96304875E+00          5.86889847E+00          3.37872346E+00
        310.0000          8.20335257E+00          6.03555537E+00          3.47721812E+00
        320.0000          8.44352712E+00          6.20207720E+00          3.57563989E+00
        330.0000          8.68357613E+00          6.36846673E+00          3.67399071E+00
        340.0000          8.92350319E+00          6.53472676E+00          3.77227246E+00
        350.0000          9.16331173E+00          6.70086009E+00          3.87048694E+00
        360.0000          9.40300502E+00          6.86686950E+00          3.96863592E+00
        370.0000          9.64258620E+00          7.03275773E+00          4.06672108E+00
        380.0000          9.88205827E+00          7.19852747E+00          4.16474406E+00
        390.0000          1.01214241E+01          7.36418137E+00          4.26270643E+00
        400.0000          1.03606864E+01          7.52972201E+00          4.36060970E+00
        402.9990          1.04324214E+01          7.57934595E+00          4.38995959E+00
        403.0010          1.04324692E+01          7.57937904E+00          4.38997916E+00
        410.0000          1.05998478E+01          7.69515191E+00          4.45845534E+00
        420.0000          1.08389109E+01          7.86047350E+00          4.55624474E+00
        430.0000          1.10778779E+01          8.02568917E+00          4.65397925E+00
        440.0000          1.13167512E+01          8.19080123E+00          4.75166016E+00
        450.0000          1.15555331E+01          8.35581191E+00          4.84928873E+00
        460.0000          1.17942255E+01          8.52072339E+00          4.94686615E+00
        470.0000          1.20328306E+01          8.68553775E+00          5.04439358E+00
        480.0000          1.22713502E+01          8.85025705E+00          5.14187212E+00
        490.0000          1.25097862E+01          9.01488323E+00          5.23930284E+00
        500.0000          1.27481403E+01          9.17941822E+00          5.33668677E+00
        510.0000          1.29864144E+01          9.34386386E+00          5.43402490E+00
        520.0000          1.32246100E+01          9.50822192E+00          5.53131819E+00
        530.0000          1.34627287E+01          9.67249413E+00          5.62856755E+00
        540.0000          1.37007721E+01          9.83668217E+00          5.72577386E+00
        550.0000          1.39387415E+01          1.00007877E+01          5.82293799E+00
        560.0000          1.41766384E+01          1.01648121E+01          5.92006076E+00
        570.0000          1.44144641E+01          1.03287572E+01          6.01714295E+00
        580.0000          1.46522200E+01          1.04926242E+01          6.11418534E+00
        590.0000          1.48899073E+01          1.06564146E+01          6.21118868E+00
        600.0000          1.51275272E+01          1.08201298E+01          6.30815367E+00
        610.0000          1.53650809E+01          1.09837711E+01          6.40508100E+00
        620.0000          1.56025695E+01          1.11473398E+01          6.50197135E+00
        630.0000          1.58399941E+01          1.13108372E+01          6.59882537E+00
        640.0000          1.60773558E+01          1.14742644E+01          6.69564367E+00
        650.0000          1.63146555E+01          1.16376227E+01          6.79242687E+00
        660.0000          1.65518943E+01          1.18009132E+01          6.88917554E+00
        670.0000          1.67890731E+01          1.19641370E+01          6.98589027E+00
        680.0000          1.70261929E+01          1.21272951E+01          7.08257159E+00
        690.0000          1.72632544E+01          1.22903887E+01          7.17922005E+00
        700.0000          1.75002586E+01          1.24534187E+01          7.27583615E+00
        710.0000          1.77372064E+01          1.26163861E+01          7.37242040E+00
        720.0000          1.79740985E+01          1.27792919E+01          7.46897329E+00
        730.0000          1.82109357E+01          1.29421370E+01          7.56549529E+00
        740.0000          1.84477188E+01          1.31049223E+01          7.66198685E+00
        750.0000          1.86844484E+01          1.32676487E+01          7.75844842E+00
        760.0000          1.89211255E+01          1.34303170E+01          7.85488044E+00
        770.0000          1.91577505E+01          1.35929280E+01          7.95128332E+00
        780.0000          1.93943243E+01          1.37554826E+01          8.04765746E+00
        790.0000          1.96308474E+01          1.39179816E+01          8.14400328E+00
        800.0000          1.98673206E+01          1.40804257E+01          8.24032115E+00
        810.0000          2.01037443E+01          1.42428157E+01          8.33661144E+00
        820.0000          2.03401193E+01          1.44051522E+01          8.43287453E+00
        830.0000          2.05764461E+01          1.45674361E+01          8.52911077E+00
        840.0000          2.08127253E+01          1.47296680E+01          8.62532050E+00
        850.0000          2.10489575E+01          1.48918485E+01          8.72150406E+00
        860.0000          2.12851431E+01          1.50539783E+01          8.81766178E+00
        870.0000          2.15212827E+01          1.52160581E+01          8.91379399E+00
        880.0000          2.17573769E+01          1.53780884E+01          9.00990098E+00
        890.0000          2.19934261E+01          1.55400699E+01          9.10598307E+00
        900.0000          2.22294307E+01          1.57020032E+01          9.20204055E+00
        910.0000          2.24653914E+01          1.58638889E+01          9.29807370E+00
        920.0000          2.27013086E+01          1.60257275E+01          9.39408283E+00
        930.0000          2.29371826E+01          1.61875195E+01          9.49006818E+00
        940.0000          2.31730140E+01          1.63492656E+01          9.58603005E+00
        950.0000          2.34088031E+01          1.65109661E+01          9.68196867E+00
        960.0000          2.36445504E+01          1.66726218E+01          9.77788433E+00
        970.0000          2.38802564E+01          1.68342329E+01          9.87377725E+00
        980.0000          2.41159213E+01          1.69958002E+01          9.96964769E+00
        990.0000          2.43515456E+01          1.71573239E+01          1.00654959E+01
       1000.0000          2.45871297E+01          1.73188046E+01          1.01613221E+01
       1100.0000          2.69408363E+01          1.89313422E+01          1.11184210E+01
       1200.0000          2.92908825E+01          2.05400259E+01          1.20735404E+01
       1300.0000          3.16375369E+01          2.21451895E+01          1.30268452E+01
       1400.0000          3.39810200E+01          2.37471089E+01          1.39784711E+01
       1500.0000          3.63215162E+01          2.53460150E+01          1.49285317E+01
       1600.0000          3.86591807E+01          2.69421037E+01          1.58771229E+01
       1700.0000          4.09941464E+01          2.85355425E+01          1.68243268E+01
       1800.0000          4.33265276E+01          3.01264761E+01          1.77702140E+01
       1900.0000          4.56564237E+01          3.17150305E+01          1.87148463E+01
       2000.0000          4.79839218E+01          3.33013164E+01          1.96582774E+01
       2100.0000          5.03090988E+01          3.48854313E+01          2.06005551E+01
       2200.0000          5.26320228E+01          3.64674619E+01          2.15417215E+01
       2300.0000          5.49527548E+01          3.80474858E+01          2.24818145E+01
       2400.0000          5.72713494E+01          3.96255723E+01          2.34208678E+01
       2500.0000          5.95878557E+01          4.12017844E+01          2.43589121E+01
       2600.0000          6.19023185E+01          4.27761786E+01          2.52959749E+01
       2700.0000          6.42147783E+01          4.43488067E+01          2.62320813E+01
       2800.0000          6.65252720E+01          4.59197157E+01          2.71672543E+01
       2900.0000          6.88338337E+01          4.74889488E+01          2.81015149E+01
       3000.0000          7.11404944E+01          4.90565455E+01          2.90348823E+01
       3100.0000          7.34452830E+01          5.06225425E+01          2.99673742E+01
       3200.0000          7.57482259E+01          5.21869733E+01          3.08990072E+01
       3300.0000          7.80493478E+01          5.37498692E+01          3.18297964E+01
       3400.0000          8.03486716E+01          5.53112592E+01          3.27597558E+01
       3500.0000          8.26462186E+01          5.68711703E+01          3.36888986E+01
       3600.0000          8.49420087E+01          5.84296276E+01          3.46172372E+01
       3700.0000          8.72360605E+01          5.99866546E+01          3.55447828E+01
       3800.0000          8.95283914E+01          6.15422734E+01          3.64715463E+01
       3900.0000          9.18190180E+01          6.30965045E+01          3.73975376E+01
       4000.0000          9.41079556E+01          6.46493675E+01          3.83227664E+01
       4100.0000          9.63952188E+01          6.62008805E+01          3.92472414E+01
       4200.0000          9.86808214E+01          6.77510609E+01          4.01709711E+01
       4300.0000          1.00964776E+02          6.92999248E+01          4.10939634E+01
       4400.0000          1.03247096E+02          7.08474876E+01          4.20162259E+01
       4500.0000          1.05527792E+02          7.23937640E+01          4.29377656E+01
       4600.0000          1.07806876E+02          7.39387678E+01          4.38585893E+01
       4700.0000          1.10084357E+02          7.54825120E+01          4.47787035E+01
       4800.0000          1.12360247E+02          7.70250092E+01          4.56981142E+01
       4900.0000          1.14634555E+02          7.85662712E+01          4.66168272E+01
       5000.0000          1.16907289E+02          8.01063093E+01          4.75348481E+01
       5100.0000          1.19178460E+02          8.16451344E+01          4.84521822E+01
       5200.0000          1.21448074E+02          8.31827568E+01          4.93688345E+01
       5300.0000          1.23716141E+02          8.47191862E+01          5.02848099E+01
       5400.0000          1.25982668E+02          8.62544323E+01          5.12001129E+01
       5500.0000          1.28247662E+02          8.77885039E+01          5.21147482E+01
       5600.0000          1.30511131E+02          8.93214097E+01          5.30287198E+01
       5700.0000          1.32773081E+02          9.08531582E+01          5.39420319E+01
       5800.0000          1.35033519E+02          9.23837571E+01          5.48546885E+01
       5900.0000          1.37292452E+02          9.39132143E+01          5.57666932E+01
       6000.0000          1.39549885E+02          9.54415372E+01          5.66780498E+01
       6100.0000          1.41805825E+02          9.69687327E+01          5.75887618E+01
       6200.0000          1.44060276E+02          9.84948079E+01          5.84988325E+01
       6300.0000          1.46313246E+02          1.00019769E+02          5.94082652E+01
       6400.0000          1.48564739E+02          1.01543623E+02          6.03170630E+01
       6500.0000          1.50814760E+02          1.03066376E+02          6.12252291E+01
       6600.0000          1.53063314E+02          1.04588033E+02          6.21327663E+01
       6700.0000          1.55310407E+02          1.06108601E+02          6.30396775E+01
       6800.0000          1.57556043E+02          1.07628084E+02          6.39459655E+01
       6900.0000          1.59800226E+02          1.09146489E+02          6.48516329E+01
       7000.0000          1.62042961E+02          1.10663821E+02          6.57566824E+01
       7100.0000          1.64284253E+02          1.12180084E+02          6.66611164E+01
       7200.0000          1.66524106E+02          1.13695284E+02          6.75649373E+01
       7300.0000          1.68762524E+02          1.15209425E+02          6.84681477E+01
       7400.0000          1.70999510E+02          1.16722512E+02          6.93707497E+01
       7500.0000          1.73235069E+02          1.18234550E+02          7.02727456E+01
       7600.0000          1.75469205E+02          1.19745542E+02          7.11741376E+01
       7700.0000          1.77701921E+02          1.21255493E+02          7.20749279E+01
       7800.0000          1.79933221E+02          1.22764407E+02          7.29751184E+01
       7900.0000          1.82163109E+02          1.24272289E+02          7.38747112E+01
       8000.0000          1.84391587E+02          1.25779142E+02          7.47737083E+01
       8100.0000          1.86618660E+02          1.27284969E+02          7.56721115E+01
       8200.0000          1.88844331E+02          1.28789776E+02          7.65699228E+01
       8300.0000          1.91068603E+02          1.30293564E+02          7.74671439E+01
       8400.0000          1.93291479E+02          1.31796338E+02          7.83637767E+01
       8500.0000          1.95512962E+02          1.33298102E+02          7.92598229E+01
       8600.0000          1.97733055E+02          1.34798858E+02          8.01552841E+01
       8700.0000          1.99951762E+02          1.36298610E+02          8.10501621E+01
       8800.0000          2.02169085E+02          1.37797361E+02          8.19444585E+01
       8900.0000          2.04385027E+02          1.39295114E+02          8.28381748E+01
       9000.0000          2.06599591E+02          1.40791872E+02          8.37313127E+01
       9100.0000          2.08812780E+02          1.42287639E+02          8.46238736E+01
       9200.0000          2.11024596E+02          1.43782417E+02          8.55158590E+01
       9300.0000          2.13235042E+02          1.45276210E+02          8.64072705E+01
       9400.0000          2.15444122E+02          1.46769019E+02          8.72981094E+01
       9500.0000          2.17651836E+02          1.48260848E+02          8.81883771E+01
       9600.0000          2.19858188E+02          1.49751699E+02          8.90780751E+01
       9700.0000          2.22063181E+02          1.51241576E+02          8.99672046E+01
       9800.0000          2.24266817E+02          1.52730480E+02          9.08557671E+01
       9900.0000          2.26469098E+02          1.54218415E+02          9.17437638E+01
      10000.0000          2.28670026E+02          1.55705382E+02          9.26311960E+01
      11000.0000          2.50605434E+02          1.70522376E+02          1.01474738E+02
      12000.0000          2.72407998E+02          1.85245100E+02          1.10263095E+02
      13000.0000          2.94079646E+02          1.99875470E+02          1.18997264E+02
      14000.0000          3.15622112E+02          2.14415154E+02          1.27678124E+02
      15000.0000          3.37036984E+02          2.28865638E+02          1.36306462E+02
      16000.0000          3.58325734E+02          2.43228257E+02          1.44882995E+02
      17000.0000          3.79489743E+02          2.57504236E+02          1.53408383E+02
      18000.0000          4.00530316E+02          2.71694703E+02          1.61883242E+02
      19000.0000          4.21448694E+02          2.85800711E+02          1.70308148E+02
      20000.0000          4.42246066E+02          2.99823250E+02          1.78683649E+02
      21000.0000          4.62923578E+02          3.13763256E+02          1.87010263E+02
      22000.0000          4.83482335E+02          3.27621618E+02          1.95288488E+02
      23000.0000          5.03923408E+02          3.41399188E+02          2.03518802E+02
      24000.0000          5.24247840E+02          3.55096783E+02          2.11701666E+02
      25000.0000          5.44456644E+02          3.68715188E+02          2.19837523E+02
      26000.0000          5.64550812E+02          3.82255165E+02          2.27926807E+02
      27000.0000          5.84531312E+02          3.95717449E+02          2.35969938E+02
      28000.0000          6.04399093E+02          4.09102755E+02          2.43967324E+02
      29000.0000          6.24155086E+02          4.22411780E+02          2.51919366E+02
      30000.0000          6.43800204E+02          4.35645203E+02          2.59826452E+02
      31000.0000          6.63335345E+02          4.48803685E+02          2.67688966E+02
      32000.0000          6.82761391E+02          4.61887874E+02          2.75507282E+02
      33000.0000          7.02079211E+02          4.74898405E+02          2.83281766E+02
      34000.0000          7.21289660E+02          4.87835898E+02          2.91012779E+02
      35000.0000          7.40393582E+02          5.00700964E+02          2.98700676E+02
      36000.0000          7.59391808E+02          5.13494201E+02          3.06345806E+02
      37000.0000          7.78285158E+02          5.26216197E+02          3.13948510E+02
      38000.0000          7.97074440E+02          5.38867531E+02          3.21509126E+02
      39000.0000          8.15760454E+02          5.51448771E+02          3.29027988E+02
      40000.0000          8.34343987E+02          5.63960479E+02          3.36505422E+02
      41000.0000          8.52825818E+02          5.76403204E+02          3.43941752E+02
      42000.0000          8.71206717E+02          5.88777492E+02          3.51337297E+02
      43000.0000          8.89487444E+02          6.01083879E+02          3.58692372E+02
      44000.0000          9.07668752E+02          6.13322892E+02          3.66007286E+02
      45000.0000          9.25751382E+02          6.25495054E+02          3.73282347E+02
      46000.0000          9.43736069E+02          6.37600880E+02          3.80517858E+02
      47000.0000          9.61623541E+02          6.49640877E+02          3.87714117E+02
      48000.0000          9.79414515E+02          6.61615547E+02          3.94871420E+02
      49000.0000          9.97109704E+02          6.73525386E+02          4.01990059E+02
      50000.0000          1.01470981E+03          6.85370884E+02          4.09070323E+02
