#Energy      Sn  Total
         67.0000          1.61148171E+02          1.61148171E+02
         68.0000          1.59059791E+02          1.59059791E+02
         69.0000          1.57032507E+02          1.57032507E+02
         70.0000          1.55063709E+02          1.55063709E+02
         71.0000          1.53150934E+02          1.53150934E+02
         72.0000          1.51291854E+02          1.51291854E+02
         73.0000          1.49484268E+02          1.49484268E+02
         74.0000          1.47726095E+02          1.47726095E+02
         75.0000          1.46015365E+02          1.46015365E+02
         76.0000          1.44350210E+02          1.44350210E+02
         77.0000          1.42728859E+02          1.42728859E+02
         78.0000          1.41149632E+02          1.41149632E+02
         79.0000          1.39610934E+02          1.39610934E+02
         80.0000          1.38111249E+02          1.38111249E+02
         81.0000          1.36649137E+02          1.36649137E+02
         82.0000          1.35223226E+02          1.35223226E+02
         83.0000          1.33832211E+02          1.33832211E+02
         84.0000          1.32474849E+02          1.32474849E+02
         85.0000          1.31149956E+02          1.31149956E+02
         86.0000          1.29856402E+02          1.29856402E+02
         87.0000          1.28593108E+02          1.28593108E+02
         88.0000          1.27359046E+02          1.27359046E+02
         89.0000          1.26153232E+02          1.26153232E+02
         90.0000          1.24974728E+02          1.24974728E+02
         91.0000          1.23822635E+02          1.23822635E+02
         92.0000          1.22696094E+02          1.22696094E+02
         92.9990          1.21595372E+02          1.21595372E+02
         93.0000          1.21594282E+02          1.21594282E+02
         93.0010          1.21593192E+02          1.21593192E+02
         94.0000          1.20516412E+02          1.20516412E+02
         95.0000          1.19461729E+02          1.19461729E+02
         96.0000          1.18429511E+02          1.18429511E+02
         97.0000          1.17419064E+02          1.17419064E+02
         98.0000          1.16429723E+02          1.16429723E+02
         99.0000          1.15460850E+02          1.15460850E+02
        100.0000          1.14511831E+02          1.14511831E+02
        101.9990          1.12671929E+02          1.12671929E+02
        102.0010          1.12670125E+02          1.12670125E+02
        110.0000          1.05994733E+02          1.05994733E+02
        120.0000          9.89376915E+01          9.89376915E+01
        130.0000          9.30041096E+01          9.30041096E+01
        140.0000          8.79533634E+01          8.79533634E+01
        140.9990          8.74900736E+01          8.74900736E+01
        141.0010          8.74891530E+01          8.74891530E+01
        150.0000          8.36088708E+01          8.36088708E+01
        160.0000          7.98381150E+01          7.98381150E+01
        170.0000          7.65397077E+01          7.65397077E+01
        180.0000          7.36347575E+01          7.36347575E+01
        190.0000          7.10609601E+01          7.10609601E+01
        200.0000          6.87684583E+01          6.87684583E+01
        210.0000          6.67168834E+01          6.67168834E+01
        220.0000          6.48732018E+01          6.48732018E+01
        230.0000          6.32101231E+01          6.32101231E+01
        240.0000          6.17049046E+01          6.17049046E+01
        250.0000          6.03384435E+01          6.03384435E+01
        260.0000          5.90945775E+01          5.90945775E+01
        270.0000          5.79595405E+01          5.79595405E+01
        280.0000          5.69215356E+01          5.69215356E+01
        290.0000          5.59703954E+01          5.59703954E+01
        300.0000          5.50973109E+01          5.50973109E+01
        310.0000          5.42946122E+01          5.42946122E+01
        320.0000          5.35555910E+01          5.35555910E+01
        330.0000          5.28743543E+01          5.28743543E+01
        340.0000          5.22457051E+01          5.22457051E+01
        350.0000          5.16650425E+01          5.16650425E+01
        360.0000          5.11282791E+01          5.11282791E+01
        370.0000          5.06317717E+01          5.06317717E+01
        380.0000          5.01722624E+01          5.01722624E+01
        390.0000          4.97468294E+01          4.97468294E+01
        400.0000          4.93528451E+01          4.93528451E+01
        410.0000          4.89879398E+01          4.89879398E+01
        420.0000          4.86499712E+01          4.86499712E+01
        430.0000          4.83369978E+01          4.83369978E+01
        440.0000          4.80472562E+01          4.80472562E+01
        450.0000          4.77791409E+01          4.77791409E+01
        460.0000          4.75311876E+01          4.75311876E+01
        470.0000          4.73020576E+01          4.73020576E+01
        480.0000          4.70905252E+01          4.70905252E+01
        488.9990          4.69142793E+01          4.69142793E+01
        489.0010          4.69142416E+01          4.69142416E+01
        490.0000          4.68954657E+01          4.68954657E+01
        496.9990          4.67681861E+01          4.67681861E+01
        497.0010          4.67681508E+01          4.67681508E+01
        500.0000          4.67158454E+01          4.67158454E+01
        510.0000          4.65507129E+01          4.65507129E+01
        520.0000          4.63991907E+01          4.63991907E+01
        530.0000          4.62604685E+01          4.62604685E+01
        540.0000          4.61337970E+01          4.61337970E+01
        550.0000          4.60184819E+01          4.60184819E+01
        560.0000          4.59138797E+01          4.59138797E+01
        570.0000          4.58193924E+01          4.58193924E+01
        580.0000          4.57344642E+01          4.57344642E+01
        590.0000          4.56585774E+01          4.56585774E+01
        600.0000          4.55912497E+01          4.55912497E+01
        610.0000          4.55320309E+01          4.55320309E+01
        620.0000          4.54805003E+01          4.54805003E+01
        630.0000          4.54362648E+01          4.54362648E+01
        640.0000          4.53989559E+01          4.53989559E+01
        650.0000          4.53682288E+01          4.53682288E+01
        660.0000          4.53437596E+01          4.53437596E+01
        670.0000          4.53252446E+01          4.53252446E+01
        680.0000          4.53123981E+01          4.53123981E+01
        690.0000          4.53049515E+01          4.53049515E+01
        700.0000          4.53026519E+01          4.53026519E+01
        710.0000          4.53052610E+01          4.53052610E+01
        718.9990          4.53116195E+01          4.53116195E+01
        719.0010          4.53116213E+01          4.53116213E+01
        720.0000          4.53125544E+01          4.53125544E+01
        730.0000          4.53243198E+01          4.53243198E+01
        740.0000          4.53403572E+01          4.53403572E+01
        750.0000          4.53604773E+01          4.53604773E+01
        760.0000          4.53845013E+01          4.53845013E+01
        760.9990          4.53871091E+01          4.53871091E+01
        761.0010          4.53871144E+01          4.53871144E+01
        770.0000          4.54122596E+01          4.54122596E+01
        780.0000          4.54435921E+01          4.54435921E+01
        790.0000          4.54783467E+01          4.54783467E+01
        800.0000          4.55163792E+01          4.55163792E+01
        810.0000          4.55575530E+01          4.55575530E+01
        820.0000          4.56017381E+01          4.56017381E+01
        830.0000          4.56488113E+01          4.56488113E+01
        840.0000          4.56986552E+01          4.56986552E+01
        850.0000          4.57511584E+01          4.57511584E+01
        860.0000          4.58062147E+01          4.58062147E+01
        870.0000          4.58637231E+01          4.58637231E+01
        880.0000          4.59235872E+01          4.59235872E+01
        887.9990          4.59731067E+01          4.59731067E+01
        888.0010          4.59731193E+01          4.59731193E+01
        890.0000          4.59857155E+01          4.59857155E+01
        900.0000          4.60500203E+01          4.60500203E+01
        910.0000          4.61164183E+01          4.61164183E+01
        920.0000          4.61848296E+01          4.61848296E+01
        930.0000          4.62551783E+01          4.62551783E+01
        940.0000          4.63273917E+01          4.63273917E+01
        950.0000          4.64014002E+01          4.64014002E+01
        960.0000          4.64771375E+01          4.64771375E+01
        970.0000          4.65545399E+01          4.65545399E+01
        980.0000          4.66335467E+01          4.66335467E+01
        990.0000          4.67140996E+01          4.67140996E+01
       1000.0000          4.67961429E+01          4.67961429E+01
       1100.0000          4.76878001E+01          4.76878001E+01
       1200.0000          4.86813915E+01          4.86813915E+01
       1300.0000          4.97475000E+01          4.97475000E+01
       1400.0000          5.08656983E+01          5.08656983E+01
       1500.0000          5.20214609E+01          5.20214609E+01
       1600.0000          5.32042527E+01          5.32042527E+01
       1700.0000          5.44063050E+01          5.44063050E+01
       1800.0000          5.56218093E+01          5.56218093E+01
       1900.0000          5.68463718E+01          5.68463718E+01
       2000.0000          5.80766368E+01          5.80766368E+01
       2100.0000          5.93100215E+01          5.93100215E+01
       2200.0000          6.05445253E+01          6.05445253E+01
       2300.0000          6.17785918E+01          6.17785918E+01
       2400.0000          6.30110066E+01          6.30110066E+01
       2500.0000          6.42408204E+01          6.42408204E+01
       2600.0000          6.54672921E+01          6.54672921E+01
       2700.0000          6.66898441E+01          6.66898441E+01
       2800.0000          6.79080288E+01          6.79080288E+01
       2900.0000          6.91215021E+01          6.91215021E+01
       3000.0000          7.03300026E+01          7.03300026E+01
       3100.0000          7.15333356E+01          7.15333356E+01
       3200.0000          7.27313602E+01          7.27313602E+01
       3300.0000          7.39239787E+01          7.39239787E+01
       3400.0000          7.51111286E+01          7.51111286E+01
       3500.0000          7.62927758E+01          7.62927758E+01
       3600.0000          7.74689094E+01          7.74689094E+01
       3700.0000          7.86395369E+01          7.86395369E+01
       3800.0000          7.98046812E+01          7.98046812E+01
       3900.0000          8.09643771E+01          8.09643771E+01
       3932.9990          8.13458769E+01          8.13458769E+01
       3933.0010          8.13459000E+01          8.13459000E+01
       4000.0000          8.21186693E+01          8.21186693E+01
       4100.0000          8.32676102E+01          8.32676102E+01
       4159.9990          8.39544189E+01          8.39544189E+01
       4160.0010          8.39544417E+01          8.39544417E+01
       4200.0000          8.44112584E+01          8.44112584E+01
       4300.0000          8.55496773E+01          8.55496773E+01
       4400.0000          8.66829338E+01          8.66829338E+01
       4468.9990          8.74618961E+01          8.74618961E+01
       4469.0010          8.74619186E+01          8.74619186E+01
       4500.0000          8.78110979E+01          8.78110979E+01
       4600.0000          8.89342411E+01          8.89342411E+01
       4700.0000          9.00524369E+01          9.00524369E+01
       4800.0000          9.11657590E+01          9.11657590E+01
       4900.0000          9.22742819E+01          9.22742819E+01
       5000.0000          9.33780801E+01          9.33780801E+01
       5100.0000          9.44772276E+01          9.44772276E+01
       5200.0000          9.55717984E+01          9.55717984E+01
       5300.0000          9.66618653E+01          9.66618653E+01
       5400.0000          9.77475006E+01          9.77475006E+01
       5500.0000          9.88287754E+01          9.88287754E+01
       5600.0000          9.99057601E+01          9.99057601E+01
       5700.0000          1.00978523E+02          1.00978523E+02
       5800.0000          1.02047133E+02          1.02047133E+02
       5900.0000          1.03111657E+02          1.03111657E+02
       6000.0000          1.04172158E+02          1.04172158E+02
       6100.0000          1.05228702E+02          1.05228702E+02
       6200.0000          1.06281351E+02          1.06281351E+02
       6300.0000          1.07330166E+02          1.07330166E+02
       6400.0000          1.08375208E+02          1.08375208E+02
       6500.0000          1.09416534E+02          1.09416534E+02
       6600.0000          1.10454203E+02          1.10454203E+02
       6700.0000          1.11488271E+02          1.11488271E+02
       6800.0000          1.12518791E+02          1.12518791E+02
       6900.0000          1.13545819E+02          1.13545819E+02
       7000.0000          1.14569406E+02          1.14569406E+02
       7100.0000          1.15589603E+02          1.15589603E+02
       7200.0000          1.16606461E+02          1.16606461E+02
       7300.0000          1.17620028E+02          1.17620028E+02
       7400.0000          1.18630352E+02          1.18630352E+02
       7500.0000          1.19637479E+02          1.19637479E+02
       7600.0000          1.20641455E+02          1.20641455E+02
       7700.0000          1.21642325E+02          1.21642325E+02
       7800.0000          1.22640131E+02          1.22640131E+02
       7900.0000          1.23634917E+02          1.23634917E+02
       8000.0000          1.24626723E+02          1.24626723E+02
       8100.0000          1.25615590E+02          1.25615590E+02
       8200.0000          1.26601558E+02          1.26601558E+02
       8300.0000          1.27584666E+02          1.27584666E+02
       8400.0000          1.28564951E+02          1.28564951E+02
       8500.0000          1.29542450E+02          1.29542450E+02
       8600.0000          1.30517199E+02          1.30517199E+02
       8700.0000          1.31489234E+02          1.31489234E+02
       8800.0000          1.32458590E+02          1.32458590E+02
       8900.0000          1.33425299E+02          1.33425299E+02
       9000.0000          1.34389395E+02          1.34389395E+02
       9100.0000          1.35350911E+02          1.35350911E+02
       9200.0000          1.36309878E+02          1.36309878E+02
       9300.0000          1.37266327E+02          1.37266327E+02
       9400.0000          1.38220288E+02          1.38220288E+02
       9500.0000          1.39171791E+02          1.39171791E+02
       9600.0000          1.40120865E+02          1.40120865E+02
       9700.0000          1.41067538E+02          1.41067538E+02
       9800.0000          1.42011838E+02          1.42011838E+02
       9900.0000          1.42953793E+02          1.42953793E+02
      10000.0000          1.43893429E+02          1.43893429E+02
      11000.0000          1.53167737E+02          1.53167737E+02
      12000.0000          1.62235848E+02          1.62235848E+02
      13000.0000          1.71117157E+02          1.71117157E+02
      14000.0000          1.79827857E+02          1.79827857E+02
      15000.0000          1.88381625E+02          1.88381625E+02
      16000.0000          1.96790129E+02          1.96790129E+02
      17000.0000          2.05063422E+02          2.05063422E+02
      18000.0000          2.13210239E+02          2.13210239E+02
      19000.0000          2.21238230E+02          2.21238230E+02
      20000.0000          2.29154138E+02          2.29154138E+02
      21000.0000          2.36963953E+02          2.36963953E+02
      22000.0000          2.44673019E+02          2.44673019E+02
      23000.0000          2.52286135E+02          2.52286135E+02
      24000.0000          2.59807632E+02          2.59807632E+02
      25000.0000          2.67241433E+02          2.67241433E+02
      26000.0000          2.74591111E+02          2.74591111E+02
      27000.0000          2.81859931E+02          2.81859931E+02
      28000.0000          2.89050887E+02          2.89050887E+02
      29000.0000          2.96166737E+02          2.96166737E+02
      29203.9990          2.97609373E+02          2.97609373E+02
      29204.0010          2.97609387E+02          2.97609387E+02
      30000.0000          3.03210026E+02          3.03210026E+02
      31000.0000          3.10183111E+02          3.10183111E+02
      32000.0000          3.17088184E+02          3.17088184E+02
      33000.0000          3.23927283E+02          3.23927283E+02
      34000.0000          3.30702314E+02          3.30702314E+02
      35000.0000          3.37415059E+02          3.37415059E+02
      36000.0000          3.44067191E+02          3.44067191E+02
      37000.0000          3.50660280E+02          3.50660280E+02
      38000.0000          3.57195809E+02          3.57195809E+02
      39000.0000          3.63675174E+02          3.63675174E+02
      40000.0000          3.70099696E+02          3.70099696E+02
      41000.0000          3.76470626E+02          3.76470626E+02
      42000.0000          3.82789152E+02          3.82789152E+02
      43000.0000          3.89056401E+02          3.89056401E+02
      44000.0000          3.95273446E+02          3.95273446E+02
      45000.0000          4.01441309E+02          4.01441309E+02
      46000.0000          4.07560965E+02          4.07560965E+02
      47000.0000          4.13633348E+02          4.13633348E+02
      48000.0000          4.19659348E+02          4.19659348E+02
      49000.0000          4.25639819E+02          4.25639819E+02
      50000.0000          4.31575580E+02          4.31575580E+02
