#Energy      Nb  Total
        550.0000          1.62327078E+01          1.62327078E+01
        560.0000          1.62538324E+01          1.62538324E+01
        570.0000          1.62772315E+01          1.62772315E+01
        580.0000          1.63027735E+01          1.63027735E+01
        590.0000          1.63303363E+01          1.63303363E+01
        600.0000          1.63598060E+01          1.63598060E+01
        610.0000          1.63910765E+01          1.63910765E+01
        620.0000          1.64240488E+01          1.64240488E+01
        630.0000          1.64586305E+01          1.64586305E+01
        640.0000          1.64947351E+01          1.64947351E+01
        650.0000          1.65322816E+01          1.65322816E+01
        660.0000          1.65711942E+01          1.65711942E+01
        670.0000          1.66114019E+01          1.66114019E+01
        680.0000          1.66528378E+01          1.66528378E+01
        690.0000          1.66954394E+01          1.66954394E+01
        700.0000          1.67391476E+01          1.67391476E+01
        710.0000          1.67839071E+01          1.67839071E+01
        720.0000          1.68296656E+01          1.68296656E+01
        730.0000          1.68763738E+01          1.68763738E+01
        740.0000          1.69239855E+01          1.69239855E+01
        750.0000          1.69724568E+01          1.69724568E+01
        760.0000          1.70217463E+01          1.70217463E+01
        770.0000          1.70718150E+01          1.70718150E+01
        780.0000          1.71226260E+01          1.71226260E+01
        790.0000          1.71741442E+01          1.71741442E+01
        800.0000          1.72263365E+01          1.72263365E+01
        810.0000          1.72791717E+01          1.72791717E+01
        820.0000          1.73326198E+01          1.73326198E+01
        830.0000          1.73866529E+01          1.73866529E+01
        840.0000          1.74412440E+01          1.74412440E+01
        850.0000          1.74963677E+01          1.74963677E+01
        860.0000          1.75520000E+01          1.75520000E+01
        870.0000          1.76081179E+01          1.76081179E+01
        880.0000          1.76646995E+01          1.76646995E+01
        890.0000          1.77217241E+01          1.77217241E+01
        900.0000          1.77791719E+01          1.77791719E+01
        910.0000          1.78370241E+01          1.78370241E+01
        920.0000          1.78952628E+01          1.78952628E+01
        930.0000          1.79538709E+01          1.79538709E+01
        940.0000          1.80128320E+01          1.80128320E+01
        950.0000          1.80721306E+01          1.80721306E+01
        960.0000          1.81317519E+01          1.81317519E+01
        970.0000          1.81916817E+01          1.81916817E+01
        980.0000          1.82519065E+01          1.82519065E+01
        990.0000          1.83124133E+01          1.83124133E+01
       1000.0000          1.83731898E+01          1.83731898E+01
       1100.0000          1.89934212E+01          1.89934212E+01
       1200.0000          1.96303195E+01          1.96303195E+01
       1300.0000          2.02775966E+01          2.02775966E+01
       1400.0000          2.09310049E+01          2.09310049E+01
       1500.0000          2.15876184E+01          2.15876184E+01
       1600.0000          2.22453916E+01          2.22453916E+01
       1700.0000          2.29028794E+01          2.29028794E+01
       1800.0000          2.35590542E+01          2.35590542E+01
       1900.0000          2.42131844E+01          2.42131844E+01
       2000.0000          2.48647502E+01          2.48647502E+01
       2100.0000          2.55133859E+01          2.55133859E+01
       2200.0000          2.61588388E+01          2.61588388E+01
       2300.0000          2.68009396E+01          2.68009396E+01
       2374.9990          2.72802427E+01          2.72802427E+01
       2375.0010          2.72802554E+01          2.72802554E+01
       2400.0000          2.74395811E+01          2.74395811E+01
       2468.9990          2.78781873E+01          2.78781873E+01
       2469.0010          2.78781999E+01          2.78781999E+01
       2500.0000          2.80747026E+01          2.80747026E+01
       2600.0000          2.87062781E+01          2.87062781E+01
       2700.0000          2.93343073E+01          2.93343073E+01
       2701.9990          2.93468256E+01          2.93468256E+01
       2702.0010          2.93468381E+01          2.93468381E+01
       2800.0000          2.99588098E+01          2.99588098E+01
       2900.0000          3.05798193E+01          3.05798193E+01
       3000.0000          3.11973803E+01          3.11973803E+01
       3100.0000          3.18115450E+01          3.18115450E+01
       3200.0000          3.24223711E+01          3.24223711E+01
