#Energy      Pb   S  Total
         39.0000          2.07611231E+03          2.12786382E+01          2.10627603E+01
         40.0000          2.02542647E+03          2.10828906E+01          2.08656973E+01
         41.0000          1.97721021E+03          2.08994836E+01          2.06808827E+01
         42.0000          1.93128738E+03          2.07275473E+01          2.05074510E+01
         43.0000          1.88749820E+03          2.05662920E+01          2.03446159E+01
         44.0000          1.84569740E+03          2.04149985E+01          2.01916614E+01
         45.0000          1.80575260E+03          2.02730107E+01          2.00479345E+01
         46.0000          1.76754294E+03          2.01397286E+01          1.99128379E+01
         47.0000          1.73095782E+03          2.00146027E+01          1.97858245E+01
         48.0000          1.69589585E+03          1.98971285E+01          1.96663922E+01
         49.0000          1.66226392E+03          1.97868422E+01          1.95540793E+01
         50.0000          1.62997633E+03          1.96833166E+01          1.94484603E+01
         51.0000          1.59895414E+03          1.95861573E+01          1.93491428E+01
         52.0000          1.56912444E+03          1.94950001E+01          1.92557641E+01
         53.0000          1.54041984E+03          1.94095078E+01          1.91679884E+01
         54.0000          1.51277791E+03          1.93293678E+01          1.90855047E+01
         55.0000          1.48614078E+03          1.92542900E+01          1.90080240E+01
         56.0000          1.46045470E+03          1.91840048E+01          1.89352778E+01
         57.0000          1.43566969E+03          1.91182611E+01          1.88670163E+01
         58.0000          1.41173921E+03          1.90568249E+01          1.88030064E+01
         59.0000          1.38861987E+03          1.89994781E+01          1.87430308E+01
         60.0000          1.36627118E+03          1.89460168E+01          1.86868866E+01
         61.0000          1.34465529E+03          1.88962501E+01          1.86343838E+01
         62.0000          1.32373679E+03          1.88499997E+01          1.85853446E+01
         63.0000          1.30348254E+03          1.88070981E+01          1.85396023E+01
         64.0000          1.28386142E+03          1.87673884E+01          1.84970007E+01
         65.0000          1.26484428E+03          1.87307231E+01          1.84573927E+01
         66.0000          1.24640369E+03          1.86969635E+01          1.84206404E+01
         67.0000          1.22851388E+03          1.86659792E+01          1.83866139E+01
         68.0000          1.21115059E+03          1.86376474E+01          1.83551907E+01
         69.0000          1.19429095E+03          1.86118523E+01          1.83262555E+01
         70.0000          1.17791341E+03          1.85884845E+01          1.82996995E+01
         71.0000          1.16199764E+03          1.85674409E+01          1.82754199E+01
         72.0000          1.14652441E+03          1.85486241E+01          1.82533194E+01
         73.0000          1.13147558E+03          1.85319417E+01          1.82333064E+01
         74.0000          1.11683396E+03          1.85173066E+01          1.82152938E+01
         75.0000          1.10258328E+03          1.85046360E+01          1.81991992E+01
         76.0000          1.08870815E+03          1.84938517E+01          1.81849446E+01
         77.0000          1.07519393E+03          1.84848792E+01          1.81724559E+01
         78.0000          1.06202679E+03          1.84776481E+01          1.81616628E+01
         79.0000          1.04919355E+03          1.84720913E+01          1.81524986E+01
         80.0000          1.03668171E+03          1.84681451E+01          1.81448997E+01
         81.0000          1.02447939E+03          1.84657491E+01          1.81388059E+01
         82.0000          1.01257527E+03          1.84648456E+01          1.81341596E+01
         83.0000          1.00095860E+03          1.84653796E+01          1.81309062E+01
         84.0000          9.89619122E+02          1.84672990E+01          1.81289936E+01
         85.0000          9.78547069E+02          1.84705539E+01          1.81283720E+01
         86.0000          9.67733124E+02          1.84750967E+01          1.81289941E+01
         87.0000          9.57168400E+02          1.84808821E+01          1.81308147E+01
         88.0000          9.46844413E+02          1.84878669E+01          1.81337906E+01
         89.0000          9.36753060E+02          1.84960095E+01          1.81378805E+01
         89.9990          9.26896353E+02          1.85052607E+01          1.81430393E+01
         90.0000          9.26886597E+02          1.85052705E+01          1.81430450E+01
         90.0010          9.26876840E+02          1.85052803E+01          1.81430507E+01
         91.0000          9.17237619E+02          1.85156121E+01          1.81492464E+01
         92.0000          9.07799046E+02          1.85269981E+01          1.81564485E+01
         93.0000          8.98564099E+02          1.85393937E+01          1.81646169E+01
         94.0000          8.89526289E+02          1.85527660E+01          1.81737185E+01
         95.0000          8.80679398E+02          1.85670831E+01          1.81837215E+01
         96.0000          8.72017469E+02          1.85823146E+01          1.81945956E+01
         97.0000          8.63534788E+02          1.85984312E+01          1.82063117E+01
         98.0000          8.55225876E+02          1.86154049E+01          1.82188417E+01
         99.0000          8.47085475E+02          1.86332089E+01          1.82321589E+01
        100.0000          8.39108534E+02          1.86518174E+01          1.82462376E+01
        110.0000          7.67349941E+02          1.88771390E+01          1.84239030E+01
        110.9990          7.60895067E+02          1.89031264E+01          1.84448947E+01
        111.0010          7.60882262E+02          1.89031790E+01          1.84449373E+01
        120.0000          7.07610426E+02          1.91607886E+01          1.86556285E+01
        130.0000          6.57119232E+02          1.94886213E+01          1.89272823E+01
        140.0000          6.13896434E+02          1.98505540E+01          1.92287845E+01
        143.9990          5.98307357E+02          2.00031159E+01          1.93559901E+01
        144.0010          5.98299779E+02          2.00031932E+01          1.93560545E+01
        147.9990          5.83565779E+02          2.01595923E+01          1.94864233E+01
        148.0010          5.83558610E+02          2.01596714E+01          1.94864893E+01
        150.0000          5.76489546E+02          2.02392169E+01          1.95527645E+01
        152.9990          5.66234573E+02          2.03601266E+01          1.96534466E+01
        153.0010          5.66227870E+02          2.03602078E+01          1.96535142E+01
        160.0000          5.43808834E+02          2.06491074E+01          1.98937178E+01
        167.9990          5.20503055E+02          2.09894141E+01          2.01758192E+01
        168.0010          5.20497509E+02          2.09895004E+01          2.01758906E+01
        169.9990          5.15023423E+02          2.10759973E+01          2.02474240E+01
        170.0000          5.15020716E+02          2.10760408E+01          2.02474599E+01
        170.0010          5.15018009E+02          2.10760842E+01          2.02474958E+01
        180.0000          4.89476669E+02          2.15167838E+01          2.06107605E+01
        190.0000          4.66664574E+02          2.19688032E+01          2.09810927E+01
        200.0000          4.46174642E+02          2.24300899E+01          2.13564581E+01
        210.0000          4.27675071E+02          2.28990328E+01          2.17352604E+01
        220.0000          4.10894338E+02          2.33743278E+01          2.21162144E+01
        230.0000          3.95608105E+02          2.38549095E+01          2.24982781E+01
        231.9990          3.92714612E+02          2.39515319E+01          2.25747081E+01
        232.0010          3.92711743E+02          2.39516287E+01          2.25747846E+01
        240.0000          3.81629397E+02          2.43399015E+01          2.28806020E+01
        250.0000          3.68801136E+02          2.48285770E+01          2.32624904E+01
        260.0000          3.56990397E+02          2.53203300E+01          2.36433718E+01
        270.0000          3.46083936E+02          2.58146520E+01          2.40227758E+01
        280.0000          3.35984680E+02          2.63111143E+01          2.44003145E+01
        290.0000          3.26608941E+02          2.68093535E+01          2.47756687E+01
        300.0000          3.17884187E+02          2.73090605E+01          2.51485757E+01
        310.0000          3.09747243E+02          2.78099713E+01          2.55188204E+01
        320.0000          3.02142830E+02          2.83118593E+01          2.58862276E+01
        330.0000          2.95022369E+02          2.88145300E+01          2.62506556E+01
        340.0000          2.88342998E+02          2.93178154E+01          2.66119913E+01
        350.0000          2.82066754E+02          2.98215704E+01          2.69701458E+01
        360.0000          2.76159893E+02          3.03256692E+01          2.73250508E+01
        370.0000          2.70592320E+02          3.08300025E+01          2.76766559E+01
        380.0000          2.65337112E+02          3.13344753E+01          2.80249257E+01
        390.0000          2.60370107E+02          3.18390049E+01          2.83698378E+01
        400.0000          2.55669561E+02          3.23435190E+01          2.87113811E+01
        410.0000          2.51215855E+02          3.28479547E+01          2.90495542E+01
        418.9990          2.47404275E+02          3.33017838E+01          2.93510005E+01
        419.0010          2.47403448E+02          3.33018846E+01          2.93510672E+01
        420.0000          2.46991238E+02          3.33522570E+01          2.93843638E+01
        430.0000          2.42979615E+02          3.38563777E+01          2.97158239E+01
        440.0000          2.39166353E+02          3.43602748E+01          3.00439547E+01
        440.9990          2.38795783E+02          3.44106003E+01          3.00765529E+01
        441.0010          2.38795043E+02          3.44107011E+01          3.00766182E+01
        450.0000          2.35538123E+02          3.48639116E+01          3.03687814E+01
        460.0000          2.32082758E+02          3.53672560E+01          3.06903342E+01
        470.0000          2.28789126E+02          3.58702801E+01          3.10086467E+01
        480.0000          2.25647025E+02          3.63729595E+01          3.13237562E+01
        490.0000          2.22647089E+02          3.68752730E+01          3.16357023E+01
        500.0000          2.19780701E+02          3.73772022E+01          3.19445275E+01
        510.0000          2.17039922E+02          3.78787313E+01          3.22502758E+01
        520.0000          2.14417425E+02          3.83798464E+01          3.25529931E+01
        530.0000          2.11906438E+02          3.88805359E+01          3.28527266E+01
        540.0000          2.09500692E+02          3.93807898E+01          3.31495242E+01
        550.0000          2.07194374E+02          3.98805994E+01          3.34434351E+01
        560.0000          2.04982088E+02          4.03799578E+01          3.37345087E+01
        570.0000          2.02858819E+02          4.08788591E+01          3.40227951E+01
        580.0000          2.00819898E+02          4.13772983E+01          3.43083444E+01
        590.0000          1.98860974E+02          4.18752717E+01          3.45912070E+01
        600.0000          1.96977986E+02          4.23727762E+01          3.48714332E+01
        610.0000          1.95167142E+02          4.28698096E+01          3.51490732E+01
        620.0000          1.93424895E+02          4.33663705E+01          3.54241768E+01
        630.0000          1.91747925E+02          4.38624578E+01          3.56967939E+01
        640.0000          1.90133117E+02          4.43580712E+01          3.59669735E+01
        650.0000          1.88577554E+02          4.48532108E+01          3.62347645E+01
        650.9990          1.88425301E+02          4.49026492E+01          3.62613874E+01
        651.0010          1.88424997E+02          4.49027482E+01          3.62614407E+01
        660.0000          1.87078492E+02          4.53478771E+01          3.65002151E+01
        670.0000          1.85633353E+02          4.58420710E+01          3.67633730E+01
        680.0000          1.84239713E+02          4.63357939E+01          3.70242854E+01
        690.0000          1.82895288E+02          4.68290471E+01          3.72829986E+01
        700.0000          1.81597924E+02          4.73218327E+01          3.75395584E+01
        710.0000          1.80345592E+02          4.78141526E+01          3.77940099E+01
        720.0000          1.79136373E+02          4.83060092E+01          3.80463975E+01
        730.0000          1.77968457E+02          4.87974049E+01          3.82967647E+01
        740.0000          1.76840131E+02          4.92883423E+01          3.85451543E+01
        750.0000          1.75749772E+02          4.97788243E+01          3.87916085E+01
        760.0000          1.74695847E+02          5.02688536E+01          3.90361685E+01
        768.9990          1.73777362E+02          5.07094467E+01          3.92546623E+01
        769.0010          1.73777161E+02          5.07095446E+01          3.92547107E+01
        770.0000          1.73676901E+02          5.07584335E+01          3.92788749E+01
        780.0000          1.72691553E+02          5.12475669E+01          3.95197673E+01
        790.0000          1.71738494E+02          5.17362570E+01          3.97588847E+01
        800.0000          1.70816482E+02          5.22245071E+01          3.99962653E+01
        810.0000          1.69924334E+02          5.27123205E+01          4.02319464E+01
        820.0000          1.69060927E+02          5.31997006E+01          4.04659647E+01
        830.0000          1.68225193E+02          5.36866508E+01          4.06983559E+01
        840.0000          1.67416113E+02          5.41731745E+01          4.09291550E+01
        850.0000          1.66632719E+02          5.46592751E+01          4.11583965E+01
        860.0000          1.65874087E+02          5.51449562E+01          4.13861138E+01
        870.0000          1.65139336E+02          5.56302212E+01          4.16123396E+01
        880.0000          1.64427626E+02          5.61150736E+01          4.18371062E+01
        890.0000          1.63738155E+02          5.65995170E+01          4.20604448E+01
        898.9990          1.63136076E+02          5.70351207E+01          4.22602317E+01
        899.0010          1.63135944E+02          5.70352175E+01          4.22602760E+01
        900.0000          1.63070155E+02          5.70835547E+01          4.22823859E+01
        910.0000          1.62422895E+02          5.75671904E+01          4.25029596E+01
        920.0000          1.61795675E+02          5.80504274E+01          4.27221951E+01
        930.0000          1.61187825E+02          5.85332692E+01          4.29401210E+01
        940.0000          1.60598705E+02          5.90157193E+01          4.31567650E+01
        950.0000          1.60027699E+02          5.94977812E+01          4.33721544E+01
        960.0000          1.59474222E+02          5.99794581E+01          4.35863159E+01
        970.0000          1.58937710E+02          6.04607535E+01          4.37992753E+01
        980.0000          1.58417622E+02          6.09416708E+01          4.40110581E+01
        990.0000          1.57913441E+02          6.14222133E+01          4.42216889E+01
       1000.0000          1.57424670E+02          6.19023843E+01          4.44311918E+01
       1100.0000          1.53288262E+02          6.66843691E+01          4.64691039E+01
       1200.0000          1.50268474E+02          7.14326148E+01          4.84168575E+01
       1300.0000          1.48095159E+02          7.61499003E+01          5.02906581E+01
       1400.0000          1.46576551E+02          8.08386835E+01          5.21031734E+01
       1500.0000          1.45572958E+02          8.55011307E+01          5.38643367E+01
       1600.0000          1.44980360E+02          9.01391516E+01          5.55819743E+01
       1700.0000          1.44719814E+02          9.47544332E+01          5.72622906E+01
       1800.0000          1.44730409E+02          9.93484710E+01          5.89102378E+01
       1900.0000          1.44964468E+02          1.03922595E+02          6.05297982E+01
       2000.0000          1.45384183E+02          1.08477993E+02          6.21241991E+01
       2100.0000          1.45959235E+02          1.13015730E+02          6.36960775E+01
       2200.0000          1.46665057E+02          1.17536763E+02          6.52476052E+01
       2300.0000          1.47481561E+02          1.22041959E+02          6.67805861E+01
       2400.0000          1.48392184E+02          1.26532102E+02          6.82965307E+01
       2475.9990          1.49138641E+02          1.29934939E+02          6.94380321E+01
       2476.0010          1.49138661E+02          1.29935028E+02          6.94380620E+01
       2489.9990          1.49280786E+02          1.30560905E+02          6.96473583E+01
       2490.0010          1.49280806E+02          1.30560995E+02          6.96473882E+01
       2500.0000          1.49383167E+02          1.31007904E+02          6.97967147E+01
       2591.9990          1.50355906E+02          1.35113493E+02          7.11638856E+01
       2592.0010          1.50355928E+02          1.35113582E+02          7.11639152E+01
       2600.0000          1.50442999E+02          1.35470017E+02          7.12822239E+01
       2700.0000          1.51561993E+02          1.39919036E+02          7.27539902E+01
       2800.0000          1.52731948E+02          1.44355507E+02          7.42128197E+01
       2900.0000          1.53945883E+02          1.48779932E+02          7.56594148E+01
       3000.0000          1.55197829E+02          1.53192777E+02          7.70943925E+01
       3071.9990          1.56119847E+02          1.56363052E+02          7.81206774E+01
       3072.0010          1.56119873E+02          1.56363140E+02          7.81207058E+01
       3100.0000          1.56482660E+02          1.57594469E+02          7.85182983E+01
       3200.0000          1.57795953E+02          1.61985405E+02          7.99316180E+01
       3300.0000          1.59133878E+02          1.66365955E+02          8.13347872E+01
       3400.0000          1.60493109E+02          1.70736463E+02          8.27281985E+01
       3500.0000          1.61870744E+02          1.75097249E+02          8.41122083E+01
       3559.9990          1.62705077E+02          1.77709136E+02          8.49382241E+01
       3560.0010          1.62705105E+02          1.77709223E+02          8.49382515E+01
       3600.0000          1.63264249E+02          1.79448612E+02          8.54871415E+01
       3700.0000          1.64671398E+02          1.83790833E+02          8.68532962E+01
       3800.0000          1.66090237E+02          1.88124174E+02          8.82109469E+01
       3856.9990          1.66903522E+02          1.90590257E+02          8.89810874E+01
       3857.0010          1.66903551E+02          1.90590343E+02          8.89811144E+01
       3900.0000          1.67519043E+02          1.92448882E+02          8.95603477E+01
       4000.0000          1.68956295E+02          1.96765189E+02          9.09017347E+01
       4100.0000          1.70400647E+02          2.01073313E+02          9.22353283E+01
       4200.0000          1.71850904E+02          2.05373461E+02          9.35613345E+01
       4300.0000          1.73306007E+02          2.09665828E+02          9.48799471E+01
       4400.0000          1.74765012E+02          2.13950598E+02          9.61913487E+01
       4500.0000          1.76227078E+02          2.18227944E+02          9.74957114E+01
       4600.0000          1.77691458E+02          2.22498034E+02          9.87931987E+01
       4700.0000          1.79157480E+02          2.26761022E+02          1.00083965E+02
       4800.0000          1.80624548E+02          2.31017059E+02          1.01368159E+02
       4900.0000          1.82092125E+02          2.35266286E+02          1.02645920E+02
       5000.0000          1.83559734E+02          2.39508838E+02          1.03917382E+02
       5100.0000          1.85026943E+02          2.43744845E+02          1.05182675E+02
       5200.0000          1.86493369E+02          2.47974428E+02          1.06441920E+02
       5300.0000          1.87958667E+02          2.52197705E+02          1.07695236E+02
       5400.0000          1.89422527E+02          2.56414788E+02          1.08942736E+02
       5500.0000          1.90884671E+02          2.60625784E+02          1.10184529E+02
       5600.0000          1.92344852E+02          2.64830795E+02          1.11420721E+02
       5700.0000          1.93802846E+02          2.69029920E+02          1.12651411E+02
       5800.0000          1.95258452E+02          2.73223254E+02          1.13876698E+02
       5900.0000          1.96711494E+02          2.77410885E+02          1.15096676E+02
       6000.0000          1.98161810E+02          2.81592902E+02          1.16311435E+02
       6100.0000          1.99609257E+02          2.85769387E+02          1.17521065E+02
       6200.0000          2.01053708E+02          2.89940420E+02          1.18725649E+02
       6300.0000          2.02495050E+02          2.94106080E+02          1.19925271E+02
       6400.0000          2.03933181E+02          2.98266438E+02          1.21120011E+02
       6500.0000          2.05368012E+02          3.02421569E+02          1.22309946E+02
       6600.0000          2.06799465E+02          3.06571539E+02          1.23495152E+02
       6700.0000          2.08227468E+02          3.10716416E+02          1.24675701E+02
       6800.0000          2.09651962E+02          3.14856264E+02          1.25851665E+02
       6900.0000          2.11072893E+02          3.18991144E+02          1.27023112E+02
       7000.0000          2.12490215E+02          3.23121117E+02          1.28190110E+02
       7100.0000          2.13903888E+02          3.27246240E+02          1.29352724E+02
       7200.0000          2.15313878E+02          3.31366568E+02          1.30511017E+02
       7300.0000          2.16720157E+02          3.35482157E+02          1.31665051E+02
       7400.0000          2.18122701E+02          3.39593058E+02          1.32814886E+02
       7500.0000          2.19521492E+02          3.43699322E+02          1.33960582E+02
       7600.0000          2.20916513E+02          3.47800999E+02          1.35102194E+02
       7700.0000          2.22307753E+02          3.51898134E+02          1.36239780E+02
       7800.0000          2.23695205E+02          3.55990776E+02          1.37373392E+02
       7900.0000          2.25078863E+02          3.60078968E+02          1.38503085E+02
       8000.0000          2.26458725E+02          3.64162753E+02          1.39628909E+02
       8100.0000          2.27834791E+02          3.68242175E+02          1.40750916E+02
       8200.0000          2.29207064E+02          3.72317273E+02          1.41869155E+02
       8300.0000          2.30575549E+02          3.76388088E+02          1.42983673E+02
       8400.0000          2.31940252E+02          3.80454659E+02          1.44094518E+02
       8500.0000          2.33301181E+02          3.84517022E+02          1.45201736E+02
       8600.0000          2.34658347E+02          3.88575215E+02          1.46305371E+02
       8700.0000          2.36011761E+02          3.92629272E+02          1.47405468E+02
       8800.0000          2.37361435E+02          3.96679229E+02          1.48502070E+02
       8900.0000          2.38707383E+02          4.00725120E+02          1.49595218E+02
       9000.0000          2.40049620E+02          4.04766976E+02          1.50684954E+02
       9100.0000          2.41388163E+02          4.08804830E+02          1.51771317E+02
       9200.0000          2.42723027E+02          4.12838714E+02          1.52854348E+02
       9300.0000          2.44054231E+02          4.16868657E+02          1.53934084E+02
       9400.0000          2.45381793E+02          4.20894689E+02          1.55010564E+02
       9500.0000          2.46705730E+02          4.24916840E+02          1.56083824E+02
       9600.0000          2.48026064E+02          4.28935136E+02          1.57153901E+02
       9700.0000          2.49342813E+02          4.32949607E+02          1.58220830E+02
       9800.0000          2.50655998E+02          4.36960278E+02          1.59284645E+02
       9900.0000          2.51965639E+02          4.40967176E+02          1.60345381E+02
      10000.0000          2.53271759E+02          4.44970326E+02          1.61403071E+02
      11000.0000          2.66144014E+02          4.84800966E+02          1.71819346E+02
      12000.0000          2.78688326E+02          5.24281242E+02          1.81963386E+02
      13000.0000          2.90926717E+02          5.63429324E+02          1.91859875E+02
      13040.9990          2.91422258E+02          5.65027496E+02          1.92260653E+02
      13041.0010          2.91422282E+02          5.65027573E+02          1.92260672E+02
      14000.0000          3.02880044E+02          6.02260290E+02          2.01529659E+02
      15000.0000          3.14567538E+02          6.40786872E+02          2.10990546E+02
      15205.9990          3.16943759E+02          6.48686525E+02          2.12914973E+02
      15206.0010          3.16943782E+02          6.48686602E+02          2.12914991E+02
      15866.9990          3.24499015E+02          6.73951512E+02          2.19035992E+02
      15867.0010          3.24499038E+02          6.73951588E+02          2.19036010E+02
      16000.0000          3.26006702E+02          6.79019988E+02          2.20257899E+02
      17000.0000          3.37213372E+02          7.16969120E+02          2.29345086E+02
      18000.0000          3.48201846E+02          7.54642608E+02          2.38263835E+02
      19000.0000          3.58985033E+02          7.92047855E+02          2.47024502E+02
      20000.0000          3.69574604E+02          8.29191499E+02          2.55636291E+02
      21000.0000          3.79981130E+02          8.66079540E+02          2.64107431E+02
      22000.0000          3.90214207E+02          9.02717441E+02          2.72445315E+02
      23000.0000          4.00282573E+02          9.39110212E+02          2.80656620E+02
      24000.0000          4.10194202E+02          9.75262472E+02          2.88747399E+02
      25000.0000          4.19956392E+02          1.01117851E+03          2.96723166E+02
      26000.0000          4.29575842E+02          1.04686231E+03          3.04588958E+02
      27000.0000          4.39058713E+02          1.08231762E+03          3.12349398E+02
      28000.0000          4.48410690E+02          1.11754796E+03          3.20008739E+02
      29000.0000          4.57637028E+02          1.15255665E+03          3.27570905E+02
      30000.0000          4.66742599E+02          1.18734683E+03          3.35039530E+02
      31000.0000          4.75731928E+02          1.22192148E+03          3.42417987E+02
      32000.0000          4.84609227E+02          1.25628347E+03          3.49709412E+02
      33000.0000          4.93378427E+02          1.29043550E+03          3.56916732E+02
      34000.0000          5.02043201E+02          1.32438018E+03          3.64042682E+02
      35000.0000          5.10606989E+02          1.35812003E+03          3.71089823E+02
      36000.0000          5.19073019E+02          1.39165744E+03          3.78060561E+02
      37000.0000          5.27444324E+02          1.42499473E+03          3.84957154E+02
      38000.0000          5.35723760E+02          1.45813415E+03          3.91781734E+02
      39000.0000          5.43914019E+02          1.49107787E+03          3.98536309E+02
      40000.0000          5.52017643E+02          1.52382798E+03          4.05222778E+02
      41000.0000          5.60037039E+02          1.55638652E+03          4.11842939E+02
      42000.0000          5.67974482E+02          1.58875548E+03          4.18398495E+02
      43000.0000          5.75832132E+02          1.62093677E+03          4.24891064E+02
      44000.0000          5.83612040E+02          1.65293226E+03          4.31322183E+02
      45000.0000          5.91316155E+02          1.68474379E+03          4.37693314E+02
      46000.0000          5.98946333E+02          1.71637313E+03          4.44005853E+02
      47000.0000          6.06504341E+02          1.74782203E+03          4.50261129E+02
      48000.0000          6.13991867E+02          1.77909218E+03          4.56460411E+02
      49000.0000          6.21410520E+02          1.81018524E+03          4.62604916E+02
      50000.0000          6.28761842E+02          1.84110285E+03          4.68695805E+02
      88010.9990          8.68887735E+02          2.89976125E+03          6.68559740E+02
      88011.0010          8.68887746E+02          2.89976130E+03          6.68559749E+02
