#Energy      Al   S  Total
        190.0000          1.66393018E+01          1.13028699E+01          6.73075327E+00
        200.0000          1.71086810E+01          1.15402002E+01          6.89163401E+00
        210.0000          1.75804107E+01          1.17814697E+01          7.05414888E+00
        220.0000          1.80539873E+01          1.20260072E+01          7.21799936E+00
        230.0000          1.85290037E+01          1.22732648E+01          7.38294222E+00
        231.9990          1.86241019E+01          1.23229767E+01          7.41602709E+00
        232.0010          1.86241971E+01          1.23230264E+01          7.41606021E+00
        240.0000          1.90051289E+01          1.25227914E+01          7.54877779E+00
        250.0000          1.94820920E+01          1.27742132E+01          7.71534108E+00
        260.0000          1.99596702E+01          1.30272183E+01          7.88249492E+00
        270.0000          2.04376793E+01          1.32815452E+01          8.05012468E+00
        280.0000          2.09159665E+01          1.35369733E+01          8.21813411E+00
        290.0000          2.13944047E+01          1.37933155E+01          8.38644200E+00
        300.0000          2.18728878E+01          1.40504130E+01          8.55497964E+00
        310.0000          2.23513269E+01          1.43081297E+01          8.72368864E+00
        320.0000          2.28296478E+01          1.45663493E+01          8.89251927E+00
        330.0000          2.33077882E+01          1.48249716E+01          9.06142906E+00
        340.0000          2.37856957E+01          1.50839101E+01          9.23038164E+00
        350.0000          2.42633266E+01          1.53430903E+01          9.39934584E+00
        360.0000          2.47406441E+01          1.56024472E+01          9.56829489E+00
        370.0000          2.52176178E+01          1.58619249E+01          9.73720577E+00
        380.0000          2.56942221E+01          1.61214744E+01          9.90605867E+00
        390.0000          2.61704358E+01          1.63810530E+01          1.00748366E+01
        400.0000          2.66462415E+01          1.66406237E+01          1.02435248E+01
        410.0000          2.71216251E+01          1.69001540E+01          1.04121108E+01
        420.0000          2.75965749E+01          1.71596157E+01          1.05805837E+01
        430.0000          2.80710817E+01          1.74189840E+01          1.07489342E+01
        440.0000          2.85451385E+01          1.76782372E+01          1.09171544E+01
        450.0000          2.90187397E+01          1.79373566E+01          1.10852375E+01
        460.0000          2.94918814E+01          1.81963254E+01          1.12531778E+01
        470.0000          2.99645608E+01          1.84551295E+01          1.14209704E+01
        480.0000          3.04367764E+01          1.87137563E+01          1.15886112E+01
        490.0000          3.09085275E+01          1.89721947E+01          1.17560969E+01
        500.0000          3.13798144E+01          1.92304355E+01          1.19234246E+01
        510.0000          3.18506377E+01          1.94884704E+01          1.20905920E+01
        520.0000          3.23209991E+01          1.97462923E+01          1.22575974E+01
        530.0000          3.27909005E+01          2.00038953E+01          1.24244394E+01
        540.0000          3.32603444E+01          2.02612741E+01          1.25911169E+01
        550.0000          3.37293334E+01          2.05184243E+01          1.27576292E+01
        560.0000          3.41978708E+01          2.07753424E+01          1.29239758E+01
        570.0000          3.46659599E+01          2.10320253E+01          1.30901566E+01
        580.0000          3.51336044E+01          2.12884705E+01          1.32561715E+01
        590.0000          3.56008081E+01          2.15446760E+01          1.34220208E+01
        600.0000          3.60675749E+01          2.18006403E+01          1.35877048E+01
        610.0000          3.65339090E+01          2.20563622E+01          1.37532241E+01
        620.0000          3.69998145E+01          2.23118410E+01          1.39185792E+01
        630.0000          3.74652957E+01          2.25670761E+01          1.40837710E+01
        640.0000          3.79303570E+01          2.28220674E+01          1.42488003E+01
        650.0000          3.83950028E+01          2.30768149E+01          1.44136680E+01
        660.0000          3.88592374E+01          2.33313190E+01          1.45783752E+01
        670.0000          3.93230654E+01          2.35855799E+01          1.47429228E+01
        680.0000          3.97864912E+01          2.38395986E+01          1.49073121E+01
        690.0000          4.02495192E+01          2.40933756E+01          1.50715442E+01
        700.0000          4.07121539E+01          2.43469120E+01          1.52356203E+01
        710.0000          4.11743997E+01          2.46002088E+01          1.53995417E+01
        720.0000          4.16362610E+01          2.48532672E+01          1.55633097E+01
        730.0000          4.20977421E+01          2.51060885E+01          1.57269255E+01
        740.0000          4.25588475E+01          2.53586741E+01          1.58903905E+01
        750.0000          4.30195813E+01          2.56110253E+01          1.60537060E+01
        760.0000          4.34799479E+01          2.58631436E+01          1.62168734E+01
        770.0000          4.39399514E+01          2.61150307E+01          1.63798940E+01
        780.0000          4.43995960E+01          2.63666880E+01          1.65427691E+01
        790.0000          4.48588859E+01          2.66181173E+01          1.67055001E+01
        800.0000          4.53178250E+01          2.68693202E+01          1.68680885E+01
        810.0000          4.57764174E+01          2.71202985E+01          1.70305354E+01
        820.0000          4.62346670E+01          2.73710538E+01          1.71928424E+01
        830.0000          4.66925778E+01          2.76215879E+01          1.73550107E+01
        840.0000          4.71501536E+01          2.78719026E+01          1.75170417E+01
        850.0000          4.76073981E+01          2.81219996E+01          1.76789367E+01
        860.0000          4.80643151E+01          2.83718808E+01          1.78406971E+01
        870.0000          4.85209083E+01          2.86215479E+01          1.80023241E+01
        880.0000          4.89771813E+01          2.88710027E+01          1.81638191E+01
        890.0000          4.94331376E+01          2.91202470E+01          1.83251834E+01
        900.0000          4.98887809E+01          2.93692827E+01          1.84864182E+01
        910.0000          5.03441144E+01          2.96181115E+01          1.86475248E+01
        920.0000          5.07991416E+01          2.98667352E+01          1.88085045E+01
        930.0000          5.12538660E+01          3.01151556E+01          1.89693586E+01
        940.0000          5.17082907E+01          3.03633744E+01          1.91300882E+01
        950.0000          5.21624189E+01          3.06113935E+01          1.92906945E+01
        960.0000          5.26162540E+01          3.08592145E+01          1.94511789E+01
        970.0000          5.30697990E+01          3.11068393E+01          1.96115424E+01
        980.0000          5.35230570E+01          3.13542695E+01          1.97717862E+01
        990.0000          5.39760310E+01          3.16015069E+01          1.99319115E+01
       1000.0000          5.44287241E+01          3.18485531E+01          2.00919195E+01
       1100.0000          5.89408230E+01          3.43088670E+01          2.16857864E+01
       1200.0000          6.34277669E+01          3.67518223E+01          2.32690714E+01
       1300.0000          6.78918400E+01          3.91788486E+01          2.48426918E+01
       1400.0000          7.23349920E+01          4.15912106E+01          2.64074446E+01
       1500.0000          7.67588963E+01          4.39900229E+01          2.79640234E+01
       1563.9990          7.95807260E+01          4.55185866E+01          2.89562116E+01
       1564.0010          7.95808140E+01          4.55186343E+01          2.89562426E+01
       1600.0000          8.11649992E+01          4.63762679E+01          2.95130339E+01
       1700.0000          8.55545587E+01          4.87508136E+01          3.10550075E+01
       1800.0000          8.99286757E+01          5.11144294E+01          3.25904123E+01
       1900.0000          9.42883195E+01          5.34677997E+01          3.41196629E+01
       2000.0000          9.86343485E+01          5.58115354E+01          3.56431282E+01
       2100.0000          1.02967527E+02          5.81461846E+01          3.71611377E+01
       2200.0000          1.07288537E+02          6.04722400E+01          3.86739873E+01
       2300.0000          1.11597993E+02          6.27901471E+01          4.01819435E+01
       2400.0000          1.15896448E+02          6.51003092E+01          4.16852474E+01
       2475.9990          1.19156185E+02          6.68510566E+01          4.28247675E+01
       2476.0010          1.19156271E+02          6.68511026E+01          4.28247974E+01
       2500.0000          1.20184405E+02          6.74030934E+01          4.31841180E+01
       2600.0000          1.24462319E+02          6.96988343E+01          4.46787547E+01
       2700.0000          1.28730605E+02          7.19878384E+01          4.61693397E+01
       2800.0000          1.32989645E+02          7.42703867E+01          4.76560400E+01
       2900.0000          1.37239787E+02          7.65467378E+01          4.91390091E+01
       3000.0000          1.41481353E+02          7.88171303E+01          5.06183886E+01
       3100.0000          1.45714640E+02          8.10817848E+01          5.20943092E+01
       3200.0000          1.49939921E+02          8.33409057E+01          5.35668919E+01
       3300.0000          1.54157453E+02          8.55946831E+01          5.50362493E+01
       3400.0000          1.58367470E+02          8.78432936E+01          5.65024858E+01
       3500.0000          1.62570194E+02          9.00869022E+01          5.79656989E+01
       3600.0000          1.66765829E+02          9.23256628E+01          5.94259796E+01
       3700.0000          1.70954569E+02          9.45597196E+01          6.08834130E+01
       3800.0000          1.75136592E+02          9.67892078E+01          6.23380791E+01
       3900.0000          1.79312069E+02          9.90142544E+01          6.37900526E+01
       4000.0000          1.83481157E+02          1.01234979E+02          6.52394041E+01
       4100.0000          1.87644006E+02          1.03451493E+02          6.66861998E+01
       4200.0000          1.91800757E+02          1.05663904E+02          6.81305024E+01
       4300.0000          1.95951543E+02          1.07872311E+02          6.95723708E+01
       4400.0000          2.00096490E+02          1.10076810E+02          7.10118610E+01
       4500.0000          2.04235716E+02          1.12277489E+02          7.24490258E+01
       4600.0000          2.08369333E+02          1.14474434E+02          7.38839153E+01
       4700.0000          2.12497450E+02          1.16667727E+02          7.53165771E+01
       4800.0000          2.16620167E+02          1.18857442E+02          7.67470564E+01
       4900.0000          2.20737581E+02          1.21043654E+02          7.81753961E+01
       5000.0000          2.24849784E+02          1.23226432E+02          7.96016372E+01
       5100.0000          2.28956863E+02          1.25405842E+02          8.10258185E+01
       5200.0000          2.33058903E+02          1.27581947E+02          8.24479774E+01
       5300.0000          2.37155981E+02          1.29754808E+02          8.38681493E+01
       5400.0000          2.41248176E+02          1.31924482E+02          8.52863680E+01
       5500.0000          2.45335559E+02          1.34091024E+02          8.67026662E+01
       5600.0000          2.49418200E+02          1.36254487E+02          8.81170747E+01
       5700.0000          2.53496167E+02          1.38414922E+02          8.95296234E+01
       5800.0000          2.57569523E+02          1.40572377E+02          9.09403408E+01
       5900.0000          2.61638329E+02          1.42726898E+02          9.23492542E+01
       6000.0000          2.65702644E+02          1.44878531E+02          9.37563899E+01
       6100.0000          2.69762526E+02          1.47027317E+02          9.51617731E+01
       6200.0000          2.73818029E+02          1.49173299E+02          9.65654281E+01
       6300.0000          2.77869204E+02          1.51316515E+02          9.79673782E+01
       6400.0000          2.81916103E+02          1.53457005E+02          9.93676460E+01
       6500.0000          2.85958774E+02          1.55594805E+02          1.00766253E+02
       6600.0000          2.89997264E+02          1.57729949E+02          1.02163220E+02
       6700.0000          2.94031618E+02          1.59862474E+02          1.03558567E+02
       6800.0000          2.98061880E+02          1.61992410E+02          1.04952314E+02
       6900.0000          3.02088092E+02          1.64119791E+02          1.06344479E+02
       7000.0000          3.06110295E+02          1.66244647E+02          1.07735081E+02
       7100.0000          3.10128527E+02          1.68367008E+02          1.09124137E+02
       7200.0000          3.14142828E+02          1.70486902E+02          1.10511663E+02
       7300.0000          3.18153233E+02          1.72604358E+02          1.11897677E+02
       7400.0000          3.22159778E+02          1.74719402E+02          1.13282194E+02
       7500.0000          3.26162499E+02          1.76832060E+02          1.14665229E+02
       7600.0000          3.30161428E+02          1.78942357E+02          1.16046798E+02
       7700.0000          3.34156597E+02          1.81050319E+02          1.17426915E+02
       7800.0000          3.38148039E+02          1.83155968E+02          1.18805593E+02
       7900.0000          3.42135784E+02          1.85259328E+02          1.20182846E+02
       8000.0000          3.46119862E+02          1.87360421E+02          1.21558688E+02
       8100.0000          3.50100300E+02          1.89459269E+02          1.22933130E+02
       8200.0000          3.54077128E+02          1.91555892E+02          1.24306187E+02
       8300.0000          3.58050372E+02          1.93650312E+02          1.25677869E+02
       8400.0000          3.62020059E+02          1.95742548E+02          1.27048188E+02
       8500.0000          3.65986214E+02          1.97832619E+02          1.28417156E+02
       8600.0000          3.69948863E+02          1.99920544E+02          1.29784784E+02
       8700.0000          3.73908030E+02          2.02006342E+02          1.31151083E+02
       8800.0000          3.77863738E+02          2.04090030E+02          1.32516062E+02
       8900.0000          3.81816011E+02          2.06171626E+02          1.33879733E+02
       9000.0000          3.85764871E+02          2.08251147E+02          1.35242105E+02
       9100.0000          3.89710341E+02          2.10328608E+02          1.36603188E+02
       9200.0000          3.93652441E+02          2.12404027E+02          1.37962992E+02
       9300.0000          3.97591192E+02          2.14477418E+02          1.39321525E+02
       9400.0000          4.01526615E+02          2.16548797E+02          1.40678797E+02
       9500.0000          4.05458729E+02          2.18618179E+02          1.42034816E+02
       9600.0000          4.09387555E+02          2.20685578E+02          1.43389592E+02
       9700.0000          4.13313111E+02          2.22751009E+02          1.44743131E+02
       9800.0000          4.17235415E+02          2.24814484E+02          1.46095443E+02
       9900.0000          4.21154485E+02          2.26876019E+02          1.47446536E+02
      10000.0000          4.25070340E+02          2.28935626E+02          1.48796417E+02
      11000.0000          4.64055645E+02          2.49428346E+02          1.62230174E+02
      12000.0000          5.02736256E+02          2.69740805E+02          1.75550174E+02
      13000.0000          5.41124843E+02          2.89882352E+02          1.88761954E+02
      14000.0000          5.79231996E+02          3.09860744E+02          2.01870119E+02
      15000.0000          6.17066736E+02          3.29682531E+02          2.14878564E+02
      16000.0000          6.54636864E+02          3.49353331E+02          2.27790640E+02
      17000.0000          6.91949222E+02          3.68878022E+02          2.40609262E+02
      18000.0000          7.29009879E+02          3.88260896E+02          2.53337002E+02
      19000.0000          7.65824279E+02          4.07505760E+02          2.65976149E+02
      20000.0000          8.02397348E+02          4.26616031E+02          2.78528759E+02
      21000.0000          8.38733583E+02          4.45594795E+02          2.90996699E+02
      22000.0000          8.74837120E+02          4.64444863E+02          3.03381671E+02
      23000.0000          9.10711786E+02          4.83168812E+02          3.15685240E+02
      24000.0000          9.46361146E+02          5.01769019E+02          3.27908855E+02
      25000.0000          9.81788536E+02          5.20247689E+02          3.40053861E+02
      26000.0000          1.01699710E+03          5.38606877E+02          3.52121516E+02
      27000.0000          1.05198979E+03          5.56848507E+02          3.64113003E+02
      28000.0000          1.08676943E+03          5.74974390E+02          3.76029435E+02
      29000.0000          1.12133869E+03          5.92986232E+02          3.87871865E+02
      30000.0000          1.15570013E+03          6.10885653E+02          3.99641294E+02
      31000.0000          1.18985619E+03          6.28674189E+02          4.11338674E+02
      32000.0000          1.22380923E+03          6.46353305E+02          4.22964917E+02
      33000.0000          1.25756151E+03          6.63924402E+02          4.34520892E+02
      34000.0000          1.29111520E+03          6.81388821E+02          4.46007438E+02
      35000.0000          1.32447242E+03          6.98747848E+02          4.57425357E+02
      36000.0000          1.35763520E+03          7.16002724E+02          4.68775427E+02
      37000.0000          1.39060553E+03          7.33154642E+02          4.80058395E+02
      38000.0000          1.42338533E+03          7.50204754E+02          4.91274988E+02
      39000.0000          1.45597646E+03          7.67154178E+02          5.02425906E+02
      40000.0000          1.48838075E+03          7.84003992E+02          5.13511830E+02
      41000.0000          1.52059996E+03          8.00755244E+02          5.24533424E+02
      42000.0000          1.55263584E+03          8.17408954E+02          5.35491330E+02
      43000.0000          1.58449008E+03          8.33966110E+02          5.46386175E+02
      44000.0000          1.61616432E+03          8.50427677E+02          5.57218571E+02
      45000.0000          1.64766019E+03          8.66794594E+02          5.67989115E+02
      46000.0000          1.67897928E+03          8.83067777E+02          5.78698387E+02
      47000.0000          1.71012313E+03          8.99248121E+02          5.89346959E+02
      48000.0000          1.74109328E+03          9.15336500E+02          5.99935387E+02
      49000.0000          1.77189122E+03          9.31333769E+02          6.10464217E+02
      50000.0000          1.80251841E+03          9.47240765E+02          6.20933984E+02
