#Energy      C   H   F  Total
        120.0000          1.19319175E+01          5.65465848E+01          9.60509747E+00          4.86370098E+00
        130.0000          1.26887605E+01          6.10565448E+01          1.00875676E+01          5.14614829E+00
        140.0000          1.34454250E+01          6.55658692E+01          1.05721609E+01          5.42845076E+00
        150.0000          1.42017425E+01          7.00745899E+01          1.10582046E+01          5.71053321E+00
        160.0000          1.49576017E+01          7.45827349E+01          1.15452109E+01          5.99234534E+00
        170.0000          1.57129300E+01          7.90903287E+01          1.20328208E+01          6.27385406E+00
        180.0000          1.64676812E+01          8.35973927E+01          1.25207671E+01          6.55503830E+00
        190.0000          1.72218276E+01          8.81039459E+01          1.30088491E+01          6.83588550E+00
        200.0000          1.79753542E+01          9.26100052E+01          1.34969149E+01          7.11638915E+00
        210.0000          1.87282553E+01          9.71155857E+01          1.39848492E+01          7.39654705E+00
        220.0000          1.94805314E+01          1.01620701E+02          1.44725638E+01          7.67636010E+00
        230.0000          2.02321878E+01          1.06125363E+02          1.49599920E+01          7.95583139E+00
        240.0000          2.09832325E+01          1.10629583E+02          1.54470827E+01          8.23496556E+00
        250.0000          2.17336759E+01          1.15133371E+02          1.59337975E+01          8.51376835E+00
        260.0000          2.24835300E+01          1.19636737E+02          1.64201078E+01          8.79224621E+00
        270.0000          2.32328074E+01          1.24139687E+02          1.69059923E+01          9.07040609E+00
        280.0000          2.39815214E+01          1.28642231E+02          1.73914361E+01          9.34825519E+00
        287.9990          2.45800213E+01          1.32243527E+02          1.77794182E+01          9.57028793E+00
        288.0010          2.45801709E+01          1.32244428E+02          1.77795151E+01          9.57034342E+00
        290.0000          2.47296856E+01          1.33144375E+02          1.78764287E+01          9.62580090E+00
        300.0000          2.54773136E+01          1.37646125E+02          1.83609636E+01          9.90305060E+00
        310.0000          2.62244189E+01          1.42147488E+02          1.88450371E+01          1.01800117E+01
        320.0000          2.69710148E+01          1.46648469E+02          1.93286479E+01          1.04566914E+01
        330.0000          2.77171144E+01          1.51149073E+02          1.98117968E+01          1.07330969E+01
        340.0000          2.84627304E+01          1.55649305E+02          2.02944858E+01          1.10092351E+01
        350.0000          2.92078752E+01          1.60149170E+02          2.07767182E+01          1.12851129E+01
        360.0000          2.99525608E+01          1.64648672E+02          2.12584982E+01          1.15607368E+01
        370.0000          3.06967988E+01          1.69147814E+02          2.17398308E+01          1.18361133E+01
        380.0000          3.14406004E+01          1.73646600E+02          2.22207215E+01          1.21112486E+01
        390.0000          3.21839765E+01          1.78145034E+02          2.27011762E+01          1.23861485E+01
        400.0000          3.29269374E+01          1.82643119E+02          2.31812011E+01          1.26608190E+01
        410.0000          3.36694932E+01          1.87140857E+02          2.36608027E+01          1.29352655E+01
        420.0000          3.44116536E+01          1.91638253E+02          2.41399876E+01          1.32094935E+01
        430.0000          3.51534280E+01          1.96135308E+02          2.46187625E+01          1.34835082E+01
        440.0000          3.58948252E+01          2.00632025E+02          2.50971341E+01          1.37573145E+01
        450.0000          3.66358539E+01          2.05128406E+02          2.55751092E+01          1.40309173E+01
        460.0000          3.73765224E+01          2.09624455E+02          2.60526945E+01          1.43043212E+01
        470.0000          3.81168388E+01          2.14120172E+02          2.65298966E+01          1.45775308E+01
        480.0000          3.88568107E+01          2.18615560E+02          2.70067223E+01          1.48505503E+01
        490.0000          3.95964455E+01          2.23110621E+02          2.74831780E+01          1.51233839E+01
        500.0000          4.03357504E+01          2.27605358E+02          2.79592700E+01          1.53960356E+01
        510.0000          4.10747322E+01          2.32099771E+02          2.84350049E+01          1.56685093E+01
        520.0000          4.18133977E+01          2.36593862E+02          2.89103886E+01          1.59408088E+01
        530.0000          4.25517530E+01          2.41087633E+02          2.93854274E+01          1.62129376E+01
        540.0000          4.32898046E+01          2.45581086E+02          2.98601271E+01          1.64848992E+01
        550.0000          4.40275582E+01          2.50074222E+02          3.03344935E+01          1.67566971E+01
        560.0000          4.47650196E+01          2.54567042E+02          3.08085325E+01          1.70283343E+01
        570.0000          4.55021944E+01          2.59059548E+02          3.12822494E+01          1.72998142E+01
        580.0000          4.62390879E+01          2.63551742E+02          3.17556498E+01          1.75711397E+01
        590.0000          4.69757052E+01          2.68043624E+02          3.22287390E+01          1.78423137E+01
        600.0000          4.77120514E+01          2.72535195E+02          3.27015221E+01          1.81133391E+01
        610.0000          4.84481313E+01          2.77026457E+02          3.31740042E+01          1.83842186E+01
        620.0000          4.91839494E+01          2.81517411E+02          3.36461902E+01          1.86549549E+01
        630.0000          4.99195105E+01          2.86008058E+02          3.41180849E+01          1.89255505E+01
        640.0000          5.06548187E+01          2.90498399E+02          3.45896930E+01          1.91960080E+01
        650.0000          5.13898783E+01          2.94988435E+02          3.50610191E+01          1.94663298E+01
        660.0000          5.21246935E+01          2.99478167E+02          3.55320676E+01          1.97365181E+01
        670.0000          5.28592681E+01          3.03967596E+02          3.60028428E+01          2.00065753E+01
        680.0000          5.35936061E+01          3.08456722E+02          3.64733491E+01          2.02765036E+01
        690.0000          5.43277111E+01          3.12945547E+02          3.69435904E+01          2.05463050E+01
        693.9990          5.46212152E+01          3.14740544E+02          3.71315667E+01          2.06541636E+01
        694.0010          5.46213620E+01          3.14741442E+02          3.71316607E+01          2.06542175E+01
        700.0000          5.50615867E+01          3.17434071E+02          3.74135710E+01          2.08159817E+01
        710.0000          5.57952364E+01          3.21922296E+02          3.78832946E+01          2.10855356E+01
        720.0000          5.65286637E+01          3.26410222E+02          3.83527651E+01          2.13549688E+01
