#Energy      H   C   O  Total
         48.0000          1.94376934E+01          6.60772218E+00          1.26715243E+01          3.54985535E+00
         49.0000          1.98027007E+01          6.68051857E+00          1.27642776E+01          3.59026743E+00
         50.0000          2.01676993E+01          6.75353400E+00          1.28580040E+01          3.63072042E+00
         51.0000          2.05326892E+01          6.82675437E+00          1.29526444E+01          3.67121169E+00
         52.0000          2.08976704E+01          6.90016667E+00          1.30481441E+01          3.71173878E+00
         53.0000          2.12626429E+01          6.97375884E+00          1.31444527E+01          3.75229939E+00
         54.0000          2.16276067E+01          7.04751974E+00          1.32415233E+01          3.79289137E+00
         55.0000          2.19925619E+01          7.12143901E+00          1.33393123E+01          3.83351269E+00
         56.0000          2.23575085E+01          7.19550705E+00          1.34377795E+01          3.87416146E+00
         57.0000          2.27224465E+01          7.26971493E+00          1.35368870E+01          3.91483589E+00
         58.0000          2.30873759E+01          7.34405433E+00          1.36366000E+01          3.95553431E+00
         59.0000          2.34522969E+01          7.41851751E+00          1.37368856E+01          3.99625515E+00
         60.0000          2.38172095E+01          7.49309725E+00          1.38377134E+01          4.03699691E+00
         61.0000          2.41821136E+01          7.56778679E+00          1.39390547E+01          4.07775822E+00
         62.0000          2.45470095E+01          7.64257982E+00          1.40408829E+01          4.11853775E+00
         63.0000          2.49118970E+01          7.71747046E+00          1.41431729E+01          4.15933426E+00
         64.0000          2.52767764E+01          7.79245317E+00          1.42459012E+01          4.20014658E+00
         65.0000          2.56416476E+01          7.86752277E+00          1.43490457E+01          4.24097363E+00
         66.0000          2.60065107E+01          7.94267441E+00          1.44525859E+01          4.28181434E+00
         67.0000          2.63713657E+01          8.01790352E+00          1.45565021E+01          4.32266775E+00
         68.0000          2.67362128E+01          8.09320582E+00          1.46607762E+01          4.36353293E+00
         69.0000          2.71010520E+01          8.16857727E+00          1.47653907E+01          4.40440899E+00
         70.0000          2.74658833E+01          8.24401408E+00          1.48703295E+01          4.44529511E+00
         71.0000          2.78307069E+01          8.31951268E+00          1.49755772E+01          4.48619050E+00
         72.0000          2.81955227E+01          8.39506970E+00          1.50811193E+01          4.52709443E+00
         73.0000          2.85603308E+01          8.47068197E+00          1.51869421E+01          4.56800618E+00
         74.0000          2.89251313E+01          8.54634649E+00          1.52930326E+01          4.60892509E+00
         75.0000          2.92899243E+01          8.62206042E+00          1.53993787E+01          4.64985054E+00
         76.0000          2.96547098E+01          8.69782110E+00          1.55059687E+01          4.69078191E+00
         77.0000          3.00194878E+01          8.77362600E+00          1.56127916E+01          4.73171865E+00
         78.0000          3.03842585E+01          8.84947271E+00          1.57198370E+01          4.77266022E+00
         79.0000          3.07490219E+01          8.92535899E+00          1.58270951E+01          4.81360611E+00
         80.0000          3.11137780E+01          9.00128268E+00          1.59345564E+01          4.85455583E+00
         81.0000          3.14785269E+01          9.07724175E+00          1.60422120E+01          4.89550893E+00
         82.0000          3.18432687E+01          9.15323428E+00          1.61500536E+01          4.93646497E+00
         83.0000          3.22080034E+01          9.22925843E+00          1.62580730E+01          4.97742353E+00
         84.0000          3.25727311E+01          9.30531248E+00          1.63662626E+01          5.01838422E+00
         85.0000          3.29374518E+01          9.38139477E+00          1.64746151E+01          5.05934667E+00
         86.0000          3.33021656E+01          9.45750375E+00          1.65831236E+01          5.10031052E+00
         87.0000          3.36668726E+01          9.53363792E+00          1.66917815E+01          5.14127544E+00
         88.0000          3.40315727E+01          9.60979587E+00          1.68005824E+01          5.18224110E+00
         89.0000          3.43962660E+01          9.68597626E+00          1.69095204E+01          5.22320720E+00
         90.0000          3.47609527E+01          9.76217781E+00          1.70185898E+01          5.26417345E+00
         91.0000          3.51256327E+01          9.83839930E+00          1.71277850E+01          5.30513957E+00
         92.0000          3.54903061E+01          9.91463956E+00          1.72371008E+01          5.34610530E+00
         93.0000          3.58549730E+01          9.99089751E+00          1.73465323E+01          5.38707039E+00
         94.0000          3.62196333E+01          1.00671721E+01          1.74560747E+01          5.42803461E+00
         95.0000          3.65842872E+01          1.01434623E+01          1.75657234E+01          5.46899773E+00
         96.0000          3.69489346E+01          1.02197671E+01          1.76754741E+01          5.50995953E+00
         97.0000          3.73135757E+01          1.02960857E+01          1.77853226E+01          5.55091980E+00
         98.0000          3.76782105E+01          1.03724172E+01          1.78952649E+01          5.59187836E+00
         99.0000          3.80428390E+01          1.04487607E+01          1.80052971E+01          5.63283502E+00
        100.0000          3.84074613E+01          1.05251155E+01          1.81154157E+01          5.67378960E+00
        110.0000          4.20533508E+01          1.12891310E+01          1.92206437E+01          6.08318797E+00
        120.0000          4.56986618E+01          1.20536162E+01          2.03314123E+01          6.49223719E+00
        130.0000          4.93434291E+01          1.28181785E+01          2.14457973E+01          6.90085833E+00
        140.0000          5.29876825E+01          1.35825606E+01          2.25624715E+01          7.30900563E+00
        150.0000          5.66314482E+01          1.43465921E+01          2.36805013E+01          7.71665470E+00
        160.0000          6.02747486E+01          1.51101606E+01          2.47992197E+01          8.12379505E+00
        170.0000          6.39176035E+01          1.58731928E+01          2.59181444E+01          8.53042533E+00
        180.0000          6.75600302E+01          1.66356420E+01          2.70369238E+01          8.93655015E+00
        190.0000          7.12020442E+01          1.73974803E+01          2.81553002E+01          9.34217800E+00
        200.0000          7.48436590E+01          1.81586924E+01          2.92730840E+01          9.74731982E+00
        210.0000          7.84848869E+01          1.89192727E+01          3.03901367E+01          1.01519880E+01
        220.0000          8.21257388E+01          1.96792216E+01          3.15063572E+01          1.05561960E+01
        230.0000          8.57662245E+01          2.04385444E+01          3.26216728E+01          1.09599572E+01
        240.0000          8.94063530E+01          2.11972493E+01          3.37360324E+01          1.13632855E+01
        250.0000          9.30461323E+01          2.19553469E+01          3.48494013E+01          1.17661945E+01
        260.0000          9.66855698E+01          2.27128490E+01          3.59617573E+01          1.21686974E+01
        270.0000          1.00324672E+02          2.34697686E+01          3.70730881E+01          1.25708072E+01
        280.0000          1.03963446E+02          2.42261191E+01          3.81833885E+01          1.29725364E+01
        287.9990          1.06873868E+02          2.48307233E+01          3.90707765E+01          1.32936137E+01
        288.0010          1.06874596E+02          2.48308745E+01          3.90709983E+01          1.32936940E+01
        290.0000          1.07601896E+02          2.49819141E+01          3.92926594E+01          1.33738971E+01
        300.0000          1.11240029E+02          2.57371675E+01          4.04009057E+01          1.37749007E+01
        310.0000          1.14877848E+02          2.64918928E+01          4.15081360E+01          1.41755585E+01
        320.0000          1.18515359E+02          2.72461036E+01          4.26143614E+01          1.45758809E+01
        330.0000          1.22152565E+02          2.79998130E+01          4.37195947E+01          1.49758782E+01
        340.0000          1.25789471E+02          2.87530338E+01          4.48238504E+01          1.53755601E+01
        350.0000          1.29426079E+02          2.95057787E+01          4.59271438E+01          1.57749357E+01
        360.0000          1.33062394E+02          3.02580596E+01          4.70294912E+01          1.61740141E+01
        370.0000          1.36698419E+02          3.10098884E+01          4.81309091E+01          1.65728035E+01
        380.0000          1.40334156E+02          3.17612764E+01          4.92314143E+01          1.69713120E+01
        390.0000          1.43969608E+02          3.25122344E+01          5.03310239E+01          1.73695474E+01
        400.0000          1.47604778E+02          3.32627731E+01          5.14297548E+01          1.77675170E+01
        410.0000          1.51239669E+02          3.40129026E+01          5.25276240E+01          1.81652279E+01
        420.0000          1.54874282E+02          3.47626326E+01          5.36246482E+01          1.85626867E+01
        430.0000          1.58508620E+02          3.55119726E+01          5.47208438E+01          1.89599000E+01
        440.0000          1.62142684E+02          3.62609317E+01          5.58162270E+01          1.93568738E+01
        450.0000          1.65776478E+02          3.70095185E+01          5.69108139E+01          1.97536140E+01
        460.0000          1.69410002E+02          3.77577414E+01          5.80046199E+01          2.01501264E+01
        470.0000          1.73043259E+02          3.85056086E+01          5.90976603E+01          2.05464163E+01
        480.0000          1.76676250E+02          3.92531277E+01          6.01899499E+01          2.09424888E+01
        490.0000          1.80308977E+02          4.00003064E+01          6.12815032E+01          2.13383491E+01
        500.0000          1.83941441E+02          4.07471517E+01          6.23723345E+01          2.17340018E+01
        510.0000          1.87573643E+02          4.14936708E+01          6.34624574E+01          2.21294516E+01
        520.0000          1.91205586E+02          4.22398702E+01          6.45518853E+01          2.25247028E+01
        530.0000          1.94837270E+02          4.29857564E+01          6.56406313E+01          2.29197598E+01
        537.9990          1.97742069E+02          4.35821695E+01          6.65110368E+01          2.32356287E+01
        538.0010          1.97742795E+02          4.35823186E+01          6.65112544E+01          2.32357077E+01
        540.0000          1.98468697E+02          4.37313356E+01          6.67287080E+01          2.33146265E+01
        550.0000          2.02099868E+02          4.44766139E+01          6.78161277E+01          2.37093070E+01
        560.0000          2.05730783E+02          4.52215970E+01          6.89029024E+01          2.41038049E+01
        570.0000          2.09361445E+02          4.59662905E+01          6.99890438E+01          2.44981240E+01
        580.0000          2.12991854E+02          4.67106999E+01          7.10745632E+01          2.48922678E+01
        590.0000          2.16622011E+02          4.74548303E+01          7.21594715E+01          2.52862395E+01
        600.0000          2.20251917E+02          4.81986868E+01          7.32437793E+01          2.56800426E+01
        610.0000          2.23881574E+02          4.89422742E+01          7.43274972E+01          2.60736801E+01
        620.0000          2.27510981E+02          4.96855973E+01          7.54106351E+01          2.64671550E+01
        630.0000          2.31140140E+02          5.04286607E+01          7.64932029E+01          2.68604704E+01
        640.0000          2.34769052E+02          5.11714686E+01          7.75752101E+01          2.72536291E+01
        650.0000          2.38397717E+02          5.19140254E+01          7.86566659E+01          2.76466337E+01
        660.0000          2.42026137E+02          5.26563353E+01          7.97375793E+01          2.80394871E+01
        670.0000          2.45654312E+02          5.33984022E+01          8.08179592E+01          2.84321916E+01
        680.0000          2.49282242E+02          5.41402299E+01          8.18978138E+01          2.88247499E+01
        690.0000          2.52909929E+02          5.48818223E+01          8.29771517E+01          2.92171643E+01
        700.0000          2.56537373E+02          5.56231831E+01          8.40559807E+01          2.96094371E+01
        710.0000          2.60164574E+02          5.63643156E+01          8.51343088E+01          3.00015706E+01
        720.0000          2.63791534E+02          5.71052234E+01          8.62121436E+01          3.03935671E+01
        730.0000          2.67418253E+02          5.78459098E+01          8.72894924E+01          3.07854285E+01
        740.0000          2.71044731E+02          5.85863781E+01          8.83663624E+01          3.11771571E+01
        750.0000          2.74670970E+02          5.93266312E+01          8.94427608E+01          3.15687548E+01
        760.0000          2.78296969E+02          6.00666724E+01          9.05186944E+01          3.19602234E+01
        770.0000          2.81922730E+02          6.08065045E+01          9.15941698E+01          3.23515650E+01
        780.0000          2.85548252E+02          6.15461305E+01          9.26691935E+01          3.27427813E+01
        790.0000          2.89173536E+02          6.22855531E+01          9.37437718E+01          3.31338742E+01
        800.0000          2.92798583E+02          6.30247750E+01          9.48179110E+01          3.35248453E+01
        810.0000          2.96423394E+02          6.37637990E+01          9.58916170E+01          3.39156963E+01
        820.0000          3.00047967E+02          6.45026275E+01          9.69648957E+01          3.43064289E+01
        830.0000          3.03672305E+02          6.52412631E+01          9.80377528E+01          3.46970446E+01
        840.0000          3.07296408E+02          6.59797082E+01          9.91101938E+01          3.50875451E+01
        850.0000          3.10920275E+02          6.67179653E+01          1.00182224E+02          3.54779318E+01
        860.0000          3.14543908E+02          6.74560365E+01          1.01253850E+02          3.58682061E+01
        870.0000          3.18167307E+02          6.81939243E+01          1.02325075E+02          3.62583696E+01
        880.0000          3.21790471E+02          6.89316307E+01          1.03395905E+02          3.66484235E+01
        890.0000          3.25413402E+02          6.96691579E+01          1.04466345E+02          3.70383693E+01
        900.0000          3.29036100E+02          7.04065080E+01          1.05536400E+02          3.74282083E+01
        910.0000          3.32658566E+02          7.11436831E+01          1.06606074E+02          3.78179418E+01
        920.0000          3.36280798E+02          7.18806851E+01          1.07675372E+02          3.82075710E+01
        930.0000          3.39902799E+02          7.26175159E+01          1.08744299E+02          3.85970971E+01
        940.0000          3.43524568E+02          7.33541775E+01          1.09812858E+02          3.89865214E+01
        950.0000          3.47146106E+02          7.40906718E+01          1.10881055E+02          3.93758450E+01
        960.0000          3.50767412E+02          7.48270005E+01          1.11948894E+02          3.97650690E+01
        970.0000          3.54388488E+02          7.55631653E+01          1.13016377E+02          4.01541946E+01
        980.0000          3.58009333E+02          7.62991681E+01          1.14083511E+02          4.05432229E+01
        990.0000          3.61629948E+02          7.70350104E+01          1.15150298E+02          4.09321549E+01
       1000.0000          3.65250333E+02          7.77706940E+01          1.16216742E+02          4.13209916E+01
       1100.0000          4.01441596E+02          8.51191339E+01          1.26863123E+02          4.52043323E+01
       1200.0000          4.37610138E+02          9.24532618E+01          1.37478912E+02          4.90791334E+01
       1300.0000          4.73756163E+02          9.97742409E+01          1.48066863E+02          5.29461261E+01
       1400.0000          5.09879838E+02          1.07083030E+02          1.58629259E+02          5.68059120E+01
       1500.0000          5.45981305E+02          1.14380429E+02          1.69168020E+02          6.06589932E+01
       1600.0000          5.82060686E+02          1.21667117E+02          1.79684774E+02          6.45057940E+01
       1700.0000          6.18118086E+02          1.28943672E+02          1.90180918E+02          6.83466768E+01
       1800.0000          6.54153597E+02          1.36210594E+02          2.00657659E+02          7.21819540E+01
       1900.0000          6.90167302E+02          1.43468317E+02          2.11116052E+02          7.60118971E+01
       2000.0000          7.26159275E+02          1.50717223E+02          2.21557021E+02          7.98367441E+01
       2100.0000          7.62129583E+02          1.57957647E+02          2.31981384E+02          8.36567049E+01
       2200.0000          7.98078286E+02          1.65189887E+02          2.42389868E+02          8.74719656E+01
       2300.0000          8.34005440E+02          1.72414211E+02          2.52783121E+02          9.12826925E+01
       2400.0000          8.69911097E+02          1.79630857E+02          2.63161727E+02          9.50890346E+01
       2500.0000          9.05795306E+02          1.86840040E+02          2.73526213E+02          9.88911264E+01
       2600.0000          9.41658111E+02          1.94041957E+02          2.83877054E+02          1.02689089E+02
       2700.0000          9.77499554E+02          2.01236784E+02          2.94214685E+02          1.06483034E+02
       2800.0000          1.01331968E+03          2.08424683E+02          3.04539502E+02          1.10273061E+02
       2900.0000          1.04911851E+03          2.15605803E+02          3.14851865E+02          1.14059264E+02
       3000.0000          1.08489610E+03          2.22780279E+02          3.25152109E+02          1.17841725E+02
       3100.0000          1.12065248E+03          2.29948237E+02          3.35440539E+02          1.21620525E+02
       3200.0000          1.15638767E+03          2.37109794E+02          3.45717439E+02          1.25395734E+02
       3300.0000          1.19210172E+03          2.44265056E+02          3.55983072E+02          1.29167419E+02
       3400.0000          1.22779464E+03          2.51414123E+02          3.66237680E+02          1.32935643E+02
       3500.0000          1.26346648E+03          2.58557088E+02          3.76481490E+02          1.36700462E+02
       3600.0000          1.29911725E+03          2.65694038E+02          3.86714713E+02          1.40461932E+02
       3700.0000          1.33474700E+03          2.72825054E+02          3.96937547E+02          1.44220101E+02
       3800.0000          1.37035573E+03          2.79950211E+02          4.07150177E+02          1.47975018E+02
       3900.0000          1.40594348E+03          2.87069581E+02          4.17352775E+02          1.51726726E+02
       4000.0000          1.44151028E+03          2.94183230E+02          4.27545505E+02          1.55475266E+02
       4100.0000          1.47705615E+03          3.01291223E+02          4.37728520E+02          1.59220679E+02
       4200.0000          1.51258111E+03          3.08393618E+02          4.47901965E+02          1.62963000E+02
       4300.0000          1.54808519E+03          3.15490471E+02          4.58065974E+02          1.66702264E+02
       4400.0000          1.58356841E+03          3.22581836E+02          4.68220679E+02          1.70438505E+02
       4500.0000          1.61903079E+03          3.29667764E+02          4.78366200E+02          1.74171753E+02
       4600.0000          1.65447236E+03          3.36748301E+02          4.88502653E+02          1.77902038E+02
       4700.0000          1.68989314E+03          3.43823494E+02          4.98630148E+02          1.81629389E+02
       4800.0000          1.72529314E+03          3.50893386E+02          5.08748789E+02          1.85353831E+02
       4900.0000          1.76067240E+03          3.57958019E+02          5.18858676E+02          1.89075390E+02
       5000.0000          1.79603093E+03          3.65017430E+02          5.28959903E+02          1.92794092E+02
       5100.0000          1.83136876E+03          3.72071659E+02          5.39052561E+02          1.96509957E+02
       5200.0000          1.86668590E+03          3.79120741E+02          5.49136734E+02          2.00223010E+02
       5300.0000          1.90198237E+03          3.86164710E+02          5.59212506E+02          2.03933270E+02
       5400.0000          1.93725820E+03          3.93203599E+02          5.69279955E+02          2.07640759E+02
       5500.0000          1.97251341E+03          4.00237441E+02          5.79339157E+02          2.11345495E+02
       5600.0000          2.00774801E+03          4.07266264E+02          5.89390183E+02          2.15047497E+02
       5700.0000          2.04296202E+03          4.14290098E+02          5.99433103E+02          2.18746783E+02
       5800.0000          2.07815547E+03          4.21308972E+02          6.09467983E+02          2.22443371E+02
       5900.0000          2.11332837E+03          4.28322911E+02          6.19494886E+02          2.26137276E+02
       6000.0000          2.14848074E+03          4.35331943E+02          6.29513875E+02          2.29828514E+02
       6100.0000          2.18361261E+03          4.42336092E+02          6.39525008E+02          2.33517101E+02
       6200.0000          2.21872398E+03          4.49335381E+02          6.49528341E+02          2.37203052E+02
       6300.0000          2.25381488E+03          4.56329835E+02          6.59523931E+02          2.40886381E+02
       6400.0000          2.28888533E+03          4.63319476E+02          6.69511828E+02          2.44567100E+02
       6500.0000          2.32393535E+03          4.70304326E+02          6.79492085E+02          2.48245225E+02
       6600.0000          2.35896494E+03          4.77284405E+02          6.89464749E+02          2.51920767E+02
       6700.0000          2.39397414E+03          4.84259734E+02          6.99429870E+02          2.55593739E+02
       6800.0000          2.42896296E+03          4.91230333E+02          7.09387492E+02          2.59264153E+02
       6900.0000          2.46393142E+03          4.98196220E+02          7.19337661E+02          2.62932021E+02
       7000.0000          2.49887954E+03          5.05157415E+02          7.29280418E+02          2.66597353E+02
       7100.0000          2.53380732E+03          5.12113935E+02          7.39215806E+02          2.70260161E+02
       7200.0000          2.56871480E+03          5.19065798E+02          7.49143865E+02          2.73920456E+02
       7300.0000          2.60360199E+03          5.26013021E+02          7.59064634E+02          2.77578247E+02
       7400.0000          2.63846890E+03          5.32955620E+02          7.68978150E+02          2.81233545E+02
       7500.0000          2.67331556E+03          5.39893611E+02          7.78884452E+02          2.84886359E+02
       7600.0000          2.70814198E+03          5.46827011E+02          7.88783574E+02          2.88536699E+02
       7700.0000          2.74294818E+03          5.53755833E+02          7.98675550E+02          2.92184574E+02
       7800.0000          2.77773417E+03          5.60680094E+02          8.08560416E+02          2.95829993E+02
       7900.0000          2.81249998E+03          5.67599807E+02          8.18438204E+02          2.99472964E+02
       8000.0000          2.84724561E+03          5.74514987E+02          8.28308945E+02          3.03113497E+02
       8100.0000          2.88197109E+03          5.81425646E+02          8.38172670E+02          3.06751599E+02
       8200.0000          2.91667644E+03          5.88331800E+02          8.48029411E+02          3.10387279E+02
       8300.0000          2.95136167E+03          5.95233461E+02          8.57879195E+02          3.14020544E+02
       8400.0000          2.98602679E+03          6.02130641E+02          8.67722053E+02          3.17651402E+02
       8500.0000          3.02067183E+03          6.09023353E+02          8.77558012E+02          3.21279861E+02
       8600.0000          3.05529680E+03          6.15911610E+02          8.87387099E+02          3.24905928E+02
       8700.0000          3.08990172E+03          6.22795423E+02          8.97209341E+02          3.28529610E+02
       8800.0000          3.12448660E+03          6.29674804E+02          9.07024764E+02          3.32150913E+02
       8900.0000          3.15905146E+03          6.36549764E+02          9.16833394E+02          3.35769846E+02
       9000.0000          3.19359632E+03          6.43420316E+02          9.26635254E+02          3.39386415E+02
       9100.0000          3.22812120E+03          6.50286469E+02          9.36430370E+02          3.43000626E+02
       9200.0000          3.26262610E+03          6.57148235E+02          9.46218765E+02          3.46612486E+02
       9300.0000          3.29711105E+03          6.64005624E+02          9.56000463E+02          3.50222000E+02
       9400.0000          3.33157607E+03          6.70858646E+02          9.65775485E+02          3.53829176E+02
       9500.0000          3.36602116E+03          6.77707312E+02          9.75543855E+02          3.57434019E+02
       9600.0000          3.40044635E+03          6.84551632E+02          9.85305593E+02          3.61036535E+02
       9700.0000          3.43485165E+03          6.91391615E+02          9.95060722E+02          3.64636730E+02
       9800.0000          3.46923708E+03          6.98227271E+02          1.00480926E+03          3.68234610E+02
       9900.0000          3.50360265E+03          7.05058610E+02          1.01455123E+03          3.71830180E+02
      10000.0000          3.53794839E+03          7.11885641E+02          1.02428665E+03          3.75423446E+02
      11000.0000          3.88031805E+03          7.79920937E+02          1.12128483E+03          4.11230519E+02
      12000.0000          4.22072119E+03          8.47534609E+02          1.21764759E+03          4.46812584E+02
      13000.0000          4.55917338E+03          9.14733930E+02          1.31338994E+03          4.82173893E+02
      14000.0000          4.89568995E+03          9.81525337E+02          1.40852482E+03          5.17318172E+02
      15000.0000          5.23028599E+03          1.04791462E+03          1.50306358E+03          5.52248752E+02
      16000.0000          5.56297636E+03          1.11390708E+03          1.59701638E+03          5.86968654E+02
      17000.0000          5.89377578E+03          1.17950760E+03          1.69039239E+03          6.21480653E+02
      18000.0000          6.22269875E+03          1.24472077E+03          1.78320000E+03          6.55787325E+02
      19000.0000          6.54975962E+03          1.30955087E+03          1.87544696E+03          6.89891082E+02
      20000.0000          6.87497258E+03          1.37400200E+03          1.96714051E+03          7.23794199E+02
      21000.0000          7.19835164E+03          1.43807805E+03          2.05828743E+03          7.57498838E+02
      22000.0000          7.51991070E+03          1.50178275E+03          2.14889411E+03          7.91007061E+02
      23000.0000          7.83966350E+03          1.56511970E+03          2.23896666E+03          8.24320846E+02
      24000.0000          8.15762361E+03          1.62809236E+03          2.32851086E+03          8.57442095E+02
      25000.0000          8.47380451E+03          1.69070409E+03          2.41753227E+03          8.90372647E+02
      26000.0000          8.78821951E+03          1.75295817E+03          2.50603624E+03          9.23114284E+02
      27000.0000          9.10088181E+03          1.81485776E+03          2.59402792E+03          9.55668732E+02
      28000.0000          9.41180447E+03          1.87640597E+03          2.68151230E+03          9.88037676E+02
      29000.0000          9.72100042E+03          1.93760583E+03          2.76849419E+03          1.02022275E+03
      30000.0000          1.00284825E+04          1.99846030E+03          2.85497829E+03          1.05222557E+03
      31000.0000          1.03342633E+04          2.05897228E+03          2.94096917E+03          1.08404769E+03
      32000.0000          1.06383555E+04          2.11914462E+03          3.02647127E+03          1.11569064E+03
      33000.0000          1.09407715E+04          2.17898012E+03          3.11148893E+03          1.14715593E+03
      34000.0000          1.12415237E+04          2.23848151E+03          3.19602640E+03          1.17844504E+03
      35000.0000          1.15406242E+04          2.29765150E+03          3.28008782E+03          1.20955940E+03
      36000.0000          1.18380851E+04          2.35649275E+03          3.36367728E+03          1.24050046E+03
      37000.0000          1.21339185E+04          2.41500787E+03          3.44679876E+03          1.27126959E+03
      38000.0000          1.24281362E+04          2.47319944E+03          3.52945616E+03          1.30186820E+03
      39000.0000          1.27207500E+04          2.53106999E+03          3.61165335E+03          1.33229762E+03
      40000.0000          1.30117715E+04          2.58862204E+03          3.69339409E+03          1.36255920E+03
      41000.0000          1.33012123E+04          2.64585804E+03          3.77468210E+03          1.39265425E+03
      42000.0000          1.35890839E+04          2.70278044E+03          3.85552104E+03          1.42258407E+03
      43000.0000          1.38753975E+04          2.75939165E+03          3.93591451E+03          1.45234995E+03
      44000.0000          1.41601644E+04          2.81569404E+03          4.01586606E+03          1.48195316E+03
      45000.0000          1.44433958E+04          2.87168995E+03          4.09537917E+03          1.51139492E+03
      46000.0000          1.47251027E+04          2.92738170E+03          4.17445730E+03          1.54067649E+03
