#Energy      C   H  Total
        680.0000          4.05011418E+01          1.16551678E+02          3.00566144E+01
        690.0000          4.10559112E+01          1.18247800E+02          3.04749408E+01
        700.0000          4.16105072E+01          1.19943808E+02          3.08931561E+01
        710.0000          4.21649325E+01          1.21639702E+02          3.13112620E+01
        720.0000          4.27191897E+01          1.23335484E+02          3.17292601E+01
        730.0000          4.32732813E+01          1.25031153E+02          3.21471521E+01
        740.0000          4.38272096E+01          1.26726710E+02          3.25649395E+01
        750.0000          4.43809771E+01          1.28422154E+02          3.29826239E+01
        760.0000          4.49345860E+01          1.30117487E+02          3.34002066E+01
        770.0000          4.54880385E+01          1.31812707E+02          3.38176891E+01
        780.0000          4.60413368E+01          1.33507817E+02          3.42350729E+01
        790.0000          4.65944829E+01          1.35202815E+02          3.46523591E+01
        800.0000          4.71474790E+01          1.36897703E+02          3.50695492E+01
        810.0000          4.77003269E+01          1.38592479E+02          3.54866444E+01
        820.0000          4.82530286E+01          1.40287145E+02          3.59036459E+01
        830.0000          4.88055861E+01          1.41981701E+02          3.63205549E+01
        840.0000          4.93580010E+01          1.43676147E+02          3.67373725E+01
        850.0000          4.99102752E+01          1.45370483E+02          3.71540999E+01
        860.0000          5.04624104E+01          1.47064709E+02          3.75707383E+01
        870.0000          5.10144084E+01          1.48758825E+02          3.79872885E+01
        880.0000          5.15662707E+01          1.50452833E+02          3.84037517E+01
        890.0000          5.21179989E+01          1.52146731E+02          3.88201290E+01
        900.0000          5.26695947E+01          1.53840520E+02          3.92364211E+01
        910.0000          5.32210595E+01          1.55534200E+02          3.96526293E+01
        920.0000          5.37723948E+01          1.57227771E+02          4.00687542E+01
        930.0000          5.43236022E+01          1.58921234E+02          4.04847970E+01
        940.0000          5.48746829E+01          1.60614589E+02          4.09007584E+01
        950.0000          5.54256384E+01          1.62307836E+02          4.13166393E+01
        960.0000          5.59764700E+01          1.64000974E+02          4.17324406E+01
        970.0000          5.65271791E+01          1.65694005E+02          4.21481630E+01
        980.0000          5.70777670E+01          1.67386927E+02          4.25638075E+01
        990.0000          5.76282348E+01          1.69079742E+02          4.29793747E+01
       1000.0000          5.81785838E+01          1.70772450E+02          4.33948654E+01
       1100.0000          6.36757938E+01          1.87693641E+02          4.75457232E+01
       1200.0000          6.91622972E+01          2.04604209E+02          5.16896581E+01
       1300.0000          7.46389642E+01          2.21504249E+02          5.58272044E+01
       1400.0000          8.01065119E+01          2.38393839E+02          5.99588002E+01
       1500.0000          8.55655397E+01          2.55273046E+02          6.40848098E+01
       1600.0000          9.10165542E+01          2.72141927E+02          6.82055404E+01
       1700.0000          9.64599886E+01          2.89000530E+02          7.23212534E+01
       1800.0000          1.01896217E+02          3.05848900E+02          7.64321742E+01
       1900.0000          1.07325563E+02          3.22687074E+02          8.05384981E+01
       2000.0000          1.12748314E+02          3.39515087E+02          8.46403964E+01
       2100.0000          1.18164719E+02          3.56332970E+02          8.87380197E+01
       2200.0000          1.23575003E+02          3.73140753E+02          9.28315017E+01
       2300.0000          1.28979364E+02          3.89938460E+02          9.69209616E+01
       2400.0000          1.34377981E+02          4.06726116E+02          1.01006506E+02
       2500.0000          1.39771017E+02          4.23503745E+02          1.05088232E+02
       2600.0000          1.45158615E+02          4.40271365E+02          1.09166226E+02
       2700.0000          1.50540911E+02          4.57028998E+02          1.13240568E+02
       2800.0000          1.55918024E+02          4.73776662E+02          1.17311330E+02
       2900.0000          1.61290065E+02          4.90514375E+02          1.21378577E+02
       3000.0000          1.66657136E+02          5.07242153E+02          1.25442371E+02
       3100.0000          1.72019332E+02          5.23960013E+02          1.29502768E+02
       3200.0000          1.77376738E+02          5.40667970E+02          1.33559819E+02
       3300.0000          1.82729436E+02          5.57366038E+02          1.37613572E+02
       3400.0000          1.88077499E+02          5.74054232E+02          1.41664072E+02
       3500.0000          1.93420998E+02          5.90732566E+02          1.45711360E+02
       3600.0000          1.98759997E+02          6.07401052E+02          1.49755475E+02
       3700.0000          2.04094556E+02          6.24059704E+02          1.53796454E+02
       3800.0000          2.09424733E+02          6.40708534E+02          1.57834329E+02
       3900.0000          2.14750580E+02          6.57347555E+02          1.61869133E+02
       4000.0000          2.20072149E+02          6.73976778E+02          1.65900896E+02
       4100.0000          2.25389485E+02          6.90596215E+02          1.69929646E+02
       4200.0000          2.30702634E+02          7.07205877E+02          1.73955409E+02
       4300.0000          2.36011637E+02          7.23805775E+02          1.77978211E+02
       4400.0000          2.41316535E+02          7.40395921E+02          1.81998076E+02
       4500.0000          2.46617365E+02          7.56976325E+02          1.86015026E+02
       4600.0000          2.51914163E+02          7.73546997E+02          1.90029083E+02
       4700.0000          2.57206963E+02          7.90107948E+02          1.94040268E+02
       4800.0000          2.62495797E+02          8.06659188E+02          1.98048599E+02
       4900.0000          2.67780697E+02          8.23200728E+02          2.02054095E+02
       5000.0000          2.73061691E+02          8.39732576E+02          2.06056774E+02
       5100.0000          2.78338808E+02          8.56254743E+02          2.10056653E+02
       5200.0000          2.83612074E+02          8.72767239E+02          2.14053749E+02
       5300.0000          2.88881516E+02          8.89270072E+02          2.18048076E+02
       5400.0000          2.94147158E+02          9.05763253E+02          2.22039649E+02
       5500.0000          2.99409023E+02          9.22246791E+02          2.26028483E+02
       5600.0000          3.04667134E+02          9.38720695E+02          2.30014592E+02
       5700.0000          3.09921514E+02          9.55184974E+02          2.33997988E+02
       5800.0000          3.15172182E+02          9.71639637E+02          2.37978685E+02
       5900.0000          3.20419160E+02          9.88084694E+02          2.41956695E+02
       6000.0000          3.25662466E+02          1.00452015E+03          2.45932029E+02
       6100.0000          3.30902119E+02          1.02094602E+03          2.49904698E+02
       6200.0000          3.36138137E+02          1.03736231E+03          2.53874715E+02
       6300.0000          3.41370537E+02          1.05376903E+03          2.57842089E+02
       6400.0000          3.46599337E+02          1.07016619E+03          2.61806830E+02
       6500.0000          3.51824553E+02          1.08655379E+03          2.65768950E+02
       6600.0000          3.57046200E+02          1.10293184E+03          2.69728456E+02
