#Energy      Ca   F  Total
       2000.0000          7.11531695E+01          6.81964633E+01          3.48217244E+01
       2100.0000          7.39275388E+01          7.13668665E+01          3.63123190E+01
       2200.0000          7.66885558E+01          7.45317192E+01          3.77973781E+01
       2300.0000          7.94368977E+01          7.76912650E+01          3.92771923E+01
       2400.0000          8.21731840E+01          8.08457227E+01          4.07520243E+01
       2500.0000          8.48979830E+01          8.39952898E+01          4.22221120E+01
       2600.0000          8.76118168E+01          8.71401454E+01          4.36876723E+01
       2700.0000          9.03151661E+01          9.02804524E+01          4.51489030E+01
       2800.0000          9.30084747E+01          9.34163595E+01          4.66059854E+01
       2900.0000          9.56921528E+01          9.65480029E+01          4.80590864E+01
       3000.0000          9.83665806E+01          9.96755078E+01          4.95083593E+01
       3100.0000          1.01032111E+02          1.02798989E+02          5.09539462E+01
       3200.0000          1.03689073E+02          1.05918554E+02          5.23959784E+01
       3300.0000          1.06337772E+02          1.09034301E+02          5.38345778E+01
       3400.0000          1.08978493E+02          1.12146322E+02          5.52698581E+01
       3500.0000          1.11611504E+02          1.15254701E+02          5.67019250E+01
       3600.0000          1.14237056E+02          1.18359518E+02          5.81308772E+01
       3700.0000          1.16855382E+02          1.21460848E+02          5.95568073E+01
       3800.0000          1.19466703E+02          1.24558760E+02          6.09798020E+01
       3900.0000          1.22071228E+02          1.27653319E+02          6.23999426E+01
       4000.0000          1.24669150E+02          1.30744587E+02          6.38173058E+01
       4040.9990          1.25732408E+02          1.32011038E+02          6.43976246E+01
       4041.0010          1.25732460E+02          1.32011100E+02          6.43976529E+01
       4100.0000          1.27260656E+02          1.33832621E+02          6.52319635E+01
       4200.0000          1.29845918E+02          1.36917475E+02          6.66439838E+01
       4300.0000          1.32425103E+02          1.39999200E+02          6.80534310E+01
       4400.0000          1.34998365E+02          1.43077846E+02          6.94603657E+01
       4500.0000          1.37565854E+02          1.46153458E+02          7.08648456E+01
       4600.0000          1.40127708E+02          1.49226079E+02          7.22669251E+01
       4700.0000          1.42684063E+02          1.52295750E+02          7.36666560E+01
       4800.0000          1.45235044E+02          1.55362512E+02          7.50640876E+01
       4900.0000          1.47780773E+02          1.58426400E+02          7.64592665E+01
       5000.0000          1.50321364E+02          1.61487451E+02          7.78522375E+01
       5100.0000          1.52856928E+02          1.64545698E+02          7.92430429E+01
       5200.0000          1.55387568E+02          1.67601174E+02          8.06317232E+01
       5300.0000          1.57913386E+02          1.70653909E+02          8.20183172E+01
       5400.0000          1.60434478E+02          1.73703932E+02          8.34028619E+01
       5500.0000          1.62950933E+02          1.76751273E+02          8.47853925E+01
       5600.0000          1.65462841E+02          1.79795958E+02          8.61659431E+01
       5700.0000          1.67970286E+02          1.82838012E+02          8.75445460E+01
       5800.0000          1.70473348E+02          1.85877462E+02          8.89212324E+01
       5900.0000          1.72972104E+02          1.88914329E+02          9.02960321E+01
       6000.0000          1.75466629E+02          1.91948639E+02          9.16689738E+01
       6100.0000          1.77956995E+02          1.94980411E+02          9.30400851E+01
       6200.0000          1.80443269E+02          1.98009668E+02          9.44093924E+01
       6300.0000          1.82925519E+02          2.01036430E+02          9.57769212E+01
       6400.0000          1.85403808E+02          2.04060717E+02          9.71426961E+01
       6500.0000          1.87878197E+02          2.07082548E+02          9.85067407E+01
       6600.0000          1.90348745E+02          2.10101940E+02          9.98690778E+01
       6700.0000          1.92815510E+02          2.13118912E+02          1.01229729E+02
       6800.0000          1.95278546E+02          2.16133481E+02          1.02588717E+02
       6900.0000          1.97737906E+02          2.19145663E+02          1.03946060E+02
       7000.0000          2.00193643E+02          2.22155473E+02          1.05301780E+02
       7100.0000          2.02645805E+02          2.25162929E+02          1.06655894E+02
       7200.0000          2.05094441E+02          2.28168044E+02          1.08008422E+02
       7300.0000          2.07539596E+02          2.31170833E+02          1.09359382E+02
       7400.0000          2.09981317E+02          2.34171310E+02          1.10708790E+02
       7500.0000          2.12419646E+02          2.37169489E+02          1.12056664E+02
       7600.0000          2.14854625E+02          2.40165383E+02          1.13403020E+02
       7700.0000          2.17286295E+02          2.43159004E+02          1.14747874E+02
       7800.0000          2.19714697E+02          2.46150366E+02          1.16091240E+02
       7900.0000          2.22139868E+02          2.49139480E+02          1.17433135E+02
       8000.0000          2.24561845E+02          2.52126358E+02          1.18773571E+02
       8100.0000          2.26980665E+02          2.55111012E+02          1.20112563E+02
       8200.0000          2.29396363E+02          2.58093452E+02          1.21450125E+02
       8300.0000          2.31808973E+02          2.61073690E+02          1.22786270E+02
       8400.0000          2.34218528E+02          2.64051736E+02          1.24121011E+02
       8500.0000          2.36625061E+02          2.67027600E+02          1.25454360E+02
       8600.0000          2.39028602E+02          2.70001293E+02          1.26786329E+02
       8700.0000          2.41429183E+02          2.72972824E+02          1.28116930E+02
       8800.0000          2.43826833E+02          2.75942202E+02          1.29446174E+02
       8900.0000          2.46221580E+02          2.78909438E+02          1.30774074E+02
       9000.0000          2.48613453E+02          2.81874540E+02          1.32100639E+02
       9100.0000          2.51002480E+02          2.84837517E+02          1.33425880E+02
       9200.0000          2.53388687E+02          2.87798377E+02          1.34749808E+02
       9300.0000          2.55772100E+02          2.90757130E+02          1.36072432E+02
       9400.0000          2.58152744E+02          2.93713783E+02          1.37393763E+02
       9500.0000          2.60530644E+02          2.96668345E+02          1.38713810E+02
       9600.0000          2.62905825E+02          2.99620823E+02          1.40032583E+02
       9700.0000          2.65278309E+02          3.02571225E+02          1.41350090E+02
       9800.0000          2.67648120E+02          3.05519559E+02          1.42666341E+02
       9900.0000          2.70015281E+02          3.08465832E+02          1.43981344E+02
      10000.0000          2.72379812E+02          3.11410051E+02          1.45295108E+02
      11000.0000          2.95885016E+02          3.40740795E+02          1.58366334E+02
      12000.0000          3.19148116E+02          3.69873203E+02          1.71321747E+02
      13000.0000          3.42184533E+02          3.98812650E+02          1.84167394E+02
      14000.0000          3.65006994E+02          4.27563725E+02          1.96908297E+02
      15000.0000          3.87626186E+02          4.56130427E+02          2.09548696E+02
      16000.0000          4.10051209E+02          4.84516289E+02          2.22092229E+02
      17000.0000          4.32289916E+02          5.12724483E+02          2.34542060E+02
      18000.0000          4.54349159E+02          5.40757885E+02          2.46900966E+02
      19000.0000          4.76234975E+02          5.68619134E+02          2.59171416E+02
      20000.0000          4.97952735E+02          5.96310668E+02          2.71355624E+02
      21000.0000          5.19507254E+02          6.23834761E+02          2.83455588E+02
      22000.0000          5.40902877E+02          6.51193545E+02          2.95473131E+02
      23000.0000          5.62143559E+02          6.78389033E+02          3.07409921E+02
      24000.0000          5.83232913E+02          7.05423136E+02          3.19267496E+02
      25000.0000          6.04174264E+02          7.32297670E+02          3.31047285E+02
      26000.0000          6.24970685E+02          7.59014377E+02          3.42750618E+02
      27000.0000          6.45625028E+02          7.85574927E+02          3.54378738E+02
      28000.0000          6.66139955E+02          8.11980928E+02          3.65932817E+02
      29000.0000          6.86517958E+02          8.38233931E+02          3.77413959E+02
      30000.0000          7.06761376E+02          8.64335439E+02          3.88823208E+02
      31000.0000          7.26872418E+02          8.90286910E+02          4.00161560E+02
      32000.0000          7.46853170E+02          9.16089757E+02          4.11429958E+02
      33000.0000          7.66705612E+02          9.41745360E+02          4.22629308E+02
      34000.0000          7.86431626E+02          9.67255060E+02          4.33760475E+02
      35000.0000          8.06033008E+02          9.92620170E+02          4.44824289E+02
      36000.0000          8.25511472E+02          1.01784197E+03          4.55821550E+02
      37000.0000          8.44868659E+02          1.04292171E+03          4.66753026E+02
      38000.0000          8.64106146E+02          1.06786062E+03          4.77619461E+02
      39000.0000          8.83225445E+02          1.09265991E+03          4.88421574E+02
      40000.0000          9.02228017E+02          1.11732075E+03          4.99160060E+02
      41000.0000          9.21115265E+02          1.14184430E+03          5.09835595E+02
      42000.0000          9.39888549E+02          1.16623171E+03          5.20448832E+02
      43000.0000          9.58549182E+02          1.19048409E+03          5.31000410E+02
      44000.0000          9.77098436E+02          1.21460253E+03          5.41490948E+02
      45000.0000          9.95537544E+02          1.23858814E+03          5.51921050E+02
      46000.0000          1.01386771E+03          1.26244196E+03          5.62291306E+02
      47000.0000          1.03209008E+03          1.28616506E+03          5.72602289E+02
      48000.0000          1.05020581E+03          1.30975846E+03          5.82854563E+02
      49000.0000          1.06821598E+03          1.33322320E+03          5.93048676E+02
      50000.0000          1.08612168E+03          1.35656027E+03          6.03185167E+02
