#Energy      Mg   Si   O  Total
         85.0000          1.02796716E+01          2.22706369E+01          5.11572501E+00          2.96158300E+00
         86.0000          1.03139426E+01          2.23094948E+01          5.14941925E+00          2.97639639E+00
         87.0000          1.03485550E+01          2.23494561E+01          5.18315987E+00          2.99125207E+00
         88.0000          1.03834965E+01          2.23904820E+01          5.21694492E+00          3.00614841E+00
         89.0000          1.04187551E+01          2.24325351E+01          5.25077252E+00          3.02108385E+00
         90.0000          1.04543197E+01          2.24755797E+01          5.28464092E+00          3.03605691E+00
         91.0000          1.04901793E+01          2.25195819E+01          5.31854839E+00          3.05106617E+00
         91.9990          1.05262874E+01          2.25644636E+01          5.35245937E+00          3.06609521E+00
         92.0000          1.05263237E+01          2.25645090E+01          5.35249333E+00          3.06611027E+00
         92.0010          1.05263599E+01          2.25645543E+01          5.35252729E+00          3.06612533E+00
         93.0000          1.05627429E+01          2.26103298E+01          5.38647418E+00          3.08118791E+00
         94.0000          1.05994275E+01          2.26570144E+01          5.42048947E+00          3.09629785E+00
         95.0000          1.06363684E+01          2.27045343E+01          5.45453777E+00          3.11143890E+00
         96.0000          1.06735569E+01          2.27528620E+01          5.48861774E+00          3.12660991E+00
         97.0000          1.07109848E+01          2.28019713E+01          5.52272807E+00          3.14180979E+00
         98.0000          1.07486439E+01          2.28518368E+01          5.55686754E+00          3.15703750E+00
         99.0000          1.07865267E+01          2.29024344E+01          5.59103494E+00          3.17229202E+00
        100.0000          1.08246259E+01          2.29537410E+01          5.62522915E+00          3.18757240E+00
        103.9990          1.09790094E+01          2.31655684E+01          5.76221858E+00          3.24891905E+00
        104.0010          1.09790874E+01          2.31656769E+01          5.76228718E+00          3.24894982E+00
        110.0000          1.12160896E+01          2.35012898E+01          5.96842637E+00          3.34161116E+00
        120.0000          1.16229034E+01          2.40998424E+01          6.31334411E+00          3.49741171E+00
        130.0000          1.20410721E+01          2.47367054E+01          6.65938480E+00          3.65445171E+00
        140.0000          1.24677671E+01          2.54028527E+01          7.00613632E+00          3.81236307E+00
        150.0000          1.29009367E+01          2.60917052E+01          7.35330880E+00          3.97088060E+00
        153.9990          1.30756196E+01          2.63723922E+01          7.49221239E+00          4.03439603E+00
        154.0010          1.30757071E+01          2.63725333E+01          7.49228187E+00          4.03442781E+00
        160.0000          1.33390625E+01          2.67983661E+01          7.70069511E+00          4.12980980E+00
        170.0000          1.37810012E+01          2.75191250E+01          8.04814550E+00          4.28900591E+00
        180.0000          1.42258790E+01          2.82511262E+01          8.39555075E+00          4.44835992E+00
        190.0000          1.46730197E+01          2.89921423E+01          8.74283083E+00          4.60778891E+00
        200.0000          1.51218940E+01          2.97404150E+01          9.08992695E+00          4.76722939E+00
        210.0000          1.55720836E+01          3.04945418E+01          9.43679602E+00          4.92663246E+00
        220.0000          1.60232553E+01          3.12533936E+01          9.78340667E+00          5.08596034E+00
        230.0000          1.64751416E+01          3.20160540E+01          1.01297363E+01          5.24518380E+00
        240.0000          1.69275267E+01          3.27817738E+01          1.04757691E+01          5.40428026E+00
        250.0000          1.73802351E+01          3.35499363E+01          1.08214943E+01          5.56323231E+00
        260.0000          1.78331241E+01          3.43200312E+01          1.11669050E+01          5.72202664E+00
        270.0000          1.82860766E+01          3.50916338E+01          1.15119972E+01          5.88065318E+00
        280.0000          1.87389966E+01          3.58643894E+01          1.18567696E+01          6.03910444E+00
        290.0000          1.91918054E+01          3.66380002E+01          1.22012222E+01          6.19737497E+00
        300.0000          1.96444379E+01          3.74122154E+01          1.25453567E+01          6.35546099E+00
        310.0000          2.00968407E+01          3.81868234E+01          1.28891757E+01          6.51336004E+00
        320.0000          2.05489698E+01          3.89616448E+01          1.32326827E+01          6.67107073E+00
        330.0000          2.10007891E+01          3.97365274E+01          1.35758816E+01          6.82859254E+00
        340.0000          2.14522690E+01          4.05113421E+01          1.39187769E+01          6.98592561E+00
        350.0000          2.19033855E+01          4.12859787E+01          1.42613734E+01          7.14307068E+00
        360.0000          2.23541188E+01          4.20603436E+01          1.46036762E+01          7.30002891E+00
        370.0000          2.28044534E+01          4.28343569E+01          1.49456903E+01          7.45680182E+00
        380.0000          2.32543768E+01          4.36079507E+01          1.52874210E+01          7.61339122E+00
        390.0000          2.37038793E+01          4.43810671E+01          1.56288736E+01          7.76979915E+00
        400.0000          2.41529536E+01          4.51536570E+01          1.59700534E+01          7.92602780E+00
        410.0000          2.46015940E+01          4.59256788E+01          1.63109655E+01          8.08207950E+00
        420.0000          2.50497970E+01          4.66970971E+01          1.66516153E+01          8.23795671E+00
        430.0000          2.54975600E+01          4.74678824E+01          1.69920078E+01          8.39366192E+00
        440.0000          2.59448819E+01          4.82380099E+01          1.73321481E+01          8.54919769E+00
        450.0000          2.63917626E+01          4.90074588E+01          1.76720410E+01          8.70456661E+00
        460.0000          2.68382027E+01          4.97762122E+01          1.80116915E+01          8.85977126E+00
        470.0000          2.72842036E+01          5.05442562E+01          1.83511042E+01          9.01481427E+00
        480.0000          2.77297673E+01          5.13115797E+01          1.86902838E+01          9.16969821E+00
        490.0000          2.81748964E+01          5.20781740E+01          1.90292347E+01          9.32442567E+00
        500.0000          2.86195938E+01          5.28440324E+01          1.93679615E+01          9.47899918E+00
        510.0000          2.90638628E+01          5.36091502E+01          1.97064683E+01          9.63342129E+00
        520.0000          2.95077071E+01          5.43735240E+01          2.00447592E+01          9.78769446E+00
        530.0000          2.99511306E+01          5.51371521E+01          2.03828385E+01          9.94182114E+00
        537.9990          3.03055247E+01          5.57474409E+01          2.06531182E+01          1.00650033E+01
        538.0010          3.03056133E+01          5.57475935E+01          2.06531858E+01          1.00650340E+01
        540.0000          3.03941372E+01          5.59000338E+01          2.07207099E+01          1.00958038E+01
        550.0000          3.08367313E+01          5.66621696E+01          2.10583772E+01          1.02496447E+01
        560.0000          3.12789172E+01          5.74235607E+01          2.13958444E+01          1.04033462E+01
        570.0000          3.17206994E+01          5.81842094E+01          2.17331148E+01          1.05569106E+01
        580.0000          3.21620825E+01          5.89441184E+01          2.20701921E+01          1.07103401E+01
        590.0000          3.26030709E+01          5.97032913E+01          2.24070796E+01          1.08636369E+01
        600.0000          3.30436694E+01          6.04617319E+01          2.27437807E+01          1.10168031E+01
        610.0000          3.34838826E+01          6.12194447E+01          2.30802986E+01          1.11698409E+01
        620.0000          3.39237152E+01          6.19764344E+01          2.34166364E+01          1.13227522E+01
        630.0000          3.43631718E+01          6.27327063E+01          2.37527971E+01          1.14755391E+01
        640.0000          3.48022571E+01          6.34882657E+01          2.40887838E+01          1.16282035E+01
        650.0000          3.52409756E+01          6.42431183E+01          2.44245993E+01          1.17807473E+01
        660.0000          3.56793319E+01          6.49972700E+01          2.47602463E+01          1.19331724E+01
        670.0000          3.61173306E+01          6.57507267E+01          2.50957277E+01          1.20854807E+01
        680.0000          3.65549762E+01          6.65034947E+01          2.54310460E+01          1.22376737E+01
        690.0000          3.69922731E+01          6.72555801E+01          2.57662037E+01          1.23897535E+01
        700.0000          3.74292258E+01          6.80069895E+01          2.61012035E+01          1.25417215E+01
        710.0000          3.78658385E+01          6.87577291E+01          2.64360478E+01          1.26935795E+01
        720.0000          3.83021155E+01          6.95078056E+01          2.67707388E+01          1.28453291E+01
        730.0000          3.87380610E+01          7.02572253E+01          2.71052790E+01          1.29969719E+01
        740.0000          3.91736793E+01          7.10059948E+01          2.74396705E+01          1.31485094E+01
        750.0000          3.96089744E+01          7.17541206E+01          2.77739155E+01          1.32999431E+01
        760.0000          4.00439504E+01          7.25016093E+01          2.81080162E+01          1.34512745E+01
        770.0000          4.04786112E+01          7.32484673E+01          2.84419746E+01          1.36025050E+01
        780.0000          4.09129607E+01          7.39947012E+01          2.87757927E+01          1.37536361E+01
        790.0000          4.13470028E+01          7.47403174E+01          2.91094726E+01          1.39046691E+01
        800.0000          4.17807412E+01          7.54853222E+01          2.94430161E+01          1.40556054E+01
        810.0000          4.22141797E+01          7.62297221E+01          2.97764251E+01          1.42064462E+01
        820.0000          4.26473219E+01          7.69735233E+01          3.01097014E+01          1.43571929E+01
        830.0000          4.30801714E+01          7.77167322E+01          3.04428467E+01          1.45078467E+01
        840.0000          4.35127318E+01          7.84593548E+01          3.07758629E+01          1.46584089E+01
        850.0000          4.39450064E+01          7.92013974E+01          3.11087516E+01          1.48088805E+01
        860.0000          4.43769987E+01          7.99428660E+01          3.14415145E+01          1.49592629E+01
        870.0000          4.48087121E+01          8.06837666E+01          3.17741531E+01          1.51095571E+01
        880.0000          4.52401497E+01          8.14241051E+01          3.21066691E+01          1.52597643E+01
        890.0000          4.56713149E+01          8.21638874E+01          3.24390639E+01          1.54098855E+01
        900.0000          4.61022108E+01          8.29031193E+01          3.27713391E+01          1.55599219E+01
        910.0000          4.65328404E+01          8.36418066E+01          3.31034961E+01          1.57098745E+01
        920.0000          4.69632069E+01          8.43799547E+01          3.34355364E+01          1.58597443E+01
        930.0000          4.73933133E+01          8.51175694E+01          3.37674613E+01          1.60095323E+01
        940.0000          4.78231625E+01          8.58546562E+01          3.40992722E+01          1.61592395E+01
        950.0000          4.82527573E+01          8.65912203E+01          3.44309705E+01          1.63088668E+01
        960.0000          4.86821006E+01          8.73272672E+01          3.47625574E+01          1.64584153E+01
        970.0000          4.91111952E+01          8.80628022E+01          3.50940343E+01          1.66078858E+01
        980.0000          4.95400439E+01          8.87978305E+01          3.54254023E+01          1.67572793E+01
        990.0000          4.99686493E+01          8.95323571E+01          3.57566628E+01          1.69065965E+01
       1000.0000          5.03970140E+01          9.02663871E+01          3.60878168E+01          1.70558385E+01
       1100.0000          5.46679734E+01          9.75804353E+01          3.93937489E+01          1.85442952E+01
       1200.0000          5.89174475E+01          1.04849861E+02          4.26901814E+01          2.00260587E+01
       1300.0000          6.31474184E+01          1.12078623E+02          4.59779695E+01          2.15017627E+01
       1307.9990          6.34849834E+01          1.12655201E+02          4.62406084E+01          2.16195590E+01
       1308.0010          6.34850678E+01          1.12655345E+02          4.62406740E+01          2.16195884E+01
       1400.0000          6.73595642E+01          1.19270131E+02          4.92578225E+01          2.29719371E+01
       1500.0000          7.15553171E+01          1.26427332E+02          5.25303362E+01          2.44370301E+01
       1600.0000          7.57359089E+01          1.33552790E+02          5.57960162E+01          2.58974243E+01
       1700.0000          7.99024069E+01          1.40648742E+02          5.90552962E+01          2.73534494E+01
       1800.0000          8.40557425E+01          1.47717154E+02          6.23085515E+01          2.88053917E+01
       1843.9990          8.58792133E+01          1.50818915E+02          6.37381285E+01          2.94430042E+01
       1844.0010          8.58792961E+01          1.50819056E+02          6.37381935E+01          2.94430331E+01
       1900.0000          8.81967337E+01          1.54759763E+02          6.55561092E+01          3.02535019E+01
       2000.0000          9.23261031E+01          1.61778108E+02          6.87982563E+01          3.16980005E+01
       2100.0000          9.64444926E+01          1.68773564E+02          7.20352469E+01          3.31390831E+01
       2200.0000          1.00552476E+02          1.75747362E+02          7.52673065E+01          3.45769238E+01
       2300.0000          1.04650566E+02          1.82700611E+02          7.84946369E+01          3.60116787E+01
       2400.0000          1.08739228E+02          1.89634310E+02          8.17174191E+01          3.74434881E+01
       2500.0000          1.12818880E+02          1.96549368E+02          8.49358164E+01          3.88724788E+01
       2600.0000          1.16889904E+02          2.03446609E+02          8.81499771E+01          4.02987658E+01
       2700.0000          1.20952646E+02          2.10326789E+02          9.13600355E+01          4.17224538E+01
       2800.0000          1.25007423E+02          2.17190597E+02          9.45661147E+01          4.31436385E+01
       2900.0000          1.29054528E+02          2.24038667E+02          9.77683271E+01          4.45624076E+01
       3000.0000          1.33094227E+02          2.30871585E+02          1.00966776E+02          4.59788417E+01
       3100.0000          1.37126767E+02          2.37689888E+02          1.04161557E+02          4.73930150E+01
       3200.0000          1.41152378E+02          2.44494077E+02          1.07352757E+02          4.88049963E+01
       3300.0000          1.45171270E+02          2.51284614E+02          1.10540458E+02          5.02148491E+01
       3400.0000          1.49183641E+02          2.58061931E+02          1.13724736E+02          5.16226325E+01
       3500.0000          1.53189674E+02          2.64826428E+02          1.16905661E+02          5.30284015E+01
       3600.0000          1.57189538E+02          2.71578480E+02          1.20083299E+02          5.44322075E+01
       3700.0000          1.61183395E+02          2.78318437E+02          1.23257710E+02          5.58340982E+01
       3800.0000          1.65171393E+02          2.85046628E+02          1.26428953E+02          5.72341185E+01
       3900.0000          1.69153674E+02          2.91763360E+02          1.29597081E+02          5.86323106E+01
       4000.0000          1.73130368E+02          2.98468924E+02          1.32762144E+02          6.00287140E+01
       4100.0000          1.77101599E+02          3.05163591E+02          1.35924191E+02          6.14233658E+01
       4200.0000          1.81067485E+02          3.11847618E+02          1.39083266E+02          6.28163011E+01
       4300.0000          1.85028136E+02          3.18521249E+02          1.42239411E+02          6.42075530E+01
       4400.0000          1.88983657E+02          3.25184712E+02          1.45392667E+02          6.55971526E+01
       4500.0000          1.92934145E+02          3.31838225E+02          1.48543071E+02          6.69851297E+01
       4600.0000          1.96879694E+02          3.38481994E+02          1.51690660E+02          6.83715122E+01
       4700.0000          2.00820393E+02          3.45116212E+02          1.54835466E+02          6.97563267E+01
       4800.0000          2.04756327E+02          3.51741067E+02          1.57977524E+02          7.11395984E+01
       4900.0000          2.08687575E+02          3.58356734E+02          1.61116863E+02          7.25213514E+01
       5000.0000          2.12614213E+02          3.64963382E+02          1.64253513E+02          7.39016085E+01
       5100.0000          2.16536315E+02          3.71561169E+02          1.67387501E+02          7.52803915E+01
       5200.0000          2.20453949E+02          3.78150249E+02          1.70518856E+02          7.66577212E+01
       5300.0000          2.24367181E+02          3.84730767E+02          1.73647602E+02          7.80336174E+01
       5400.0000          2.28276076E+02          3.91302862E+02          1.76773763E+02          7.94080990E+01
       5500.0000          2.32180692E+02          3.97866667E+02          1.79897363E+02          8.07811841E+01
       5600.0000          2.36081089E+02          4.04422310E+02          1.83018424E+02          8.21528902E+01
       5700.0000          2.39977321E+02          4.10969913E+02          1.86136968E+02          8.35232339E+01
       5800.0000          2.43869442E+02          4.17509593E+02          1.89253016E+02          8.48922310E+01
       5900.0000          2.47757503E+02          4.24041461E+02          1.92366587E+02          8.62598969E+01
       6000.0000          2.51641552E+02          4.30565626E+02          1.95477700E+02          8.76262463E+01
       6100.0000          2.55521636E+02          4.37082191E+02          1.98586374E+02          8.89912933E+01
       6200.0000          2.59397802E+02          4.43591255E+02          2.01692626E+02          9.03550514E+01
       6300.0000          2.63270091E+02          4.50092914E+02          2.04796473E+02          9.17175338E+01
       6400.0000          2.67138547E+02          4.56587261E+02          2.07897931E+02          9.30787530E+01
       6500.0000          2.71003209E+02          4.63074384E+02          2.10997017E+02          9.44387212E+01
       6600.0000          2.74864117E+02          4.69554368E+02          2.14093746E+02          9.57974500E+01
       6700.0000          2.78721308E+02          4.76027297E+02          2.17188132E+02          9.71549507E+01
       6800.0000          2.82574819E+02          4.82493249E+02          2.20280189E+02          9.85112343E+01
       6900.0000          2.86424683E+02          4.88952302E+02          2.23369932E+02          9.98663112E+01
       7000.0000          2.90270936E+02          4.95404530E+02          2.26457374E+02          1.01220192E+02
       7100.0000          2.94113609E+02          5.01850005E+02          2.29542527E+02          1.02572885E+02
       7200.0000          2.97952735E+02          5.08288795E+02          2.32625404E+02          1.03924402E+02
       7300.0000          3.01788344E+02          5.14720969E+02          2.35706018E+02          1.05274751E+02
       7400.0000          3.05620466E+02          5.21146591E+02          2.38784380E+02          1.06623941E+02
       7500.0000          3.09449129E+02          5.27565725E+02          2.41860501E+02          1.07971980E+02
       7600.0000          3.13274361E+02          5.33978430E+02          2.44934393E+02          1.09318878E+02
       7700.0000          3.17096189E+02          5.40384767E+02          2.48006066E+02          1.10664642E+02
       7800.0000          3.20914640E+02          5.46784793E+02          2.51075531E+02          1.12009279E+02
       7900.0000          3.24729739E+02          5.53178563E+02          2.54142798E+02          1.13352799E+02
       8000.0000          3.28541510E+02          5.59566132E+02          2.57207877E+02          1.14695208E+02
       8100.0000          3.32349978E+02          5.65947551E+02          2.60270778E+02          1.16036513E+02
       8200.0000          3.36155165E+02          5.72322872E+02          2.63331509E+02          1.17376722E+02
       8300.0000          3.39957095E+02          5.78692144E+02          2.66390081E+02          1.18715841E+02
       8400.0000          3.43755789E+02          5.85055416E+02          2.69446501E+02          1.20053876E+02
       8500.0000          3.47551269E+02          5.91412734E+02          2.72500780E+02          1.21390836E+02
       8600.0000          3.51343556E+02          5.97764144E+02          2.75552924E+02          1.22726725E+02
       8700.0000          3.55132670E+02          6.04109689E+02          2.78602943E+02          1.24061550E+02
       8800.0000          3.58918631E+02          6.10449414E+02          2.81650845E+02          1.25395317E+02
       8900.0000          3.62701458E+02          6.16783360E+02          2.84696637E+02          1.26728031E+02
       9000.0000          3.66481170E+02          6.23111569E+02          2.87740327E+02          1.28059699E+02
       9100.0000          3.70257784E+02          6.29434079E+02          2.90781923E+02          1.29390326E+02
       9200.0000          3.74031321E+02          6.35750930E+02          2.93821432E+02          1.30719917E+02
       9300.0000          3.77801795E+02          6.42062161E+02          2.96858861E+02          1.32048478E+02
       9400.0000          3.81569225E+02          6.48367807E+02          2.99894217E+02          1.33376014E+02
       9500.0000          3.85333627E+02          6.54667905E+02          3.02927507E+02          1.34702529E+02
       9600.0000          3.89095018E+02          6.60962490E+02          3.05958739E+02          1.36028030E+02
       9700.0000          3.92853413E+02          6.67251597E+02          3.08987917E+02          1.37352519E+02
       9800.0000          3.96608827E+02          6.73535260E+02          3.12015050E+02          1.38676003E+02
       9900.0000          4.00361277E+02          6.79813510E+02          3.15040143E+02          1.39998486E+02
      10000.0000          4.04110776E+02          6.86086381E+02          3.18063203E+02          1.41319973E+02
      11000.0000          4.41446533E+02          7.48525767E+02          3.48183239E+02          1.54480945E+02
      12000.0000          4.78501419E+02          8.10457760E+02          3.78105965E+02          1.67546571E+02
      13000.0000          5.15286098E+02          8.71905249E+02          4.07836039E+02          1.80520116E+02
      14000.0000          5.51809522E+02          9.32887313E+02          4.37377479E+02          1.93404334E+02
      15000.0000          5.88079343E+02          9.93420146E+02          4.66733815E+02          2.06201591E+02
      16000.0000          6.24102206E+02          1.05351771E+03          4.95908195E+02          2.18913952E+02
      17000.0000          6.59883966E+02          1.11319219E+03          5.24903468E+02          2.31543247E+02
      18000.0000          6.95429837E+02          1.17245438E+03          5.53722242E+02          2.44091113E+02
      19000.0000          7.30744516E+02          1.23131391E+03          5.82366923E+02          2.56559034E+02
      20000.0000          7.65832273E+02          1.28977946E+03          6.10839757E+02          2.68948363E+02
      21000.0000          8.00697023E+02          1.34785894E+03          6.39142850E+02          2.81260351E+02
      22000.0000          8.35342380E+02          1.40555958E+03          6.67278190E+02          2.93496154E+02
      23000.0000          8.69771702E+02          1.46288806E+03          6.95247666E+02          3.05656854E+02
      24000.0000          9.03988129E+02          1.51985057E+03          7.23053080E+02          3.17743466E+02
      25000.0000          9.37994612E+02          1.57645289E+03          7.50696159E+02          3.29756949E+02
      26000.0000          9.71793937E+02          1.63270044E+03          7.78178560E+02          3.41698211E+02
      27000.0000          1.00538874E+03          1.68859832E+03          8.05501884E+02          3.53568117E+02
      28000.0000          1.03878155E+03          1.74415135E+03          8.32667678E+02          3.65367494E+02
      29000.0000          1.07197475E+03          1.79936411E+03          8.59677441E+02          3.77097131E+02
      30000.0000          1.10497064E+03          1.85424096E+03          8.86532629E+02          3.88757790E+02
      31000.0000          1.13777144E+03          1.90878606E+03          9.13234659E+02          4.00350204E+02
      32000.0000          1.17037926E+03          1.96300339E+03          9.39784913E+02          4.11875080E+02
      33000.0000          1.20279616E+03          2.01689678E+03          9.66184739E+02          4.23333102E+02
      34000.0000          1.23502413E+03          2.07046991E+03          9.92435455E+02          4.34724936E+02
      35000.0000          1.26706507E+03          2.12372633E+03          1.01853835E+03          4.46051225E+02
      36000.0000          1.29892087E+03          2.17666946E+03          1.04449469E+03          4.57312597E+02
