#Energy      Co-K-shell   Co-L1-shell   Co-L2-shell   Co-L3-shell   Co-M1-shell   Co-M2-shell   Co-M3-shell   Valence  Total
         67.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.60979906E+04          1.22533258E+01          1.22515822E+01
         67.9990          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.04195682E+04          1.19803469E+01          1.19756304E+01
         68.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.93610100E+09          3.04001242E+04          1.19800759E+01          1.19753566E+01
         68.0010          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.93625382E+09          3.03792733E+04          1.19798049E+01          1.19750826E+01
         69.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.89418844E+05          1.64851086E+04          1.17113572E+01          1.17023201E+01
         70.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.68831774E+04          1.06664892E+04          1.14472528E+01          1.14330261E+01
         71.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.62741150E+04          7.60324064E+03          1.11878701E+01          1.11679924E+01
         72.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.34652581E+04          5.76425827E+03          1.09333405E+01          1.09075694E+01
         73.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.67273392E+04          4.56087547E+03          1.06838170E+01          1.06520611E+01
         74.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.26811058E+04          3.72331618E+03          1.04394723E+01          1.04017447E+01
         75.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00308501E+04          3.11351733E+03          1.02004950E+01          1.01568903E+01
         76.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          8.18772553E+03          2.65350390E+03          9.96708704E+00          9.91776087E+00
         77.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          6.84608243E+03          2.29665830E+03          9.73945767E+00          9.68461042E+00
         78.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.83362031E+03          2.01337224E+03          9.51781894E+00          9.45767900E+00
         79.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          5.04807650E+03          1.78414131E+03          9.30237980E+00          9.23719584E+00
         80.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          4.42486095E+03          1.59559449E+03          9.09333996E+00          9.02337196E+00
         81.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.92012795E+03          1.43844640E+03          8.89088369E+00          8.81639484E+00
         82.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.50522890E+03          1.30568012E+03          8.69517393E+00          8.61641877E+00
         83.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          3.15925709E+03          1.19250053E+03          8.50634686E+00          8.42357916E+00
         84.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.86732331E+03          1.09508787E+03          8.32450737E+00          8.23796823E+00
         85.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.61816220E+03          1.01047723E+03          8.14972560E+00          8.05963508E+00
         86.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.40376258E+03          9.36508341E+02          7.98203469E+00          7.88860343E+00
         87.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.21756922E+03          8.71371885E+02          7.82142988E+00          7.72484594E+00
         88.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          2.05478115E+03          8.13672163E+02          7.66786893E+00          7.56830409E+00
         89.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.91147798E+03          7.62294257E+02          7.52127360E+00          7.41888247E+00
         90.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.78455969E+03          7.16304588E+02          7.38153226E+00          7.27645048E+00
         91.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.67151343E+03          6.74942515E+02          7.24850322E+00          7.14084830E+00
         92.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.57031712E+03          6.37586721E+02          7.12201861E+00          7.01189211E+00
         93.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.47933310E+03          6.03722356E+02          7.00188859E+00          6.88937815E+00
         94.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.39717070E+03          5.72901727E+02          6.88790556E+00          6.77308328E+00
         95.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.32267302E+03          5.44770277E+02          6.77984840E+00          6.66277542E+00
         96.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.25489729E+03          5.19001499E+02          6.67748637E+00          6.55821109E+00
         97.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.19301244E+03          4.95332073E+02          6.58058272E+00          6.45914351E+00
         98.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.13634357E+03          4.73525437E+02          6.48889790E+00          6.36532337E+00
         99.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.08429675E+03          4.53392259E+02          6.40219237E+00          6.27650465E+00
        100.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.03634924E+03          4.34753561E+02          6.32022887E+00          6.19244135E+00
        106.9990          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.85336567E+02          3.35600650E+02          5.86060129E+00          5.71807509E+00
        107.0010          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.02704102E+10          7.85281256E+02          3.35578477E+02          5.86049464E+00          5.71796419E+00
        110.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.58666889E+05          7.09378582E+02          3.05040899E+02          5.71371453E+00          5.56446704E+00
        120.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.69913133E+04          5.33612395E+02          2.33222141E+02          5.37521817E+00          5.20130098E+00
        130.0000          1.00000000E+30          1.00000000E+30          1.00000000E+30          1.00000000E+30          7.09533839E+03          4.26935976E+02          1.88829230E+02          5.19240438E+00          4.99081675E+00
