#Energy      Co  Total
         95.0000          7.40713801E+00          7.40713801E+00
         96.0000          7.37322998E+00          7.37322998E+00
         97.0000          7.34019094E+00          7.34019094E+00
         98.0000          7.30799423E+00          7.30799423E+00
         99.0000          7.27661427E+00          7.27661427E+00
        100.0000          7.24602647E+00          7.24602647E+00
        106.9990          7.05224606E+00          7.05224606E+00
        107.0010          7.05219538E+00          7.05219538E+00
        110.0000          6.97894830E+00          6.97894830E+00
        120.0000          6.77001066E+00          6.77001066E+00
        130.0000          6.60570424E+00          6.60570424E+00
        140.0000          6.47636907E+00          6.47636907E+00
        150.0000          6.37491648E+00          6.37491648E+00
        160.0000          6.29602841E+00          6.29602841E+00
        170.0000          6.23563843E+00          6.23563843E+00
        180.0000          6.19058498E+00          6.19058498E+00
        190.0000          6.15837387E+00          6.15837387E+00
        200.0000          6.13701174E+00          6.13701174E+00
        210.0000          6.12488697E+00          6.12488697E+00
        220.0000          6.12068301E+00          6.12068301E+00
        230.0000          6.12331420E+00          6.12331420E+00
        240.0000          6.13187770E+00          6.13187770E+00
        250.0000          6.14561682E+00          6.14561682E+00
        260.0000          6.16389291E+00          6.16389291E+00
        270.0000          6.18616341E+00          6.18616341E+00
        280.0000          6.21196463E+00          6.21196463E+00
        290.0000          6.24089810E+00          6.24089810E+00
        300.0000          6.27261965E+00          6.27261965E+00
        310.0000          6.30683059E+00          6.30683059E+00
        320.0000          6.34327052E+00          6.34327052E+00
        330.0000          6.38171154E+00          6.38171154E+00
        340.0000          6.42195339E+00          6.42195339E+00
        350.0000          6.46381946E+00          6.46381946E+00
        360.0000          6.50715347E+00          6.50715347E+00
        370.0000          6.55181673E+00          6.55181673E+00
        380.0000          6.59768570E+00          6.59768570E+00
        390.0000          6.64465013E+00          6.64465013E+00
        400.0000          6.69261129E+00          6.69261129E+00
        410.0000          6.74148057E+00          6.74148057E+00
        420.0000          6.79117827E+00          6.79117827E+00
        430.0000          6.84163250E+00          6.84163250E+00
        440.0000          6.89277832E+00          6.89277832E+00
        450.0000          6.94455692E+00          6.94455692E+00
        460.0000          6.99691496E+00          6.99691496E+00
        470.0000          7.04980393E+00          7.04980393E+00
        480.0000          7.10317970E+00          7.10317970E+00
        490.0000          7.15700201E+00          7.15700201E+00
        500.0000          7.21123407E+00          7.21123407E+00
        510.0000          7.26584225E+00          7.26584225E+00
        520.0000          7.32079572E+00          7.32079572E+00
        530.0000          7.37606622E+00          7.37606622E+00
        540.0000          7.43162776E+00          7.43162776E+00
        550.0000          7.48745646E+00          7.48745646E+00
        560.0000          7.54353032E+00          7.54353032E+00
        570.0000          7.59982906E+00          7.59982906E+00
        580.0000          7.65633398E+00          7.65633398E+00
        590.0000          7.71302777E+00          7.71302777E+00
        600.0000          7.76989445E+00          7.76989445E+00
        610.0000          7.82691922E+00          7.82691922E+00
        620.0000          7.88408836E+00          7.88408836E+00
        630.0000          7.94138916E+00          7.94138916E+00
        640.0000          7.99880982E+00          7.99880982E+00
        650.0000          8.05633938E+00          8.05633938E+00
        660.0000          8.11396764E+00          8.11396764E+00
        670.0000          8.17168513E+00          8.17168513E+00
        680.0000          8.22948304E+00          8.22948304E+00
        690.0000          8.28735314E+00          8.28735314E+00
        700.0000          8.34528779E+00          8.34528779E+00
        710.0000          8.40327983E+00          8.40327983E+00
        720.0000          8.46132261E+00          8.46132261E+00
        730.0000          8.51940991E+00          8.51940991E+00
        740.0000          8.57753591E+00          8.57753591E+00
        750.0000          8.63569521E+00          8.63569521E+00
        760.0000          8.69388271E+00          8.69388271E+00
        770.0000          8.75209368E+00          8.75209368E+00
        780.0000          8.81032368E+00          8.81032368E+00
        784.9990          8.83943868E+00          8.83943868E+00
        785.0010          8.83945033E+00          8.83945033E+00
        790.0000          8.86856855E+00          8.86856855E+00
        799.9990          8.92681858E+00          8.92681858E+00
        800.0000          8.92682441E+00          8.92682441E+00
        800.0010          8.92683023E+00          8.92683023E+00
        810.0000          8.98508761E+00          8.98508761E+00
        820.0000          9.04335475E+00          9.04335475E+00
        830.0000          9.10162262E+00          9.10162262E+00
        840.0000          9.15988824E+00          9.15988824E+00
        850.0000          9.21814880E+00          9.21814880E+00
        860.0000          9.27640166E+00          9.27640166E+00
        870.0000          9.33464437E+00          9.33464437E+00
        880.0000          9.39287460E+00          9.39287460E+00
        890.0000          9.45109020E+00          9.45109020E+00
        900.0000          9.50928912E+00          9.50928912E+00
        910.0000          9.56746946E+00          9.56746946E+00
        920.0000          9.62562944E+00          9.62562944E+00
        930.0000          9.68376738E+00          9.68376738E+00
        930.9990          9.68957409E+00          9.68957409E+00
        931.0010          9.68958572E+00          9.68958572E+00
        940.0000          9.74188171E+00          9.74188171E+00
        950.0000          9.79997096E+00          9.79997096E+00
        960.0000          9.85803374E+00          9.85803374E+00
        970.0000          9.91606877E+00          9.91606877E+00
        980.0000          9.97407484E+00          9.97407484E+00
        990.0000          1.00320508E+01          1.00320508E+01
       1000.0000          1.00899956E+01          1.00899956E+01
       1100.0000          1.06675408E+01          1.06675408E+01
       1200.0000          1.12412087E+01          1.12412087E+01
       1300.0000          1.18106656E+01          1.18106656E+01
       1400.0000          1.23757953E+01          1.23757953E+01
       1500.0000          1.29366071E+01          1.29366071E+01
       1600.0000          1.34931820E+01          1.34931820E+01
       1700.0000          1.40456410E+01          1.40456410E+01
       1800.0000          1.45941263E+01          1.45941263E+01
       1900.0000          1.51387890E+01          1.51387890E+01
       2000.0000          1.56797827E+01          1.56797827E+01
       2100.0000          1.62172585E+01          1.62172585E+01
       2200.0000          1.67513631E+01          1.67513631E+01
       2300.0000          1.72822372E+01          1.72822372E+01
       2400.0000          1.78100143E+01          1.78100143E+01
       2500.0000          1.83348212E+01          1.83348212E+01
       2600.0000          1.88567774E+01          1.88567774E+01
       2700.0000          1.93759957E+01          1.93759957E+01
       2800.0000          1.98925822E+01          1.98925822E+01
       2900.0000          2.04066367E+01          2.04066367E+01
       3000.0000          2.09182530E+01          2.09182530E+01
       3100.0000          2.14275196E+01          2.14275196E+01
       3200.0000          2.19345197E+01          2.19345197E+01
       3300.0000          2.24393315E+01          2.24393315E+01
       3400.0000          2.29420290E+01          2.29420290E+01
       3500.0000          2.34426818E+01          2.34426818E+01
       3600.0000          2.39413555E+01          2.39413555E+01
       3700.0000          2.44381125E+01          2.44381125E+01
       3800.0000          2.49330113E+01          2.49330113E+01
       3900.0000          2.54261076E+01          2.54261076E+01
       4000.0000          2.59174542E+01          2.59174542E+01
       4100.0000          2.64071008E+01          2.64071008E+01
       4200.0000          2.68950950E+01          2.68950950E+01
       4300.0000          2.73814817E+01          2.73814817E+01
       4400.0000          2.78663039E+01          2.78663039E+01
       4500.0000          2.83496022E+01          2.83496022E+01
       4600.0000          2.88314154E+01          2.88314154E+01
       4700.0000          2.93117805E+01          2.93117805E+01
       4800.0000          2.97907328E+01          2.97907328E+01
       4900.0000          3.02683060E+01          3.02683060E+01
       5000.0000          3.07445322E+01          3.07445322E+01
       5100.0000          3.12194423E+01          3.12194423E+01
       5200.0000          3.16930656E+01          3.16930656E+01
       5300.0000          3.21654303E+01          3.21654303E+01
       5400.0000          3.26365634E+01          3.26365634E+01
       5500.0000          3.31064909E+01          3.31064909E+01
       5600.0000          3.35752376E+01          3.35752376E+01
       5700.0000          3.40428273E+01          3.40428273E+01
       5800.0000          3.45092829E+01          3.45092829E+01
       5900.0000          3.49746265E+01          3.49746265E+01
       6000.0000          3.54388792E+01          3.54388792E+01
       6100.0000          3.59020614E+01          3.59020614E+01
       6200.0000          3.63641928E+01          3.63641928E+01
       6300.0000          3.68252923E+01          3.68252923E+01
       6400.0000          3.72853781E+01          3.72853781E+01
       6500.0000          3.77444678E+01          3.77444678E+01
       6600.0000          3.82025783E+01          3.82025783E+01
       6700.0000          3.86597260E+01          3.86597260E+01
       6800.0000          3.91159268E+01          3.91159268E+01
       6900.0000          3.95711959E+01          3.95711959E+01
       7000.0000          4.00255482E+01          4.00255482E+01
       7100.0000          4.04789978E+01          4.04789978E+01
       7200.0000          4.09315587E+01          4.09315587E+01
       7300.0000          4.13832443E+01          4.13832443E+01
       7400.0000          4.18340675E+01          4.18340675E+01
       7500.0000          4.22840408E+01          4.22840408E+01
       7600.0000          4.27331765E+01          4.27331765E+01
       7700.0000          4.31814864E+01          4.31814864E+01
       7714.9990          4.32486579E+01          4.32486579E+01
       7715.0010          4.32486669E+01          4.32486669E+01
       7800.0000          4.36289819E+01          4.36289819E+01
       7900.0000          4.40756742E+01          4.40756742E+01
       8000.0000          4.45215740E+01          4.45215740E+01
       8100.0000          4.49666919E+01          4.49666919E+01
       8200.0000          4.54110379E+01          4.54110379E+01
       8300.0000          4.58546220E+01          4.58546220E+01
       8400.0000          4.62974538E+01          4.62974538E+01
       8500.0000          4.67395427E+01          4.67395427E+01
       8600.0000          4.71808978E+01          4.71808978E+01
       8700.0000          4.76215278E+01          4.76215278E+01
       8800.0000          4.80614415E+01          4.80614415E+01
       8900.0000          4.85006472E+01          4.85006472E+01
       9000.0000          4.89391530E+01          4.89391530E+01
       9100.0000          4.93769670E+01          4.93769670E+01
       9200.0000          4.98140969E+01          4.98140969E+01
       9300.0000          5.02505503E+01          5.02505503E+01
       9400.0000          5.06863344E+01          5.06863344E+01
       9500.0000          5.11214565E+01          5.11214565E+01
       9600.0000          5.15559237E+01          5.15559237E+01
       9700.0000          5.19897427E+01          5.19897427E+01
       9800.0000          5.24229202E+01          5.24229202E+01
       9900.0000          5.28554628E+01          5.28554628E+01
      10000.0000          5.32873768E+01          5.32873768E+01
      11000.0000          5.75732448E+01          5.75732448E+01
      12000.0000          6.18022896E+01          6.18022896E+01
      13000.0000          6.59789814E+01          6.59789814E+01
      14000.0000          7.01069994E+01          7.01069994E+01
      15000.0000          7.41894203E+01          7.41894203E+01
      16000.0000          7.82288529E+01          7.82288529E+01
      17000.0000          8.22275359E+01          8.22275359E+01
      18000.0000          8.61874111E+01          8.61874111E+01
      19000.0000          9.01101788E+01          9.01101788E+01
      20000.0000          9.39973409E+01          9.39973409E+01
      21000.0000          9.78502337E+01          9.78502337E+01
      22000.0000          1.01670055E+02          1.01670055E+02
      23000.0000          1.05457886E+02          1.05457886E+02
      24000.0000          1.09214705E+02          1.09214705E+02
      25000.0000          1.12941407E+02          1.12941407E+02
      26000.0000          1.16638811E+02          1.16638811E+02
      27000.0000          1.20307672E+02          1.20307672E+02
      28000.0000          1.23948686E+02          1.23948686E+02
      29000.0000          1.27562501E+02          1.27562501E+02
      30000.0000          1.31149720E+02          1.31149720E+02
      31000.0000          1.34710905E+02          1.34710905E+02
      32000.0000          1.38246587E+02          1.38246587E+02
      33000.0000          1.41757260E+02          1.41757260E+02
      34000.0000          1.45243394E+02          1.45243394E+02
      35000.0000          1.48705431E+02          1.48705431E+02
      36000.0000          1.52143790E+02          1.52143790E+02
      37000.0000          1.55558871E+02          1.55558871E+02
      38000.0000          1.58951053E+02          1.58951053E+02
      39000.0000          1.62320696E+02          1.62320696E+02
      40000.0000          1.65668147E+02          1.65668147E+02
      41000.0000          1.68993736E+02          1.68993736E+02
      42000.0000          1.72297781E+02          1.72297781E+02
      43000.0000          1.75580585E+02          1.75580585E+02
      44000.0000          1.78842441E+02          1.78842441E+02
      45000.0000          1.82083631E+02          1.82083631E+02
      46000.0000          1.85304427E+02          1.85304427E+02
      47000.0000          1.88505092E+02          1.88505092E+02
      48000.0000          1.91685878E+02          1.91685878E+02
      49000.0000          1.94847031E+02          1.94847031E+02
      50000.0000          1.97988789E+02          1.97988789E+02
