#Energy      Al   Cu  Total
         79.0000          9.55994444E+00          3.14448843E+01          7.33112066E+00
         79.9990          9.58172867E+00          3.12186377E+01          7.33151544E+00
         80.0000          9.58175073E+00          3.12184144E+01          7.33151604E+00
         80.0010          9.58177279E+00          3.12181911E+01          7.33151664E+00
         81.0000          9.60405732E+00          3.09981891E+01          7.33231314E+00
         81.9990          9.62682220E+00          3.07841918E+01          7.33349430E+00
         82.0000          9.62684522E+00          3.07839805E+01          7.33349567E+00
         82.0010          9.62686824E+00          3.07837692E+01          7.33349704E+00
         83.0000          9.65009634E+00          3.05755717E+01          7.33504816E+00
         84.0000          9.67379344E+00          3.03727559E+01          7.33695590E+00
         85.0000          9.69792009E+00          3.01753361E+01          7.33920493E+00
         86.0000          9.72246065E+00          2.99831244E+01          7.34178194E+00
         87.0000          9.74740016E+00          2.97959416E+01          7.34467429E+00
         88.0000          9.77272434E+00          2.96136163E+01          7.34786995E+00
         89.0000          9.79841959E+00          2.94359850E+01          7.35135744E+00
         90.0000          9.82447287E+00          2.92628914E+01          7.35512583E+00
         91.0000          9.85087173E+00          2.90941860E+01          7.35916471E+00
         92.0000          9.87760427E+00          2.89297257E+01          7.36346413E+00
         93.0000          9.90465909E+00          2.87693737E+01          7.36801461E+00
         94.0000          9.93202526E+00          2.86129989E+01          7.37280710E+00
         95.0000          9.95969236E+00          2.84604755E+01          7.37783295E+00
         96.0000          9.98765035E+00          2.83116833E+01          7.38308390E+00
         97.0000          1.00158896E+01          2.81665067E+01          7.38855204E+00
         98.0000          1.00444010E+01          2.80248349E+01          7.39422984E+00
         99.0000          1.00731756E+01          2.78865617E+01          7.40011006E+00
        100.0000          1.01022051E+01          2.77515849E+01          7.40618579E+00
        110.0000          1.04048679E+01          2.65633035E+01          7.47636829E+00
        120.0000          1.07257554E+01          2.56170935E+01          7.56029555E+00
        120.9990          1.07586221E+01          2.55335479E+01          7.56928541E+00
        121.0010          1.07586880E+01          2.55333825E+01          7.56930350E+00
        126.9990          1.09586515E+01          2.50680861E+01          7.62523720E+00
        127.0010          1.09587189E+01          2.50679408E+01          7.62525637E+00
        130.0000          1.10602444E+01          2.48568245E+01          7.65437053E+00
        140.0000          1.14050533E+01          2.42423580E+01          7.75611398E+00
        150.0000          1.17577954E+01          2.37442359E+01          7.86377166E+00
        160.0000          1.21166984E+01          2.33403549E+01          7.97607289E+00
        170.0000          1.24804231E+01          2.30138099E+01          8.09207752E+00
        180.0000          1.28479418E+01          2.27514541E+01          8.21107638E+00
        190.0000          1.32184555E+01          2.25429129E+01          8.33252487E+00
        200.0000          1.35913358E+01          2.23798917E+01          8.45599789E+00
        210.0000          1.39660834E+01          2.22556819E+01          8.58115853E+00
        220.0000          1.43422982E+01          2.21648008E+01          8.70773605E+00
        230.0000          1.47196567E+01          2.21027249E+01          8.83551007E+00
        240.0000          1.50978962E+01          2.20656908E+01          8.96429907E+00
        250.0000          1.54768012E+01          2.20505424E+01          9.09395199E+00
        260.0000          1.58561949E+01          2.20546144E+01          9.22434184E+00
        270.0000          1.62359309E+01          2.20756413E+01          9.35536095E+00
        280.0000          1.66158879E+01          2.21116854E+01          9.48691730E+00
        290.0000          1.69959648E+01          2.21610806E+01          9.61893169E+00
        300.0000          1.73760773E+01          2.22223867E+01          9.75133552E+00
        310.0000          1.77561549E+01          2.22943528E+01          9.88406901E+00
        320.0000          1.81361386E+01          2.23758878E+01          1.00170798E+01
        330.0000          1.85159789E+01          2.24660356E+01          1.01503219E+01
        340.0000          1.88956342E+01          2.25639556E+01          1.02837547E+01
        350.0000          1.92750697E+01          2.26689056E+01          1.04173420E+01
        360.0000          1.96542564E+01          2.27802286E+01          1.05510519E+01
        370.0000          2.00331699E+01          2.28973405E+01          1.06848558E+01
        380.0000          2.04117899E+01          2.30197208E+01          1.08187281E+01
        390.0000          2.07900996E+01          2.31469045E+01          1.09526459E+01
        400.0000          2.11680852E+01          2.32784745E+01          1.10865888E+01
        410.0000          2.15457354E+01          2.34140564E+01          1.12205383E+01
        420.0000          2.19230411E+01          2.35533127E+01          1.13544776E+01
        430.0000          2.22999949E+01          2.36959389E+01          1.14883920E+01
        440.0000          2.26765911E+01          2.38416595E+01          1.16222677E+01
        450.0000          2.30528254E+01          2.39902246E+01          1.17560928E+01
        460.0000          2.34286947E+01          2.41414074E+01          1.18898560E+01
        470.0000          2.38041968E+01          2.42950012E+01          1.20235474E+01
        480.0000          2.41793304E+01          2.44508178E+01          1.21571581E+01
        490.0000          2.45540950E+01          2.46086853E+01          1.22906799E+01
        500.0000          2.49284907E+01          2.47684464E+01          1.24241054E+01
        510.0000          2.53025183E+01          2.49299569E+01          1.25574280E+01
        520.0000          2.56761789E+01          2.50930845E+01          1.26906416E+01
        530.0000          2.60494740E+01          2.52577079E+01          1.28237409E+01
        540.0000          2.64224057E+01          2.54237151E+01          1.29567209E+01
        550.0000          2.67949761E+01          2.55910032E+01          1.30895772E+01
        560.0000          2.71671876E+01          2.57594771E+01          1.32223058E+01
        570.0000          2.75390431E+01          2.59290492E+01          1.33549033E+01
        580.0000          2.79105454E+01          2.60996383E+01          1.34873664E+01
        590.0000          2.82816974E+01          2.62711692E+01          1.36196923E+01
        600.0000          2.86525024E+01          2.64435724E+01          1.37518784E+01
        610.0000          2.90229636E+01          2.66167833E+01          1.38839225E+01
        620.0000          2.93930844E+01          2.67907420E+01          1.40158225E+01
        630.0000          2.97628681E+01          2.69653929E+01          1.41475768E+01
        640.0000          3.01323182E+01          2.71406840E+01          1.42791838E+01
        650.0000          3.05014382E+01          2.73165673E+01          1.44106422E+01
        660.0000          3.08702317E+01          2.74929977E+01          1.45419508E+01
        670.0000          3.12387020E+01          2.76699334E+01          1.46731086E+01
        680.0000          3.16068529E+01          2.78473352E+01          1.48041148E+01
        690.0000          3.19746877E+01          2.80251668E+01          1.49349688E+01
        700.0000          3.23422101E+01          2.82033939E+01          1.50656700E+01
        710.0000          3.27094236E+01          2.83819846E+01          1.51962180E+01
        720.0000          3.30763316E+01          2.85609092E+01          1.53266125E+01
        730.0000          3.34429376E+01          2.87401397E+01          1.54568532E+01
        740.0000          3.38092451E+01          2.89196499E+01          1.55869401E+01
        750.0000          3.41752574E+01          2.90994153E+01          1.57168732E+01
        760.0000          3.45409780E+01          2.92794128E+01          1.58466525E+01
        770.0000          3.49064101E+01          2.94596209E+01          1.59762781E+01
        780.0000          3.52715572E+01          2.96400193E+01          1.61057502E+01
        790.0000          3.56364224E+01          2.98205890E+01          1.62350691E+01
        800.0000          3.60010090E+01          3.00013120E+01          1.63642352E+01
        810.0000          3.63653202E+01          3.01821717E+01          1.64932487E+01
        820.0000          3.67293590E+01          3.03631520E+01          1.66221102E+01
        830.0000          3.70931287E+01          3.05442383E+01          1.67508200E+01
        840.0000          3.74566322E+01          3.07254164E+01          1.68793787E+01
        850.0000          3.78198726E+01          3.09066733E+01          1.70077869E+01
        860.0000          3.81828528E+01          3.10879964E+01          1.71360450E+01
        870.0000          3.85455758E+01          3.12693742E+01          1.72641538E+01
        880.0000          3.89080443E+01          3.14507955E+01          1.73921138E+01
        890.0000          3.92702614E+01          3.16322501E+01          1.75199256E+01
        900.0000          3.96322297E+01          3.18137280E+01          1.76475901E+01
        910.0000          3.99939519E+01          3.19952202E+01          1.77751079E+01
        920.0000          4.03554309E+01          3.21767179E+01          1.79024796E+01
        930.0000          4.07166692E+01          3.23582129E+01          1.80297061E+01
        937.9990          4.10054523E+01          3.25033836E+01          1.81313706E+01
        938.0010          4.10055245E+01          3.25034199E+01          1.81313960E+01
        940.0000          4.10776695E+01          3.25396974E+01          1.81567882E+01
        950.0000          4.14384343E+01          3.27211642E+01          1.82837265E+01
        957.9990          4.17268423E+01          3.28663020E+01          1.83851614E+01
        958.0010          4.17269144E+01          3.28663383E+01          1.83851868E+01
        960.0000          4.17989662E+01          3.29026063E+01          1.84105218E+01
        970.0000          4.21592676E+01          3.30840173E+01          1.85371750E+01
        980.0000          4.25193410E+01          3.32653910E+01          1.86636868E+01
        990.0000          4.28791889E+01          3.34467216E+01          1.87900581E+01
       1000.0000          4.32388135E+01          3.36280036E+01          1.89162897E+01
       1100.0000          4.68232776E+01          3.54371502E+01          2.01711025E+01
       1102.9990          4.69304572E+01          3.54912811E+01          2.02085285E+01
       1103.0010          4.69305287E+01          3.54913172E+01          2.02085535E+01
       1200.0000          5.03877581E+01          3.72372646E+01          2.14128593E+01
       1300.0000          5.39340700E+01          3.90262029E+01          2.26423814E+01
       1400.0000          5.74637617E+01          4.08028553E+01          2.38604485E+01
       1500.0000          6.09781629E+01          4.25667341E+01          2.50677853E+01
       1563.9990          6.32198573E+01          4.36888338E+01          2.58351478E+01
       1564.0010          6.32199273E+01          4.36888688E+01          2.58351717E+01
       1600.0000          6.44784225E+01          4.43177291E+01          2.62650583E+01
       1700.0000          6.79655398E+01          4.60559607E+01          2.74528770E+01
       1800.0000          7.14403893E+01          4.77816877E+01          2.86317975E+01
       1900.0000          7.49037413E+01          4.94952497E+01          2.98023268E+01
       2000.0000          7.83562775E+01          5.11970307E+01          3.09649271E+01
       2100.0000          8.17986046E+01          5.28874351E+01          3.21200208E+01
       2200.0000          8.52312655E+01          5.45668730E+01          3.32679941E+01
       2300.0000          8.86547477E+01          5.62357501E+01          3.44092008E+01
       2400.0000          9.20694910E+01          5.78944622E+01          3.55439661E+01
       2500.0000          9.54758938E+01          5.95433913E+01          3.66725888E+01
       2600.0000          9.88743183E+01          6.11829036E+01          3.77953448E+01
       2700.0000          1.02265095E+02          6.28133486E+01          3.89124886E+01
       2800.0000          1.05648526E+02          6.44350586E+01          4.00242562E+01
       2900.0000          1.09024888E+02          6.60483493E+01          4.11308661E+01
       3000.0000          1.12394438E+02          6.76535196E+01          4.22325219E+01
       3100.0000          1.15757410E+02          6.92508528E+01          4.33294127E+01
       3200.0000          1.19114023E+02          7.08406170E+01          4.44217150E+01
       3300.0000          1.22464479E+02          7.24230660E+01          4.55095940E+01
       3400.0000          1.25808966E+02          7.39984401E+01          4.65932040E+01
       3500.0000          1.29147659E+02          7.55669669E+01          4.76726899E+01
       3600.0000          1.32480721E+02          7.71288619E+01          4.87481874E+01
       3700.0000          1.35808304E+02          7.86843293E+01          4.98198244E+01
       3800.0000          1.39130553E+02          8.02335629E+01          5.08877212E+01
       3900.0000          1.42447600E+02          8.17767467E+01          5.19519913E+01
       4000.0000          1.45759572E+02          8.33140552E+01          5.30127417E+01
       4100.0000          1.49066588E+02          8.48456544E+01          5.40700738E+01
       4200.0000          1.52368760E+02          8.63717020E+01          5.51240834E+01
       4300.0000          1.55666193E+02          8.78923483E+01          5.61748612E+01
       4400.0000          1.58958987E+02          8.94077362E+01          5.72224933E+01
       4500.0000          1.62247236E+02          9.09180021E+01          5.82670617E+01
       4600.0000          1.65531030E+02          9.24232760E+01          5.93086439E+01
       4700.0000          1.68810454E+02          9.39236818E+01          6.03473139E+01
       4800.0000          1.72085589E+02          9.54193383E+01          6.13831423E+01
       4900.0000          1.75356510E+02          9.69103586E+01          6.24161962E+01
       5000.0000          1.78623292E+02          9.83968510E+01          6.34465396E+01
       5100.0000          1.81886004E+02          9.98789194E+01          6.44742337E+01
       5200.0000          1.85144712E+02          1.01356663E+02          6.54993372E+01
       5300.0000          1.88399479E+02          1.02830177E+02          6.65219058E+01
       5400.0000          1.91650366E+02          1.04299552E+02          6.75419932E+01
       5500.0000          1.94897431E+02          1.05764877E+02          6.85596507E+01
       5600.0000          1.98140729E+02          1.07226235E+02          6.95749274E+01
       5700.0000          2.01380313E+02          1.08683707E+02          7.05878707E+01
       5800.0000          2.04616234E+02          1.10137371E+02          7.15985257E+01
       5900.0000          2.07848541E+02          1.11587301E+02          7.26069361E+01
       6000.0000          2.11077281E+02          1.13033570E+02          7.36131437E+01
       6100.0000          2.14302499E+02          1.14476246E+02          7.46171887E+01
       6200.0000          2.17524237E+02          1.15915397E+02          7.56191099E+01
       6300.0000          2.20742538E+02          1.17351086E+02          7.66189446E+01
       6400.0000          2.23957442E+02          1.18783376E+02          7.76167287E+01
       6500.0000          2.27168987E+02          1.20212327E+02          7.86124970E+01
       6600.0000          2.30377211E+02          1.21637995E+02          7.96062829E+01
       6700.0000          2.33582149E+02          1.23060438E+02          8.05981187E+01
       6800.0000          2.36783836E+02          1.24479708E+02          8.15880355E+01
       6900.0000          2.39982306E+02          1.25895859E+02          8.25760634E+01
       7000.0000          2.43177590E+02          1.27308940E+02          8.35622316E+01
       7100.0000          2.46369721E+02          1.28719000E+02          8.45465682E+01
       7200.0000          2.49558728E+02          1.30126087E+02          8.55291005E+01
       7300.0000          2.52744641E+02          1.31530245E+02          8.65098549E+01
       7400.0000          2.55927487E+02          1.32931521E+02          8.74888568E+01
       7500.0000          2.59107295E+02          1.34329955E+02          8.84661310E+01
       7600.0000          2.62284091E+02          1.35725590E+02          8.94417015E+01
       7700.0000          2.65457900E+02          1.37118467E+02          9.04155915E+01
       7800.0000          2.68628748E+02          1.38508624E+02          9.13878236E+01
       7900.0000          2.71796659E+02          1.39896100E+02          9.23584196E+01
       8000.0000          2.74961657E+02          1.41280931E+02          9.33274008E+01
       8100.0000          2.78123764E+02          1.42663153E+02          9.42947879E+01
       8200.0000          2.81283002E+02          1.44042801E+02          9.52606008E+01
       8300.0000          2.84439394E+02          1.45419909E+02          9.62248591E+01
       8400.0000          2.87592959E+02          1.46794510E+02          9.71875816E+01
       8500.0000          2.90743719E+02          1.48166636E+02          9.81487868E+01
       8600.0000          2.93891694E+02          1.49536318E+02          9.91084925E+01
       8700.0000          2.97036902E+02          1.50903586E+02          1.00066716E+02
       8800.0000          3.00179363E+02          1.52268470E+02          1.01023475E+02
       8900.0000          3.03319095E+02          1.53630998E+02          1.01978785E+02
       8985.9990          3.06017064E+02          1.54800896E+02          1.02799196E+02
       8986.0010          3.06017126E+02          1.54800923E+02          1.02799215E+02
       9000.0000          3.06456115E+02          1.54991199E+02          1.02932663E+02
       9100.0000          3.09590442E+02          1.56349099E+02          1.03885124E+02
       9200.0000          3.12722092E+02          1.57704726E+02          1.04836183E+02
       9300.0000          3.15851082E+02          1.59058105E+02          1.05785856E+02
       9400.0000          3.18977428E+02          1.60409262E+02          1.06734156E+02
       9500.0000          3.22101146E+02          1.61758220E+02          1.07681099E+02
       9600.0000          3.25222251E+02          1.63105005E+02          1.08626697E+02
       9700.0000          3.28340758E+02          1.64449640E+02          1.09570965E+02
       9800.0000          3.31456682E+02          1.65792146E+02          1.10513915E+02
       9900.0000          3.34570038E+02          1.67132548E+02          1.11455561E+02
      10000.0000          3.37680838E+02          1.68470866E+02          1.12395914E+02
      11000.0000          3.68651219E+02          1.81743927E+02          1.21730943E+02
      12000.0000          3.99379549E+02          1.94829359E+02          1.30948662E+02
      13000.0000          4.29875889E+02          2.07742505E+02          1.40057901E+02
      14000.0000          4.60148657E+02          2.20495989E+02          1.49065939E+02
      15000.0000          4.90205016E+02          2.33100369E+02          1.57978874E+02
      16000.0000          5.20051164E+02          2.45564590E+02          1.66801885E+02
      17000.0000          5.49692537E+02          2.57896325E+02          1.75539426E+02
      18000.0000          5.79133955E+02          2.70102224E+02          1.84195366E+02
      19000.0000          6.08379744E+02          2.82188103E+02          1.92773102E+02
      20000.0000          6.37433816E+02          2.94159096E+02          2.01275635E+02
      21000.0000          6.66299746E+02          3.06019765E+02          2.09705646E+02
      22000.0000          6.94980817E+02          3.17774193E+02          2.18065540E+02
      23000.0000          7.23480070E+02          3.29426060E+02          2.26357490E+02
      24000.0000          7.51800338E+02          3.40978698E+02          2.34583472E+02
      25000.0000          7.79944270E+02          3.52435141E+02          2.42745290E+02
      26000.0000          8.07914360E+02          3.63798167E+02          2.50844603E+02
      27000.0000          8.35712963E+02          3.75070330E+02          2.58882939E+02
      28000.0000          8.63342314E+02          3.86253985E+02          2.66861713E+02
      29000.0000          8.90804539E+02          3.97351317E+02          2.74782244E+02
      30000.0000          9.18101667E+02          4.08364356E+02          2.82645759E+02
      31000.0000          9.45235644E+02          4.19294997E+02          2.90453409E+02
      32000.0000          9.72208335E+02          4.30145014E+02          2.98206275E+02
      33000.0000          9.99021537E+02          4.40916072E+02          3.05905373E+02
      34000.0000          1.02567698E+03          4.51609737E+02          3.13551666E+02
      35000.0000          1.05217635E+03          4.62227488E+02          3.21146063E+02
      36000.0000          1.07852125E+03          4.72770725E+02          3.28689429E+02
      37000.0000          1.10471326E+03          4.83240775E+02          3.36182585E+02
      38000.0000          1.13075391E+03          4.93638896E+02          3.43626314E+02
      39000.0000          1.15664469E+03          5.03966289E+02          3.51021364E+02
      40000.0000          1.18238703E+03          5.14224098E+02          3.58368452E+02
      41000.0000          1.20798236E+03          5.24413417E+02          3.65668264E+02
      42000.0000          1.23343203E+03          5.34535292E+02          3.72921457E+02
      43000.0000          1.25873741E+03          5.44590726E+02          3.80128666E+02
      44000.0000          1.28389980E+03          5.54580683E+02          3.87290501E+02
      45000.0000          1.30892048E+03          5.64506089E+02          3.94407549E+02
      46000.0000          1.33380073E+03          5.74367835E+02          4.01480378E+02
      47000.0000          1.35854177E+03          5.84166780E+02          4.08509538E+02
      48000.0000          1.38314482E+03          5.93903755E+02          4.15495559E+02
      49000.0000          1.40761106E+03          6.03579559E+02          4.22438955E+02
      50000.0000          1.43194166E+03          6.13194970E+02          4.29340226E+02
