#Energy      Cu   Si  Total
      20000.0000          2.92838058E+02          5.84597225E+02          1.95105348E+02
      21000.0000          3.04645461E+02          6.10921960E+02          2.03277878E+02
      22000.0000          3.16347102E+02          6.37074985E+02          2.11382585E+02
      23000.0000          3.27946641E+02          6.63059326E+02          2.19421564E+02
      24000.0000          3.39447397E+02          6.88877791E+02          2.27396718E+02
      25000.0000          3.50852391E+02          7.14532999E+02          2.35309789E+02
      26000.0000          3.62164387E+02          7.40027404E+02          2.43162373E+02
      27000.0000          3.73385928E+02          7.65363321E+02          2.50955945E+02
      28000.0000          3.84519358E+02          7.90542934E+02          2.58691870E+02
      29000.0000          3.95566853E+02          8.15568318E+02          2.66371418E+02
      30000.0000          4.06530434E+02          8.40441449E+02          2.73995774E+02
      31000.0000          4.17411986E+02          8.65164213E+02          2.81566049E+02
      32000.0000          4.28213277E+02          8.89738415E+02          2.89083283E+02
      33000.0000          4.38935963E+02          9.14165790E+02          2.96548460E+02
      34000.0000          4.49581604E+02          9.38448006E+02          3.03962507E+02
      35000.0000          4.60151672E+02          9.62586671E+02          3.11326301E+02
      36000.0000          4.70647561E+02          9.86583339E+02          3.18640678E+02
      37000.0000          4.81070590E+02          1.01043951E+03          3.25906430E+02
      38000.0000          4.91422014E+02          1.03415665E+03          3.33124313E+02
      39000.0000          5.01703028E+02          1.05773617E+03          3.40295050E+02
      40000.0000          5.11914770E+02          1.08117945E+03          3.47419332E+02
      41000.0000          5.22058330E+02          1.10448782E+03          3.54497821E+02
      42000.0000          5.32134748E+02          1.12766258E+03          3.61531154E+02
      43000.0000          5.42145025E+02          1.15070502E+03          3.68519942E+02
      44000.0000          5.52090118E+02          1.17361636E+03          3.75464775E+02
      45000.0000          5.61970950E+02          1.19639784E+03          3.82366221E+02
      46000.0000          5.71788408E+02          1.21905062E+03          3.89224828E+02
      47000.0000          5.81543347E+02          1.24157588E+03          3.96041127E+02
      48000.0000          5.91236594E+02          1.26397476E+03          4.02815631E+02
      49000.0000          6.00868945E+02          1.28624837E+03          4.09548837E+02
      50000.0000          6.10441174E+02          1.30839780E+03          4.16241227E+02
