#Energy      C-K-shell   Valence  Total
        910.0000          7.27745982E+04          8.10066266E+01          8.09165570E+01
        920.0000          7.22892225E+04          8.17662274E+01          8.16738463E+01
        930.0000          7.18325691E+04          8.25246931E+01          8.24299935E+01
        940.0000          7.14029538E+04          8.32821088E+01          8.31850844E+01
        950.0000          7.09988698E+04          8.40385949E+01          8.39392393E+01
        960.0000          7.06189248E+04          8.47941905E+01          8.46924978E+01
        970.0000          7.02617692E+04          8.55488823E+01          8.54448469E+01
        980.0000          6.99261887E+04          8.63026544E+01          8.61962712E+01
        990.0000          6.96110531E+04          8.70541571E+01          8.69454250E+01
       1000.0000          6.93152718E+04          8.78060960E+01          8.76950071E+01
       1100.0000          6.72309615E+04          9.52792710E+01          9.51444329E+01
       1200.0000          6.62945580E+04          1.02672402E+02          1.02513636E+02
       1300.0000          6.60980974E+04          1.09995577E+02          1.09812835E+02
       1400.0000          6.64016078E+04          1.17254516E+02          1.17047828E+02
       1500.0000          6.70559498E+04          1.24454368E+02          1.24223811E+02
       1600.0000          6.79641156E+04          1.31600181E+02          1.31345853E+02
       1700.0000          6.90605732E+04          1.38696574E+02          1.38418584E+02
       1800.0000          7.02996361E+04          1.45745311E+02          1.45443777E+02
       1900.0000          7.16485730E+04          1.52752076E+02          1.52427107E+02
       2000.0000          7.30833978E+04          1.59719182E+02          1.59370887E+02
       2100.0000          7.45861655E+04          1.66646822E+02          1.66275316E+02
       2200.0000          7.61432256E+04          1.73539395E+02          1.73144778E+02
       2300.0000          7.77440261E+04          1.80397926E+02          1.79980298E+02
       2400.0000          7.93803068E+04          1.87222577E+02          1.86782041E+02
       2500.0000          8.10455187E+04          1.94019117E+02          1.93555754E+02
       2600.0000          8.27344178E+04          2.00785091E+02          2.00298993E+02
       2700.0000          8.44427622E+04          2.07522123E+02          2.07013378E+02
       2800.0000          8.61670927E+04          2.14236146E+02          2.13704815E+02
       2900.0000          8.79045664E+04          2.20922899E+02          2.20369064E+02
       3000.0000          8.96528304E+04          2.27585348E+02          2.27009082E+02
       3100.0000          9.14099262E+04          2.34223512E+02          2.33624885E+02
       3200.0000          9.31742139E+04          2.40842412E+02          2.40221473E+02
       3300.0000          9.48676570E+04          2.47436552E+02          2.46792860E+02
       3400.0000          9.66177059E+04          2.54010975E+02          2.53344924E+02
       3500.0000          9.84740344E+04          2.60566393E+02          2.59878743E+02
       3600.0000          1.00214759E+05          2.67096692E+02          2.66386706E+02
       3700.0000          1.02057594E+05          2.73617092E+02          2.72885484E+02
