#Energy      Mo  Total
        234.0010          1.84357386E+01          1.84357386E+01
        236.9990          1.83390969E+01          1.83390969E+01
        237.0010          1.83390335E+01          1.83390335E+01
        240.0000          1.82455245E+01          1.82455245E+01
        250.0000          1.79550957E+01          1.79550957E+01
        260.0000          1.76945900E+01          1.76945900E+01
        270.0000          1.74606200E+01          1.74606200E+01
        280.0000          1.72502837E+01          1.72502837E+01
        290.0000          1.70610809E+01          1.70610809E+01
        300.0000          1.68908461E+01          1.68908461E+01
        310.0000          1.67376947E+01          1.67376947E+01
        320.0000          1.65999789E+01          1.65999789E+01
        330.0000          1.64762520E+01          1.64762520E+01
        340.0000          1.63652386E+01          1.63652386E+01
        350.0000          1.62658101E+01          1.62658101E+01
        360.0000          1.61769645E+01          1.61769645E+01
        370.0000          1.60978091E+01          1.60978091E+01
        380.0000          1.60275459E+01          1.60275459E+01
        390.0000          1.59654598E+01          1.59654598E+01
        398.9990          1.59160462E+01          1.59160462E+01
        399.0010          1.59160359E+01          1.59160359E+01
        400.0000          1.59109080E+01          1.59109080E+01
        410.0000          1.58633111E+01          1.58633111E+01
        415.9990          1.58378756E+01          1.58378756E+01
        416.0010          1.58378675E+01          1.58378675E+01
        420.0000          1.58221458E+01          1.58221458E+01
        430.0000          1.57869380E+01          1.57869380E+01
        440.0000          1.57572572E+01          1.57572572E+01
        450.0000          1.57327122E+01          1.57327122E+01
        460.0000          1.57129459E+01          1.57129459E+01
        470.0000          1.56976325E+01          1.56976325E+01
        480.0000          1.56864736E+01          1.56864736E+01
        490.0000          1.56791958E+01          1.56791958E+01
        500.0000          1.56755480E+01          1.56755480E+01
        510.0000          1.56752990E+01          1.56752990E+01
        510.9990          1.56754525E+01          1.56754525E+01
        511.0010          1.56754529E+01          1.56754529E+01
        520.0000          1.56782361E+01          1.56782361E+01
        530.0000          1.56841629E+01          1.56841629E+01
        540.0000          1.56928978E+01          1.56928978E+01
        550.0000          1.57042730E+01          1.57042730E+01
        560.0000          1.57181326E+01          1.57181326E+01
        570.0000          1.57343325E+01          1.57343325E+01
        580.0000          1.57527382E+01          1.57527382E+01
        590.0000          1.57732252E+01          1.57732252E+01
        600.0000          1.57956771E+01          1.57956771E+01
        610.0000          1.58199856E+01          1.58199856E+01
        620.0000          1.58460497E+01          1.58460497E+01
        630.0000          1.58737747E+01          1.58737747E+01
        640.0000          1.59030724E+01          1.59030724E+01
        650.0000          1.59338600E+01          1.59338600E+01
        660.0000          1.59660601E+01          1.59660601E+01
        670.0000          1.59995999E+01          1.59995999E+01
        680.0000          1.60344112E+01          1.60344112E+01
        690.0000          1.60704299E+01          1.60704299E+01
        700.0000          1.61075956E+01          1.61075956E+01
        710.0000          1.61458517E+01          1.61458517E+01
        720.0000          1.61851447E+01          1.61851447E+01
        730.0000          1.62254243E+01          1.62254243E+01
        740.0000          1.62666429E+01          1.62666429E+01
        750.0000          1.63087556E+01          1.63087556E+01
        760.0000          1.63517202E+01          1.63517202E+01
        770.0000          1.63954965E+01          1.63954965E+01
        780.0000          1.64400467E+01          1.64400467E+01
        790.0000          1.64853350E+01          1.64853350E+01
        800.0000          1.65313274E+01          1.65313274E+01
        810.0000          1.65779917E+01          1.65779917E+01
        820.0000          1.66252974E+01          1.66252974E+01
        830.0000          1.66732156E+01          1.66732156E+01
        840.0000          1.67217188E+01          1.67217188E+01
        850.0000          1.67707810E+01          1.67707810E+01
        860.0000          1.68203772E+01          1.68203772E+01
        870.0000          1.68704841E+01          1.68704841E+01
        880.0000          1.69210790E+01          1.69210790E+01
        890.0000          1.69721407E+01          1.69721407E+01
        900.0000          1.70236489E+01          1.70236489E+01
        910.0000          1.70755842E+01          1.70755842E+01
        920.0000          1.71279282E+01          1.71279282E+01
        930.0000          1.71806632E+01          1.71806632E+01
        940.0000          1.72337725E+01          1.72337725E+01
        950.0000          1.72872400E+01          1.72872400E+01
        960.0000          1.73410506E+01          1.73410506E+01
        970.0000          1.73951895E+01          1.73951895E+01
        980.0000          1.74496428E+01          1.74496428E+01
        990.0000          1.75043973E+01          1.75043973E+01
       1000.0000          1.75594401E+01          1.75594401E+01
       1100.0000          1.81232851E+01          1.81232851E+01
       1200.0000          1.87053185E+01          1.87053185E+01
       1300.0000          1.92990161E+01          1.92990161E+01
       1400.0000          1.98999500E+01          1.98999500E+01
       1500.0000          2.05050532E+01          2.05050532E+01
       1600.0000          2.11121671E+01          2.11121671E+01
       1700.0000          2.17197549E+01          2.17197549E+01
       1800.0000          2.23267131E+01          2.23267131E+01
       1900.0000          2.29322463E+01          2.29322463E+01
       2000.0000          2.35357807E+01          2.35357807E+01
       2100.0000          2.41369043E+01          2.41369043E+01
       2200.0000          2.47353245E+01          2.47353245E+01
       2300.0000          2.53308372E+01          2.53308372E+01
       2400.0000          2.59233044E+01          2.59233044E+01
       2500.0000          2.65126385E+01          2.65126385E+01
       2526.9990          2.66712084E+01          2.66712084E+01
       2527.0010          2.66712201E+01          2.66712201E+01
       2600.0000          2.70987892E+01          2.70987892E+01
       2631.9990          2.72856751E+01          2.72856751E+01
       2632.0010          2.72856868E+01          2.72856868E+01
       2700.0000          2.76817350E+01          2.76817350E+01
       2800.0000          2.82614759E+01          2.82614759E+01
       2871.9990          2.86769079E+01          2.86769079E+01
       2872.0010          2.86769194E+01          2.86769194E+01
       2900.0000          2.88380284E+01          2.88380284E+01
       3000.0000          2.94114210E+01          2.94114210E+01
       3100.0000          2.99816915E+01          2.99816915E+01
       3200.0000          3.05488845E+01          3.05488845E+01
       3300.0000          3.11130494E+01          3.11130494E+01
       3400.0000          3.16742390E+01          3.16742390E+01
       3500.0000          3.22325084E+01          3.22325084E+01
       3600.0000          3.27879142E+01          3.27879142E+01
       3700.0000          3.33405136E+01          3.33405136E+01
       3800.0000          3.38903639E+01          3.38903639E+01
       3900.0000          3.44375225E+01          3.44375225E+01
       4000.0000          3.49820457E+01          3.49820457E+01
       4100.0000          3.55239897E+01          3.55239897E+01
       4200.0000          3.60634090E+01          3.60634090E+01
       4300.0000          3.66003576E+01          3.66003576E+01
       4400.0000          3.71348879E+01          3.71348879E+01
       4500.0000          3.76670513E+01          3.76670513E+01
       4600.0000          3.81968976E+01          3.81968976E+01
       4700.0000          3.87244756E+01          3.87244756E+01
       4800.0000          3.92498323E+01          3.92498323E+01
       4900.0000          3.97730139E+01          3.97730139E+01
       5000.0000          4.02940649E+01          4.02940649E+01
       5100.0000          4.08130284E+01          4.08130284E+01
       5200.0000          4.13299466E+01          4.13299466E+01
       5300.0000          4.18448602E+01          4.18448602E+01
       5400.0000          4.23578085E+01          4.23578085E+01
       5500.0000          4.28688299E+01          4.28688299E+01
       5600.0000          4.33779616E+01          4.33779616E+01
       5700.0000          4.38852394E+01          4.38852394E+01
       5800.0000          4.43906982E+01          4.43906982E+01
       5900.0000          4.48943720E+01          4.48943720E+01
       6000.0000          4.53962934E+01          4.53962934E+01
       6100.0000          4.58964943E+01          4.58964943E+01
       6200.0000          4.63950055E+01          4.63950055E+01
       6300.0000          4.68918569E+01          4.68918569E+01
       6400.0000          4.73870776E+01          4.73870776E+01
       6500.0000          4.78806958E+01          4.78806958E+01
       6600.0000          4.83727387E+01          4.83727387E+01
       6700.0000          4.88632330E+01          4.88632330E+01
       6800.0000          4.93522044E+01          4.93522044E+01
       6900.0000          4.98396779E+01          4.98396779E+01
       7000.0000          5.03256778E+01          5.03256778E+01
       7100.0000          5.08102279E+01          5.08102279E+01
       7200.0000          5.12933509E+01          5.12933509E+01
       7300.0000          5.17750694E+01          5.17750694E+01
       7400.0000          5.22554048E+01          5.22554048E+01
       7500.0000          5.27343785E+01          5.27343785E+01
       7600.0000          5.32120108E+01          5.32120108E+01
       7700.0000          5.36883218E+01          5.36883218E+01
       7800.0000          5.41633309E+01          5.41633309E+01
       7900.0000          5.46370571E+01          5.46370571E+01
       8000.0000          5.51095187E+01          5.51095187E+01
       8100.0000          5.55807337E+01          5.55807337E+01
       8200.0000          5.60507196E+01          5.60507196E+01
       8300.0000          5.65194935E+01          5.65194935E+01
       8400.0000          5.69870718E+01          5.69870718E+01
       8500.0000          5.74534709E+01          5.74534709E+01
       8600.0000          5.79187064E+01          5.79187064E+01
       8700.0000          5.83827938E+01          5.83827938E+01
       8800.0000          5.88457481E+01          5.88457481E+01
       8900.0000          5.93075839E+01          5.93075839E+01
       9000.0000          5.97683155E+01          5.97683155E+01
       9100.0000          6.02279568E+01          6.02279568E+01
       9200.0000          6.06865216E+01          6.06865216E+01
       9300.0000          6.11440230E+01          6.11440230E+01
       9400.0000          6.16004740E+01          6.16004740E+01
       9500.0000          6.20558874E+01          6.20558874E+01
       9600.0000          6.25102756E+01          6.25102756E+01
       9700.0000          6.29636506E+01          6.29636506E+01
       9800.0000          6.34160242E+01          6.34160242E+01
       9900.0000          6.38674082E+01          6.38674082E+01
      10000.0000          6.43178137E+01          6.43178137E+01
      11000.0000          6.87703780E+01          6.87703780E+01
      12000.0000          7.31359133E+01          7.31359133E+01
      13000.0000          7.74224945E+01          7.74224945E+01
      14000.0000          8.16368074E+01          8.16368074E+01
      15000.0000          8.57844622E+01          8.57844622E+01
      16000.0000          8.98702239E+01          8.98702239E+01
      17000.0000          9.38981821E+01          9.38981821E+01
      18000.0000          9.78718806E+01          9.78718806E+01
      19000.0000          1.01794416E+02          1.01794416E+02
      20000.0000          1.05668515E+02          1.05668515E+02
      20005.9990          1.05691615E+02          1.05691615E+02
      20006.0010          1.05691623E+02          1.05691623E+02
      21000.0000          1.09496596E+02          1.09496596E+02
      22000.0000          1.13280817E+02          1.13280817E+02
      23000.0000          1.17023113E+02          1.17023113E+02
      24000.0000          1.20725231E+02          1.20725231E+02
      25000.0000          1.24388757E+02          1.24388757E+02
      26000.0000          1.28015131E+02          1.28015131E+02
      27000.0000          1.31605675E+02          1.31605675E+02
      28000.0000          1.35161598E+02          1.35161598E+02
      29000.0000          1.38684017E+02          1.38684017E+02
      30000.0000          1.42173965E+02          1.42173965E+02
      31000.0000          1.45632398E+02          1.45632398E+02
      32000.0000          1.49060206E+02          1.49060206E+02
      33000.0000          1.52458221E+02          1.52458221E+02
      34000.0000          1.55827218E+02          1.55827218E+02
      35000.0000          1.59167926E+02          1.59167926E+02
      36000.0000          1.62481030E+02          1.62481030E+02
      37000.0000          1.65767173E+02          1.65767173E+02
      38000.0000          1.69026964E+02          1.69026964E+02
      39000.0000          1.72260978E+02          1.72260978E+02
      40000.0000          1.75469761E+02          1.75469761E+02
      41000.0000          1.78653828E+02          1.78653828E+02
      42000.0000          1.81813672E+02          1.81813672E+02
      43000.0000          1.84949760E+02          1.84949760E+02
      44000.0000          1.88062539E+02          1.88062539E+02
      45000.0000          1.91152435E+02          1.91152435E+02
      46000.0000          1.94219856E+02          1.94219856E+02
      47000.0000          1.97265192E+02          1.97265192E+02
      48000.0000          2.00288817E+02          2.00288817E+02
      49000.0000          2.03291091E+02          2.03291091E+02
      50000.0000          2.06272358E+02          2.06272358E+02
