#Energy      In  Total
        870.0000          3.31349695E+01          3.31349695E+01
        880.0000          3.31851359E+01          3.31851359E+01
        890.0000          3.32368444E+01          3.32368444E+01
        900.0000          3.32900348E+01          3.32900348E+01
        910.0000          3.33446496E+01          3.33446496E+01
        920.0000          3.34006341E+01          3.34006341E+01
        930.0000          3.34579359E+01          3.34579359E+01
        940.0000          3.35165050E+01          3.35165050E+01
        950.0000          3.35762937E+01          3.35762937E+01
        960.0000          3.36372564E+01          3.36372564E+01
        970.0000          3.36993493E+01          3.36993493E+01
        980.0000          3.37625306E+01          3.37625306E+01
        990.0000          3.38267603E+01          3.38267603E+01
       1000.0000          3.38920002E+01          3.38920002E+01
       1100.0000          3.45925776E+01          3.45925776E+01
       1200.0000          3.53618411E+01          3.53618411E+01
       1300.0000          3.61796344E+01          3.61796344E+01
       1400.0000          3.70319878E+01          3.70319878E+01
       1500.0000          3.79089890E+01          3.79089890E+01
       1600.0000          3.88034663E+01          3.88034663E+01
       1700.0000          3.97101454E+01          3.97101454E+01
       1800.0000          4.06250949E+01          4.06250949E+01
       1900.0000          4.15453512E+01          4.15453512E+01
       2000.0000          4.24686598E+01          4.24686598E+01
       2100.0000          4.33932932E+01          4.33932932E+01
       2200.0000          4.43179203E+01          4.43179203E+01
       2300.0000          4.52415118E+01          4.52415118E+01
       2400.0000          4.61632700E+01          4.61632700E+01
       2500.0000          4.70825768E+01          4.70825768E+01
       2600.0000          4.79989545E+01          4.79989545E+01
       2700.0000          4.89120353E+01          4.89120353E+01
       2800.0000          4.98215385E+01          4.98215385E+01
       2900.0000          5.07272529E+01          5.07272529E+01
       3000.0000          5.16290220E+01          5.16290220E+01
       3100.0000          5.25267338E+01          5.25267338E+01
       3200.0000          5.34203116E+01          5.34203116E+01
       3300.0000          5.43097073E+01          5.43097073E+01
       3400.0000          5.51948955E+01          5.51948955E+01
       3500.0000          5.60758693E+01          5.60758693E+01
       3600.0000          5.69526368E+01          5.69526368E+01
       3700.0000          5.78252177E+01          5.78252177E+01
       3734.9990          5.81296285E+01          5.81296285E+01
       3735.0010          5.81296459E+01          5.81296459E+01
       3800.0000          5.86936416E+01          5.86936416E+01
       3900.0000          5.95579452E+01          5.95579452E+01
       3942.9990          5.99283309E+01          5.99283309E+01
       3943.0010          5.99283481E+01          5.99283481E+01
       4000.0000          6.04181715E+01          6.04181715E+01
       4100.0000          6.12743681E+01          6.12743681E+01
       4200.0000          6.21265860E+01          6.21265860E+01
       4241.9990          6.24833355E+01          6.24833355E+01
       4242.0010          6.24833525E+01          6.24833525E+01
       4300.0000          6.29748792E+01          6.29748792E+01
       4400.0000          6.38193035E+01          6.38193035E+01
       4500.0000          6.46599161E+01          6.46599161E+01
       4600.0000          6.54967753E+01          6.54967753E+01
       4700.0000          6.63299395E+01          6.63299395E+01
       4800.0000          6.71594678E+01          6.71594678E+01
       4900.0000          6.79854187E+01          6.79854187E+01
       5000.0000          6.88078507E+01          6.88078507E+01
       5100.0000          6.96268216E+01          6.96268216E+01
       5200.0000          7.04423888E+01          7.04423888E+01
       5300.0000          7.12546087E+01          7.12546087E+01
       5400.0000          7.20635370E+01          7.20635370E+01
       5500.0000          7.28692284E+01          7.28692284E+01
       5600.0000          7.36717366E+01          7.36717366E+01
       5700.0000          7.44711144E+01          7.44711144E+01
       5800.0000          7.52674135E+01          7.52674135E+01
       5900.0000          7.60606844E+01          7.60606844E+01
       6000.0000          7.68509767E+01          7.68509767E+01
       6100.0000          7.76383390E+01          7.76383390E+01
       6200.0000          7.84228185E+01          7.84228185E+01
       6300.0000          7.92044616E+01          7.92044616E+01
       6400.0000          7.99833136E+01          7.99833136E+01
       6500.0000          8.07594186E+01          8.07594186E+01
       6600.0000          8.15328198E+01          8.15328198E+01
       6700.0000          8.23035594E+01          8.23035594E+01
       6800.0000          8.30716785E+01          8.30716785E+01
       6900.0000          8.38372173E+01          8.38372173E+01
       7000.0000          8.46002150E+01          8.46002150E+01
       7100.0000          8.53607099E+01          8.53607099E+01
       7200.0000          8.61187394E+01          8.61187394E+01
       7300.0000          8.68743398E+01          8.68743398E+01
       7400.0000          8.76275469E+01          8.76275469E+01
       7500.0000          8.83783954E+01          8.83783954E+01
       7600.0000          8.91269191E+01          8.91269191E+01
       7700.0000          8.98731513E+01          8.98731513E+01
       7800.0000          9.06171242E+01          9.06171242E+01
       7900.0000          9.13588694E+01          9.13588694E+01
       8000.0000          9.20984178E+01          9.20984178E+01
       8100.0000          9.28357995E+01          9.28357995E+01
       8200.0000          9.35710438E+01          9.35710438E+01
       8300.0000          9.43041796E+01          9.43041796E+01
       8400.0000          9.50352349E+01          9.50352349E+01
       8500.0000          9.57642370E+01          9.57642370E+01
       8600.0000          9.64912129E+01          9.64912129E+01
       8700.0000          9.72161887E+01          9.72161887E+01
       8800.0000          9.79391900E+01          9.79391900E+01
       8900.0000          9.86602419E+01          9.86602419E+01
       9000.0000          9.93793688E+01          9.93793688E+01
       9100.0000          1.00096595E+02          1.00096595E+02
       9200.0000          1.00811943E+02          1.00811943E+02
       9300.0000          1.01525436E+02          1.01525436E+02
       9400.0000          1.02237098E+02          1.02237098E+02
       9500.0000          1.02946948E+02          1.02946948E+02
       9600.0000          1.03655010E+02          1.03655010E+02
       9700.0000          1.04361304E+02          1.04361304E+02
       9800.0000          1.05065850E+02          1.05065850E+02
       9900.0000          1.05768669E+02          1.05768669E+02
      10000.0000          1.06469781E+02          1.06469781E+02
      11000.0000          1.13391033E+02          1.13391033E+02
      12000.0000          1.20160478E+02          1.20160478E+02
      13000.0000          1.26792400E+02          1.26792400E+02
      14000.0000          1.33298706E+02          1.33298706E+02
      15000.0000          1.39689444E+02          1.39689444E+02
      16000.0000          1.45973182E+02          1.45973182E+02
      17000.0000          1.52157296E+02          1.52157296E+02
      18000.0000          1.58248191E+02          1.58248191E+02
      19000.0000          1.64251476E+02          1.64251476E+02
      20000.0000          1.70172095E+02          1.70172095E+02
      21000.0000          1.76014434E+02          1.76014434E+02
      22000.0000          1.81782412E+02          1.81782412E+02
      23000.0000          1.87479542E+02          1.87479542E+02
      24000.0000          1.93108998E+02          1.93108998E+02
      25000.0000          1.98673654E+02          1.98673654E+02
      26000.0000          2.04176127E+02          2.04176127E+02
      27000.0000          2.09618809E+02          2.09618809E+02
      27943.9990          2.14703809E+02          2.14703809E+02
      27944.0010          2.14703820E+02          2.14703820E+02
      28000.0000          2.15003892E+02          2.15003892E+02
      29000.0000          2.20333398E+02          2.20333398E+02
      30000.0000          2.25609192E+02          2.25609192E+02
      31000.0000          2.30833000E+02          2.30833000E+02
      32000.0000          2.36006428E+02          2.36006428E+02
      33000.0000          2.41130972E+02          2.41130972E+02
      34000.0000          2.46208027E+02          2.46208027E+02
      35000.0000          2.51238900E+02          2.51238900E+02
      36000.0000          2.56224819E+02          2.56224819E+02
      37000.0000          2.61166934E+02          2.61166934E+02
      38000.0000          2.66066333E+02          2.66066333E+02
      39000.0000          2.70924041E+02          2.70924041E+02
      40000.0000          2.75741028E+02          2.75741028E+02
      41000.0000          2.80518210E+02          2.80518210E+02
      42000.0000          2.85256461E+02          2.85256461E+02
      43000.0000          2.89956608E+02          2.89956608E+02
      44000.0000          2.94619438E+02          2.94619438E+02
      45000.0000          2.99245703E+02          2.99245703E+02
      46000.0000          3.03836120E+02          3.03836120E+02
      47000.0000          3.08391374E+02          3.08391374E+02
      48000.0000          3.12912120E+02          3.12912120E+02
      49000.0000          3.17398985E+02          3.17398985E+02
      50000.0000          3.21852573E+02          3.21852573E+02
