#Energy      Cr   Mn   Fe   Co   Ni  Total
          8.0000          1.00000000E+20          1.86704470E+02          2.10706189E+02          2.36882418E+02          2.65345168E+02          5.52724897E+01
          9.0000          1.00000000E+20          1.67700749E+02          1.89110453E+02          2.12454110E+02          2.37831239E+02          4.95970770E+01
         10.0000          1.00000000E+20          1.52460687E+02          1.71793794E+02          1.92868372E+02          2.15773948E+02          4.50463375E+01
         11.0000          1.00000000E+20          1.39964981E+02          1.57596758E+02          1.76812498E+02          1.97693548E+02          4.13154931E+01
         12.0000          1.00000000E+20          1.29532562E+02          1.45744760E+02          1.63409642E+02          1.82601741E+02          3.82009409E+01
         13.0000          1.00000000E+20          1.20690925E+02          1.35700489E+02          1.52051640E+02          1.69813147E+02          3.55614529E+01
         14.0000          1.00000000E+20          1.13101886E+02          1.27079436E+02          1.42303337E+02          1.58837414E+02          3.32959671E+01
         15.0000          1.00000000E+20          1.06516973E+02          1.19599129E+02          1.33845089E+02          1.49314394E+02          3.13302428E+01
         16.0000          1.00000000E+20          1.00749495E+02          1.13047355E+02          1.26436787E+02          1.40973577E+02          2.96085071E+01
         17.0000          1.00000000E+20          9.56564382E+01          1.07261573E+02          1.19894539E+02          1.33607813E+02          2.80880427E+01
         18.0000          1.00000000E+20          9.11263863E+01          1.02115166E+02          1.14075114E+02          1.27055767E+02          2.67355744E+01
         19.0000          1.00000000E+20          8.70712386E+01          9.75080230E+01          1.08865277E+02          1.21189901E+02          2.55247942E+01
         20.0000          1.00000000E+20          8.34204065E+01          9.33599433E+01          1.04174318E+02          1.15908061E+02          2.44346262E+01
         21.0000          1.00000000E+20          8.01166624E+01          8.96059115E+01          9.99287121E+01          1.11127449E+02          2.34479856E+01
         22.0000          1.00000000E+20          7.71131168E+01          8.61926630E+01          9.60682269E+01          1.06780243E+02          2.25508761E+01
         23.0000          1.00000000E+20          7.43709819E+01          8.30761398E+01          9.25430456E+01          1.02810351E+02          2.17317207E+01
         24.0000          1.00000000E+20          7.18578912E+01          8.02195814E+01          8.93116059E+01          9.91709827E+01          2.09808601E+01
         25.0000          1.00000000E+20          6.95466218E+01          7.75920719E+01          8.63389563E+01          9.58227890E+01          2.02901712E+01
         26.0000          1.00000000E+20          6.74141105E+01          7.51674210E+01          8.35954899E+01          9.27324424E+01          1.96527725E+01
         27.0000          1.00000000E+20          6.54406866E+01          7.29232933E+01          8.10559594E+01          8.98715239E+01          1.90627954E+01
         28.0000          1.00000000E+20          6.36094700E+01          7.08405230E+01          7.86987020E+01          8.72156509E+01          1.85152044E+01
         29.0000          1.00000000E+20          6.19058922E+01          6.89025704E+01          7.65050242E+01          8.47437843E+01          1.80056540E+01
         30.0000          1.00000000E+20          6.03173130E+01          6.70950860E+01          7.44587090E+01          8.24376734E+01          1.75303743E+01
         31.0000          1.00000000E+20          5.88327115E+01          6.54055593E+01          7.25456188E+01          8.02814083E+01          1.70860783E+01
         32.0000          1.00000000E+20          5.74424341E+01          6.38230330E+01          7.07533716E+01          7.82610558E+01          1.66698875E+01
         33.0000          1.00000000E+20          5.61379889E+01          6.23378683E+01          6.90710764E+01          7.63643613E+01          1.62792697E+01
         34.0000          1.00000000E+20          5.49118752E+01          6.09415530E+01          6.74891153E+01          7.45805028E+01          1.59119885E+01
         35.0000          1.00000000E+20          5.37574435E+01          5.96265404E+01          6.59989622E+01          7.28998875E+01          1.55660615E+01
         36.0000          1.00000000E+20          5.26687772E+01          5.83861166E+01          6.45930320E+01          7.13139819E+01          1.52397250E+01
         37.0000          1.00000000E+20          5.16405945E+01          5.72142882E+01          6.32645540E+01          6.98151690E+01          1.49314045E+01
         38.0000          1.00000000E+20          5.06681656E+01          5.61056884E+01          6.20074657E+01          6.83966287E+01          1.46396901E+01
         39.0000          1.00000000E+20          4.97472418E+01          5.50554965E+01          6.08163219E+01          6.70522356E+01          1.43633156E+01
         40.0000          1.00000000E+20          4.88739960E+01          5.40593706E+01          5.96862182E+01          6.57764734E+01          1.41011405E+01
         41.0000          1.00000000E+20          4.80449717E+01          5.31133894E+01          5.86127256E+01          6.45643600E+01          1.38521347E+01
         42.0000          1.00000000E+20          4.72570390E+01          5.22140020E+01          5.75918338E+01          6.34113849E+01          1.36153654E+01
         43.0000          1.00000000E+20          4.65073568E+01          5.13579858E+01          5.66199032E+01          6.23134547E+01          1.33899863E+01
         44.0000          1.00000000E+20          4.57933403E+01          5.05424088E+01          5.56936225E+01          6.12668452E+01          1.31752271E+01
         45.0000          1.00000000E+20          4.51126327E+01          4.97645975E+01          5.48099729E+01          6.02681615E+01          1.29703856E+01
         46.0000          1.00000000E+20          4.44630806E+01          4.90221096E+01          5.39661962E+01          5.93143017E+01          1.27748204E+01
         47.0000          1.00000000E+20          4.38427122E+01          4.83127087E+01          5.31597673E+01          5.84024263E+01          1.25879441E+01
         47.9990          1.00000000E+20          4.32502988E+01          4.76350072E+01          5.23891247E+01          5.75307845E+01          1.24093926E+01
         48.0000          1.00000000E+20          4.32497189E+01          4.76343437E+01          5.23883701E+01          5.75299308E+01          1.24092178E+01
         48.0010          1.00000000E+20          4.32491390E+01          4.76336803E+01          5.23876155E+01          5.75290772E+01          1.24090430E+01
         48.9990          1.00000000E+20          4.26829935E+01          4.69857648E+01          5.16505990E+01          5.66952398E+01          1.22383140E+01
         49.0000          1.00000000E+20          4.26824386E+01          4.69851296E+01          5.16498763E+01          5.66944220E+01          1.22381466E+01
         49.0010          1.00000000E+20          4.26818836E+01          4.69844944E+01          5.16491536E+01          5.66936042E+01          1.22379792E+01
         50.0000          1.00000000E+20          4.21393410E+01          4.63633310E+01          5.09423265E+01          5.58936967E+01          1.20742747E+01
         51.0000          1.00000000E+20          4.16190150E+01          4.57673476E+01          5.02639139E+01          5.51257236E+01          1.19171817E+01
         52.0000          1.00000000E+20          4.11201571E+01          4.51957014E+01          4.96129701E+01          5.43886263E+01          1.17664794E+01
         52.9990          1.00000000E+20          4.06420303E+01          4.46475627E+01          4.89885637E+01          5.36813634E+01          1.16219506E+01
         53.0000          1.00000000E+20          4.06415615E+01          4.46470250E+01          4.89879511E+01          5.36806694E+01          1.16218089E+01
         53.0010          1.00000000E+20          4.06410926E+01          4.46464874E+01          4.89873386E+01          5.36799755E+01          1.16216671E+01
         54.0000          1.00000000E+20          4.01821109E+01          4.41200518E+01          4.83874271E+01          5.30002451E+01          1.14828373E+01
         54.9990          1.00000000E+20          3.97412014E+01          4.36141027E+01          4.78106373E+01          5.23465035E+01          1.13493869E+01
         55.0000          1.00000000E+20          3.97407687E+01          4.36136062E+01          4.78100711E+01          5.23458616E+01          1.13492559E+01
         55.0010          1.00000000E+20          3.97403361E+01          4.36131096E+01          4.78095049E+01          5.23452198E+01          1.13491250E+01
         56.0000          1.00000000E+20          3.93165719E+01          4.31265963E+01          4.72546505E+01          5.17161332E+01          1.12207781E+01
         57.0000          1.00000000E+20          3.89086242E+01          4.26580062E+01          4.67200184E+01          5.11097706E+01          1.10971370E+01
         58.0000          1.00000000E+20          3.85160910E+01          4.22068894E+01          4.62051066E+01          5.05255728E+01          1.09780840E+01
         58.9990          1.00000000E+20          3.81385644E+01          4.17727898E+01          4.57094059E+01          4.99629729E+01          1.08635000E+01
         59.0000          1.00000000E+20          3.81381935E+01          4.17723633E+01          4.57089187E+01          4.99624199E+01          1.08633874E+01
         59.0010          1.00000000E+20          3.81378227E+01          4.17719368E+01          4.57084316E+01          4.99618670E+01          1.08632748E+01
         60.0000          1.00000000E+20          3.77742049E+01          4.13536035E+01          4.52305244E+01          4.94192661E+01          1.07528306E+01
         60.9990          1.00000000E+20          3.74237895E+01          4.09502360E+01          4.47695072E+01          4.88956486E+01          1.06463161E+01
         61.0000          1.00000000E+20          3.74234451E+01          4.09498395E+01          4.47690539E+01          4.88951336E+01          1.06462114E+01
         61.0010          1.00000000E+20          3.74231008E+01          4.09494430E+01          4.47686006E+01          4.88946187E+01          1.06461067E+01
         62.0000          1.00000000E+20          3.70852781E+01          4.05603500E+01          4.43236930E+01          4.83891074E+01          1.05433402E+01
         63.0000          1.00000000E+20          3.67591075E+01          4.01844591E+01          4.38936791E+01          4.79003301E+01          1.04440397E+01
         64.0000          1.00000000E+20          3.64443743E+01          3.98215330E+01          4.34782968E+01          4.74279977E+01          1.03481434E+01
         65.0000          1.00000000E+20          3.61405533E+01          3.94709765E+01          4.30768745E+01          4.69713551E+01          1.02554949E+01
         65.9990          1.00000000E+20          3.58474395E+01          3.91325634E+01          4.26891624E+01          4.65301275E+01          1.01660356E+01
         66.0000          1.00000000E+20          3.58471511E+01          3.91322304E+01          4.26887807E+01          4.65296931E+01          1.01659475E+01
         66.0010          1.00000000E+20          3.58468628E+01          3.91318974E+01          4.26883991E+01          4.65292587E+01          1.01658595E+01
         67.0000          1.00000000E+20          3.55637035E+01          3.88047684E+01          4.23134219E+01          4.61023440E+01          1.00793630E+01
         67.9990          1.00000000E+20          3.52900427E+01          3.84884065E+01          4.19505961E+01          4.56890867E+01          9.99569354E+00
         68.0000          1.00000000E+20          3.52897734E+01          3.84880950E+01          4.19502388E+01          4.56886797E+01          9.99561116E+00
         68.0010          1.00000000E+20          3.52895041E+01          3.84877836E+01          4.19498816E+01          4.56882727E+01          9.99552879E+00
         69.0000          1.00000000E+20          3.50249488E+01          3.81817435E+01          4.15987046E+01          4.52881078E+01          9.91456951E+00
         70.0000          1.00000000E+20          3.47688411E+01          3.78852732E+01          4.12583223E+01          4.49000698E+01          9.83612237E+00
         71.0000          1.00000000E+20          3.45210834E+01          3.75982685E+01          4.09286225E+01          4.45240384E+01          9.76016056E+00
         72.0000          1.00000000E+20          3.42813292E+01          3.73203365E+01          4.06091622E+01          4.41595155E+01          9.68658092E+00
         72.9990          1.00000000E+20          3.40494790E+01          3.70513708E+01          4.02998269E+01          4.38063780E+01          9.61535611E+00
         73.0000          1.00000000E+20          3.40492506E+01          3.70511058E+01          4.02995220E+01          4.38060299E+01          9.61528593E+00
         73.0010          1.00000000E+20          3.40490223E+01          3.70508408E+01          4.02992172E+01          4.38056818E+01          9.61521575E+00
         74.0000          1.00000000E+20          3.38245375E+01          3.67902247E+01          3.99993054E+01          4.34631359E+01          9.54618328E+00
         74.9990          1.00000000E+20          3.36071103E+01          3.65376094E+01          3.97084235E+01          4.31307392E+01          9.47925153E+00
         75.0000          1.00000000E+20          3.36068961E+01          3.65373604E+01          3.97081367E+01          4.31304114E+01          9.47918556E+00
         75.0010          1.00000000E+20          3.36066819E+01          3.65371114E+01          3.97078499E+01          4.31300836E+01          9.47911958E+00
         76.0000          1.00000000E+20          3.33960480E+01          3.62921974E+01          3.94256599E+01          4.28074563E+01          9.41420993E+00
         77.0000          1.00000000E+20          3.31917293E+01          3.60544365E+01          3.91515374E+01          4.24938913E+01          9.35117783E+00
         78.0000          1.00000000E+20          3.29936892E+01          3.58237936E+01          3.88854487E+01          4.21893562E+01          9.29001470E+00
         79.0000          1.00000000E+20          3.28016897E+01          3.55999992E+01          3.86270897E+01          4.18935092E+01          9.23064973E+00
         79.9990          1.00000000E+20          3.26156882E+01          3.53830108E+01          3.83764183E+01          4.16063087E+01          9.17307242E+00
         80.0000          1.00000000E+20          3.26155049E+01          3.53827968E+01          3.83761710E+01          4.16060253E+01          9.17301563E+00
         80.0010          1.00000000E+20          3.26153215E+01          3.53825828E+01          3.83759237E+01          4.16057419E+01          9.17295884E+00
         81.0000          1.00000000E+20          3.24349194E+01          3.51719428E+01          3.81324178E+01          4.13265954E+01          9.11704840E+00
         82.0000          1.00000000E+20          3.22597288E+01          3.49672053E+01          3.78955683E+01          4.10549257E+01          9.06268717E+00
         83.0000          1.00000000E+20          3.20897381E+01          3.47683635E+01          3.76653735E+01          4.07907362E+01          9.00987397E+00
         84.0000          1.00000000E+20          3.19247617E+01          3.45752069E+01          3.74415961E+01          4.05337601E+01          8.95855356E+00
         85.0000          1.00000000E+20          3.17646227E+01          3.43875352E+01          3.72240097E+01          4.02837434E+01          8.90867330E+00
         86.0000          1.00000000E+20          3.16091522E+01          3.42051570E+01          3.70123987E+01          4.00404436E+01          8.86018299E+00
         87.0000          1.00000000E+20          3.14581893E+01          3.40278898E+01          3.68065572E+01          3.98036293E+01          8.81303470E+00
         88.0000          1.00000000E+20          3.13115800E+01          3.38555594E+01          3.66062884E+01          3.95730796E+01          8.76718270E+00
         88.9990          1.00000000E+20          3.11693179E+01          3.36881645E+01          3.64115970E+01          3.93488051E+01          8.72262726E+00
         89.0000          1.00000000E+20          3.11691775E+01          3.36879993E+01          3.64114047E+01          3.93485836E+01          8.72258327E+00
         89.0010          1.00000000E+20          3.11690372E+01          3.36878341E+01          3.64112125E+01          3.93483621E+01          8.72253928E+00
         90.0000          1.00000000E+20          3.10308414E+01          3.35250504E+01          3.62217266E+01          3.91299395E+01          8.67919465E+00
         91.0000          1.00000000E+20          3.08964374E+01          3.33665605E+01          3.60370823E+01          3.89169544E+01          8.63697688E+00
         92.0000          1.00000000E+20          3.07658369E+01          3.32123840E+01          3.58573076E+01          3.87094438E+01          8.59589174E+00
         93.0000          1.00000000E+20          3.06389170E+01          3.30623816E+01          3.56822453E+01          3.85072310E+01          8.55590265E+00
         94.0000          1.00000000E+20          3.05155599E+01          3.29164197E+01          3.55117448E+01          3.83101470E+01          8.51697458E+00
         95.0000          1.00000000E+20          3.03956527E+01          3.27743707E+01          3.53456619E+01          3.81180296E+01          8.47907396E+00
         96.0000          1.00000000E+20          3.02790873E+01          3.26361117E+01          3.51838582E+01          3.79307234E+01          8.44216860E+00
         97.0000          1.00000000E+20          3.01657598E+01          3.25015254E+01          3.50262013E+01          3.77480795E+01          8.40622764E+00
         97.9990          1.00000000E+20          3.00556795E+01          3.23706282E+01          3.48727155E+01          3.75701308E+01          8.37125604E+00
         98.0000          1.00000000E+20          3.00555709E+01          3.23704989E+01          3.48725638E+01          3.75699549E+01          8.37122150E+00
         98.0010          1.00000000E+20          3.00554622E+01          3.23703696E+01          3.48724122E+01          3.75697790E+01          8.37118695E+00
         99.0000          1.00000000E+20          2.99484248E+01          3.22429240E+01          3.47228237E+01          3.73962125E+01          8.33712174E+00
        100.0000          1.00000000E+20          2.98442300E+01          3.21186967E+01          3.45768637E+01          3.72267204E+01          8.30390109E+00
        106.9990          1.00000000E+20          2.91905958E+01          3.13350238E+01          3.36521750E+01          3.61493934E+01          8.09392036E+00
        107.0010          1.00000000E+20          2.91904265E+01          3.13348197E+01          3.36519332E+01          3.61491108E+01          8.09386557E+00
        110.0000          1.00000000E+20          2.89467911E+01          3.10403695E+01          3.33024100E+01          3.57400026E+01          8.01474943E+00
        116.9990          1.00000000E+20          2.84507590E+01          3.04355344E+01          3.25797225E+01          3.48898667E+01          7.85173821E+00
        117.0010          1.00000000E+20          2.84506305E+01          3.04353767E+01          3.25795330E+01          3.48896429E+01          7.85169558E+00
        120.0000          1.00000000E+20          2.82657855E+01          3.02076532E+01          3.23053934E+01          3.45653324E+01          7.79010589E+00
        130.0000          1.00000000E+20          2.77507794E+01          2.95634037E+01          3.15213498E+01          3.36302845E+01          7.61497110E+00
        140.0000          1.00000000E+20          2.73657140E+01          2.90667613E+01          3.09041834E+01          3.28830690E+01          7.47862053E+00
        150.0000          1.00000000E+20          2.70841332E+01          2.86877448E+01          3.04200680E+01          3.22856788E+01          7.37318499E+00
        160.0000          1.00000000E+20          2.68861945E+01          2.84038647E+01          3.00436270E+01          3.18095979E+01          7.29276151E+00
        170.0000          1.00000000E+20          2.67567300E+01          2.81979264E+01          2.97554557E+01          3.14330188E+01          7.23283686E+00
        180.0000          1.00000000E+20          2.66839518E+01          2.80565642E+01          2.95404680E+01          3.11389845E+01          7.18990252E+00
        190.0000          1.00000000E+20          2.66585639E+01          2.79692356E+01          2.93867618E+01          3.09141149E+01          7.16119090E+00
        200.0000          1.00000000E+20          2.66731410E+01          2.79275171E+01          2.92848252E+01          3.07477149E+01          7.14449036E+00
        210.0000          1.00000000E+20          2.67216827E+01          2.79245999E+01          2.92269678E+01          3.06311355E+01          7.13801305E+00
        220.0000          1.00000000E+20          2.67992904E+01          2.79549233E+01          2.92069071E+01          3.05573097E+01          7.14029860E+00
        230.0000          1.00000000E+20          2.69019270E+01          2.80139035E+01          2.92194628E+01          3.05204083E+01          7.15014291E+00
        240.0000          1.00000000E+20          2.70262376E+01          2.80977293E+01          2.92603264E+01          3.05155824E+01          7.16654477E+00
        250.0000          1.00000000E+20          2.71694126E+01          2.82032079E+01          2.93258872E+01          3.05387671E+01          7.18866513E+00
        260.0000          1.00000000E+20          2.73290823E+01          2.83276454E+01          2.94130978E+01          3.05865301E+01          7.21579594E+00
        270.0000          1.00000000E+20          2.75032356E+01          2.84687543E+01          2.95193690E+01          3.06559548E+01          7.24733573E+00
        280.0000          1.00000000E+20          2.76901548E+01          2.86245801E+01          2.96424882E+01          3.07445477E+01          7.28277056E+00
        290.0000          1.00000000E+20          2.78883657E+01          2.87934442E+01          2.97805541E+01          3.08501653E+01          7.32165883E+00
        300.0000          1.00000000E+20          2.80965957E+01          2.89738972E+01          2.99319242E+01          3.09709552E+01          7.36361916E+00
        310.0000          1.00000000E+20          2.83137419E+01          2.91646820E+01          3.00951732E+01          3.11053094E+01          7.40832062E+00
        320.0000          1.00000000E+20          2.85388436E+01          2.93647031E+01          3.02690586E+01          3.12518254E+01          7.45547478E+00
        330.0000          1.00000000E+20          2.87710610E+01          2.95730022E+01          3.04524930E+01          3.14092751E+01          7.50482920E+00
        340.0000          1.00000000E+20          2.90096570E+01          2.97887377E+01          3.06445205E+01          3.15765789E+01          7.55616212E+00
        350.0000          1.00000000E+20          2.92539825E+01          3.00111679E+01          3.08442986E+01          3.17527843E+01          7.60927800E+00
        360.0000          1.00000000E+20          2.95034635E+01          3.02396366E+01          3.10510815E+01          3.19370479E+01          7.66400386E+00
        370.0000          1.00000000E+20          2.97575916E+01          3.04735621E+01          3.12642073E+01          3.21286209E+01          7.72018617E+00
        380.0000          1.00000000E+20          3.00159144E+01          3.07124265E+01          3.14830867E+01          3.23268360E+01          7.77768827E+00
        390.0000          1.00000000E+20          3.02780287E+01          3.09557677E+01          3.17071933E+01          3.25310972E+01          7.83638817E+00
        400.0000          1.00000000E+20          3.05435740E+01          3.12031724E+01          3.19360562E+01          3.27408707E+01          7.89617666E+00
        410.0000          1.00000000E+20          3.08122274E+01          3.14542698E+01          3.21692525E+01          3.29556769E+01          7.95695579E+00
        420.0000          1.00000000E+20          3.10836986E+01          3.17087268E+01          3.24064018E+01          3.31750842E+01          8.01863742E+00
        430.0000          1.00000000E+20          3.13577265E+01          3.19662429E+01          3.26471612E+01          3.33987033E+01          8.08114213E+00
        440.0000          1.00000000E+20          3.16340754E+01          3.22265470E+01          3.28912208E+01          3.36261819E+01          8.14439815E+00
        450.0000          1.00000000E+20          3.19125324E+01          3.24893939E+01          3.31382999E+01          3.38572012E+01          8.20834053E+00
        460.0000          1.00000000E+20          3.21929046E+01          3.27545611E+01          3.33881439E+01          3.40914713E+01          8.27291036E+00
        470.0000          1.00000000E+20          3.24750170E+01          3.30218467E+01          3.36405216E+01          3.43287288E+01          8.33805411E+00
        480.0000          1.00000000E+20          3.27587106E+01          3.32910671E+01          3.38952221E+01          3.45687338E+01          8.40372307E+00
        490.0000          1.00000000E+20          3.30438407E+01          3.35620549E+01          3.41520534E+01          3.48112671E+01          8.46987282E+00
        500.0000          1.00000000E+20          3.33302754E+01          3.38346572E+01          3.44108400E+01          3.50561286E+01          8.53646282E+00
        510.0000          1.00000000E+20          3.36178943E+01          3.41087346E+01          3.46714214E+01          3.53031347E+01          8.60345598E+00
        520.0000          1.00000000E+20          3.39065873E+01          3.43841594E+01          3.49336505E+01          3.55521175E+01          8.67081834E+00
        530.0000          1.00000000E+20          3.41962536E+01          3.46608143E+01          3.51973923E+01          3.58029225E+01          8.73851876E+00
        540.0000          1.00000000E+20          3.44868009E+01          3.49385920E+01          3.54625230E+01          3.60554079E+01          8.80652865E+00
        550.0000          1.00000000E+20          3.47781446E+01          3.52173938E+01          3.57289285E+01          3.63094429E+01          8.87482172E+00
        560.0000          1.00000000E+20          3.50702067E+01          3.54971288E+01          3.59965038E+01          3.65649072E+01          8.94337378E+00
        570.0000          1.00000000E+20          3.53629158E+01          3.57777136E+01          3.62651523E+01          3.68216897E+01          9.01216253E+00
        579.9990          1.00000000E+20          3.56561765E+01          3.60590429E+01          3.65347576E+01          3.70796618E+01          9.08116051E+00
        580.0000          1.00000000E+20          3.56562059E+01          3.60590710E+01          3.65347846E+01          3.70796876E+01          9.08116742E+00
        580.0010          1.00000000E+20          3.56562353E+01          3.60590992E+01          3.65348116E+01          3.70797135E+01          9.08117433E+00
        588.9990          1.00000000E+20          3.59205842E+01          3.63128662E+01          3.67781994E+01          3.73128204E+01          9.14343397E+00
        589.0010          1.00000000E+20          3.59206430E+01          3.63129227E+01          3.67782536E+01          3.73128723E+01          9.14344782E+00
        590.0000          1.00000000E+20          3.59500164E+01          3.63411300E+01          3.68053182E+01          3.73388061E+01          9.15036946E+00
        600.0000          1.00000000E+20          3.62442914E+01          3.66238249E+01          3.70766768E+01          3.75989572E+01          9.21975109E+00
        610.0000          1.00000000E+20          3.65389793E+01          3.69070949E+01          3.73487897E+01          3.78600594E+01          9.28929608E+00
        620.0000          1.00000000E+20          3.68340322E+01          3.71908840E+01          3.76215916E+01          3.81220374E+01          9.35898941E+00
        630.0000          1.00000000E+20          3.71294062E+01          3.74751401E+01          3.78950217E+01          3.83848208E+01          9.42881713E+00
        640.0000          1.00000000E+20          3.74250605E+01          3.77598150E+01          3.81690238E+01          3.86483446E+01          9.49876633E+00
        644.9990          1.00000000E+20          3.75729512E+01          3.79022669E+01          3.83061954E+01          3.87803385E+01          9.53377570E+00
        645.0010          1.00000000E+20          3.75730104E+01          3.79023239E+01          3.83062503E+01          3.87803914E+01          9.53378971E+00
        650.0000          1.00000000E+20          3.77209572E+01          3.80448640E+01          3.84435455E+01          3.89125480E+01          9.56882502E+00
        655.9990          1.00000000E+20          3.78985674E+01          3.82160270E+01          3.86084601E+01          3.90713463E+01          9.61090110E+00
        656.0010          1.00000000E+20          3.78986267E+01          3.82160841E+01          3.86085151E+01          3.90713992E+01          9.61091513E+00
        660.0000          1.00000000E+20          3.80170616E+01          3.83302456E+01          3.87185383E+01          3.91773748E+01          9.63898205E+00
        670.0000          1.00000000E+20          3.83133411E+01          3.86159214E+01          3.89939568E+01          3.94427724E+01          9.70922708E+00
        680.0000          1.00000000E+20          3.86097657E+01          3.89018556E+01          3.92697590E+01          3.97086918E+01          9.77955048E+00
        690.0000          1.00000000E+20          3.89063076E+01          3.91880148E+01          3.95459058E+01          3.99750873E+01          9.84994328E+00
        700.0000          1.00000000E+20          3.92029408E+01          3.94743681E+01          3.98223605E+01          4.02419163E+01          9.92039714E+00
        701.9990          1.00000000E+20          3.92622466E+01          3.95316308E+01          3.98776577E+01          4.02953038E+01          9.93448749E+00
        702.0010          1.00000000E+20          3.92623060E+01          3.95316881E+01          3.98777130E+01          4.02953573E+01          9.93450159E+00
        710.0000          1.00000000E+20          3.94996414E+01          3.97608866E+01          4.00990891E+01          4.05091390E+01          9.99090428E+00
        712.9990          1.00000000E+20          3.95886317E+01          3.98468417E+01          4.01821286E+01          4.05893502E+01          1.00120587E+01
        713.0010          1.00000000E+20          3.95886911E+01          3.98468991E+01          4.01821840E+01          4.05894037E+01          1.00120728E+01
        720.0000          1.00000000E+20          3.97963871E+01          4.00475437E+01          4.03760599E+01          4.07767182E+01          1.00614575E+01
        725.9990          1.00000000E+20          3.99744178E+01          4.02195652E+01          4.05423184E+01          4.09373954E+01          1.01038016E+01
        726.0010          1.00000000E+20          3.99744771E+01          4.02196226E+01          4.05423738E+01          4.09374490E+01          1.01038157E+01
        730.0000          1.00000000E+20          4.00931571E+01          4.03343142E+01          4.06532430E+01          4.10446191E+01          1.01320499E+01
        740.0000          1.00000000E+20          4.03899321E+01          4.06211749E+01          4.09306109E+01          4.13128091E+01          1.02026753E+01
        750.0000          1.00000000E+20          4.06866943E+01          4.09081040E+01          4.12081376E+01          4.15812579E+01          1.02733279E+01
        760.0000          1.00000000E+20          4.09834269E+01          4.11950813E+01          4.14857990E+01          4.18499368E+01          1.03440020E+01
        770.0000          1.00000000E+20          4.12801146E+01          4.14820879E+01          4.17635723E+01          4.21188192E+01          1.04146925E+01
        772.9190          1.00000000E+20          4.13667071E+01          4.15658681E+01          4.18446723E+01          4.21973407E+01          1.04353295E+01
        772.9210          1.00000000E+20          4.13667664E+01          4.15659255E+01          4.18447279E+01          4.21973945E+01          1.04353436E+01
        780.0000          1.00000000E+20          4.15767428E+01          4.17691062E+01          4.20414364E+01          4.23878800E+01          1.04853947E+01
        784.9990          1.00000000E+20          4.17250007E+01          4.19125858E+01          4.21803685E+01          4.25224429E+01          1.05207417E+01
        785.0010          1.00000000E+20          4.17250600E+01          4.19126432E+01          4.21804240E+01          4.25224968E+01          1.05207558E+01
        790.0000          1.00000000E+20          4.18732981E+01          4.20561196E+01          4.23193715E+01          4.26570956E+01          1.05561041E+01
        799.9990          1.00000000E+20          4.21697384E+01          4.23430841E+01          4.25973312E+01          4.29264172E+01          1.06268094E+01
        800.0000          1.00000000E+20          4.21697681E+01          4.23431128E+01          4.25973590E+01          4.29264442E+01          1.06268164E+01
        800.0010          1.00000000E+20          4.21697977E+01          4.23431415E+01          4.25973868E+01          4.29264711E+01          1.06268235E+01
        810.0000          1.00000000E+20          4.24661412E+01          4.26300715E+01          4.28753815E+01          4.31959049E+01          1.06975278E+01
        820.0000          1.00000000E+20          4.27624065E+01          4.29169822E+01          4.31534229E+01          4.34654584E+01          1.07682346E+01
        830.0000          1.00000000E+20          4.30585540E+01          4.32038325E+01          4.34314677E+01          4.37350865E+01          1.08389333E+01
