#Energy      C-K-shell   N-K-shell   O-K-shell   Valence  Total
        450.0000          2.58381759E+04          6.36341557E+04          1.00000000E+30          2.48202937E+05          1.71097479E+04
        460.0000          2.72255573E+04          6.64461562E+04          1.00000000E+30          2.61617345E+05          1.79848514E+04
        470.0000          2.87357850E+04          6.97229781E+04          1.00000000E+30          2.76942313E+05          1.89562143E+04
        480.0000          3.04234000E+04          7.34060006E+04          1.00000000E+30          2.92063235E+05          2.00335696E+04
        490.0000          3.19893894E+04          7.71139493E+04          1.00000000E+30          3.07544489E+05          2.10616105E+04
        500.0000          3.35795439E+04          8.11413298E+04          1.00000000E+30          3.23556362E+05          2.21264087E+04
        510.0000          3.53617005E+04          8.52380902E+04          1.00000000E+30          3.40211036E+05          2.32826815E+04
        520.0000          3.71923041E+04          8.93717988E+04          1.00000000E+30          3.57094635E+05          2.44637109E+04
        530.0000          3.90961775E+04          9.41344622E+04          1.00000000E+30          3.75173033E+05          2.57291069E+04
        537.9990          4.05702446E+04          9.73889286E+04          1.00000000E+30          3.90170056E+05          2.66811106E+04
        538.0010          4.05706594E+04          9.73899117E+04          7.89338810E+04          3.90174099E+05          1.99409159E+04
        540.0000          4.09895586E+04          9.83825303E+04          7.83007275E+04          3.93677094E+05          2.00512151E+04
        550.0000          4.29589560E+04          1.02567751E+05          7.92467476E+04          4.13003085E+05          2.08039520E+04
        560.0000          4.50208575E+04          1.06873505E+05          8.17727688E+04          4.33557048E+05          2.16899534E+04
        570.0000          4.71059000E+04          1.11392866E+05          8.37979955E+04          4.52943334E+05          2.25493175E+04
        580.0000          4.92400931E+04          1.16112269E+05          8.56493715E+04          4.74201329E+05          2.34162831E+04
        590.0000          5.14999137E+04          1.21261025E+05          8.82655340E+04          4.94747567E+05          2.43814045E+04
        600.0000          5.39771358E+04          1.26052078E+05          9.13820407E+04          5.17427511E+05          2.54224584E+04
        610.0000          5.62521346E+04          1.30946418E+05          9.48986682E+04          5.39198827E+05          2.64508464E+04
        620.0000          5.86486991E+04          1.36522417E+05          9.86044750E+04          5.62900081E+05          2.75531258E+04
        630.0000          6.11595460E+04          1.42239540E+05          1.02982985E+05          5.86748185E+05          2.87391653E+04
