#Energy      Cu  Total
       2800.0000          2.24072544E+01          2.24072544E+01
       2900.0000          2.29682752E+01          2.29682752E+01
       3000.0000          2.35264723E+01          2.35264723E+01
       3100.0000          2.40819440E+01          2.40819440E+01
       3200.0000          2.46347836E+01          2.46347836E+01
       3300.0000          2.51850793E+01          2.51850793E+01
       3400.0000          2.57329147E+01          2.57329147E+01
       3500.0000          2.62783690E+01          2.62783690E+01
       3600.0000          2.68215171E+01          2.68215171E+01
       3700.0000          2.73624300E+01          2.73624300E+01
       3800.0000          2.79011751E+01          2.79011751E+01
       3900.0000          2.84378164E+01          2.84378164E+01
       4000.0000          2.89724145E+01          2.89724145E+01
       4100.0000          2.95050272E+01          2.95050272E+01
       4200.0000          3.00357094E+01          3.00357094E+01
       4300.0000          3.05645133E+01          3.05645133E+01
       4400.0000          3.10914885E+01          3.10914885E+01
       4500.0000          3.16166826E+01          3.16166826E+01
       4600.0000          3.21401407E+01          3.21401407E+01
       4700.0000          3.26619060E+01          3.26619060E+01
       4800.0000          3.31820197E+01          3.31820197E+01
       4900.0000          3.37005211E+01          3.37005211E+01
       5000.0000          3.42174480E+01          3.42174480E+01
       5100.0000          3.47328364E+01          3.47328364E+01
       5200.0000          3.52467209E+01          3.52467209E+01
       5300.0000          3.57591345E+01          3.57591345E+01
       5400.0000          3.62701089E+01          3.62701089E+01
       5500.0000          3.67796747E+01          3.67796747E+01
       5600.0000          3.72878611E+01          3.72878611E+01
       5700.0000          3.77946962E+01          3.77946962E+01
       5800.0000          3.83002070E+01          3.83002070E+01
       5900.0000          3.88044195E+01          3.88044195E+01
       6000.0000          3.93073586E+01          3.93073586E+01
       6100.0000          3.98090485E+01          3.98090485E+01
       6200.0000          4.03095123E+01          4.03095123E+01
       6300.0000          4.08087724E+01          4.08087724E+01
       6400.0000          4.13068504E+01          4.13068504E+01
       6500.0000          4.18037671E+01          4.18037671E+01
       6600.0000          4.22995425E+01          4.22995425E+01
       6700.0000          4.27941961E+01          4.27941961E+01
       6800.0000          4.32877466E+01          4.32877466E+01
       6900.0000          4.37802121E+01          4.37802121E+01
       7000.0000          4.42716102E+01          4.42716102E+01
       7100.0000          4.47619578E+01          4.47619578E+01
       7200.0000          4.52512714E+01          4.52512714E+01
       7300.0000          4.57395668E+01          4.57395668E+01
       7400.0000          4.62268594E+01          4.62268594E+01
       7500.0000          4.67131641E+01          4.67131641E+01
       7600.0000          4.71984955E+01          4.71984955E+01
       7700.0000          4.76828676E+01          4.76828676E+01
       7800.0000          4.81662939E+01          4.81662939E+01
       7900.0000          4.86487878E+01          4.86487878E+01
       8000.0000          4.91303619E+01          4.91303619E+01
       8100.0000          4.96110289E+01          4.96110289E+01
       8200.0000          5.00908008E+01          5.00908008E+01
       8300.0000          5.05696894E+01          5.05696894E+01
       8400.0000          5.10477061E+01          5.10477061E+01
       8500.0000          5.15248620E+01          5.15248620E+01
       8600.0000          5.20011681E+01          5.20011681E+01
       8700.0000          5.24766347E+01          5.24766347E+01
       8800.0000          5.29512723E+01          5.29512723E+01
       8900.0000          5.34250907E+01          5.34250907E+01
       8985.9990          5.38319221E+01          5.38319221E+01
       8986.0010          5.38319316E+01          5.38319316E+01
       9000.0000          5.38980997E+01          5.38980997E+01
       9100.0000          5.43703089E+01          5.43703089E+01
       9200.0000          5.48417273E+01          5.48417273E+01
       9300.0000          5.53123641E+01          5.53123641E+01
       9400.0000          5.57822280E+01          5.57822280E+01
       9500.0000          5.62513276E+01          5.62513276E+01
       9600.0000          5.67196712E+01          5.67196712E+01
       9700.0000          5.71872670E+01          5.71872670E+01
       9800.0000          5.76541230E+01          5.76541230E+01
       9900.0000          5.81202469E+01          5.81202469E+01
      10000.0000          5.85856463E+01          5.85856463E+01
      11000.0000          6.32013453E+01          6.32013453E+01
      12000.0000          6.77517970E+01          6.77517970E+01
      13000.0000          7.22423358E+01          7.22423358E+01
      14000.0000          7.66773527E+01          7.66773527E+01
      15000.0000          8.10605185E+01          8.10605185E+01
      16000.0000          8.53949442E+01          8.53949442E+01
      17000.0000          8.96832979E+01          8.96832979E+01
      18000.0000          9.39278921E+01          9.39278921E+01
      19000.0000          9.81307497E+01          9.81307497E+01
      20000.0000          1.02293655E+02          1.02293655E+02
      21000.0000          1.06418196E+02          1.06418196E+02
      22000.0000          1.10505792E+02          1.10505792E+02
      23000.0000          1.14557722E+02          1.14557722E+02
      24000.0000          1.18575145E+02          1.18575145E+02
      25000.0000          1.22559116E+02          1.22559116E+02
      26000.0000          1.26510602E+02          1.26510602E+02
      27000.0000          1.30430490E+02          1.30430490E+02
      28000.0000          1.34319600E+02          1.34319600E+02
      29000.0000          1.38178691E+02          1.38178691E+02
      30000.0000          1.42008469E+02          1.42008469E+02
      31000.0000          1.45809593E+02          1.45809593E+02
      32000.0000          1.49582680E+02          1.49582680E+02
      33000.0000          1.53328309E+02          1.53328309E+02
      34000.0000          1.57047025E+02          1.57047025E+02
      35000.0000          1.60739342E+02          1.60739342E+02
      36000.0000          1.64405746E+02          1.64405746E+02
      37000.0000          1.68046700E+02          1.68046700E+02
      38000.0000          1.71662640E+02          1.71662640E+02
      39000.0000          1.75253985E+02          1.75253985E+02
      40000.0000          1.78821132E+02          1.78821132E+02
      41000.0000          1.82364462E+02          1.82364462E+02
      42000.0000          1.85884338E+02          1.85884338E+02
      43000.0000          1.89381110E+02          1.89381110E+02
      44000.0000          1.92855112E+02          1.92855112E+02
      45000.0000          1.96306666E+02          1.96306666E+02
      46000.0000          1.99736082E+02          1.99736082E+02
      47000.0000          2.03143660E+02          2.03143660E+02
      48000.0000          2.06529687E+02          2.06529687E+02
      49000.0000          2.09894443E+02          2.09894443E+02
      50000.0000          2.13238196E+02          2.13238196E+02
