#Energy      Zr  Total
         89.0000          4.13007383E+01          4.13007383E+01
         90.0000          4.09590786E+01          4.09590786E+01
         91.0000          4.06252621E+01          4.06252621E+01
         92.0000          4.02990337E+01          4.02990337E+01
         93.0000          3.99801491E+01          3.99801491E+01
         94.0000          3.96683745E+01          3.96683745E+01
         95.0000          3.93634858E+01          3.93634858E+01
         96.0000          3.90652683E+01          3.90652683E+01
         97.0000          3.87735159E+01          3.87735159E+01
         98.0000          3.84880312E+01          3.84880312E+01
         99.0000          3.82086246E+01          3.82086246E+01
        100.0000          3.79351140E+01          3.79351140E+01
        110.0000          3.54889561E+01          3.54889561E+01
        120.0000          3.34762880E+01          3.34762880E+01
        130.0000          3.17970760E+01          3.17970760E+01
        140.0000          3.03797946E+01          3.03797946E+01
        150.0000          2.91719472E+01          2.91719472E+01
        160.0000          2.81341348E+01          2.81341348E+01
        170.0000          2.72362127E+01          2.72362127E+01
        180.0000          2.64547261E+01          2.64547261E+01
        184.9990          2.61017700E+01          2.61017700E+01
        185.0010          2.61016334E+01          2.61016334E+01
        186.9990          2.59669536E+01          2.59669536E+01
        187.0010          2.59668205E+01          2.59668205E+01
        190.0000          2.57711530E+01          2.57711530E+01
        200.0000          2.51706739E+01          2.51706739E+01
        210.0000          2.46412918E+01          2.46412918E+01
        220.0000          2.41731918E+01          2.41731918E+01
        230.0000          2.37582675E+01          2.37582675E+01
        240.0000          2.33897655E+01          2.33897655E+01
        250.0000          2.30620152E+01          2.30620152E+01
        260.0000          2.27702207E+01          2.27702207E+01
        270.0000          2.25102987E+01          2.25102987E+01
        280.0000          2.22787517E+01          2.22787517E+01
        290.0000          2.20725668E+01          2.20725668E+01
        300.0000          2.18891349E+01          2.18891349E+01
        310.0000          2.17261856E+01          2.17261856E+01
        320.0000          2.15817340E+01          2.15817340E+01
        330.0000          2.14540380E+01          2.14540380E+01
        334.9990          2.13959974E+01          2.13959974E+01
        335.0010          2.13959749E+01          2.13959749E+01
        340.0000          2.13415618E+01          2.13415618E+01
        347.9990          2.12616303E+01          2.12616303E+01
        348.0010          2.12616114E+01          2.12616114E+01
        350.0000          2.12429469E+01          2.12429469E+01
        360.0000          2.11569870E+01          2.11569870E+01
        370.0000          2.10826080E+01          2.10826080E+01
        380.0000          2.10188499E+01          2.10188499E+01
        390.0000          2.09648525E+01          2.09648525E+01
        400.0000          2.09198428E+01          2.09198428E+01
        410.0000          2.08831241E+01          2.08831241E+01
        420.0000          2.08540673E+01          2.08540673E+01
        430.0000          2.08321028E+01          2.08321028E+01
        433.9990          2.08251870E+01          2.08251870E+01
        434.0010          2.08251838E+01          2.08251838E+01
        440.0000          2.08167135E+01          2.08167135E+01
        450.0000          2.08074293E+01          2.08074293E+01
        460.0000          2.08038216E+01          2.08038216E+01
        470.0000          2.08054991E+01          2.08054991E+01
        480.0000          2.08121038E+01          2.08121038E+01
        490.0000          2.08233076E+01          2.08233076E+01
        500.0000          2.08388094E+01          2.08388094E+01
        510.0000          2.08583321E+01          2.08583321E+01
        520.0000          2.08816206E+01          2.08816206E+01
        530.0000          2.09084395E+01          2.09084395E+01
        540.0000          2.09385714E+01          2.09385714E+01
        550.0000          2.09718151E+01          2.09718151E+01
        560.0000          2.10079844E+01          2.10079844E+01
        570.0000          2.10469064E+01          2.10469064E+01
        580.0000          2.10884207E+01          2.10884207E+01
        590.0000          2.11323779E+01          2.11323779E+01
        600.0000          2.11786392E+01          2.11786392E+01
        610.0000          2.12270750E+01          2.12270750E+01
        620.0000          2.12775647E+01          2.12775647E+01
        630.0000          2.13299953E+01          2.13299953E+01
        640.0000          2.13842615E+01          2.13842615E+01
        650.0000          2.14402645E+01          2.14402645E+01
        660.0000          2.14979120E+01          2.14979120E+01
        670.0000          2.15571171E+01          2.15571171E+01
        680.0000          2.16177987E+01          2.16177987E+01
        690.0000          2.16798803E+01          2.16798803E+01
        700.0000          2.17432902E+01          2.17432902E+01
        710.0000          2.18079609E+01          2.18079609E+01
        720.0000          2.18738287E+01          2.18738287E+01
        730.0000          2.19408339E+01          2.19408339E+01
        740.0000          2.20089198E+01          2.20089198E+01
        750.0000          2.20780333E+01          2.20780333E+01
        760.0000          2.21481241E+01          2.21481241E+01
        770.0000          2.22191446E+01          2.22191446E+01
        780.0000          2.22910500E+01          2.22910500E+01
        790.0000          2.23637976E+01          2.23637976E+01
        800.0000          2.24373474E+01          2.24373474E+01
        810.0000          2.25116612E+01          2.25116612E+01
        820.0000          2.25867028E+01          2.25867028E+01
        830.0000          2.26624382E+01          2.26624382E+01
        840.0000          2.27388347E+01          2.27388347E+01
        850.0000          2.28158616E+01          2.28158616E+01
        860.0000          2.28934895E+01          2.28934895E+01
        870.0000          2.29716907E+01          2.29716907E+01
        880.0000          2.30504387E+01          2.30504387E+01
        890.0000          2.31297083E+01          2.31297083E+01
        900.0000          2.32094756E+01          2.32094756E+01
        910.0000          2.32897179E+01          2.32897179E+01
        920.0000          2.33704133E+01          2.33704133E+01
        930.0000          2.34515412E+01          2.34515412E+01
        940.0000          2.35330819E+01          2.35330819E+01
        950.0000          2.36150166E+01          2.36150166E+01
        960.0000          2.36973273E+01          2.36973273E+01
        970.0000          2.37799969E+01          2.37799969E+01
        980.0000          2.38630091E+01          2.38630091E+01
        990.0000          2.39463483E+01          2.39463483E+01
       1000.0000          2.40299994E+01          2.40299994E+01
       1100.0000          2.48808207E+01          2.48808207E+01
       1200.0000          2.57504421E+01          2.57504421E+01
       1300.0000          2.66313248E+01          2.66313248E+01
       1400.0000          2.75184039E+01          2.75184039E+01
       1500.0000          2.84082126E+01          2.84082126E+01
       1600.0000          2.92983461E+01          2.92983461E+01
       1700.0000          3.01871215E+01          3.01871215E+01
       1800.0000          3.10733563E+01          3.10733563E+01
       1900.0000          3.19562210E+01          3.19562210E+01
       2000.0000          3.28351378E+01          3.28351378E+01
       2100.0000          3.37097113E+01          3.37097113E+01
       2200.0000          3.45796786E+01          3.45796786E+01
       2226.9990          3.48137481E+01          3.48137481E+01
       2227.0010          3.48137654E+01          3.48137654E+01
       2300.0000          3.54448744E+01          3.54448744E+01
       2310.9990          3.55397415E+01          3.55397415E+01
       2311.0010          3.55397587E+01          3.55397587E+01
       2400.0000          3.63052053E+01          3.63052053E+01
       2500.0000          3.71606311E+01          3.71606311E+01
       2535.9990          3.74673739E+01          3.74673739E+01
       2536.0010          3.74673909E+01          3.74673909E+01
       2600.0000          3.80111509E+01          3.80111509E+01
       2700.0000          3.88567930E+01          3.88567930E+01
       2800.0000          3.96976071E+01          3.96976071E+01
       2900.0000          4.05336585E+01          4.05336585E+01
       3000.0000          4.13650233E+01          4.13650233E+01
       3100.0000          4.21917859E+01          4.21917859E+01
       3200.0000          4.30140354E+01          4.30140354E+01
       3300.0000          4.38318646E+01          4.38318646E+01
       3400.0000          4.46453676E+01          4.46453676E+01
       3500.0000          4.54546396E+01          4.54546396E+01
       3600.0000          4.62597752E+01          4.62597752E+01
       3700.0000          4.70608683E+01          4.70608683E+01
       3800.0000          4.78580113E+01          4.78580113E+01
       3900.0000          4.86512950E+01          4.86512950E+01
       4000.0000          4.94408081E+01          4.94408081E+01
       4100.0000          5.02266372E+01          5.02266372E+01
       4200.0000          5.10088666E+01          5.10088666E+01
       4300.0000          5.17875782E+01          5.17875782E+01
       4400.0000          5.25628515E+01          5.25628515E+01
       4500.0000          5.33347636E+01          5.33347636E+01
       4600.0000          5.41033892E+01          5.41033892E+01
       4700.0000          5.48688007E+01          5.48688007E+01
       4800.0000          5.56310680E+01          5.56310680E+01
       4900.0000          5.63902589E+01          5.63902589E+01
       5000.0000          5.71464390E+01          5.71464390E+01
       5100.0000          5.78996715E+01          5.78996715E+01
       5200.0000          5.86500178E+01          5.86500178E+01
       5300.0000          5.93975373E+01          5.93975373E+01
       5400.0000          6.01422871E+01          6.01422871E+01
       5500.0000          6.08843227E+01          6.08843227E+01
       5600.0000          6.16236978E+01          6.16236978E+01
       5700.0000          6.23604643E+01          6.23604643E+01
       5800.0000          6.30946723E+01          6.30946723E+01
       5900.0000          6.38263705E+01          6.38263705E+01
       6000.0000          6.45556059E+01          6.45556059E+01
       6100.0000          6.52824239E+01          6.52824239E+01
       6200.0000          6.60068688E+01          6.60068688E+01
       6300.0000          6.67289832E+01          6.67289832E+01
       6400.0000          6.74488086E+01          6.74488086E+01
       6500.0000          6.81663849E+01          6.81663849E+01
       6600.0000          6.88817512E+01          6.88817512E+01
       6700.0000          6.95949451E+01          6.95949451E+01
       6800.0000          7.03060032E+01          7.03060032E+01
       6900.0000          7.10149609E+01          7.10149609E+01
       7000.0000          7.17218528E+01          7.17218528E+01
       7100.0000          7.24267122E+01          7.24267122E+01
       7200.0000          7.31295715E+01          7.31295715E+01
       7300.0000          7.38304624E+01          7.38304624E+01
       7400.0000          7.45294155E+01          7.45294155E+01
       7500.0000          7.52264604E+01          7.52264604E+01
       7600.0000          7.59216262E+01          7.59216262E+01
       7700.0000          7.66149410E+01          7.66149410E+01
       7800.0000          7.73064321E+01          7.73064321E+01
       7900.0000          7.79961261E+01          7.79961261E+01
       8000.0000          7.86840490E+01          7.86840490E+01
       8100.0000          7.93702259E+01          7.93702259E+01
       8200.0000          8.00546814E+01          8.00546814E+01
       8300.0000          8.07374394E+01          8.07374394E+01
       8400.0000          8.14185232E+01          8.14185232E+01
       8500.0000          8.20979554E+01          8.20979554E+01
       8600.0000          8.27757582E+01          8.27757582E+01
       8700.0000          8.34519531E+01          8.34519531E+01
       8800.0000          8.41265611E+01          8.41265611E+01
       8900.0000          8.47996027E+01          8.47996027E+01
       9000.0000          8.54710979E+01          8.54710979E+01
       9100.0000          8.61410662E+01          8.61410662E+01
       9200.0000          8.68095266E+01          8.68095266E+01
       9300.0000          8.74764977E+01          8.74764977E+01
       9400.0000          8.81419976E+01          8.81419976E+01
       9500.0000          8.88060441E+01          8.88060441E+01
       9600.0000          8.94686544E+01          8.94686544E+01
       9700.0000          9.01298454E+01          9.01298454E+01
       9800.0000          9.07896337E+01          9.07896337E+01
       9900.0000          9.14480354E+01          9.14480354E+01
      10000.0000          9.21050662E+01          9.21050662E+01
      11000.0000          9.86032122E+01          9.86032122E+01
      12000.0000          1.04979322E+02          1.04979322E+02
      13000.0000          1.11244612E+02          1.11244612E+02
      14000.0000          1.17408355E+02          1.17408355E+02
      15000.0000          1.23478323E+02          1.23478323E+02
      16000.0000          1.29461112E+02          1.29461112E+02
      17000.0000          1.35362381E+02          1.35362381E+02
      18000.0000          1.41187031E+02          1.41187031E+02
      18001.9990          1.41198601E+02          1.41198601E+02
      18002.0010          1.41198612E+02          1.41198612E+02
      19000.0000          1.46939343E+02          1.46939343E+02
      20000.0000          1.52623088E+02          1.52623088E+02
      21000.0000          1.58241607E+02          1.58241607E+02
      22000.0000          1.63797885E+02          1.63797885E+02
      23000.0000          1.69294599E+02          1.69294599E+02
      24000.0000          1.74734165E+02          1.74734165E+02
      25000.0000          1.80118775E+02          1.80118775E+02
      26000.0000          1.85450426E+02          1.85450426E+02
      27000.0000          1.90730945E+02          1.90730945E+02
      28000.0000          1.95962010E+02          1.95962010E+02
      29000.0000          2.01145167E+02          2.01145167E+02
      30000.0000          2.06281848E+02          2.06281848E+02
      31000.0000          2.11373380E+02          2.11373380E+02
      32000.0000          2.16421000E+02          2.16421000E+02
      33000.0000          2.21425861E+02          2.21425861E+02
      34000.0000          2.26389042E+02          2.26389042E+02
      35000.0000          2.31311556E+02          2.31311556E+02
      36000.0000          2.36194356E+02          2.36194356E+02
      37000.0000          2.41038339E+02          2.41038339E+02
      38000.0000          2.45844352E+02          2.45844352E+02
      39000.0000          2.50613198E+02          2.50613198E+02
      40000.0000          2.55345637E+02          2.55345637E+02
      41000.0000          2.60042391E+02          2.60042391E+02
      42000.0000          2.64704147E+02          2.64704147E+02
      43000.0000          2.69331559E+02          2.69331559E+02
      44000.0000          2.73925252E+02          2.73925252E+02
      45000.0000          2.78485823E+02          2.78485823E+02
      46000.0000          2.83013844E+02          2.83013844E+02
      47000.0000          2.87509861E+02          2.87509861E+02
      48000.0000          2.91974400E+02          2.91974400E+02
      49000.0000          2.96407966E+02          2.96407966E+02
      50000.0000          3.00811043E+02          3.00811043E+02
