#Energy      Te   Pd  Total
         99.0000          1.39996528E+02          1.96468381E+02          8.17466858E+01
        100.0000          1.38825453E+02          1.94921920E+02          8.10796609E+01
        110.0000          1.28311624E+02          1.81056520E+02          7.50938858E+01
        116.9990          1.22048719E+02          1.72816088E+02          7.15310259E+01
        117.0010          1.22047040E+02          1.72813880E+02          7.15300708E+01
        120.0000          1.19593715E+02          1.69590573E+02          7.01350920E+01
        126.9990          1.14333539E+02          1.62689741E+02          6.71455983E+01
        127.0010          1.14332122E+02          1.62687884E+02          6.71447931E+01
        130.0000          1.12257730E+02          1.59970783E+02          6.59664807E+01
        140.0000          1.06007726E+02          1.51801584E+02          6.24187727E+01
        150.0000          1.00626532E+02          1.44792673E+02          5.93677441E+01
        160.0000          9.59511732E+01          1.38726184E+02          5.67201721E+01
        170.0000          9.18569600E+01          1.33435422E+02          5.44047344E+01
        173.9990          9.03598795E+01          1.31506736E+02          5.35589043E+01
        174.0010          9.03591492E+01          1.31505796E+02          5.35584918E+01
        180.0000          8.82468706E+01          1.28790681E+02          5.23659362E+01
        190.0000          8.50442819E+01          1.24689530E+02          5.05599523E+01
        200.0000          8.21878783E+01          1.21049999E+02          4.89517147E+01
        210.0000          7.96280125E+01          1.17805725E+02          4.75128307E+01
        220.0000          7.73240578E+01          1.14902404E+02          4.62200680E+01
        230.0000          7.52424494E+01          1.12295179E+02          4.50542346E+01
        240.0000          7.33552156E+01          1.09946668E+02          4.39993380E+01
        250.0000          7.16388605E+01          1.07825477E+02          4.30419458E+01
        260.0000          7.00735038E+01          1.05905046E+02          4.21706943E+01
        270.0000          6.86422124E+01          1.04162756E+02          4.13759054E+01
        280.0000          6.73304744E+01          1.02579227E+02          4.06492859E+01
        290.0000          6.61257820E+01          1.01137758E+02          3.99836888E+01
        300.0000          6.50172977E+01          9.98238786E+01          3.93729223E+01
        310.0000          6.39955850E+01          9.86249954E+01          3.88115961E+01
        320.0000          6.30523897E+01          9.75300935E+01          3.82949954E+01
        330.0000          6.21804605E+01          9.65294993E+01          3.78189795E+01
        340.0000          6.13734021E+01          9.56146829E+01          3.73798966E+01
        341.9990          6.12193414E+01          9.54414188E+01          3.72962623E+01
        342.0010          6.12191885E+01          9.54412470E+01          3.72961793E+01
        346.9990          6.08440745E+01          9.50213532E+01          3.70928074E+01
        347.0010          6.08439273E+01          9.50211889E+01          3.70927277E+01
        350.0000          6.06255522E+01          9.47780944E+01          3.69745140E+01
        360.0000          5.99318803E+01          9.40130281E+01          3.65999604E+01
        370.0000          5.92879017E+01          9.33135077E+01          3.62536761E+01
        380.0000          5.86896062E+01          9.26741908E+01          3.59333729E+01
        390.0000          5.81333968E+01          9.20902871E+01          3.56369985E+01
        400.0000          5.76160383E+01          9.15574892E+01          3.53627074E+01
        410.0000          5.71346129E+01          9.10719139E+01          3.51088353E+01
        420.0000          5.66864824E+01          9.06300514E+01          3.48738779E+01
        430.0000          5.62692558E+01          9.02287217E+01          3.46564718E+01
        440.0000          5.58807610E+01          8.98650372E+01          3.44553787E+01
        450.0000          5.55190205E+01          8.95363698E+01          3.42694714E+01
        460.0000          5.51822301E+01          8.92403230E+01          3.40977218E+01
        470.0000          5.48687406E+01          8.89747067E+01          3.39391901E+01
        480.0000          5.45770414E+01          8.87375160E+01          3.37930157E+01
        490.0000          5.43057465E+01          8.85269120E+01          3.36584090E+01
        500.0000          5.40535820E+01          8.83412051E+01          3.35346446E+01
        510.0000          5.38193748E+01          8.81788405E+01          3.34210543E+01
        520.0000          5.36020433E+01          8.80383849E+01          3.33170224E+01
        530.0000          5.34005884E+01          8.79185152E+01          3.32219801E+01
        536.9990          5.32685371E+01          8.78462058E+01          3.31605244E+01
        537.0010          5.32685004E+01          8.78461865E+01          3.31605074E+01
        540.0000          5.32140858E+01          8.78180080E+01          3.31354012E+01
        550.0000          5.30416796E+01          8.77357307E+01          3.30567987E+01
        560.0000          5.28825756E+01          8.76706332E+01          3.29857207E+01
        564.9990          5.28077940E+01          8.76442243E+01          3.29528774E+01
        565.0010          5.28077647E+01          8.76442145E+01          3.29528646E+01
        570.0000          5.27360363E+01          8.76217405E+01          3.29217475E+01
        577.9990          5.26274020E+01          8.75936858E+01          3.28754269E+01
        578.0010          5.26273758E+01          8.75936800E+01          3.28754158E+01
        580.0000          5.26013758E+01          8.75881467E+01          3.28644890E+01
        588.9990          5.24898208E+01          8.75702957E+01          3.28184014E+01
        589.0010          5.24897970E+01          8.75702930E+01          3.28183917E+01
        590.0000          5.24779553E+01          8.75690082E+01          3.28135819E+01
        600.0000          5.23651795E+01          8.75635394E+01          3.27686875E+01
        610.0000          5.22624927E+01          8.75710072E+01          3.27294899E+01
        620.0000          5.21693754E+01          8.75907272E+01          3.26956939E+01
        630.0000          5.20853422E+01          8.76220595E+01          3.26670233E+01
        640.0000          5.20099381E+01          8.76644053E+01          3.26432198E+01
        650.0000          5.19427370E+01          8.77172037E+01          3.26240411E+01
        660.0000          5.18833391E+01          8.77799289E+01          3.26092600E+01
        670.0000          5.18313687E+01          8.78520871E+01          3.25986631E+01
        676.9990          5.17992233E+01          8.79079529E+01          3.25936277E+01
        677.0010          5.17992146E+01          8.79079695E+01          3.25936265E+01
        680.0000          5.17864730E+01          8.79332148E+01          3.25920500E+01
        690.0000          5.17483198E+01          8.80228762E+01          3.25892321E+01
        700.0000          5.17165967E+01          8.81206611E+01          3.25900319E+01
        710.0000          5.16910089E+01          8.82261833E+01          3.25942821E+01
        720.0000          5.16712787E+01          8.83390787E+01          3.26018249E+01
        730.0000          5.16571438E+01          8.84590041E+01          3.26125116E+01
        740.0000          5.16483566E+01          8.85856352E+01          3.26262015E+01
        750.0000          5.16446829E+01          8.87186661E+01          3.26427619E+01
        760.0000          5.16459013E+01          8.88578072E+01          3.26620670E+01
        770.0000          5.16518021E+01          8.90027850E+01          3.26839979E+01
        780.0000          5.16621867E+01          8.91533402E+01          3.27084421E+01
        790.0000          5.16768670E+01          8.93092276E+01          3.27352927E+01
        800.0000          5.16956644E+01          8.94702143E+01          3.27644486E+01
        810.0000          5.17184094E+01          8.96360800E+01          3.27958136E+01
        820.0000          5.17449413E+01          8.98066153E+01          3.28292966E+01
        824.9990          5.17595762E+01          8.98935540E+01          3.28468015E+01
        825.0010          5.17595822E+01          8.98935890E+01          3.28468086E+01
        830.0000          5.17751070E+01          8.99816213E+01          3.28648109E+01
        840.0000          5.18087613E+01          9.01609093E+01          3.29022742E+01
        850.0000          5.18457658E+01          9.03442999E+01          3.29416080E+01
        860.0000          5.18859889E+01          9.05316222E+01          3.29827379E+01
        870.0000          5.19293053E+01          9.07227139E+01          3.30255929E+01
        875.9990          5.19567253E+01          9.08390941E+01          3.30521011E+01
        876.0010          5.19567346E+01          9.08391331E+01          3.30521100E+01
        880.0000          5.19755955E+01          9.09174204E+01          3.30701052E+01
        890.0000          5.20247457E+01          9.11155942E+01          3.31162104E+01
        900.0000          5.20766472E+01          9.13170950E+01          3.31638471E+01
        910.0000          5.21311964E+01          9.15217890E+01          3.32129565E+01
        920.0000          5.21882944E+01          9.17295483E+01          3.32634827E+01
        930.0000          5.22478466E+01          9.19402513E+01          3.33153722E+01
        940.0000          5.23097627E+01          9.21537815E+01          3.33685738E+01
        950.0000          5.23739564E+01          9.23700278E+01          3.34230388E+01
        960.0000          5.24403450E+01          9.25888839E+01          3.34787205E+01
        970.0000          5.25088495E+01          9.28102484E+01          3.35355740E+01
        980.0000          5.25793942E+01          9.30340241E+01          3.35935567E+01
        990.0000          5.26519068E+01          9.32601181E+01          3.36526277E+01
       1000.0000          5.27263177E+01          9.34884414E+01          3.37127476E+01
       1011.9990          5.28180155E+01          9.37652294E+01          3.37862171E+01
       1012.0010          5.28180309E+01          9.37652758E+01          3.37862295E+01
       1100.0000          5.35614568E+01          9.58772007E+01          3.43640838E+01
       1200.0000          5.45277208E+01          9.84141409E+01          3.50871811E+01
       1300.0000          5.55883340E+01          1.01052922E+02          3.58613288E+01
       1400.0000          5.67176738E+01          1.03761653E+02          3.66721353E+01
       1500.0000          5.78974520E+01          1.06517885E+02          3.75093604E+01
       1600.0000          5.91143492E+01          1.09305522E+02          3.83655726E+01
       1700.0000          6.03584978E+01          1.12112849E+02          3.92352891E+01
       1800.0000          6.16224817E+01          1.14931235E+02          4.01144085E+01
       1900.0000          6.29006579E+01          1.17754260E+02          4.09998272E+01
       2000.0000          6.41886887E+01          1.20577117E+02          4.18891743E+01
       2100.0000          6.54832101E+01          1.23396190E+02          4.27806242E+01
       2200.0000          6.67815950E+01          1.26208751E+02          4.36727633E+01
       2300.0000          6.80817793E+01          1.29012745E+02          4.45644913E+01
       2400.0000          6.93821342E+01          1.31806627E+02          4.54549500E+01
       2500.0000          7.06813704E+01          1.34589248E+02          4.63434688E+01
       2600.0000          7.19784655E+01          1.37359761E+02          4.72295241E+01
       2700.0000          7.32726080E+01          1.40117555E+02          4.81127084E+01
       2800.0000          7.45631551E+01          1.42862205E+02          4.89927061E+01
       2900.0000          7.58495987E+01          1.45593429E+02          4.98692746E+01
       3000.0000          7.71315395E+01          1.48311059E+02          5.07422305E+01
       3100.0000          7.84086661E+01          1.51015015E+02          5.16114371E+01
       3179.9990          7.94267252E+01          1.53168300E+02          5.23040269E+01
       3180.0010          7.94267506E+01          1.53168353E+02          5.23040442E+01
       3200.0000          7.96807386E+01          1.53705288E+02          5.24767959E+01
       3300.0000          8.09475754E+01          1.56381925E+02          5.33382392E+01
       3336.9990          8.14149372E+01          1.57368815E+02          5.36559630E+01
       3337.0010          8.14149624E+01          1.57368868E+02          5.36559802E+01
       3400.0000          8.22090421E+01          1.59045015E+02          5.41957241E+01
       3500.0000          8.34650437E+01          1.61694679E+02          5.50492279E+01
       3600.0000          8.47155169E+01          1.64331067E+02          5.58987442E+01
       3610.9990          8.48527171E+01          1.64620240E+02          5.59919392E+01
       3611.0010          8.48527421E+01          1.64620293E+02          5.59919562E+01
       3700.0000          8.59604245E+01          1.66954347E+02          5.67442797E+01
       3800.0000          8.71997511E+01          1.69564701E+02          5.75858520E+01
       3900.0000          8.84334987E+01          1.72162324E+02          5.84234870E+01
       4000.0000          8.96616840E+01          1.74747418E+02          5.92572179E+01
       4100.0000          9.08843353E+01          1.77320189E+02          6.00870830E+01
       4200.0000          9.21014907E+01          1.79880847E+02          6.09131251E+01
       4300.0000          9.33131961E+01          1.82429604E+02          6.17353904E+01
       4346.9990          9.38808175E+01          1.83623443E+02          6.21205559E+01
       4347.0010          9.38808416E+01          1.83623494E+02          6.21205723E+01
       4400.0000          9.45195036E+01          1.84966671E+02          6.25539276E+01
       4500.0000          9.57204703E+01          1.87492259E+02          6.33687873E+01
       4600.0000          9.69161575E+01          1.90006577E+02          6.41800217E+01
       4617.9990          9.71308134E+01          1.90457948E+02          6.43256549E+01
       4618.0010          9.71308373E+01          1.90457998E+02          6.43256710E+01
       4700.0000          9.81066292E+01          1.92509830E+02          6.49876837E+01
       4800.0000          9.92919522E+01          1.95002223E+02          6.57918269E+01
       4900.0000          1.00472195E+02          1.97483956E+02          6.65925051E+01
       4944.9990          1.01001653E+02          1.98597285E+02          6.69516862E+01
       4945.0010          1.01001676E+02          1.98597335E+02          6.69517021E+01
       5000.0000          1.01647426E+02          1.99955224E+02          6.73897721E+01
       5100.0000          1.02817717E+02          2.02416220E+02          6.81836815E+01
       5200.0000          1.03983137E+02          2.04867131E+02          6.89742867E+01
       5300.0000          1.05143758E+02          2.07308143E+02          6.97616404E+01
       5400.0000          1.06299649E+02          2.09739435E+02          7.05457947E+01
       5500.0000          1.07450882E+02          2.12161181E+02          7.13268011E+01
       5600.0000          1.08597526E+02          2.14573554E+02          7.21047102E+01
       5700.0000          1.09739649E+02          2.16976721E+02          7.28795718E+01
       5800.0000          1.10877319E+02          2.19370843E+02          7.36514348E+01
       5900.0000          1.12010605E+02          2.21756079E+02          7.44203474E+01
       6000.0000          1.13139572E+02          2.24132584E+02          7.51863566E+01
       6100.0000          1.14264285E+02          2.26500508E+02          7.59495085E+01
       6200.0000          1.15384808E+02          2.28859997E+02          7.67098484E+01
       6300.0000          1.16501204E+02          2.31211194E+02          7.74674204E+01
       6400.0000          1.17613536E+02          2.33554238E+02          7.82222680E+01
       6500.0000          1.18721863E+02          2.35889263E+02          7.89744333E+01
       6600.0000          1.19826245E+02          2.38216401E+02          7.97239579E+01
       6700.0000          1.20926740E+02          2.40535781E+02          8.04708821E+01
       6800.0000          1.22023406E+02          2.42847526E+02          8.12152455E+01
       6900.0000          1.23116299E+02          2.45151759E+02          8.19570868E+01
       7000.0000          1.24205472E+02          2.47448597E+02          8.26964437E+01
       7100.0000          1.25290980E+02          2.49738155E+02          8.34333531E+01
       7200.0000          1.26372876E+02          2.52020547E+02          8.41678510E+01
       7300.0000          1.27451210E+02          2.54295880E+02          8.48999727E+01
       7400.0000          1.28526032E+02          2.56564261E+02          8.56297525E+01
       7500.0000          1.29597393E+02          2.58825795E+02          8.63572241E+01
       7600.0000          1.30665340E+02          2.61080581E+02          8.70824202E+01
       7700.0000          1.31729920E+02          2.63328719E+02          8.78053729E+01
       7800.0000          1.32791179E+02          2.65570304E+02          8.85261135E+01
       7900.0000          1.33849163E+02          2.67805431E+02          8.92446726E+01
       8000.0000          1.34903915E+02          2.70034189E+02          8.99610801E+01
       8100.0000          1.35955478E+02          2.72256670E+02          9.06753653E+01
       8200.0000          1.37003894E+02          2.74472958E+02          9.13875566E+01
       8300.0000          1.38049206E+02          2.76683139E+02          9.20976820E+01
       8400.0000          1.39091452E+02          2.78887296E+02          9.28057688E+01
       8500.0000          1.40130674E+02          2.81085509E+02          9.35118435E+01
       8600.0000          1.41166908E+02          2.83277857E+02          9.42159324E+01
       8700.0000          1.42200194E+02          2.85464418E+02          9.49180608E+01
       8800.0000          1.43230568E+02          2.87645265E+02          9.56182536E+01
       8900.0000          1.44258066E+02          2.89820472E+02          9.63165354E+01
       9000.0000          1.45282725E+02          2.91990111E+02          9.70129298E+01
       9100.0000          1.46304577E+02          2.94154252E+02          9.77074602E+01
       9200.0000          1.47323659E+02          2.96312964E+02          9.84001494E+01
       9300.0000          1.48340002E+02          2.98466313E+02          9.90910198E+01
       9400.0000          1.49353639E+02          3.00614364E+02          9.97800931E+01
       9500.0000          1.50364603E+02          3.02757182E+02          1.00467391E+02
       9600.0000          1.51372925E+02          3.04894828E+02          1.01152934E+02
       9700.0000          1.52378634E+02          3.07027365E+02          1.01836743E+02
       9800.0000          1.53381762E+02          3.09154851E+02          1.02518837E+02
       9900.0000          1.54382338E+02          3.11277345E+02          1.03199238E+02
      10000.0000          1.55380390E+02          3.13394905E+02          1.03877962E+02
      11000.0000          1.65228057E+02          3.34310856E+02          1.10577037E+02
      12000.0000          1.74851200E+02          3.54788201E+02          1.17127129E+02
      13000.0000          1.84270900E+02          3.74868102E+02          1.23542236E+02
      14000.0000          1.93504805E+02          3.94584761E+02          1.29834045E+02
      15000.0000          2.02567851E+02          4.13966958E+02          1.36012429E+02
      16000.0000          2.11472802E+02          4.33039189E+02          1.42085814E+02
      17000.0000          2.20230670E+02          4.51822510E+02          1.48061458E+02
      18000.0000          2.28851031E+02          4.70335186E+02          1.53945672E+02
      19000.0000          2.37342279E+02          4.88593192E+02          1.59743980E+02
      20000.0000          2.45711819E+02          5.06610603E+02          1.65461256E+02
      21000.0000          2.53966228E+02          5.24399902E+02          1.71101825E+02
      22000.0000          2.62111381E+02          5.41972230E+02          1.76669550E+02
      23000.0000          2.70152553E+02          5.59337586E+02          1.82167900E+02
      24000.0000          2.78094502E+02          5.76504990E+02          1.87600004E+02
      24356.9990          2.80906570E+02          5.82587366E+02          1.89523761E+02
      24357.0010          2.80906586E+02          5.82587400E+02          1.89523772E+02
      25000.0000          2.85941545E+02          5.93482615E+02          1.92968699E+02
      26000.0000          2.93697610E+02          6.10277905E+02          1.98276567E+02
      27000.0000          3.01366286E+02          6.26897662E+02          2.03525970E+02
      28000.0000          3.08950866E+02          6.43348129E+02          2.08719071E+02
      29000.0000          3.16454381E+02          6.59635054E+02          2.13857865E+02
      30000.0000          3.23879630E+02          6.75763745E+02          2.18944193E+02
      31000.0000          3.31229203E+02          6.91739126E+02          2.23979759E+02
      31819.9990          3.37201071E+02          7.04727739E+02          2.28072154E+02
      31820.0010          3.37201086E+02          7.04727771E+02          2.28072164E+02
      32000.0000          3.38505509E+02          7.07565769E+02          2.28966148E+02
      33000.0000          3.45710787E+02          7.23247936E+02          2.33904834E+02
      34000.0000          3.52847130E+02          7.38789611E+02          2.38797197E+02
      35000.0000          3.59916495E+02          7.54194524E+02          2.43644525E+02
      36000.0000          3.66920719E+02          7.69466175E+02          2.48448027E+02
      37000.0000          3.73861525E+02          7.84607860E+02          2.53208842E+02
      38000.0000          3.80740540E+02          7.99622683E+02          2.57928040E+02
      39000.0000          3.87559295E+02          8.14513578E+02          2.62606631E+02
      40000.0000          3.94319238E+02          8.29283321E+02          2.67245573E+02
      41000.0000          4.01021741E+02          8.43934542E+02          2.71845770E+02
      42000.0000          4.07668103E+02          8.58469739E+02          2.76408080E+02
      43000.0000          4.14259561E+02          8.72891289E+02          2.80933320E+02
      44000.0000          4.20797288E+02          8.87201453E+02          2.85422267E+02
      45000.0000          4.27282404E+02          9.01402391E+02          2.89875659E+02
      46000.0000          4.33715974E+02          9.15496162E+02          2.94294203E+02
      47000.0000          4.40099019E+02          9.29484739E+02          2.98678573E+02
      48000.0000          4.46432513E+02          9.43370009E+02          3.03029414E+02
      49000.0000          4.52717388E+02          9.57153781E+02          3.07347344E+02
      50000.0000          4.58954538E+02          9.70837793E+02          3.11632956E+02
