#Energy      Ti   O  Total
        170.0000          1.73019737E+01          7.92704058E+00          5.43633794E+00
        180.0000          1.73819076E+01          8.26921824E+00          5.60344946E+00
        190.0000          1.74849028E+01          8.61127260E+00          5.76970618E+00
        200.0000          1.76072684E+01          8.95314577E+00          5.93516500E+00
        210.0000          1.77460253E+01          9.29479531E+00          6.09987675E+00
        220.0000          1.78987451E+01          9.63619031E+00          6.26388664E+00
        230.0000          1.80634291E+01          9.97730856E+00          6.42723483E+00
        240.0000          1.82384194E+01          1.03181344E+01          6.58995704E+00
        250.0000          1.84223295E+01          1.06586573E+01          6.75208505E+00
        260.0000          1.86139924E+01          1.09988703E+01          6.91364731E+00
        270.0000          1.88124194E+01          1.13387698E+01          7.07466932E+00
        280.0000          1.90167680E+01          1.16783542E+01          7.23517407E+00
        290.0000          1.92263162E+01          1.20176236E+01          7.39518234E+00
        300.0000          1.94404426E+01          1.23565798E+01          7.55471305E+00
        310.0000          1.96586097E+01          1.26952251E+01          7.71378347E+00
        320.0000          1.98803505E+01          1.30335631E+01          7.87240942E+00
        330.0000          2.01052578E+01          1.33715977E+01          8.03060549E+00
        340.0000          2.03329752E+01          1.37093333E+01          8.18838517E+00
        350.0000          2.05631894E+01          1.40467746E+01          8.34576097E+00
        360.0000          2.07956248E+01          1.43839265E+01          8.50274457E+00
        370.0000          2.10300374E+01          1.47207942E+01          8.65934688E+00
        380.0000          2.12662111E+01          1.50573827E+01          8.81557812E+00
        390.0000          2.15039539E+01          1.53936973E+01          8.97144794E+00
        400.0000          2.17430947E+01          1.57297431E+01          9.12696541E+00
        410.0000          2.19834808E+01          1.60655254E+01          9.28213912E+00
        420.0000          2.22249753E+01          1.64010492E+01          9.43697723E+00
        430.0000          2.24674557E+01          1.67363196E+01          9.59148747E+00
        440.0000          2.27108119E+01          1.70713416E+01          9.74567723E+00
        450.0000          2.29549446E+01          1.74061200E+01          9.89955354E+00
        458.9990          2.31752295E+01          1.77071827E+01          1.00377644E+01
        459.0010          2.31752785E+01          1.77072496E+01          1.00377951E+01
        460.0000          2.31997645E+01          1.77406595E+01          1.00531231E+01
        464.9990          2.33223821E+01          1.79078078E+01          1.01297796E+01
        465.0010          2.33224312E+01          1.79078746E+01          1.01298102E+01
        470.0000          2.34451909E+01          1.80749649E+01          1.02063924E+01
        480.0000          2.36911506E+01          1.84090407E+01          1.03593676E+01
        490.0000          2.39375777E+01          1.87428913E+01          1.05120545E+01
        500.0000          2.41844120E+01          1.90765210E+01          1.06644589E+01
        510.0000          2.44315991E+01          1.94099341E+01          1.08165863E+01
        520.0000          2.46790896E+01          1.97431346E+01          1.09684420E+01
        530.0000          2.49268383E+01          2.00761266E+01          1.11200309E+01
        537.9990          2.51251707E+01          2.03423393E+01          1.12410982E+01
        538.0010          2.51252203E+01          2.03424058E+01          1.12411285E+01
        540.0000          2.51748042E+01          2.04089138E+01          1.12713581E+01
        550.0000          2.54229498E+01          2.07415001E+01          1.14224283E+01
        560.0000          2.56712411E+01          2.10738892E+01          1.15732460E+01
        566.9990          2.58450900E+01          2.13064129E+01          1.16786555E+01
        567.0010          2.58451396E+01          2.13064793E+01          1.16786856E+01
        570.0000          2.59196468E+01          2.14060845E+01          1.17238157E+01
        580.0000          2.61681383E+01          2.17380896E+01          1.18741416E+01
        590.0000          2.64166898E+01          2.20699078E+01          1.20242281E+01
        600.0000          2.66652771E+01          2.24015424E+01          1.21740790E+01
        610.0000          2.69138786E+01          2.27329965E+01          1.23236983E+01
        620.0000          2.71624743E+01          2.30642733E+01          1.24730897E+01
        630.0000          2.74110457E+01          2.33953756E+01          1.26222571E+01
        640.0000          2.76595761E+01          2.37263065E+01          1.27712038E+01
        650.0000          2.79080502E+01          2.40570688E+01          1.29199335E+01
        660.0000          2.81564538E+01          2.43876651E+01          1.30684495E+01
        670.0000          2.84047739E+01          2.47180983E+01          1.32167551E+01
        680.0000          2.86529987E+01          2.50483709E+01          1.33648535E+01
        690.0000          2.89011173E+01          2.53784854E+01          1.35127478E+01
        700.0000          2.91491198E+01          2.57084442E+01          1.36604411E+01
        710.0000          2.93969970E+01          2.60382499E+01          1.38079362E+01
        720.0000          2.96447406E+01          2.63679046E+01          1.39552362E+01
        730.0000          2.98923428E+01          2.66974108E+01          1.41023437E+01
        740.0000          3.01397968E+01          2.70267705E+01          1.42492616E+01
        750.0000          3.03870961E+01          2.73559860E+01          1.43959925E+01
        760.0000          3.06342348E+01          2.76850592E+01          1.45425389E+01
        770.0000          3.08812076E+01          2.80139924E+01          1.46889036E+01
        780.0000          3.11280097E+01          2.83427874E+01          1.48350889E+01
        790.0000          3.13746365E+01          2.86714462E+01          1.49810972E+01
        800.0000          3.16210842E+01          2.89999707E+01          1.51269310E+01
        810.0000          3.18673491E+01          2.93283627E+01          1.52725925E+01
        820.0000          3.21134278E+01          2.96566240E+01          1.54180841E+01
        830.0000          3.23593173E+01          2.99847563E+01          1.55634078E+01
        840.0000          3.26050151E+01          3.03127614E+01          1.57085660E+01
        850.0000          3.28505186E+01          3.06406410E+01          1.58535606E+01
        860.0000          3.30958258E+01          3.09683966E+01          1.59983938E+01
        870.0000          3.33409347E+01          3.12960298E+01          1.61430676E+01
        880.0000          3.35858436E+01          3.16235422E+01          1.62875839E+01
        890.0000          3.38305511E+01          3.19509353E+01          1.64319447E+01
        900.0000          3.40750558E+01          3.22782105E+01          1.65761519E+01
        910.0000          3.43193566E+01          3.26053694E+01          1.67202074E+01
        920.0000          3.45634525E+01          3.29324133E+01          1.68641129E+01
        930.0000          3.48073428E+01          3.32593435E+01          1.70078703E+01
        940.0000          3.50510268E+01          3.35861615E+01          1.71514812E+01
        950.0000          3.52945039E+01          3.39128686E+01          1.72949475E+01
        960.0000          3.55377737E+01          3.42394659E+01          1.74382707E+01
        970.0000          3.57808359E+01          3.45659549E+01          1.75814525E+01
        980.0000          3.60236904E+01          3.48923366E+01          1.77244945E+01
        990.0000          3.62663369E+01          3.52186124E+01          1.78673983E+01
       1000.0000          3.65087756E+01          3.55447833E+01          1.80101655E+01
       1100.0000          3.89217779E+01          3.88009693E+01          1.94306399E+01
       1200.0000          4.13144464E+01          4.20477985E+01          2.08389484E+01
       1300.0000          4.36875573E+01          4.52861134E+01          2.22362375E+01
       1400.0000          4.60420501E+01          4.85166127E+01          2.36234761E+01
       1500.0000          4.83789106E+01          5.17398830E+01          2.50014916E+01
       1600.0000          5.06991110E+01          5.49564225E+01          2.63709971E+01
       1700.0000          5.30035800E+01          5.81666584E+01          2.77326124E+01
       1800.0000          5.52931900E+01          6.13709601E+01          2.90868802E+01
       1900.0000          5.75687524E+01          6.45696500E+01          3.04342788E+01
       2000.0000          5.98310176E+01          6.77630107E+01          3.17752323E+01
       2100.0000          6.20806780E+01          7.09512925E+01          3.31101188E+01
       2200.0000          6.43183714E+01          7.41347176E+01          3.44392771E+01
       2300.0000          6.65446853E+01          7.73134845E+01          3.57630123E+01
       2400.0000          6.87601614E+01          8.04877717E+01          3.70816001E+01
       2500.0000          7.09652992E+01          8.36577400E+01          3.83952908E+01
       2600.0000          7.31605604E+01          8.68235354E+01          3.97043123E+01
       2700.0000          7.53463718E+01          8.99852903E+01          4.10088730E+01
       2800.0000          7.75231290E+01          9.31431258E+01          4.23091640E+01
       2900.0000          7.96911992E+01          9.62971527E+01          4.36053608E+01
       3000.0000          8.18509236E+01          9.94474728E+01          4.48976254E+01
       3100.0000          8.40026199E+01          1.02594180E+02          4.61861077E+01
       3200.0000          8.61465843E+01          1.05737360E+02          4.74709462E+01
       3300.0000          8.82830936E+01          1.08877094E+02          4.87522700E+01
       3400.0000          9.04124067E+01          1.12013457E+02          5.00301989E+01
       3500.0000          9.25347660E+01          1.15146517E+02          5.13048448E+01
       3600.0000          9.46503992E+01          1.18276339E+02          5.25763123E+01
       3700.0000          9.67595199E+01          1.21402983E+02          5.38446992E+01
       3800.0000          9.88623294E+01          1.24526506E+02          5.51100974E+01
       3900.0000          1.00959017E+02          1.27646962E+02          5.63725930E+01
       4000.0000          1.03049762E+02          1.30764399E+02          5.76322671E+01
       4100.0000          1.05134733E+02          1.33878864E+02          5.88891963E+01
       4200.0000          1.07214089E+02          1.36990403E+02          6.01434525E+01
       4300.0000          1.09287982E+02          1.40099056E+02          6.13951040E+01
       4400.0000          1.11356555E+02          1.43204863E+02          6.26442152E+01
       4500.0000          1.13419945E+02          1.46307861E+02          6.38908471E+01
       4600.0000          1.15478279E+02          1.49408086E+02          6.51350576E+01
       4700.0000          1.17531681E+02          1.52505571E+02          6.63769018E+01
       4800.0000          1.19580268E+02          1.55600348E+02          6.76164318E+01
       4900.0000          1.21624151E+02          1.58692448E+02          6.88536974E+01
       4969.9990          1.23052107E+02          1.60855309E+02          6.97184491E+01
       4970.0010          1.23052148E+02          1.60855371E+02          6.97184738E+01
       5000.0000          1.23663437E+02          1.61781899E+02          7.00887460E+01
       5100.0000          1.25698225E+02          1.64868729E+02          7.13216226E+01
       5200.0000          1.27728614E+02          1.67952964E+02          7.25523703E+01
       5300.0000          1.29754696E+02          1.71034630E+02          7.37810303E+01
       5400.0000          1.31776558E+02          1.74113750E+02          7.50076419E+01
       5500.0000          1.33794286E+02          1.77190347E+02          7.62322427E+01
       5600.0000          1.35807961E+02          1.80264444E+02          7.74548687E+01
       5700.0000          1.37817661E+02          1.83336062E+02          7.86755545E+01
       5800.0000          1.39823460E+02          1.86405221E+02          7.98943332E+01
       5900.0000          1.41825430E+02          1.89471940E+02          8.11112365E+01
       6000.0000          1.43823639E+02          1.92536238E+02          8.23262949E+01
       6100.0000          1.45818154E+02          1.95598134E+02          8.35395377E+01
       6200.0000          1.47809039E+02          1.98657645E+02          8.47509932E+01
       6300.0000          1.49796355E+02          2.01714786E+02          8.59606884E+01
       6400.0000          1.51780160E+02          2.04769575E+02          8.71686495E+01
       6500.0000          1.53760512E+02          2.07822028E+02          8.83749017E+01
       6600.0000          1.55737465E+02          2.10872158E+02          8.95794691E+01
       6700.0000          1.57711073E+02          2.13919981E+02          9.07823752E+01
       6800.0000          1.59681387E+02          2.16965511E+02          9.19836426E+01
       6900.0000          1.61648454E+02          2.20008760E+02          9.31832930E+01
       7000.0000          1.63612325E+02          2.23049744E+02          9.43813476E+01
       7100.0000          1.65573043E+02          2.26088473E+02          9.55778267E+01
       7200.0000          1.67530655E+02          2.29124961E+02          9.67727499E+01
       7300.0000          1.69485202E+02          2.32159219E+02          9.79661364E+01
       7400.0000          1.71436727E+02          2.35191258E+02          9.91580045E+01
       7500.0000          1.73385270E+02          2.38221092E+02          1.00348372E+02
       7600.0000          1.75330871E+02          2.41248729E+02          1.01537257E+02
       7700.0000          1.77273566E+02          2.44274181E+02          1.02724675E+02
       7800.0000          1.79213393E+02          2.47297458E+02          1.03910643E+02
       7900.0000          1.81150388E+02          2.50318570E+02          1.05095176E+02
       8000.0000          1.83084585E+02          2.53337527E+02          1.06278290E+02
       8100.0000          1.85016017E+02          2.56354339E+02          1.07460001E+02
       8200.0000          1.86944718E+02          2.59369014E+02          1.08640321E+02
       8300.0000          1.88870719E+02          2.62381561E+02          1.09819266E+02
       8400.0000          1.90794051E+02          2.65391990E+02          1.10996848E+02
       8500.0000          1.92714743E+02          2.68400309E+02          1.12173082E+02
       8600.0000          1.94632826E+02          2.71406526E+02          1.13347980E+02
       8700.0000          1.96548326E+02          2.74410650E+02          1.14521554E+02
       8800.0000          1.98461272E+02          2.77412688E+02          1.15693817E+02
       8900.0000          2.00371691E+02          2.80412648E+02          1.16864781E+02
       9000.0000          2.02279609E+02          2.83410538E+02          1.18034457E+02
       9100.0000          2.04185050E+02          2.86406366E+02          1.19202857E+02
       9200.0000          2.06088041E+02          2.89400137E+02          1.20369991E+02
       9300.0000          2.07988605E+02          2.92391860E+02          1.21535870E+02
       9400.0000          2.09886765E+02          2.95381542E+02          1.22700505E+02
       9500.0000          2.11782545E+02          2.98369189E+02          1.23863906E+02
       9600.0000          2.13675968E+02          3.01354807E+02          1.25026082E+02
       9700.0000          2.15567054E+02          3.04338405E+02          1.26187044E+02
       9800.0000          2.17455825E+02          3.07319986E+02          1.27346802E+02
       9900.0000          2.19342302E+02          3.10299559E+02          1.28505363E+02
      10000.0000          2.21226506E+02          3.13277129E+02          1.29662738E+02
      11000.0000          2.39947650E+02          3.42943933E+02          1.41173064E+02
      12000.0000          2.58460719E+02          3.72416394E+02          1.52573309E+02
      13000.0000          2.76780006E+02          4.01699104E+02          1.63869865E+02
      14000.0000          2.94917293E+02          4.30796017E+02          1.75068024E+02
      15000.0000          3.12882452E+02          4.59710612E+02          1.86172243E+02
      16000.0000          3.30683879E+02          4.88445989E+02          1.97186332E+02
      17000.0000          3.48328797E+02          5.17004954E+02          2.08113590E+02
      18000.0000          3.65823498E+02          5.45390076E+02          2.18956907E+02
      19000.0000          3.83173512E+02          5.73603725E+02          2.29718836E+02
      20000.0000          4.00383742E+02          6.01648112E+02          2.40401661E+02
      21000.0000          4.17458573E+02          6.29525312E+02          2.51007434E+02
      22000.0000          4.34401955E+02          6.57237284E+02          2.61538016E+02
      23000.0000          4.51217465E+02          6.84785888E+02          2.71995106E+02
      24000.0000          4.67908367E+02          7.12172899E+02          2.82380263E+02
      25000.0000          4.84477655E+02          7.39400016E+02          2.92694927E+02
      26000.0000          5.00928084E+02          7.66468875E+02          3.02940434E+02
      27000.0000          5.17262207E+02          7.93381050E+02          3.13118029E+02
      28000.0000          5.33482398E+02          8.20138065E+02          3.23228876E+02
      29000.0000          5.49590871E+02          8.46741397E+02          3.33274073E+02
      30000.0000          5.65589701E+02          8.73192480E+02          3.43254650E+02
      31000.0000          5.81480839E+02          8.99492710E+02          3.53171585E+02
      32000.0000          5.97266124E+02          9.25643448E+02          3.63025805E+02
      33000.0000          6.12947293E+02          9.51646021E+02          3.72818193E+02
      34000.0000          6.28525997E+02          9.77501727E+02          3.82549590E+02
      35000.0000          6.44003803E+02          1.00321184E+03          3.92220801E+02
      36000.0000          6.59382203E+02          1.02877760E+03          4.01832598E+02
      37000.0000          6.74662624E+02          1.05420022E+03          4.11385721E+02
      38000.0000          6.89846430E+02          1.07948091E+03          4.20880883E+02
      39000.0000          7.04934930E+02          1.10462085E+03          4.30318772E+02
      40000.0000          7.19929379E+02          1.12962118E+03          4.39700050E+02
      41000.0000          7.34830986E+02          1.15448304E+03          4.49025360E+02
      42000.0000          7.49640916E+02          1.17920756E+03          4.58295323E+02
      43000.0000          7.64360292E+02          1.20379583E+03          4.67510540E+02
      44000.0000          7.78990199E+02          1.22824893E+03          4.76671596E+02
      45000.0000          7.93531688E+02          1.25256794E+03          4.85779060E+02
      46000.0000          8.07985777E+02          1.27675392E+03          4.94833484E+02
      47000.0000          8.22353452E+02          1.30080789E+03          5.03835406E+02
      48000.0000          8.36635671E+02          1.32473088E+03          5.12785352E+02
      49000.0000          8.50833365E+02          1.34852391E+03          5.21683834E+02
      50000.0000          8.64947439E+02          1.37218797E+03          5.30531350E+02
