#Energy      Li   F  Total
        400.0000          3.75017062E+01          1.32092013E+01          9.76846224E+00
        410.0000          3.84007638E+01          1.34824897E+01          9.97890200E+00
        420.0000          3.92996401E+01          1.37555407E+01          1.01891614E+01
        430.0000          4.01983393E+01          1.40283580E+01          1.03992447E+01
        440.0000          4.10968651E+01          1.43009456E+01          1.06091563E+01
        450.0000          4.19952212E+01          1.45733072E+01          1.08189001E+01
        460.0000          4.28934111E+01          1.48454466E+01          1.10284801E+01
        470.0000          4.37914380E+01          1.51173678E+01          1.12379001E+01
        480.0000          4.46893052E+01          1.53890745E+01          1.14471637E+01
        490.0000          4.55870156E+01          1.56605703E+01          1.16562743E+01
        500.0000          4.64845721E+01          1.59318589E+01          1.18652353E+01
        510.0000          4.73819774E+01          1.62029439E+01          1.20740501E+01
        520.0000          4.82792342E+01          1.64738289E+01          1.22827216E+01
        530.0000          4.91763450E+01          1.67445173E+01          1.24912529E+01
        540.0000          5.00733122E+01          1.70150125E+01          1.26996469E+01
        550.0000          5.09701380E+01          1.72853179E+01          1.29079064E+01
        560.0000          5.18668248E+01          1.75554366E+01          1.31160342E+01
        570.0000          5.27633746E+01          1.78253718E+01          1.33240328E+01
        580.0000          5.36597895E+01          1.80951266E+01          1.35319047E+01
        590.0000          5.45560714E+01          1.83647041E+01          1.37396524E+01
        600.0000          5.54522223E+01          1.86341072E+01          1.39472783E+01
        610.0000          5.63482439E+01          1.89033388E+01          1.41547846E+01
        620.0000          5.72441380E+01          1.91724016E+01          1.43621735E+01
        630.0000          5.81399062E+01          1.94412985E+01          1.45694473E+01
        640.0000          5.90355503E+01          1.97100320E+01          1.47766078E+01
        650.0000          5.99310717E+01          1.99786048E+01          1.49836572E+01
        660.0000          6.08264720E+01          2.02470195E+01          1.51905973E+01
        670.0000          6.17217525E+01          2.05152785E+01          1.53974302E+01
        680.0000          6.26169149E+01          2.07833842E+01          1.56041574E+01
        690.0000          6.35119603E+01          2.10513389E+01          1.58107810E+01
        693.9990          6.38698565E+01          2.11584523E+01          1.58933811E+01
        694.0010          6.38700355E+01          2.11585059E+01          1.58934224E+01
        700.0000          6.44068901E+01          2.13191450E+01          1.60173024E+01
        710.0000          6.53017056E+01          2.15868047E+01          1.62237235E+01
        720.0000          6.61964080E+01          2.18543202E+01          1.64300458E+01
        730.0000          6.70909985E+01          2.21216936E+01          1.66362709E+01
        740.0000          6.79854783E+01          2.23889270E+01          1.68424003E+01
        750.0000          6.88798484E+01          2.26560224E+01          1.70484355E+01
        760.0000          6.97741099E+01          2.29229818E+01          1.72543779E+01
        770.0000          7.06682640E+01          2.31898070E+01          1.74602289E+01
        780.0000          7.15623116E+01          2.34565001E+01          1.76659899E+01
        790.0000          7.24562536E+01          2.37230627E+01          1.78716622E+01
        800.0000          7.33500912E+01          2.39894968E+01          1.80772470E+01
        810.0000          7.42438251E+01          2.42558040E+01          1.82827457E+01
        820.0000          7.51374563E+01          2.45219861E+01          1.84881594E+01
        830.0000          7.60309857E+01          2.47880447E+01          1.86934894E+01
        840.0000          7.69244141E+01          2.50539815E+01          1.88987367E+01
        850.0000          7.78177424E+01          2.53197980E+01          1.91039025E+01
        860.0000          7.87109713E+01          2.55854958E+01          1.93089879E+01
        870.0000          7.96041017E+01          2.58510764E+01          1.95139940E+01
        880.0000          8.04971342E+01          2.61165413E+01          1.97189218E+01
        890.0000          8.13900698E+01          2.63818920E+01          1.99237723E+01
        900.0000          8.22829090E+01          2.66471298E+01          2.01285465E+01
        910.0000          8.31756526E+01          2.69122561E+01          2.03332454E+01
        920.0000          8.40683012E+01          2.71772724E+01          2.05378699E+01
        930.0000          8.49608556E+01          2.74421798E+01          2.07424209E+01
        940.0000          8.58533164E+01          2.77069798E+01          2.09468994E+01
        950.0000          8.67456842E+01          2.79716735E+01          2.11513062E+01
        960.0000          8.76379596E+01          2.82362623E+01          2.13556421E+01
        970.0000          8.85301433E+01          2.85007473E+01          2.15599081E+01
        980.0000          8.94222358E+01          2.87651297E+01          2.17641048E+01
        990.0000          9.03142378E+01          2.90294107E+01          2.19682332E+01
       1000.0000          9.12061497E+01          2.92935914E+01          2.21722939E+01
       1100.0000          1.00120432E+02          3.19301165E+01          2.42093433E+01
       1200.0000          1.09026245E+02          3.45577061E+01          2.62403764E+01
       1300.0000          1.17923980E+02          3.71771824E+01          2.82659475E+01
       1400.0000          1.26813959E+02          3.97892303E+01          3.02865139E+01
       1500.0000          1.35696450E+02          4.23944268E+01          3.23024588E+01
       1600.0000          1.44571678E+02          4.49932629E+01          3.43141062E+01
       1700.0000          1.53439837E+02          4.75861606E+01          3.63217336E+01
       1800.0000          1.62301092E+02          5.01734856E+01          3.83255804E+01
       1900.0000          1.71155588E+02          5.27555571E+01          4.03258551E+01
       2000.0000          1.80003450E+02          5.53326558E+01          4.23227405E+01
       2100.0000          1.88844791E+02          5.79050301E+01          4.43163981E+01
       2200.0000          1.97679709E+02          6.04729009E+01          4.63069711E+01
       2300.0000          2.06508294E+02          6.30364658E+01          4.82945876E+01
       2400.0000          2.15330626E+02          6.55959023E+01          5.02793623E+01
       2500.0000          2.24146776E+02          6.81513708E+01          5.22613989E+01
       2600.0000          2.32956810E+02          7.07030165E+01          5.42407910E+01
       2700.0000          2.41760788E+02          7.32509716E+01          5.62176239E+01
       2800.0000          2.50558764E+02          7.57953568E+01          5.81919752E+01
       2900.0000          2.59350789E+02          7.83362825E+01          6.01639162E+01
       3000.0000          2.68136909E+02          8.08738503E+01          6.21335121E+01
       3100.0000          2.76917168E+02          8.34081538E+01          6.41008231E+01
       3200.0000          2.85691604E+02          8.59392793E+01          6.60659048E+01
       3300.0000          2.94460255E+02          8.84673071E+01          6.80288085E+01
       3400.0000          3.03223157E+02          9.09923112E+01          6.99895821E+01
       3500.0000          3.11980340E+02          9.35143610E+01          7.19482698E+01
       3600.0000          3.20731836E+02          9.60335209E+01          7.39049131E+01
       3700.0000          3.29477673E+02          9.85498512E+01          7.58595506E+01
       3800.0000          3.38217879E+02          1.01063408E+02          7.78122186E+01
       3900.0000          3.46952478E+02          1.03574245E+02          7.97629509E+01
       4000.0000          3.55681495E+02          1.06082411E+02          8.17117795E+01
       4100.0000          3.64404953E+02          1.08587953E+02          8.36587343E+01
       4200.0000          3.73122873E+02          1.11090915E+02          8.56038436E+01
       4300.0000          3.81835277E+02          1.13591339E+02          8.75471340E+01
       4400.0000          3.90542183E+02          1.16089264E+02          8.94886308E+01
       4500.0000          3.99243612E+02          1.18584727E+02          9.14283579E+01
       4600.0000          4.07939580E+02          1.21077764E+02          9.33663378E+01
