#Energy      Li-K-shell   F-K-shell   Valence  Total
         63.0000          8.32102009E+03          1.00000000E+30          8.01763153E+00          8.00991366E+00
         64.0000          6.31254393E+03          1.00000000E+30          7.79861299E+00          7.78899035E+00
         65.0000          4.99795086E+03          1.00000000E+30          7.59263077E+00          7.58111393E+00
         66.0000          4.08369820E+03          1.00000000E+30          7.39945998E+00          7.38607677E+00
         67.0000          3.41745294E+03          1.00000000E+30          7.21876677E+00          7.20355054E+00
         68.0000          2.91514393E+03          1.00000000E+30          7.05012563E+00          7.03311640E+00
         69.0000          2.52542848E+03          1.00000000E+30          6.89303886E+00          6.87427585E+00
         70.0000          2.21590759E+03          1.00000000E+30          6.74695630E+00          6.72647565E+00
         71.0000          1.96552276E+03          1.00000000E+30          6.61129397E+00          6.58913056E+00
         72.0000          1.75951026E+03          1.00000000E+30          6.48545067E+00          6.46163347E+00
         73.0000          1.58770206E+03          1.00000000E+30          6.36882197E+00          6.34337649E+00
         74.0000          1.44266006E+03          1.00000000E+30          6.26081152E+00          6.23375845E+00
         75.0000          1.31894734E+03          1.00000000E+30          6.16083965E+00          6.13219600E+00
         76.0000          1.21237661E+03          1.00000000E+30          6.06834978E+00          6.03812694E+00
         77.0000          1.11984827E+03          1.00000000E+30          5.98281249E+00          5.95101904E+00
         78.0000          1.03892381E+03          1.00000000E+30          5.90372823E+00          5.87036961E+00
         79.0000          9.67647845E+02          1.00000000E+30          5.83062861E+00          5.79570619E+00
         80.0000          9.04483075E+02          1.00000000E+30          5.76307660E+00          5.72658861E+00
         81.0000          8.48225931E+02          1.00000000E+30          5.70066608E+00          5.66260942E+00
         82.0000          7.97842375E+02          1.00000000E+30          5.64302083E+00          5.60338889E+00
         83.0000          7.52524149E+02          1.00000000E+30          5.58979317E+00          5.54857801E+00
         84.0000          7.11587530E+02          1.00000000E+30          5.54066238E+00          5.49785422E+00
         85.0000          6.74457381E+02          1.00000000E+30          5.49533298E+00          5.45092006E+00
         86.0000          6.40662317E+02          1.00000000E+30          5.45353301E+00          5.40750253E+00
         87.0000          6.09796152E+02          1.00000000E+30          5.41501231E+00          5.36735004E+00
         88.0000          5.81521443E+02          1.00000000E+30          5.37954081E+00          5.33023188E+00
