#Energy      Li   I  Total
         63.0000          2.20018619E+01          3.11441521E+02          2.05500954E+01
         64.0000          2.22859228E+01          3.07052518E+02          2.07778621E+01
         65.0000          2.25699858E+01          3.02799368E+02          2.10043673E+01
         66.0000          2.28540495E+01          2.98675913E+02          2.12296050E+01
         67.0000          2.31381126E+01          2.94676362E+02          2.14535693E+01
         68.0000          2.34221741E+01          2.90795264E+02          2.16762550E+01
         69.0000          2.37062328E+01          2.87027484E+02          2.18976570E+01
         70.0000          2.39902877E+01          2.83368178E+02          2.21177709E+01
         71.0000          2.42743380E+01          2.79812777E+02          2.23365923E+01
         72.0000          2.45583826E+01          2.76356962E+02          2.25541174E+01
         73.0000          2.48424209E+01          2.72996653E+02          2.27703426E+01
         74.0000          2.51264521E+01          2.69727987E+02          2.29852648E+01
         75.0000          2.54104755E+01          2.66547309E+02          2.31988809E+01
         76.0000          2.56944905E+01          2.63451156E+02          2.34111884E+01
         77.0000          2.59784964E+01          2.60436242E+02          2.36221851E+01
         78.0000          2.62624928E+01          2.57499451E+02          2.38318690E+01
         79.0000          2.65464790E+01          2.54637824E+02          2.40402383E+01
         80.0000          2.68304548E+01          2.51848550E+02          2.42472917E+01
         81.0000          2.71144195E+01          2.49128956E+02          2.44530281E+01
         82.0000          2.73983728E+01          2.46476499E+02          2.46574465E+01
         83.0000          2.76823143E+01          2.43888758E+02          2.48605465E+01
         84.0000          2.79662438E+01          2.41363428E+02          2.50623276E+01
         85.0000          2.82501607E+01          2.38898312E+02          2.52627898E+01
         86.0000          2.85340650E+01          2.36491313E+02          2.54619333E+01
         87.0000          2.88179562E+01          2.34140433E+02          2.56597584E+01
         88.0000          2.91018341E+01          2.31843763E+02          2.58562659E+01
         89.0000          2.93856986E+01          2.29599479E+02          2.60514565E+01
         90.0000          2.96695493E+01          2.27405841E+02          2.62453314E+01
         91.0000          2.99533861E+01          2.25261181E+02          2.64378919E+01
         92.0000          3.02372089E+01          2.23163906E+02          2.66291395E+01
         93.0000          3.05210173E+01          2.21112491E+02          2.68190760E+01
         94.0000          3.08048114E+01          2.19105476E+02          2.70077032E+01
         95.0000          3.10885909E+01          2.17141461E+02          2.71950233E+01
         96.0000          3.13723558E+01          2.15219105E+02          2.73810387E+01
         97.0000          3.16561059E+01          2.13337123E+02          2.75657518E+01
         98.0000          3.19398411E+01          2.11494281E+02          2.77491654E+01
         99.0000          3.22235613E+01          2.09689395E+02          2.79312823E+01
        100.0000          3.25072664E+01          2.07921329E+02          2.81121055E+01
        110.0000          3.53434782E+01          1.92045211E+02          2.98499707E+01
        120.0000          3.81781485E+01          1.78876724E+02          3.14629295E+01
        130.0000          4.10112903E+01          1.67791723E+02          3.29562057E+01
        130.9990          4.12942385E+01          1.66780464E+02          3.30990369E+01
        131.0010          4.12948049E+01          1.66778455E+02          3.30993217E+01
        140.0000          4.38429415E+01          1.58344047E+02          3.43358830E+01
        140.9990          4.41257435E+01          1.57476786E+02          3.44677236E+01
        141.0010          4.41263096E+01          1.57475063E+02          3.44679865E+01
        150.0000          4.66731531E+01          1.50206296E+02          3.56085995E+01
        160.0000          4.95019815E+01          1.43132778E+02          3.67812961E+01
        170.0000          5.23294846E+01          1.36935518E+02          3.78610149E+01
        180.0000          5.51557196E+01          1.31468253E+02          3.88547409E+01
        190.0000          5.79807415E+01          1.26615470E+02          3.97692822E+01
        192.9990          5.88277370E+01          1.25265581E+02          4.00291045E+01
        193.0010          5.88283019E+01          1.25264696E+02          4.00292756E+01
        200.0000          6.08046028E+01          1.22284733E+02          4.06111835E+01
        210.0000          6.36273529E+01          1.18401197E+02          4.13866657E+01
        220.0000          6.64490382E+01          1.14903615E+02          4.21015881E+01
        230.0000          6.92697022E+01          1.11741386E+02          4.27614275E+01
        240.0000          7.20893854E+01          1.08872339E+02          4.33712711E+01
        250.0000          7.49081258E+01          1.06261052E+02          4.39358193E+01
        260.0000          7.77259587E+01          1.03877553E+02          4.44593957E+01
        270.0000          8.05429171E+01          1.01696311E+02          4.49459627E+01
        280.0000          8.33590319E+01          9.96954482E+01          4.53991404E+01
        290.0000          8.61743318E+01          9.78561053E+01          4.58222271E+01
        300.0000          8.89888440E+01          9.61619420E+01          4.62182216E+01
        310.0000          9.18025935E+01          9.45987298E+01          4.65898449E+01
        320.0000          9.46156042E+01          9.31540227E+01          4.69395625E+01
        330.0000          9.74278984E+01          9.18168865E+01          4.72696053E+01
        340.0000          1.00239497E+02          9.05776773E+01          4.75819896E+01
        350.0000          1.03050419E+02          8.94278567E+01          4.78785363E+01
        360.0000          1.05860684E+02          8.83598380E+01          4.81608885E+01
        370.0000          1.08670309E+02          8.73668583E+01          4.84305279E+01
        380.0000          1.11479311E+02          8.64428693E+01          4.86887901E+01
        390.0000          1.14287704E+02          8.55824461E+01          4.89368787E+01
        400.0000          1.17095505E+02          8.47807091E+01          4.91758774E+01
        410.0000          1.19902727E+02          8.40332571E+01          4.94067622E+01
        420.0000          1.22709382E+02          8.33361108E+01          4.96304119E+01
        430.0000          1.25515485E+02          8.26856635E+01          4.98476172E+01
        440.0000          1.28321046E+02          8.20786383E+01          5.00590900E+01
        450.0000          1.31126077E+02          8.15120519E+01          5.02654706E+01
        460.0000          1.33930590E+02          8.09831825E+01          5.04673353E+01
        470.0000          1.36734593E+02          8.04895418E+01          5.06652024E+01
        480.0000          1.39538098E+02          8.00288505E+01          5.08595381E+01
        490.0000          1.42341113E+02          7.95990173E+01          5.10507618E+01
        500.0000          1.45143648E+02          7.91981197E+01          5.12392504E+01
        510.0000          1.47945711E+02          7.88243876E+01          5.14253428E+01
        520.0000          1.50747309E+02          7.84761886E+01          5.16093436E+01
        530.0000          1.53548452E+02          7.81520146E+01          5.17915266E+01
        540.0000          1.56349147E+02          7.78504708E+01          5.19721374E+01
        550.0000          1.59149400E+02          7.75702651E+01          5.21513967E+01
        560.0000          1.61949219E+02          7.73101988E+01          5.23295026E+01
        570.0000          1.64748611E+02          7.70691584E+01          5.25066327E+01
        580.0000          1.67547581E+02          7.68461083E+01          5.26829461E+01
        590.0000          1.70346136E+02          7.66400842E+01          5.28585854E+01
        600.0000          1.73144281E+02          7.64501872E+01          5.30336782E+01
        610.0000          1.75942024E+02          7.62755779E+01          5.32083385E+01
        620.0000          1.78739367E+02          7.61154722E+01          5.33826683E+01
        625.9990          1.80417305E+02          7.60260780E+01          5.34871282E+01
        626.0010          1.80417865E+02          7.60260490E+01          5.34871630E+01
        630.0000          1.81536318E+02          7.59691368E+01          5.35567582E+01
        637.9990          1.83773320E+02          7.58615328E+01          5.36958948E+01
        638.0010          1.83773879E+02          7.58615069E+01          5.36959296E+01
        640.0000          1.84332882E+02          7.58358846E+01          5.37306893E+01
        650.0000          1.87129062E+02          7.57150719E+01          5.39045333E+01
        660.0000          1.89924864E+02          7.56060946E+01          5.40783542E+01
        670.0000          1.92720292E+02          7.55083856E+01          5.42522084E+01
        680.0000          1.95515351E+02          7.54214114E+01          5.44261458E+01
        690.0000          1.98310045E+02          7.53446705E+01          5.46002103E+01
        700.0000          2.01104379E+02          7.52776905E+01          5.47744404E+01
        710.0000          2.03898355E+02          7.52200262E+01          5.49488698E+01
        720.0000          2.06691978E+02          7.51712577E+01          5.51235279E+01
        730.0000          2.09485251E+02          7.51309886E+01          5.52984399E+01
        740.0000          2.12278179E+02          7.50988447E+01          5.54736276E+01
        750.0000          2.15070765E+02          7.50744719E+01          5.56491096E+01
        760.0000          2.17863011E+02          7.50575356E+01          5.58249016E+01
        770.0000          2.20654922E+02          7.50477186E+01          5.60010166E+01
        780.0000          2.23446500E+02          7.50447208E+01          5.61774653E+01
        790.0000          2.26237749E+02          7.50482575E+01          5.63542564E+01
        800.0000          2.29028672E+02          7.50580588E+01          5.65313965E+01
        810.0000          2.31819271E+02          7.50738685E+01          5.67088905E+01
        820.0000          2.34609549E+02          7.50954430E+01          5.68867421E+01
        830.0000          2.37399510E+02          7.51225512E+01          5.70649533E+01
        840.0000          2.40189155E+02          7.51549730E+01          5.72435250E+01
        850.0000          2.42978487E+02          7.51924994E+01          5.74224569E+01
        860.0000          2.45767509E+02          7.52349311E+01          5.76017479E+01
        870.0000          2.48556224E+02          7.52820784E+01          5.77813959E+01
        880.0000          2.51344633E+02          7.53337606E+01          5.79613981E+01
        880.9990          2.51623178E+02          7.53391661E+01          5.79793996E+01
        881.0010          2.51623736E+02          7.53391770E+01          5.79794357E+01
        890.0000          2.54132739E+02          7.53898053E+01          5.81417510E+01
        900.0000          2.56920545E+02          7.54500480E+01          5.83224504E+01
        910.0000          2.59708051E+02          7.55143319E+01          5.85034919E+01
        920.0000          2.62495262E+02          7.55825071E+01          5.86848702E+01
        930.0000          2.65282178E+02          7.56544305E+01          5.88665799E+01
        936.9990          2.67232566E+02          7.57069259E+01          5.89939525E+01
        937.0010          2.67233124E+02          7.57069412E+01          5.89939889E+01
        940.0000          2.68068801E+02          7.57299653E+01          5.90486151E+01
        950.0000          2.70855135E+02          7.58089807E+01          5.92309696E+01
        960.0000          2.73641180E+02          7.58913517E+01          5.94136372E+01
        970.0000          2.76426939E+02          7.59769584E+01          5.95966111E+01
        980.0000          2.79212412E+02          7.60656862E+01          5.97798846E+01
        990.0000          2.81997604E+02          7.61574253E+01          5.99634507E+01
       1000.0000          2.84782514E+02          7.62520706E+01          6.01473024E+01
       1077.9990          3.06495071E+02          7.70794716E+01          6.15903182E+01
       1078.0010          3.06495628E+02          7.70794947E+01          6.15903554E+01
       1100.0000          3.12616512E+02          7.73380747E+01          6.19999354E+01
       1200.0000          3.40424063E+02          7.86256486E+01          6.38732399E+01
       1300.0000          3.68206392E+02          8.00589487E+01          6.57606421E+01
       1400.0000          3.95964505E+02          8.15990102E+01          6.76565748E+01
       1500.0000          4.23699237E+02          8.32179769E+01          6.95565121E+01
       1600.0000          4.51411293E+02          8.48955243E+01          7.14568548E+01
       1700.0000          4.79101274E+02          8.66165649E+01          7.33547782E+01
       1800.0000          5.06769699E+02          8.83697341E+01          7.52480865E+01
       1900.0000          5.34417017E+02          9.01463636E+01          7.71350871E+01
       2000.0000          5.62043624E+02          9.19397713E+01          7.90144867E+01
       2100.0000          5.89649868E+02          9.37447596E+01          8.08853082E+01
       2200.0000          6.17236060E+02          9.55572545E+01          8.27468244E+01
       2300.0000          6.44802476E+02          9.73740431E+01          8.45985052E+01
       2400.0000          6.72349365E+02          9.91925788E+01          8.64399764E+01
       2500.0000          6.99876954E+02          1.01010835E+02          8.82709871E+01
       2600.0000          7.27385446E+02          1.02827196E+02          9.00913837E+01
       2700.0000          7.54875028E+02          1.04640369E+02          9.19010896E+01
       2800.0000          7.82345870E+02          1.06449323E+02          9.37000885E+01
       2900.0000          8.09798131E+02          1.08253235E+02          9.54884121E+01
       3000.0000          8.37231955E+02          1.10051449E+02          9.72661291E+01
       3100.0000          8.64647475E+02          1.11843448E+02          9.90333375E+01
       3200.0000          8.92044817E+02          1.13628825E+02          1.00790157E+02
       3300.0000          9.19424096E+02          1.15407265E+02          1.02536726E+02
       3400.0000          9.46785420E+02          1.17178525E+02          1.04273194E+02
       3500.0000          9.74128890E+02          1.18942427E+02          1.05999721E+02
       3600.0000          1.00145460E+03          1.20698842E+02          1.07716473E+02
       3700.0000          1.02876265E+03          1.22447682E+02          1.09423620E+02
       3800.0000          1.05605311E+03          1.24188894E+02          1.11121336E+02
       3900.0000          1.08332606E+03          1.25922454E+02          1.12809794E+02
       4000.0000          1.11058158E+03          1.27648360E+02          1.14489170E+02
       4100.0000          1.13781975E+03          1.29366632E+02          1.16159636E+02
       4200.0000          1.16504062E+03          1.31077304E+02          1.17821365E+02
       4300.0000          1.19224428E+03          1.32780422E+02          1.19474526E+02
       4400.0000          1.21943076E+03          1.34476045E+02          1.21119286E+02
       4500.0000          1.24660014E+03          1.36164240E+02          1.22755809E+02
       4562.9990          1.26370782E+03          1.37224005E+02          1.23782646E+02
       4563.0010          1.26370837E+03          1.37224038E+02          1.23782678E+02
       4600.0000          1.27375248E+03          1.37845080E+02          1.24384256E+02
       4700.0000          1.30088781E+03          1.39518645E+02          1.26004785E+02
       4800.0000          1.32800621E+03          1.41185019E+02          1.27617548E+02
       4857.9990          1.34372686E+03          1.42148239E+02          1.28549437E+02
       4858.0010          1.34372740E+03          1.42148272E+02          1.28549469E+02
       4900.0000          1.35510771E+03          1.42844289E+02          1.29222697E+02
       5000.0000          1.38219237E+03          1.44496545E+02          1.30820379E+02
       5100.0000          1.40926022E+03          1.46141878E+02          1.32410735E+02
       5194.9990          1.43495890E+03          1.47698600E+02          1.33914899E+02
       5195.0010          1.43495944E+03          1.47698632E+02          1.33914931E+02
       5200.0000          1.43631133E+03          1.47780380E+02          1.33993905E+02
       5300.0000          1.46334572E+03          1.49412147E+02          1.35570026E+02
       5400.0000          1.49036343E+03          1.51037271E+02          1.37139228E+02
       5500.0000          1.51736452E+03          1.52655846E+02          1.38701641E+02
       5600.0000          1.54434902E+03          1.54267967E+02          1.40257389E+02
       5700.0000          1.57131696E+03          1.55873726E+02          1.41806594E+02
       5800.0000          1.59826839E+03          1.57473215E+02          1.43349375E+02
       5900.0000          1.62520333E+03          1.59066526E+02          1.44885846E+02
       6000.0000          1.65212183E+03          1.60653749E+02          1.46416119E+02
       6100.0000          1.67902391E+03          1.62234973E+02          1.47940304E+02
       6200.0000          1.70590961E+03          1.63810285E+02          1.49458505E+02
       6300.0000          1.73277896E+03          1.65379774E+02          1.50970826E+02
       6400.0000          1.75963199E+03          1.66943522E+02          1.52477367E+02
       6500.0000          1.78646873E+03          1.68501614E+02          1.53978225E+02
       6600.0000          1.81328921E+03          1.70054132E+02          1.55473496E+02
       6700.0000          1.84009347E+03          1.71601157E+02          1.56963270E+02
       6800.0000          1.86688152E+03          1.73142767E+02          1.58447639E+02
       6900.0000          1.89365340E+03          1.74679040E+02          1.59926688E+02
       7000.0000          1.92040913E+03          1.76210052E+02          1.61400504E+02
       7100.0000          1.94714874E+03          1.77735878E+02          1.62869169E+02
       7200.0000          1.97387226E+03          1.79256591E+02          1.64332763E+02
       7300.0000          2.00057971E+03          1.80772262E+02          1.65791364E+02
       7400.0000          2.02727111E+03          1.82282961E+02          1.67245050E+02
       7500.0000          2.05394650E+03          1.83788757E+02          1.68693894E+02
       7600.0000          2.08060589E+03          1.85289717E+02          1.70137969E+02
       7700.0000          2.10724931E+03          1.86785907E+02          1.71577346E+02
       7800.0000          2.13387678E+03          1.88277392E+02          1.73012093E+02
       7900.0000          2.16048833E+03          1.89764234E+02          1.74442278E+02
       8000.0000          2.18708397E+03          1.91246494E+02          1.75867966E+02
       8100.0000          2.21366374E+03          1.92724235E+02          1.77289221E+02
       8200.0000          2.24022764E+03          1.94197514E+02          1.78706105E+02
       8300.0000          2.26677571E+03          1.95666389E+02          1.80118679E+02
       8400.0000          2.29330797E+03          1.97130918E+02          1.81527002E+02
       8500.0000          2.31982443E+03          1.98591155E+02          1.82931132E+02
       8600.0000          2.34632512E+03          2.00047156E+02          1.84331125E+02
       8700.0000          2.37281006E+03          2.01498973E+02          1.85727037E+02
       8800.0000          2.39927927E+03          2.02946658E+02          1.87118922E+02
       8900.0000          2.42573276E+03          2.04390263E+02          1.88506831E+02
       9000.0000          2.45217056E+03          2.05829837E+02          1.89890817E+02
       9100.0000          2.47859269E+03          2.07265429E+02          1.91270929E+02
       9200.0000          2.50499916E+03          2.08697087E+02          1.92647217E+02
       9300.0000          2.53139000E+03          2.10124859E+02          1.94019728E+02
       9400.0000          2.55776522E+03          2.11548790E+02          1.95388509E+02
       9500.0000          2.58412485E+03          2.12968924E+02          1.96753607E+02
       9600.0000          2.61046890E+03          2.14385307E+02          1.98115066E+02
       9700.0000          2.63679739E+03          2.15797982E+02          1.99472929E+02
       9800.0000          2.66311033E+03          2.17206990E+02          2.00827240E+02
       9900.0000          2.68940775E+03          2.18612374E+02          2.02178041E+02
      10000.0000          2.71568966E+03          2.20014173E+02          2.03525372E+02
      11000.0000          2.97765974E+03          2.33843466E+02          2.16816310E+02
      12000.0000          3.23809763E+03          2.47353773E+02          2.29799694E+02
      13000.0000          3.49701897E+03          2.60574994E+02          2.42505099E+02
      14000.0000          3.75443853E+03          2.73532198E+02          2.54957121E+02
      15000.0000          4.01037032E+03          2.86246623E+02          2.67176473E+02
      16000.0000          4.26482783E+03          2.98736440E+02          2.79180791E+02
      17000.0000          4.51782405E+03          3.11017332E+02          2.90985243E+02
      18000.0000          4.76937160E+03          3.23102946E+02          3.02602988E+02
      19000.0000          5.01948275E+03          3.35005249E+02          3.14045539E+02
      20000.0000          5.26816947E+03          3.46734803E+02          3.25323036E+02
      21000.0000          5.51544349E+03          3.58300991E+02          3.36444474E+02
      22000.0000          5.76131629E+03          3.69712196E+02          3.47417876E+02
      23000.0000          6.00579916E+03          3.80975944E+02          3.58250442E+02
      24000.0000          6.24890317E+03          3.92099030E+02          3.68948662E+02
      25000.0000          6.49063924E+03          4.03087615E+02          3.79518415E+02
      26000.0000          6.73101811E+03          4.13947304E+02          3.89965051E+02
      27000.0000          6.97005037E+03          4.24683223E+02          4.00293455E+02
      28000.0000          7.20774647E+03          4.35300073E+02          4.10508107E+02
      29000.0000          7.44411670E+03          4.45802180E+02          4.20613127E+02
      30000.0000          7.67917124E+03          4.56193539E+02          4.30612320E+02
      31000.0000          7.91292015E+03          4.66477848E+02          4.40509206E+02
      32000.0000          8.14537333E+03          4.76658543E+02          4.50307055E+02
      33000.0000          8.37654062E+03          4.86738823E+02          4.60008910E+02
      33175.9990          8.41709348E+03          4.88502777E+02          4.61706709E+02
      33176.0010          8.41709394E+03          4.88502797E+02          4.61706728E+02
      34000.0000          8.60643169E+03          4.96721672E+02          4.69617611E+02
      35000.0000          8.83505614E+03          5.06609884E+02          4.79135815E+02
      36000.0000          9.06242346E+03          5.16406078E+02          4.88566013E+02
      37000.0000          9.28854302E+03          5.26112714E+02          4.97910544E+02
      38000.0000          9.51342411E+03          5.35732110E+02          5.07171613E+02
      39000.0000          9.73707590E+03          5.45266451E+02          5.16351298E+02
      40000.0000          9.95950748E+03          5.54717802E+02          5.25451562E+02
      41000.0000          1.01807278E+04          5.64088118E+02          5.34474265E+02
      42000.0000          1.04007459E+04          5.73379252E+02          5.43421168E+02
      43000.0000          1.06195705E+04          5.82592964E+02          5.52293945E+02
      44000.0000          1.08372102E+04          5.91730928E+02          5.61094189E+02
      45000.0000          1.10536739E+04          6.00794737E+02          5.69823414E+02
      46000.0000          1.12689700E+04          6.09785912E+02          5.78483067E+02
      47000.0000          1.14831069E+04          6.18705904E+02          5.87074527E+02
      48000.0000          1.16960931E+04          6.27556099E+02          5.95599116E+02
      49000.0000          1.19079370E+04          6.36337827E+02          6.04058094E+02
      50000.0000          1.21186466E+04          6.45052358E+02          6.12452675E+02
