#Energy      Ga   Sb  Total
         80.0000          6.05127879E+01          2.38287046E+02          4.82577694E+01
         81.0000          6.00492818E+01          2.35746579E+02          4.78587250E+01
         82.0000          5.95981222E+01          2.33268944E+02          4.74699707E+01
         83.0000          5.91588643E+01          2.30851878E+02          4.70911347E+01
         84.0000          5.87310839E+01          2.28493223E+02          4.67218628E+01
         85.0000          5.83143770E+01          2.26190921E+02          4.63618172E+01
         86.0000          5.79083580E+01          2.23943012E+02          4.60106762E+01
         87.0000          5.75126592E+01          2.21747626E+02          4.56681323E+01
         88.0000          5.71269295E+01          2.19602975E+02          4.53338922E+01
         89.0000          5.67508332E+01          2.17507354E+02          4.50076758E+01
         90.0000          5.63840499E+01          2.15459132E+02          4.46892152E+01
         91.0000          5.60262729E+01          2.13456751E+02          4.43782543E+01
         92.0000          5.56772088E+01          2.11498718E+02          4.40745483E+01
         93.0000          5.53365769E+01          2.09583607E+02          4.37778625E+01
         94.0000          5.50041082E+01          2.07710050E+02          4.34879724E+01
         95.0000          5.46795452E+01          2.05876738E+02          4.32046630E+01
         96.0000          5.43626409E+01          2.04082416E+02          4.29277280E+01
         97.0000          5.40531584E+01          2.02325881E+02          4.26569696E+01
         98.0000          5.37508707E+01          2.00605978E+02          4.23921984E+01
         99.0000          5.34555596E+01          1.98921600E+02          4.21332321E+01
        100.0000          5.31670157E+01          1.97271682E+02          4.18798960E+01
        103.9990          5.20768668E+01          1.90998281E+02          4.09198231E+01
        104.0010          5.20763459E+01          1.90995267E+02          4.09193631E+01
        106.9990          5.13209860E+01          1.86607564E+02          4.02510929E+01
        107.0010          5.13204986E+01          1.86604721E+02          4.02506608E+01
        110.0000          5.06131375E+01          1.82461431E+02          3.96222787E+01
        110.9990          5.03875392E+01          1.81132387E+02          3.94212948E+01
        111.0010          5.03870924E+01          1.81129751E+02          3.94208964E+01
        113.9990          4.97383439E+01          1.77285433E+02          3.88412348E+01
        114.0010          4.97379247E+01          1.77282938E+02          3.88408595E+01
        120.0000          4.85564060E+01          1.70185320E+02          3.77778289E+01
        130.0000          4.68817203E+01          1.59859158E+02          3.62505586E+01
        140.0000          4.55067709E+01          1.51065331E+02          3.49718772E+01
        150.0000          4.43711467E+01          1.43497380E+02          3.38914847E+01
        156.9990          4.36939597E+01          1.38804344E+02          3.32327001E+01
        157.0010          4.36937785E+01          1.38803066E+02          3.32325221E+01
        160.0000          4.34295145E+01          1.36925321E+02          3.29716705E+01
        161.9990          4.32613475E+01          1.35714766E+02          3.28043979E+01
        162.0010          4.32611823E+01          1.35713571E+02          3.28042331E+01
        170.0000          4.26471973E+01          1.31173195E+02          3.21836181E+01
        180.0000          4.19972226E+01          1.26104088E+02          3.15049385E+01
        190.0000          4.14583005E+01          1.21609872E+02          3.09179807E+01
        200.0000          4.10134055E+01          1.17604019E+02          3.04086473E+01
        210.0000          4.06487633E+01          1.14016469E+02          2.99655481E+01
        220.0000          4.03531129E+01          1.10789893E+02          2.95793843E+01
        230.0000          4.01171609E+01          1.07876925E+02          2.92424926E+01
        240.0000          3.99331718E+01          1.05238095E+02          2.89485035E+01
        250.0000          3.97946561E+01          1.02840247E+02          2.86920815E+01
