#Energy      Mn  Total
      26000.0000          1.25484691E+02          1.25484691E+02
      27000.0000          1.29490404E+02          1.29490404E+02
      28000.0000          1.33466730E+02          1.33466730E+02
      29000.0000          1.37414309E+02          1.37414309E+02
      30000.0000          1.41333736E+02          1.41333736E+02
      31000.0000          1.45225571E+02          1.45225571E+02
      32000.0000          1.49090339E+02          1.49090339E+02
      33000.0000          1.52928534E+02          1.52928534E+02
      34000.0000          1.56740624E+02          1.56740624E+02
      35000.0000          1.60527050E+02          1.60527050E+02
      36000.0000          1.64288234E+02          1.64288234E+02
      37000.0000          1.68024574E+02          1.68024574E+02
      38000.0000          1.71736453E+02          1.71736453E+02
      39000.0000          1.75424235E+02          1.75424235E+02
      40000.0000          1.79088267E+02          1.79088267E+02
      41000.0000          1.82728886E+02          1.82728886E+02
      42000.0000          1.86346411E+02          1.86346411E+02
      43000.0000          1.89941151E+02          1.89941151E+02
      44000.0000          1.93513405E+02          1.93513405E+02
      45000.0000          1.97063458E+02          1.97063458E+02
      46000.0000          2.00591590E+02          2.00591590E+02
      47000.0000          2.04098066E+02          2.04098066E+02
      48000.0000          2.07583148E+02          2.07583148E+02
      49000.0000          2.11047086E+02          2.11047086E+02
      50000.0000          2.14490124E+02          2.14490124E+02
